panel	sample	policy	profile	unique	split	split_source	has_exact	time_log	wall_clock	max_rss_kb	exit_status	status	command	elapsed_s
hmp_airskin_gtdb_source_abundance	3	zero	/tmp/minco_raw_retention_surface_wrapper_cross_panel_20260630/zero/hmp_airskin_gtdb_source_abundance.sample3.accession-current-or-ani93-xny650-br20.tsv	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin3_20260627/work/minco.best_diff_unique.unfiltered.tsv	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin3_20260627/work/minco.best_diff_split.exact.unfiltered.tsv	split	False	/tmp/minco_raw_retention_surface_wrapper_cross_panel_20260630/zero/hmp_airskin_gtdb_source_abundance.sample3.accession-current-or-ani93-xny650-br20.tsv.time.log	0:14.28	3026540	0	reused	reuse existing raw-retention surface wrapper profile	0.000
hmp_airskin_gtdb_source_abundance	3	normalized-depth-alpha2	/tmp/minco_raw_retention_surface_wrapper_cross_panel_20260630/normalized_depth_alpha2/hmp_airskin_gtdb_source_abundance.sample3.accession-current-or-ani93-xny650-br20.tsv	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin3_20260627/work/minco.best_diff_unique.unfiltered.tsv	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin3_20260627/work/minco.best_diff_split.exact.unfiltered.tsv	split	False	/tmp/minco_raw_retention_surface_wrapper_cross_panel_20260630/normalized_depth_alpha2/hmp_airskin_gtdb_source_abundance.sample3.accession-current-or-ani93-xny650-br20.tsv.time.log	0:13.93	3027084	0	reused	reuse existing raw-retention surface wrapper profile	0.000
hmp_airskin_gtdb_source_abundance	4	zero	/tmp/minco_raw_retention_surface_wrapper_cross_panel_20260630/zero/hmp_airskin_gtdb_source_abundance.sample4.accession-current-or-ani93-xny650-br20.tsv	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin4_20260627/work/minco.best_diff_unique.unfiltered.tsv	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin4_20260627/work/minco.best_diff_split.exact.unfiltered.tsv	split	False	/tmp/minco_raw_retention_surface_wrapper_cross_panel_20260630/zero/hmp_airskin_gtdb_source_abundance.sample4.accession-current-or-ani93-xny650-br20.tsv.time.log	0:15.57	3232968	0	reused	reuse existing raw-retention surface wrapper profile	0.000
hmp_airskin_gtdb_source_abundance	4	normalized-depth-alpha2	/tmp/minco_raw_retention_surface_wrapper_cross_panel_20260630/normalized_depth_alpha2/hmp_airskin_gtdb_source_abundance.sample4.accession-current-or-ani93-xny650-br20.tsv	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin4_20260627/work/minco.best_diff_unique.unfiltered.tsv	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin4_20260627/work/minco.best_diff_split.exact.unfiltered.tsv	split	False	/tmp/minco_raw_retention_surface_wrapper_cross_panel_20260630/normalized_depth_alpha2/hmp_airskin_gtdb_source_abundance.sample4.accession-current-or-ani93-xny650-br20.tsv.time.log	0:15.35	3231064	0	reused	reuse existing raw-retention surface wrapper profile	0.000
hmp_airskin_gtdb_source_abundance	5	zero	/tmp/minco_raw_retention_surface_wrapper_cross_panel_20260630/zero/hmp_airskin_gtdb_source_abundance.sample5.accession-current-or-ani93-xny650-br20.tsv	/tmp/minco_current_code_hmp_airskin5_20260627/work/minco.best_diff_unique.unfiltered.tsv	/tmp/minco_current_code_hmp_airskin5_20260627/work/minco.best_diff_split.exact.unfiltered.tsv	split	False	/tmp/minco_raw_retention_surface_wrapper_cross_panel_20260630/zero/hmp_airskin_gtdb_source_abundance.sample5.accession-current-or-ani93-xny650-br20.tsv.time.log	0:15.38	3220984	0	reused	reuse existing raw-retention surface wrapper profile	0.000
hmp_airskin_gtdb_source_abundance	5	normalized-depth-alpha2	/tmp/minco_raw_retention_surface_wrapper_cross_panel_20260630/normalized_depth_alpha2/hmp_airskin_gtdb_source_abundance.sample5.accession-current-or-ani93-xny650-br20.tsv	/tmp/minco_current_code_hmp_airskin5_20260627/work/minco.best_diff_unique.unfiltered.tsv	/tmp/minco_current_code_hmp_airskin5_20260627/work/minco.best_diff_split.exact.unfiltered.tsv	split	False	/tmp/minco_raw_retention_surface_wrapper_cross_panel_20260630/normalized_depth_alpha2/hmp_airskin_gtdb_source_abundance.sample5.accession-current-or-ani93-xny650-br20.tsv.time.log	0:15.10	3222892	0	reused	reuse existing raw-retention surface wrapper profile	0.000
hmp_airskin_gtdb_source_abundance	6	zero	/tmp/minco_raw_retention_surface_wrapper_cross_panel_20260630/zero/hmp_airskin_gtdb_source_abundance.sample6.accession-current-or-ani93-xny650-br20.tsv	/tmp/cami2_hmp_unseen_transfer_20260626/run/minco_sample6_unique_zip_unfiltered.tsv	/tmp/minco_current_code_hmp_refresh_20260627/minco_sample6_split_exact_unfiltered.tsv	split	False	/tmp/minco_raw_retention_surface_wrapper_cross_panel_20260630/zero/hmp_airskin_gtdb_source_abundance.sample6.accession-current-or-ani93-xny650-br20.tsv.time.log	0:14.69	3103336	0	ran	/usr/bin/time -v -o /tmp/minco_raw_retention_surface_wrapper_cross_panel_20260630/zero/hmp_airskin_gtdb_source_abundance.sample6.accession-current-or-ani93-xny650-br20.tsv.time.log python3 -B scripts/minco_profile_calibrated.py --unique-table /tmp/cami2_hmp_unseen_transfer_20260626/run/minco_sample6_unique_zip_unfiltered.tsv --split-table /tmp/minco_current_code_hmp_refresh_20260627/minco_sample6_split_exact_unfiltered.tsv --taxmap /tmp/cami2_marine_samples3_5_20260625/run/gtdb232_refseqvirus_species_taxmap.tsv --candidate-surface-taxmap /tmp/cami2_toymouse_current_default_20260626/gtdb_r232_species.taxmap.tsv --model-cache /tmp/minco_model_cache_bench_20260627/minco_profile_rf_hgb.train12.unfiltered.joblib --scope bacteria --train-pool train12 --strategy universal-auto-exact --candidate-rescue-switch emitted-ani90-xny100-br01-af70 --candidate-surface-switch accession-current-or-ani93-xny650-br20 --candidate-abundance-policy zero -o /tmp/minco_raw_retention_surface_wrapper_cross_panel_20260630/zero/hmp_airskin_gtdb_source_abundance.sample6.accession-current-or-ani93-xny650-br20.tsv	14.704
hmp_airskin_gtdb_source_abundance	6	normalized-depth-alpha2	/tmp/minco_raw_retention_surface_wrapper_cross_panel_20260630/normalized_depth_alpha2/hmp_airskin_gtdb_source_abundance.sample6.accession-current-or-ani93-xny650-br20.tsv	/tmp/cami2_hmp_unseen_transfer_20260626/run/minco_sample6_unique_zip_unfiltered.tsv	/tmp/minco_current_code_hmp_refresh_20260627/minco_sample6_split_exact_unfiltered.tsv	split	False	/tmp/minco_raw_retention_surface_wrapper_cross_panel_20260630/normalized_depth_alpha2/hmp_airskin_gtdb_source_abundance.sample6.accession-current-or-ani93-xny650-br20.tsv.time.log	0:14.68	3101520	0	ran	/usr/bin/time -v -o /tmp/minco_raw_retention_surface_wrapper_cross_panel_20260630/normalized_depth_alpha2/hmp_airskin_gtdb_source_abundance.sample6.accession-current-or-ani93-xny650-br20.tsv.time.log python3 -B scripts/minco_profile_calibrated.py --unique-table /tmp/cami2_hmp_unseen_transfer_20260626/run/minco_sample6_unique_zip_unfiltered.tsv --split-table /tmp/minco_current_code_hmp_refresh_20260627/minco_sample6_split_exact_unfiltered.tsv --taxmap /tmp/cami2_marine_samples3_5_20260625/run/gtdb232_refseqvirus_species_taxmap.tsv --candidate-surface-taxmap /tmp/cami2_toymouse_current_default_20260626/gtdb_r232_species.taxmap.tsv --model-cache /tmp/minco_model_cache_bench_20260627/minco_profile_rf_hgb.train12.unfiltered.joblib --scope bacteria --train-pool train12 --strategy universal-auto-exact --candidate-rescue-switch emitted-ani90-xny100-br01-af70 --candidate-surface-switch accession-current-or-ani93-xny650-br20 --candidate-abundance-policy normalized-depth-alpha2 -o /tmp/minco_raw_retention_surface_wrapper_cross_panel_20260630/normalized_depth_alpha2/hmp_airskin_gtdb_source_abundance.sample6.accession-current-or-ani93-xny650-br20.tsv	14.686
hmp_airskin_gtdb_source_abundance	7	zero	/tmp/minco_raw_retention_surface_wrapper_cross_panel_20260630/zero/hmp_airskin_gtdb_source_abundance.sample7.accession-current-or-ani93-xny650-br20.tsv	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin7_20260627/work/minco.best_diff_unique.unfiltered.tsv	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin7_20260627/work/minco.best_diff_split.exact.unfiltered.tsv	split	False	/tmp/minco_raw_retention_surface_wrapper_cross_panel_20260630/zero/hmp_airskin_gtdb_source_abundance.sample7.accession-current-or-ani93-xny650-br20.tsv.time.log	0:15.00	3163572	0	ran	/usr/bin/time -v -o /tmp/minco_raw_retention_surface_wrapper_cross_panel_20260630/zero/hmp_airskin_gtdb_source_abundance.sample7.accession-current-or-ani93-xny650-br20.tsv.time.log python3 -B scripts/minco_profile_calibrated.py --unique-table /mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin7_20260627/work/minco.best_diff_unique.unfiltered.tsv --split-table /mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin7_20260627/work/minco.best_diff_split.exact.unfiltered.tsv --taxmap /tmp/cami2_marine_samples3_5_20260625/run/gtdb232_refseqvirus_species_taxmap.tsv --candidate-surface-taxmap /tmp/cami2_toymouse_current_default_20260626/gtdb_r232_species.taxmap.tsv --model-cache /tmp/minco_model_cache_bench_20260627/minco_profile_rf_hgb.train12.unfiltered.joblib --scope bacteria --train-pool train12 --strategy universal-auto-exact --candidate-rescue-switch emitted-ani90-xny100-br01-af70 --candidate-surface-switch accession-current-or-ani93-xny650-br20 --candidate-abundance-policy zero -o /tmp/minco_raw_retention_surface_wrapper_cross_panel_20260630/zero/hmp_airskin_gtdb_source_abundance.sample7.accession-current-or-ani93-xny650-br20.tsv	15.014
hmp_airskin_gtdb_source_abundance	7	normalized-depth-alpha2	/tmp/minco_raw_retention_surface_wrapper_cross_panel_20260630/normalized_depth_alpha2/hmp_airskin_gtdb_source_abundance.sample7.accession-current-or-ani93-xny650-br20.tsv	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin7_20260627/work/minco.best_diff_unique.unfiltered.tsv	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin7_20260627/work/minco.best_diff_split.exact.unfiltered.tsv	split	False	/tmp/minco_raw_retention_surface_wrapper_cross_panel_20260630/normalized_depth_alpha2/hmp_airskin_gtdb_source_abundance.sample7.accession-current-or-ani93-xny650-br20.tsv.time.log	0:15.01	3156184	0	ran	/usr/bin/time -v -o /tmp/minco_raw_retention_surface_wrapper_cross_panel_20260630/normalized_depth_alpha2/hmp_airskin_gtdb_source_abundance.sample7.accession-current-or-ani93-xny650-br20.tsv.time.log python3 -B scripts/minco_profile_calibrated.py --unique-table /mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin7_20260627/work/minco.best_diff_unique.unfiltered.tsv --split-table /mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin7_20260627/work/minco.best_diff_split.exact.unfiltered.tsv --taxmap /tmp/cami2_marine_samples3_5_20260625/run/gtdb232_refseqvirus_species_taxmap.tsv --candidate-surface-taxmap /tmp/cami2_toymouse_current_default_20260626/gtdb_r232_species.taxmap.tsv --model-cache /tmp/minco_model_cache_bench_20260627/minco_profile_rf_hgb.train12.unfiltered.joblib --scope bacteria --train-pool train12 --strategy universal-auto-exact --candidate-rescue-switch emitted-ani90-xny100-br01-af70 --candidate-surface-switch accession-current-or-ani93-xny650-br20 --candidate-abundance-policy normalized-depth-alpha2 -o /tmp/minco_raw_retention_surface_wrapper_cross_panel_20260630/normalized_depth_alpha2/hmp_airskin_gtdb_source_abundance.sample7.accession-current-or-ani93-xny650-br20.tsv	15.022
hmp_airskin_gtdb_source_abundance	9	zero	/tmp/minco_raw_retention_surface_wrapper_cross_panel_20260630/zero/hmp_airskin_gtdb_source_abundance.sample9.accession-current-or-ani93-xny650-br20.tsv	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin9_20260627/work/minco.best_diff_unique.unfiltered.tsv	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin9_20260627/work/minco.best_diff_split.exact.unfiltered.tsv	split	False	/tmp/minco_raw_retention_surface_wrapper_cross_panel_20260630/zero/hmp_airskin_gtdb_source_abundance.sample9.accession-current-or-ani93-xny650-br20.tsv.time.log	0:15.48	3192240	0	ran	/usr/bin/time -v -o /tmp/minco_raw_retention_surface_wrapper_cross_panel_20260630/zero/hmp_airskin_gtdb_source_abundance.sample9.accession-current-or-ani93-xny650-br20.tsv.time.log python3 -B scripts/minco_profile_calibrated.py --unique-table /mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin9_20260627/work/minco.best_diff_unique.unfiltered.tsv --split-table /mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin9_20260627/work/minco.best_diff_split.exact.unfiltered.tsv --taxmap /tmp/cami2_marine_samples3_5_20260625/run/gtdb232_refseqvirus_species_taxmap.tsv --candidate-surface-taxmap /tmp/cami2_toymouse_current_default_20260626/gtdb_r232_species.taxmap.tsv --model-cache /tmp/minco_model_cache_bench_20260627/minco_profile_rf_hgb.train12.unfiltered.joblib --scope bacteria --train-pool train12 --strategy universal-auto-exact --candidate-rescue-switch emitted-ani90-xny100-br01-af70 --candidate-surface-switch accession-current-or-ani93-xny650-br20 --candidate-abundance-policy zero -o /tmp/minco_raw_retention_surface_wrapper_cross_panel_20260630/zero/hmp_airskin_gtdb_source_abundance.sample9.accession-current-or-ani93-xny650-br20.tsv	15.495
hmp_airskin_gtdb_source_abundance	9	normalized-depth-alpha2	/tmp/minco_raw_retention_surface_wrapper_cross_panel_20260630/normalized_depth_alpha2/hmp_airskin_gtdb_source_abundance.sample9.accession-current-or-ani93-xny650-br20.tsv	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin9_20260627/work/minco.best_diff_unique.unfiltered.tsv	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin9_20260627/work/minco.best_diff_split.exact.unfiltered.tsv	split	False	/tmp/minco_raw_retention_surface_wrapper_cross_panel_20260630/normalized_depth_alpha2/hmp_airskin_gtdb_source_abundance.sample9.accession-current-or-ani93-xny650-br20.tsv.time.log	0:15.03	3192124	0	ran	/usr/bin/time -v -o /tmp/minco_raw_retention_surface_wrapper_cross_panel_20260630/normalized_depth_alpha2/hmp_airskin_gtdb_source_abundance.sample9.accession-current-or-ani93-xny650-br20.tsv.time.log python3 -B scripts/minco_profile_calibrated.py --unique-table /mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin9_20260627/work/minco.best_diff_unique.unfiltered.tsv --split-table /mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin9_20260627/work/minco.best_diff_split.exact.unfiltered.tsv --taxmap /tmp/cami2_marine_samples3_5_20260625/run/gtdb232_refseqvirus_species_taxmap.tsv --candidate-surface-taxmap /tmp/cami2_toymouse_current_default_20260626/gtdb_r232_species.taxmap.tsv --model-cache /tmp/minco_model_cache_bench_20260627/minco_profile_rf_hgb.train12.unfiltered.joblib --scope bacteria --train-pool train12 --strategy universal-auto-exact --candidate-rescue-switch emitted-ani90-xny100-br01-af70 --candidate-surface-switch accession-current-or-ani93-xny650-br20 --candidate-abundance-policy normalized-depth-alpha2 -o /tmp/minco_raw_retention_surface_wrapper_cross_panel_20260630/normalized_depth_alpha2/hmp_airskin_gtdb_source_abundance.sample9.accession-current-or-ani93-xny650-br20.tsv	15.042
hmp_airskin_gtdb_source_abundance	10	zero	/tmp/minco_raw_retention_surface_wrapper_cross_panel_20260630/zero/hmp_airskin_gtdb_source_abundance.sample10.accession-current-or-ani93-xny650-br20.tsv	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin10_20260627/work/minco.best_diff_unique.unfiltered.tsv	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin10_20260627/work/minco.best_diff_split.exact.unfiltered.tsv	split	False	/tmp/minco_raw_retention_surface_wrapper_cross_panel_20260630/zero/hmp_airskin_gtdb_source_abundance.sample10.accession-current-or-ani93-xny650-br20.tsv.time.log	0:15.50	3209096	0	ran	/usr/bin/time -v -o /tmp/minco_raw_retention_surface_wrapper_cross_panel_20260630/zero/hmp_airskin_gtdb_source_abundance.sample10.accession-current-or-ani93-xny650-br20.tsv.time.log python3 -B scripts/minco_profile_calibrated.py --unique-table /mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin10_20260627/work/minco.best_diff_unique.unfiltered.tsv --split-table /mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin10_20260627/work/minco.best_diff_split.exact.unfiltered.tsv --taxmap /tmp/cami2_marine_samples3_5_20260625/run/gtdb232_refseqvirus_species_taxmap.tsv --candidate-surface-taxmap /tmp/cami2_toymouse_current_default_20260626/gtdb_r232_species.taxmap.tsv --model-cache /tmp/minco_model_cache_bench_20260627/minco_profile_rf_hgb.train12.unfiltered.joblib --scope bacteria --train-pool train12 --strategy universal-auto-exact --candidate-rescue-switch emitted-ani90-xny100-br01-af70 --candidate-surface-switch accession-current-or-ani93-xny650-br20 --candidate-abundance-policy zero -o /tmp/minco_raw_retention_surface_wrapper_cross_panel_20260630/zero/hmp_airskin_gtdb_source_abundance.sample10.accession-current-or-ani93-xny650-br20.tsv	15.510
hmp_airskin_gtdb_source_abundance	10	normalized-depth-alpha2	/tmp/minco_raw_retention_surface_wrapper_cross_panel_20260630/normalized_depth_alpha2/hmp_airskin_gtdb_source_abundance.sample10.accession-current-or-ani93-xny650-br20.tsv	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin10_20260627/work/minco.best_diff_unique.unfiltered.tsv	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin10_20260627/work/minco.best_diff_split.exact.unfiltered.tsv	split	False	/tmp/minco_raw_retention_surface_wrapper_cross_panel_20260630/normalized_depth_alpha2/hmp_airskin_gtdb_source_abundance.sample10.accession-current-or-ani93-xny650-br20.tsv.time.log	0:15.44	3208116	0	ran	/usr/bin/time -v -o /tmp/minco_raw_retention_surface_wrapper_cross_panel_20260630/normalized_depth_alpha2/hmp_airskin_gtdb_source_abundance.sample10.accession-current-or-ani93-xny650-br20.tsv.time.log python3 -B scripts/minco_profile_calibrated.py --unique-table /mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin10_20260627/work/minco.best_diff_unique.unfiltered.tsv --split-table /mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin10_20260627/work/minco.best_diff_split.exact.unfiltered.tsv --taxmap /tmp/cami2_marine_samples3_5_20260625/run/gtdb232_refseqvirus_species_taxmap.tsv --candidate-surface-taxmap /tmp/cami2_toymouse_current_default_20260626/gtdb_r232_species.taxmap.tsv --model-cache /tmp/minco_model_cache_bench_20260627/minco_profile_rf_hgb.train12.unfiltered.joblib --scope bacteria --train-pool train12 --strategy universal-auto-exact --candidate-rescue-switch emitted-ani90-xny100-br01-af70 --candidate-surface-switch accession-current-or-ani93-xny650-br20 --candidate-abundance-policy normalized-depth-alpha2 -o /tmp/minco_raw_retention_surface_wrapper_cross_panel_20260630/normalized_depth_alpha2/hmp_airskin_gtdb_source_abundance.sample10.accession-current-or-ani93-xny650-br20.tsv	15.450
