genome_id	otu	ncbi_id	novelty_category	source_path	source_label	normalized_source_label	matched_gtdb_species_count	matched_gtdb_species	match_decision	assembly_summary_gtdb_species_count	assembly_summary_gtdb_species	assembly_summary_accessions	assembly_summary_decision
Otu2172	2	286	new_species	/net/sgi/cami/data/CAMI2/nwillassen_data/marine/simulation_short_read/genomes/MR4-96-1_S3_contigs.fasta	MR4-96-1 S3	mr4 96 1 s3	0		no_exact_source_name_match	0			assembly_summary_no_match
Otu1893	2	1238	known_strain	/net/sgi/cami/data/CAMI2/nwillassen_data/marine/simulation_short_read/genomes/Piscirickettsia_salmonis_strain_PM51819A_genomic.fasta	Piscirickettsia salmonis strain PM51819A	piscirickettsia salmonis pm51819a	0		no_exact_source_name_match	1	s__Piscirickettsia salmonis	GCF_001932795.1	assembly_summary_unique_gtdb_species
Otu1892	2	191493	known_strain	/net/sgi/cami/data/CAMI2/nwillassen_data/marine/simulation_short_read/genomes/Corynebacterium_sphenisci_DSM_44792_genomic.fasta	Corynebacterium sphenisci DSM 44792	corynebacterium sphenisci dsm 44792	1	s__Corynebacterium sphenisci	exact_source_name_unique_gtdb_species	1	s__Corynebacterium sphenisci	GCF_001941505.1	assembly_summary_unique_gtdb_species
Otu1046	2	1238	known_strain	/net/sgi/cami/data/CAMI2/nwillassen_data/marine/simulation_short_read/genomes/Piscirickettsia_salmonis_strain_AY6532B_genomic.fasta	Piscirickettsia salmonis strain AY6532B	piscirickettsia salmonis ay6532b	0		no_exact_source_name_match	1	s__Piscirickettsia salmonis	GCF_001932875.1	assembly_summary_unique_gtdb_species
Otu719.0	188905	290400	known_strain	/net/sgi/cami/data/CAMI2/nwillassen_data/marine/simulation_short_read/genomes/Jannaschia_sp_CCS1_genomic.fasta	Jannaschia sp CCS1	jannaschia sp ccs1	1	s__Gymnodinialimonas sp000013565	exact_source_name_unique_gtdb_species	1	s__Gymnodinialimonas sp000013565	GCF_000013565.1	assembly_summary_unique_gtdb_species
Otu1896	2	1298608	new_species	/net/sgi/cami/data/CAMI2/nwillassen_data/marine/simulation_short_read/genomes/R2A19_S7_contigs.fasta	R2A19 S7	r2a19 s7	0		no_exact_source_name_match	0			assembly_summary_no_match
Otu523	2	39960	known_strain	/net/sgi/cami/data/CAMI2/nwillassen_data/marine/simulation_short_read/genomes/Erythrobacter_litoralis_HTCC2594_genomic.fasta	Erythrobacter litoralis HTCC2594	erythrobacter litoralis htcc2594	1	s__Parerythrobacter litoralis_A	exact_source_name_unique_gtdb_species	1	s__Parerythrobacter litoralis_A	GCF_000013005.1	assembly_summary_unique_gtdb_species
Otu522	2	670	known_strain	/net/sgi/cami/data/CAMI2/nwillassen_data/marine/simulation_short_read/genomes/Vibrio_parahaemolyticus_BB22OP_genomic.fasta	Vibrio parahaemolyticus BB22OP	vibrio parahaemolyticus bb22op	1	s__Vibrio parahaemolyticus	exact_source_name_unique_gtdb_species	1	s__Vibrio parahaemolyticus	GCF_000328405.1	assembly_summary_unique_gtdb_species
Otu526	2	32003	known_strain	/net/sgi/cami/data/CAMI2/nwillassen_data/marine/simulation_short_read/genomes/Methylophilales_bacterium_MBRSG12_genomic.fasta	Methylophilales bacterium MBRSG12	methylophilales bacterium mbrsg12	0		no_exact_source_name_match	0			assembly_summary_no_match
Otu800.0	135620	188908	known_strain	/net/sgi/cami/data/CAMI2/nwillassen_data/marine/simulation_short_read/genomes/Oleispira_antarctica_RB-8_genomic.fasta	Oleispira antarctica RB-8	oleispira antarctica rb 8	1	s__Oleispira antarctica	exact_source_name_unique_gtdb_species	0			assembly_summary_no_match
Otu249.0	200667	1006	known_strain	/net/sgi/cami/data/CAMI2/nwillassen_data/marine/simulation_short_read/genomes/Marivirga_tractuosa_DSM_4126_genomic.fasta	Marivirga tractuosa DSM 4126	marivirga tractuosa dsm 4126	1	s__Marivirga tractuosa	exact_source_name_unique_gtdb_species	1	s__Marivirga tractuosa	GCF_000183425.1	assembly_summary_unique_gtdb_species
Otu1283	2	511678	new_species	/net/sgi/cami/data/CAMI2/nwillassen_data/marine/simulation_short_read/genomes/A-H1309-4-1_S7_contigs.fasta	A-H1309-4-1 S7	a h1309 4 1 s7	0		no_exact_source_name_match	0			assembly_summary_no_match
Otu1322	2	60961	known_strain	/net/sgi/cami/data/CAMI2/nwillassen_data/marine/simulation_short_read/genomes/Shewanella_woodyi_ATCC_51908_genomic.fasta	Shewanella woodyi ATCC 51908	shewanella woodyi atcc 51908	1	s__Shewanella woodyi	exact_source_name_unique_gtdb_species	1	s__Shewanella woodyi	GCF_000019525.1	assembly_summary_unique_gtdb_species
Otu1321	2	1579979	known_strain	/net/sgi/cami/data/CAMI2/nwillassen_data/marine/simulation_short_read/genomes/Wenzhouxiangella_marina_strain_KCTC_42284_genomic.fasta	Wenzhouxiangella marina strain KCTC 42284	wenzhouxiangella marina kctc 42284	0		no_exact_source_name_match	1	s__Wenzhouxiangella marina	GCF_001187785.1	assembly_summary_unique_gtdb_species
Otu1326	2	497	known_strain	/net/sgi/cami/data/CAMI2/nwillassen_data/marine/simulation_short_read/genomes/20_S10_contigs.fasta	20 S10	20 s10	0		no_exact_source_name_match	0			assembly_summary_no_match
Otu265.0	31989	215813	known_strain	/net/sgi/cami/data/CAMI2/nwillassen_data/marine/simulation_short_read/genomes/Dinoroseobacter_shibae_DFL_12_genomic.fasta	Dinoroseobacter shibae DFL 12	dinoroseobacter shibae dfl 12	0		no_exact_source_name_match	0			assembly_summary_no_match
Otu453	2	1188228	new_strain	/net/sgi/cami/data/CAMI2/nwillassen_data/marine/simulation_short_read/genomes/Candidatus_Gloeomargarita_lithophora_D10_genomic.fasta	Candidatus Gloeomargarita lithophora D10	candidatus gloeomargarita lithophora d10	0		no_exact_source_name_match	1	s__Gloeomargarita lithophora	GCF_001870225.1	assembly_summary_unique_gtdb_species
Otu88.0	468	1298608	new_species	/net/sgi/cami/data/CAMI2/nwillassen_data/marine/simulation_short_read/genomes/S17_S4_contigs.fasta	S17 S4	s17 s4	0		no_exact_source_name_match	0			assembly_summary_no_match
Otu245.0	49546	1555194	known_strain	/net/sgi/cami/data/CAMI2/nwillassen_data/marine/simulation_short_read/genomes/Formosa_haliotis_strain_LMG_28520_genomic.fasta	Formosa haliotis strain LMG 28520	formosa haliotis lmg 28520	0		no_exact_source_name_match	0			assembly_summary_no_match
Otu2036	2	1348114	known_strain	/net/sgi/cami/data/CAMI2/nwillassen_data/marine/simulation_short_read/genomes/Pseudoalteromonas_sp_OCN003_genomic.fasta	Pseudoalteromonas sp OCN003	pseudoalteromonas sp ocn003	0		no_exact_source_name_match	1	s__Pseudoalteromonas piratica	GCF_000788395.1	assembly_summary_unique_gtdb_species
Otu80.0	135620	119864	known_strain	/net/sgi/cami/data/CAMI2/nwillassen_data/marine/simulation_short_read/genomes/Marinomonas_mediterranea_MMB-1_genomic.fasta	Marinomonas mediterranea MMB-1	marinomonas mediterranea mmb 1	1	s__Marinomonas mediterranea	exact_source_name_unique_gtdb_species	1	s__Marinomonas mediterranea	GCF_000192865.1,GCF_028472825.1	assembly_summary_unique_gtdb_species
Otu315.0	213483	959	known_strain	/net/sgi/cami/data/CAMI2/nwillassen_data/marine/simulation_short_read/genomes/Bdellovibrio_bacteriovorus_strain_109J_genomic.fasta	Bdellovibrio bacteriovorus strain 109J	bdellovibrio bacteriovorus 109j	0		no_exact_source_name_match	1	s__Bdellovibrio bacteriovorus	GCF_000691605.1,GCF_037076595.1	assembly_summary_unique_gtdb_species
Otu1914.0	72275	2742	known_strain	/net/sgi/cami/data/CAMI2/nwillassen_data/marine/simulation_short_read/genomes/Marinobacter_psychrophilus_strain_20041_genomic.fasta	Marinobacter psychrophilus strain 20041	marinobacter psychrophilus 20041	0		no_exact_source_name_match	0			assembly_summary_no_match
Otu1769	2	511678	new_species	/net/sgi/cami/data/CAMI2/nwillassen_data/marine/simulation_short_read/genomes/A-Hdes-3_S8_contigs.fasta	A-Hdes-3 S8	a hdes 3 s8	0		no_exact_source_name_match	0			assembly_summary_no_match
Otu413	2	2742	known_strain	/net/sgi/cami/data/CAMI2/nwillassen_data/marine/simulation_short_read/genomes/Marinobacter_sp_CP1_genomic.fasta	Marinobacter sp CP1	marinobacter sp cp1	0		no_exact_source_name_match	0			assembly_summary_no_match
Otu331.0	72275	1420916	known_strain	/net/sgi/cami/data/CAMI2/nwillassen_data/marine/simulation_short_read/genomes/Marinobacter_similis_A3d10_genomic.fasta	Marinobacter similis A3d10	marinobacter similis a3d10	0		no_exact_source_name_match	1	s__Marinobacter similis	GCF_000830985.1	assembly_summary_unique_gtdb_species
Otu796	2	286	new_species	/net/sgi/cami/data/CAMI2/nwillassen_data/marine/simulation_short_read/genomes/MR4-25-1B_S2_contigs.fasta	MR4-25-1B S2	mr4 25 1b s2	0		no_exact_source_name_match	0			assembly_summary_no_match
Otu241.0	31989	1217908	known_strain	/net/sgi/cami/data/CAMI2/nwillassen_data/marine/simulation_short_read/genomes/Octadecabacter_antarcticus_307_genomic.fasta	Octadecabacter antarcticus 307	octadecabacter antarcticus 307	1	s__Octadecabacter antarcticus	exact_source_name_unique_gtdb_species	1	s__Octadecabacter antarcticus	GCF_000155675.2	assembly_summary_unique_gtdb_species
Otu985.0	188786	187137	known_strain	/net/sgi/cami/data/CAMI2/nwillassen_data/marine/simulation_short_read/genomes/Oceanithermus_profundus_DSM_14977_genomic.fasta	Oceanithermus profundus DSM 14977	oceanithermus profundus dsm 14977	1	s__Oceanithermus profundus	exact_source_name_unique_gtdb_species	1	s__Oceanithermus profundus	GCF_000183745.1	assembly_summary_unique_gtdb_species
Otu279	2	859653	known_strain	/net/sgi/cami/data/CAMI2/nwillassen_data/marine/simulation_short_read/genomes/alpha_proteobacterium_HIMB5_genomic.fasta	alpha proteobacterium HIMB5	alpha proteobacterium himb5	1	s__Pelagibacter sp000299095	exact_source_name_unique_gtdb_species	0			assembly_summary_no_match
Otu1710	2157	1301915	known_strain	/net/sgi/cami/data/CAMI2/nwillassen_data/marine/simulation_short_read/genomes/Methanocaldococcus_sp_JH146_genomic.fasta	Methanocaldococcus sp JH146	methanocaldococcus sp jh146	0		no_exact_source_name_match	1	s__Methanocaldococcus bathoardescens	GCF_000739065.1	assembly_summary_unique_gtdb_species
Otu1032	2	662	known_strain	/net/sgi/cami/data/CAMI2/nwillassen_data/marine/simulation_short_read/genomes/V36_S4_contigs.fasta	V36 S4	v36 s4	0		no_exact_source_name_match	0			assembly_summary_no_match
Otu1031	2	651457	known_strain	/net/sgi/cami/data/CAMI2/nwillassen_data/marine/simulation_short_read/genomes/Kosmotoga_olearia_TBF_1951_genomic.fasta	Kosmotoga olearia TBF 1951	kosmotoga olearia tbf 1951	0		no_exact_source_name_match	0			assembly_summary_no_match
Otu1030	2	149715	known_strain	/net/sgi/cami/data/CAMI2/nwillassen_data/marine/simulation_short_read/genomes/Marinitoga_piezophila_KA3_genomic.fasta	Marinitoga piezophila KA3	marinitoga piezophila ka3	1	s__Marinitoga piezophila	exact_source_name_unique_gtdb_species	1	s__Marinitoga piezophila	GCF_000255135.1	assembly_summary_unique_gtdb_species
Otu554	2157	2234	known_strain	/net/sgi/cami/data/CAMI2/nwillassen_data/marine/simulation_short_read/genomes/Archaeoglobus_fulgidus_DSM_4304_genomic.fasta	Archaeoglobus fulgidus DSM 4304	archaeoglobus fulgidus dsm 4304	1	s__Archaeoglobus fulgidus	exact_source_name_unique_gtdb_species	1	s__Archaeoglobus fulgidus	GCF_000008665.1,GCF_900069765.1	assembly_summary_unique_gtdb_species
Otu1132	2	80852	new_strain	/net/sgi/cami/data/CAMI2/nwillassen_data/marine/simulation_short_read/genomes/VwK7F1_S12_contigs.fasta	VwK7F1 S12	vwk7f1 s12	0		no_exact_source_name_match	0			assembly_summary_no_match
Otu1133	2	662	known_strain	/net/sgi/cami/data/CAMI2/nwillassen_data/marine/simulation_short_read/genomes/B9-25K2_S3_contigs.fasta	B9-25K2 S3	b9 25k2 s3	0		no_exact_source_name_match	0			assembly_summary_no_match
Otu1038	2	1868325	known_strain	/net/sgi/cami/data/CAMI2/nwillassen_data/marine/simulation_short_read/genomes/Prosthecochloris_sp_CIB_2401_genomic.fasta	Prosthecochloris sp CIB 2401	prosthecochloris sp cib 2401	1	s__Prosthecochloris vibrioformis	exact_source_name_unique_gtdb_species	1	s__Prosthecochloris vibrioformis	GCF_001687065.1	assembly_summary_unique_gtdb_species
Otu774	2	364197	known_strain	/net/sgi/cami/data/CAMI2/nwillassen_data/marine/simulation_short_read/genomes/Pseudomonas_pohangensis_strain_DSM_17875_genomic.fasta	Pseudomonas pohangensis strain DSM 17875	pseudomonas pohangensis dsm 17875	0		no_exact_source_name_match	1	s__Aquipseudomonas pohangensis	GCF_900105995.1	assembly_summary_unique_gtdb_species
Otu954	2	387092	known_strain	/net/sgi/cami/data/CAMI2/nwillassen_data/marine/simulation_short_read/genomes/Nitratiruptor_sp_SB155-2_genomic.fasta	Nitratiruptor sp SB155-2	nitratiruptor sp sb155 2	1	s__Nitratiruptor sp000010325	exact_source_name_unique_gtdb_species	1	s__Nitratiruptor sp000010325	GCF_000010325.1	assembly_summary_unique_gtdb_species
Otu771	2	1218	known_strain	/net/sgi/cami/data/CAMI2/nwillassen_data/marine/simulation_short_read/genomes/Prochlorococcus_marinus_bv_HNLC1_genomic.fasta	Prochlorococcus marinus bv HNLC1	prochlorococcus marinus bv hnlc1	0		no_exact_source_name_match	0			assembly_summary_no_match
Otu677	2	999	known_strain	/net/sgi/cami/data/CAMI2/nwillassen_data/marine/simulation_short_read/genomes/Flexibacter_litoralis_DSM_6794_genomic.fasta	Flexibacter litoralis DSM 6794	flexibacter litoralis dsm 6794	0		no_exact_source_name_match	1	s__Bernardetia litoralis	GCF_000265505.1	assembly_summary_unique_gtdb_species
Otu958	2	511678	new_species	/net/sgi/cami/data/CAMI2/nwillassen_data/marine/simulation_short_read/genomes/A9-2_S2_contigs.fasta	A9-2 S2	a9 2 s2	0		no_exact_source_name_match	0			assembly_summary_no_match
Otu810.0	49546	237	new_species	/net/sgi/cami/data/CAMI2/nwillassen_data/marine/simulation_short_read/genomes/10_S9_contigs.fasta	10 S9	10 s9	0		no_exact_source_name_match	0			assembly_summary_no_match
Otu778	2	40269	new_strain	/net/sgi/cami/data/CAMI2/nwillassen_data/marine/simulation_short_read/genomes/6_S6_contigs.fasta	6 S6	6 s6	0		no_exact_source_name_match	0			assembly_summary_no_match
Otu90.0	69657	81032	known_strain	/net/sgi/cami/data/CAMI2/nwillassen_data/marine/simulation_short_read/genomes/Hyphomonas_neptunium_ATCC_15444_genomic.fasta	Hyphomonas neptunium ATCC 15444	hyphomonas neptunium atcc 15444	1	s__Hyphomonas neptunia	exact_source_name_unique_gtdb_species	1	s__Hyphomonas neptunia	GCF_000013025.1	assembly_summary_unique_gtdb_species
Otu1427	2	261964	known_strain	/net/sgi/cami/data/CAMI2/nwillassen_data/marine/simulation_short_read/genomes/Kangiella_koreensis_DSM_16069_genomic.fasta	Kangiella koreensis DSM 16069	kangiella koreensis dsm 16069	1	s__Kangiella koreensis	exact_source_name_unique_gtdb_species	1	s__Kangiella koreensis	GCF_000024085.1	assembly_summary_unique_gtdb_species
Otu54	2	55601	new_strain	/net/sgi/cami/data/CAMI2/nwillassen_data/marine/simulation_short_read/genomes/VO6_S13_contigs.fasta	VO6 S13	vo6 s13	0		no_exact_source_name_match	0			assembly_summary_no_match
Otu271	2	351091	known_strain	/net/sgi/cami/data/CAMI2/nwillassen_data/marine/simulation_short_read/genomes/Oscillibacter_valericigenes_Sjm18-20_genomic.fasta	Oscillibacter valericigenes Sjm18-20	oscillibacter valericigenes sjm18 20	1	s__Oscillibacter valericigenes	exact_source_name_unique_gtdb_species	0			assembly_summary_no_match
Otu2019	2	1219	known_strain	/net/sgi/cami/data/CAMI2/nwillassen_data/marine/simulation_short_read/genomes/Prochlorococcus_marinus_str_MIT_9303_genomic.fasta	Prochlorococcus marinus str MIT 9303	prochlorococcus marinus mit 9303	1	s__Prochlorococcus marinus_D	exact_source_name_unique_gtdb_species	1	s__Prochlorococcus marinus_D	GCF_000015705.1	assembly_summary_unique_gtdb_species
Otu2464.0	85025	37332	known_strain	/net/sgi/cami/data/CAMI2/nwillassen_data/marine/simulation_short_read/genomes/Nocardia_seriolae_strain_EM150506_genomic.fasta	Nocardia seriolae strain EM150506	nocardia seriolae em150506	0		no_exact_source_name_match	1	s__Nocardia seriolae	GCF_001865855.1	assembly_summary_unique_gtdb_species
Otu1196	2	511678	new_species	/net/sgi/cami/data/CAMI2/nwillassen_data/marine/simulation_short_read/genomes/A-H130426-2_S6_contigs.fasta	A-H130426-2 S6	a h130426 2 s6	0		no_exact_source_name_match	0			assembly_summary_no_match
Otu2042	2	1705394	known_strain	/net/sgi/cami/data/CAMI2/nwillassen_data/marine/simulation_short_read/genomes/Candidatus_Thioglobus_sp_EF1_genomic.fasta	Candidatus Thioglobus sp EF1	candidatus thioglobus sp ef1	0		no_exact_source_name_match	1	s__Thioglobus_A autotrophicus	GCF_001293165.1	assembly_summary_unique_gtdb_species
Otu1108.1	198251	198252	known_strain	/net/sgi/cami/data/CAMI2/nwillassen_data/marine/simulation_short_read/genomes/Candidatus_Pelagibacter_ubique_HTCC1062_genomic.fasta	Candidatus Pelagibacter ubique HTCC1062	candidatus pelagibacter ubique htcc1062	1	s__Pelagibacter ubiqueversans	exact_source_name_unique_gtdb_species	1	s__Pelagibacter ubiqueversans	GCF_000012345.1	assembly_summary_unique_gtdb_species
Otu352.1	135620	187493	known_strain	/net/sgi/cami/data/CAMI2/nwillassen_data/marine/simulation_short_read/genomes/Thalassolituus_oleivorans_strain_K188_genomic.fasta	Thalassolituus oleivorans strain K188	thalassolituus oleivorans k188	0		no_exact_source_name_match	1	s__Thalassolituus oleivorans	GCF_001932535.1	assembly_summary_unique_gtdb_species
Otu370.0	49546	96345	known_strain	/net/sgi/cami/data/CAMI2/nwillassen_data/marine/simulation_short_read/genomes/Flavobacterium_psychrophilum_strain_MH1_genomic.fasta	Flavobacterium psychrophilum strain MH1	flavobacterium psychrophilum mh1	0		no_exact_source_name_match	1	s__Flavobacterium psychrophilum	GCF_000971605.2	assembly_summary_unique_gtdb_species
Otu370.1	49546	669041	new_strain	/net/sgi/cami/data/CAMI2/nwillassen_data/marine/simulation_short_read/genomes/T-211_S5_contigs.fasta	T-211 S5	t 211 s5	0		no_exact_source_name_match	0			assembly_summary_no_match
Otu703	2	80852	new_strain	/net/sgi/cami/data/CAMI2/nwillassen_data/marine/simulation_short_read/genomes/A-Hdes-20-1_S13_contigs.fasta	A-Hdes-20-1 S13	a hdes 20 1 s13	0		no_exact_source_name_match	0			assembly_summary_no_match
Otu250	2	666	known_strain	/net/sgi/cami/data/CAMI2/nwillassen_data/marine/simulation_short_read/genomes/Vibrio_cholerae_strain_Env-390_genomic.fasta	Vibrio cholerae strain Env-390	vibrio cholerae env 390	0		no_exact_source_name_match	1	s__Vibrio cholerae	GCF_001292745.1,GCF_001292785.1,GCF_001854425.1,GCF_900185995.1	assembly_summary_unique_gtdb_species
Otu252	2	316279	known_strain	/net/sgi/cami/data/CAMI2/nwillassen_data/marine/simulation_short_read/genomes/Synechococcus_sp_CC9902_genomic.fasta	Synechococcus sp CC9902	synechococcus sp cc9902	2	s__Parasynechococcus sp000012505,s__Parasynechococcus sp913050565	exact_source_name_ambiguous_gtdb_species	1	s__Parasynechococcus sp000012505	GCF_000012505.1	assembly_summary_unique_gtdb_species
