sample	gtdb_species	abundance_pct_all	source_taxids	truth_names	truth_transfer_rules	truth_abundance
3	s__Alteromonas macleodii	0.1464	28108	Alteromonas macleodii	unique_gtdb_binomial	0.00478551792444504
3	s__Alteromonas mediterranea	0.7755	314275	Alteromonas mediterranea	unique_taxid	0.0253495160546935
3	s__Aquibium oceanicum	0.0098	1670800	Mesorhizobium sp. B7	unique_taxid	0.00032034204685492753
3	s__Aquiluna sp900100865	0.0049	1855377	Candidatus Aquiluna sp. UB-MaderosW2red	unique_taxid	0.00016017102342746377
3	s__Aquipseudomonas pohangensis	0.0049	364197	Pseudomonas pohangensis	unique_taxid	0.00016017102342746377
3	s__Aquipseudomonas rustica	0.0146	1699311	Pseudomonas sp. P1.31	unique_taxid	0.00047724427388591247
3	s__Arcanobacterium phocae	0.0049	131112	Arcanobacterium phocae	unique_gtdb_binomial	0.00016017102342746377
3	s__Archaeoglobus fulgidus	0.1025	2234	Archaeoglobus fulgidus	unique_taxid	0.0033505163063908233
3	s__Archaeoglobus_B profundus	0.0098	84156	Archaeoglobus profundus	unique_taxid	0.00032034204685492753
3	s__Atelocyanobacterium thalassae	0.0683	713887	Candidatus Atelocyanobacterium thalassa	strict_source_name_or_assembly_sources_unique	0.0022325879387950563
3	s__Bacillus pumilus	0.0439	1408	Bacillus pumilus	unique_gtdb_binomial	0.0014350016180542163
3	s__Bacillus velezensis	0.0098	492670	Bacillus velezensis	unique_gtdb_binomial	0.00032034204685492753
3	s__Bacillus_AB infantis	0.0488	324767	Bacillus infantis	strict_source_name_or_assembly_sources_unique	0.00159517264148168
3	s__Bdellovibrio bacteriovorus	0.0537	959	Bdellovibrio bacteriovorus	unique_gtdb_binomial	0.0017553436649091437
3	s__Belliella baltica	0.0244	232259	Belliella baltica	unique_taxid	0.00079758632074084
3	s__Bernardetia litoralis	0.039	999	Bernardetia litoralis	unique_taxid	0.0012748305946267524
3	s__Brucella melitensis	0.0683	120576,120577	Brucella ceti;Brucella pinnipedialis	unique_taxid	0.0022325879387950563
3	s__Caldithrix abyssi	0.0098	187145	Caldithrix abyssi	unique_gtdb_binomial	0.00032034204685492753
3	s__Carnobacterium divergens	0.0098	2748	Carnobacterium divergens	unique_gtdb_binomial	0.00032034204685492753
3	s__Celeribacter indicus	0.0244	1208324	Celeribacter indicus	unique_taxid	0.00079758632074084
3	s__Celeribacter marinus	0.0244	1397108	Celeribacter marinus	unique_gtdb_binomial	0.00079758632074084
3	s__Cellulophaga algicola	0.0197	59600	Cellulophaga algicola	unique_taxid	0.0006439528901063338
3	s__Cellulophaga baltica	0.0377	76594	Cellulophaga baltica	unique_gtdb_binomial	0.0012323362414725272
3	s__Cellulophaga lytica	0.0683	979	Cellulophaga lytica	unique_gtdb_binomial	0.0022325879387950563
3	s__Cenarchaeum symbiosum	0.0195	46770	Cenarchaeum symbiosum	unique_taxid	0.0006374152973133762
3	s__Cereibacter_A sphaeroides	0.0129	1063	Rhodobacter sphaeroides	strict_source_name_or_assembly_sources_unique	0.000421674735145772
3	s__Chlorobium phaeobacteroides	0.0586	1096	Chlorobium phaeobacteroides	unique_gtdb_binomial	0.0019155146883366074
3	s__Chlorobium phaeovibrioides	0.0195	1094	Chlorobium phaeovibrioides	unique_gtdb_binomial	0.0006374152973133762
3	s__Chloroherpeton thalassium	0.0537	100716	Chloroherpeton thalassium	unique_gtdb_binomial	0.0017553436649091437
3	s__Christiangramia sp900105135	0.001	1250205	Gramella sp. MAR_2010_147	unique_taxid	3.2687963964788526e-05
3	s__Chromatium violascens	0.0878	73141	Thiocystis violascens	strict_source_name_or_assembly_sources_unique	0.0028700032361084326
3	s__Chromohalobacter moromii	0.0098	158080	Chromohalobacter salexigens	unique_taxid	0.00032034204685492753
3	s__Clostridium cagae	0.1952	1491	Clostridium botulinum	strict_source_name_or_assembly_sources_unique	0.00638069056592672
3	s__Colwellia marinimaniae	0.0537	58049	Colwellia sp. MT41	unique_taxid	0.0017553436649091437
3	s__Colwellia psychrerythraea_A	0.0829	28229	Colwellia psychrerythraea	strict_source_name_or_assembly_sources_unique	0.0027098322126809684
3	s__Colwellia_A sp001767295	0.0146	1816218	Colwellia sp. PAMC 20917	unique_taxid	0.00047724427388591247
3	s__Corynebacterium marinum	0.0098	349751	Corynebacterium marinum	unique_taxid	0.00032034204685492753
3	s__Corynebacterium maris	0.0049	575200	Corynebacterium maris	unique_taxid	0.00016017102342746377
3	s__Corynebacterium phocae	0.1025	161895	Corynebacterium phocae	unique_taxid	0.0033505163063908233
3	s__Corynebacterium stationis	0.039	1705	Corynebacterium stationis	unique_taxid	0.0012748305946267524
3	s__Croceibacter atlanticus	0.0137	313588	Croceibacter atlanticus	unique_taxid	0.0004478251063176028
3	s__Croceibacterium_C atlanticum	0.0098	1267766	Altererythrobacter atlanticus	unique_taxid	0.00032034204685492753
3	s__Croceicoccus naphthovorans	0.0049	1348774	Croceicoccus naphthovorans	unique_taxid	0.00016017102342746377
3	s__Cyclobacterium amurskyense	0.0146	320787	Cyclobacterium amurskyense	unique_taxid	0.00047724427388591247
3	s__Cyclobacterium marinum	0.0049	104	Cyclobacterium marinum	unique_taxid	0.00016017102342746377
3	s__Cycloclasticus pugetii	0.5123	1329899	Cycloclasticus zancles	unique_taxid	0.01674604393916116
3	s__Denitrovibrio acetiphilus	0.0098	118000	Denitrovibrio acetiphilus	unique_taxid	0.00032034204685492753
3	s__Desulfobacula toluolica	0.2147	28223	Desulfobacula toluolica	unique_taxid	0.007018105863240096
3	s__Desulfocapsa sulfexigens	0.0683	65555	Desulfocapsa sulfexigens	unique_gtdb_binomial	0.0022325879387950563
3	s__Desulfococcus multivorans	0.1317	897	Desulfococcus multivorans	unique_taxid	0.004305004854162649
3	s__Desulfocurvibacter africanus	0.0829	873	Desulfovibrio africanus	unique_taxid	0.0027098322126809684
3	s__Desulforapulum autotrophicum	0.1659	2296	Desulfobacterium autotrophicum	strict_source_name_or_assembly_sources_unique	0.005422933221758416
3	s__Desulfotalea psychrophila	0.2147	84980	Desulfotalea psychrophila	unique_taxid	0.007018105863240096
3	s__Desulfovibrio desulfuricans	0.0439	876	Desulfovibrio desulfuricans	unique_gtdb_binomial	0.0014350016180542163
3	s__Dinoroseobacter shibae	0.0049	215813	Dinoroseobacter shibae	unique_taxid	0.00016017102342746377
3	s__Dokdonia sp000212355	0.0091	983548	Dokdonia sp. 4H-3-7-5	unique_taxid	0.00029746047207957556
3	s__Draconibacterium orientale	0.0098	1168034	Draconibacterium orientale	unique_gtdb_binomial	0.00032034204685492753
3	s__Echinicola vietnamensis	0.0098	390884	Echinicola vietnamensis	unique_taxid	0.00032034204685492753
3	s__Epibacterium sp000014065	0.0116	292414	Ruegeria sp. TM1040	unique_taxid	0.00037918038199154686
3	s__Erythrobacter epoxidivorans	0.0098	361183	Altererythrobacter epoxidivorans	unique_taxid	0.00032034204685492753
3	s__Erythrobacter ishigakiensis	0.0146	476157	Altererythrobacter ishigakiensis	unique_taxid	0.00047724427388591247
3	s__Erythrobacter litoralis	0.3513	39960	Erythrobacter litoralis	unique_gtdb_binomial	0.011483281740830208
3	s__Filomicrobium insigne	0.0146	1608628	Candidatus Filomicrobium marinum	unique_taxid	0.00047724427388591247
3	s__Flagellimonas ruestringensis	0.0488	111501	Muricauda ruestringensis	strict_source_name_or_assembly_sources_unique	0.00159517264148168
3	s__Flagellimonas_A lutaonensis	0.122	516051	Muricauda lutaonensis	unique_taxid	0.0039879316037042
3	s__Flammeovirga yaeyamensis	0.1513	1191459	Flammeovirga sp. MY04	unique_taxid	0.004945688947872503
3	s__Flavobacterium crassostreae	0.0195	1763534	Flavobacterium crassostreae	unique_taxid	0.0006374152973133762
3	s__Flavobacterium frigidarium	0.0049	99286	Flavobacterium frigidarium	unique_taxid	0.00016017102342746377
3	s__Flavobacterium psychrophilum	0.1382	96345	Flavobacterium psychrophilum	unique_gtdb_binomial	0.004517476619933774
3	s__Formosa agariphila	0.0098	320324	Formosa agariphila	unique_taxid	0.00032034204685492753
3	s__Formosa haliotis	0.1513	1555194	Formosa haliotis	unique_taxid	0.004945688947872503
3	s__Francisella noatunensis	0.0293	657445	Francisella noatunensis	unique_taxid	0.0009577573441683037
3	s__Francisella uliginis	0.0049	573570	Francisella sp. TX077310	unique_taxid	0.00016017102342746377
3	s__Geobacillus thermoleovorans	0.0195	1462	Geobacillus kaustophilus	strict_source_name_or_assembly_sources_unique	0.0006374152973133762
3	s__Geoglobus acetivorans	0.0049	565033	Geoglobus acetivorans	unique_gtdb_binomial	0.00016017102342746377
3	s__Geoglobus ahangari	0.0049	113653	Geoglobus ahangari	unique_taxid	0.00016017102342746377
3	s__Glaciecola nitratireducens	0.1366	300231	Glaciecola nitratireducens	unique_taxid	0.004465175877590113
3	s__Gloeomargarita lithophora	0.0829	1188228	Gloeomargarita lithophora	unique_taxid	0.0027098322126809684
3	s__Gymnodinialimonas sp000013565	0.0098	290400	Jannaschia sp. CCS1	unique_taxid	0.00032034204685492753
3	s__Hahella chejuensis	0.0537	158327	Hahella chejuensis	unique_taxid	0.0017553436649091437
3	s__Haloarcula hispanica	0.0049	51589	Haloarcula hispanica	unique_taxid	0.00016017102342746377
3	s__Halobacteriovorax marinus	0.0293	97084	Halobacteriovorax marinus	unique_gtdb_binomial	0.0009577573441683037
3	s__Halodesulfurarchaeum formicicum	0.0146	1873524	haloarchaeon HSR6	unique_taxid	0.00047724427388591247
3	s__Haloferax mediterranei	0.0195	2252	Haloferax mediterranei	unique_taxid	0.0006374152973133762
3	s__Halogeometricum borinquense	0.0049	60847	Halogeometricum borinquense	unique_taxid	0.00016017102342746377
3	s__Halolamina sediminis	0.0049	1480675	Halolamina sediminis	unique_taxid	0.00016017102342746377
3	s__Halomonas aestuarii	0.122	1897729	Halomonas aestuarii	unique_taxid	0.0039879316037042
3	s__Halomonas elongata	0.0026	2746	Halomonas elongata	unique_gtdb_binomial	8.498870630845016e-05
3	s__Halopseudomonas litoralis	0.0146	797277	Pseudomonas litoralis	unique_taxid	0.00047724427388591247
3	s__Haloquadratum walsbyi	0.039	293091	Haloquadratum walsbyi	unique_gtdb_binomial	0.0012748305946267524
3	s__Halorhabdus tiamatea	0.039	430914	Halorhabdus tiamatea	unique_taxid	0.0012748305946267524
3	s__Hel1-33-131 sp001735745	0.001	1336794	Formosa sp. Hel1_33_131	strict_source_name_or_assembly_sources_unique	3.2687963964788526e-05
3	s__Helicobacter cetorum	0.0098	138563	Helicobacter cetorum	unique_gtdb_binomial	0.00032034204685492753
3	s__Helicobacter_G enhydrae	0.0195	222136	Helicobacter sp. MIT 01-6242	unique_taxid	0.0006374152973133762
3	s__Henriciella sp001854405	0.0146	1906738	Hyphomonas sp. Mor2	unique_taxid	0.00047724427388591247
3	s__Hippea maritima	0.0049	84405	Hippea maritima	unique_taxid	0.00016017102342746377
3	s__Hirschia baltica	0.0072	2724	Hirschia baltica	unique_taxid	0.00023535334054647735
3	s__Hoeflea sp001011155	0.0244	1620421	Hoeflea sp. IMCC20628	unique_taxid	0.00079758632074084
3	s__Hungateiclostridium thermocellum	0.0244	1515	Ruminiclostridium thermocellum	unique_taxid	0.00079758632074084
3	s__Hydrogenophaga crassostreae	0.0878	1763535	Hydrogenophaga sp. LPB0072	unique_taxid	0.0028700032361084326
3	s__Hydrogenovibrio crunogenus	0.0195	39765	Thiomicrospira crunogena	unique_taxid	0.0006374152973133762
3	s__Hyperthermus butylicus	2.103	54248	Hyperthermus butylicus	unique_taxid	0.06874278821795027
3	s__Hyphomicrobium_C nitrativorans	0.1317	1427356	Hyphomicrobium nitrativorans	unique_taxid	0.004305004854162649
3	s__Hyphomonas neptunia	0.161	81032	Hyphomonas neptunium	unique_taxid	0.005262762198330952
3	s__IMCC9063 sp000195085	0.0002	1002672	Candidatus Pelagibacter sp. IMCC9063	unique_taxid	6.537592792957705e-06
3	s__Idiomarina loihiensis	0.0049	135577	Idiomarina loihiensis	unique_gtdb_binomial	0.00016017102342746377
3	s__Ignicoccus hospitalis	0.0049	160233	Ignicoccus hospitalis	unique_taxid	0.00016017102342746377
3	s__Ignicoccus islandicus	0.0098	54259	Ignicoccus islandicus	unique_taxid	0.00032034204685492753
3	s__Ilumatobacter_A coccineus	0.2049	467094	Ilumatobacter coccineus	strict_source_name_or_assembly_sources_unique	0.0066977638163851685
3	s__Ilyobacter polytropus	0.0342	167642	Ilyobacter polytropus	unique_gtdb_binomial	0.0011179283675957676
3	s__Isoalcanivorax pacificus	0.0098	1306787	Alcanivorax pacificus	unique_taxid	0.00032034204685492753
3	s__JBDGSM01 sp001761425	0.039	1737403	Nanohaloarchaea archaeon SG9	unique_taxid	0.0012748305946267524
3	s__Kangiella geojedonensis	0.0244	914150	Kangiella geojedonensis	unique_taxid	0.00079758632074084
3	s__Kangiella koreensis	0.0098	261964	Kangiella koreensis	unique_taxid	0.00032034204685492753
3	s__Kangiella sediminilitoris	0.0049	1144748	Kangiella sediminilitoris	unique_taxid	0.00016017102342746377
3	s__Kosmotoga olearia	0.0195	651457	Kosmotoga olearia	unique_taxid	0.0006374152973133762
3	s__Kytococcus sedentarius	0.0049	1276	Kytococcus sedentarius	unique_gtdb_binomial	0.00016017102342746377
3	s__Lacimicrobium alkaliphilum	0.0098	1526571	Lacimicrobium alkaliphilum	unique_gtdb_binomial	0.00032034204685492753
3	s__Lacinutrix sp000211855	0.3562	983544	Lacinutrix sp. 5H-3-7-4	unique_taxid	0.011643452764257673
3	s__Lactococcus garvieae	0.0293	1363	Lactococcus garvieae	unique_gtdb_binomial	0.0009577573441683037
3	s__Leisingera methylohalidivorans	0.039	133924	Leisingera methylohalidivorans	unique_taxid	0.0012748305946267524
3	s__Leuconostoc lactis	0.0195	1246	Leuconostoc lactis	unique_gtdb_binomial	0.0006374152973133762
3	s__Luteimonas sp001717465	0.0244	1896164	Luteimonas sp. JM171	unique_taxid	0.00079758632074084
3	s__MONJU sp000801295	0.0146	1248727	endosymbiont of unidentified scaly snail isolate Monju	unique_taxid	0.00047724427388591247
3	s__MTP4 sp000970045	0.0586	1434100	Methanosarcina sp. MTP4	unique_taxid	0.0019155146883366074
3	s__Magnetococcus marinus	0.0683	1124597	Magnetococcus marinus	unique_taxid	0.0022325879387950563
3	s__Magnetospira sp000968135	0.1947	1288970	Magnetospira sp. QH-2	unique_taxid	0.006364346583944326
3	s__Maribacter dokdonensis	0.0244	1644130	Maribacter sp. 1_2014MBL_MicDiv	unique_taxid	0.00079758632074084
3	s__Maribacter_A sp000153165	0.0049	313603	Maribacter sp. HTCC2170	unique_taxid	0.00016017102342746377
3	s__Maricaulis maris	0.0075	74318	Maricaulis maris	unique_gtdb_binomial	0.0002451597297359139
3	s__Maridesulfovibrio hydrothermalis	0.122	191026	Desulfovibrio hydrothermalis	unique_taxid	0.0039879316037042
3	s__Marinithermus hydrothermalis	0.0537	186192	Marinithermus hydrothermalis	unique_taxid	0.0017553436649091437
3	s__Marinitoga piezophila	0.0098	149715	Marinitoga piezophila	unique_taxid	0.00032034204685492753
3	s__Marinobacter nauticus	0.0298	2743	Marinobacter hydrocarbonoclasticus	strict_source_name_or_assembly_sources_unique	0.000974101326150698
3	s__Marinobacter psychrophilus	0.0195	490759	Marinobacter sp. BSs20148	unique_taxid	0.0006374152973133762
3	s__Marinobacter salinus	0.0108	1874317	Marinobacter salinus	unique_taxid	0.00035303001081971605
3	s__Marinobacter similis	0.0244	1420916	Marinobacter similis	unique_taxid	0.00079758632074084
3	s__Marinobacterium_A aestuarii	0.023	1821621	Marinobacterium sp. ST58-10	unique_taxid	0.0007518231711901361
3	s__Marinomonas mediterranea	0.0976	119864	Marinomonas mediterranea	unique_taxid	0.00319034528296336
3	s__Marinomonas posidonica	0.2488	936476	Marinomonas posidonica	unique_gtdb_binomial	0.008132765434439384
3	s__Marinovum algicola	0.0042	42444	Marinovum algicola	unique_taxid	0.0001372894486521118
3	s__Marivirga tractuosa	0.1171	1006	Marivirga tractuosa	unique_gtdb_binomial	0.003827760580276736
3	s__Marivivens geojensis	0.0012	1920883	Donghicola sp. JLT3646	unique_taxid	3.922555675774623e-05
3	s__Metabacillus weihaiensis	0.0098	1547283	Bacillus weihaiensis	unique_taxid	0.00032034204685492753
3	s__Methanocaldococcus bathoardescens	0.0098	1301915	Methanocaldococcus bathoardescens	unique_taxid	0.00032034204685492753
3	s__Methanocaldococcus jannaschii	0.0244	2190	Methanocaldococcus jannaschii	unique_taxid	0.00079758632074084
3	s__Methanocaldococcus vulcanius	0.0683	73913	Methanocaldococcus vulcanius	unique_taxid	0.0022325879387950563
3	s__Methanococcoides methylutens	0.0098	2226	Methanococcoides methylutens	unique_gtdb_binomial	0.00032034204685492753
3	s__Methanococcus maripaludis	0.0244	39152	Methanococcus maripaludis	unique_gtdb_binomial	0.00079758632074084
3	s__Methanococcus voltae	0.0098	2188	Methanococcus voltae	unique_gtdb_binomial	0.00032034204685492753
3	s__Methanohalophilus halophilus	0.0244	2177	Methanohalophilus halophilus	unique_taxid	0.00079758632074084
3	s__Methanosarcina siciliae	0.1464	38027	Methanosarcina siciliae	unique_taxid	0.00478551792444504
3	s__Methanosarcina sp000969965	0.0049	1434102	Methanosarcina sp. WH1	unique_taxid	0.00016017102342746377
3	s__Methanotorris igneus	0.0098	2189	Methanotorris igneus	unique_taxid	0.00032034204685492753
3	s__Methyloceanibacter caenitepidi	0.1903	1384459	Methyloceanibacter caenitepidi	unique_taxid	0.006220519542499256
3	s__Methylomonas methanica	0.244	421	Methylomonas methanica	unique_gtdb_binomial	0.0079758632074084
3	s__Methylophaga nitratireducenticrescens	0.0195	754476	Methylophaga nitratireducenticrescens	unique_taxid	0.0006374152973133762
3	s__Micrococcus luteus	0.0293	1270	Micrococcus luteus	unique_gtdb_binomial	0.0009577573441683037
3	s__Micromonospora arenicola	0.0222	168697	Salinispora arenicola	unique_taxid	0.0007256728000183053
3	s__Micromonospora gifhornensis	0.0236	1003110	Verrucosispora maris	unique_taxid	0.0007714359495690091
3	s__Micromonospora krabiensis	0.0071	307121	Micromonospora krabiensis	unique_taxid	0.00023208454414999852
3	s__Micromonospora tropica	0.0593	168695	Salinispora tropica	unique_taxid	0.0019383962631119593
3	s__Moritella marina	0.0075	90736	Moritella marina	unique_taxid	0.0002451597297359139
3	s__Moritella viscosa	0.2707	80854	Moritella viscosa	unique_taxid	0.008848631845268254
3	s__Mycobacterium rhodesiae	0.0049	36814	Mycobacterium rhodesiae	unique_gtdb_binomial	0.00016017102342746377
3	s__Myxococcus fulvus	0.0146	33	Myxococcus fulvus	unique_taxid	0.00047724427388591247
3	s__Nanoarchaeum equitans	0.1025	160232	Nanoarchaeum equitans	unique_taxid	0.0033505163063908233
3	s__Nautilia profundicola	0.0195	244787	Nautilia profundicola	unique_taxid	0.0006374152973133762
3	s__Nitratifractor salsuginis	0.0146	269261	Nitratifractor salsuginis	unique_taxid	0.00047724427388591247
3	s__Nitratiruptor sp000010325	0.0146	387092	Nitratiruptor sp. SB155-2	unique_taxid	0.00047724427388591247
3	s__Nitrosarchaeum limnae	0.0244	1007084	Candidatus Nitrosoarchaeum limnia	unique_taxid	0.00079758632074084
3	s__Nitrosococcus halophilus	1.9078	133539	Nitrosococcus halophilus	unique_taxid	0.062362097652023545
3	s__Nitrosococcus oceani	0.444	1229	Nitrosococcus oceani	unique_taxid	0.014513456000366104
3	s__Nitrosopelagicus brevis	0.0829	1410606	Candidatus Nitrosopelagicus brevis	unique_taxid	0.0027098322126809684
3	s__Nitrosopumilus koreensis	0.0098	1510466	Candidatus Nitrosopumilus koreensis	unique_taxid	0.00032034204685492753
3	s__Nitrosopumilus maritimus	0.0049	338192	Nitrosopumilus maritimus	unique_taxid	0.00016017102342746377
3	s__Nitrosopumilus piranensis	0.0244	1582439	Candidatus Nitrosopumilus piranensis	unique_taxid	0.00079758632074084
3	s__Nitrosopumilus sediminis	0.122	1229909	Candidatus Nitrosopumilus sediminis	unique_taxid	0.0039879316037042
3	s__Nodularia spumigena	0.0195	70799	Nodularia spumigena	unique_taxid	0.0006374152973133762
3	s__Nonlabens dokdonensis	0.0342	328515	Nonlabens dokdonensis	unique_gtdb_binomial	0.0011179283675957676
3	s__Nonlabens marinus	0.0049	930802	Nonlabens marinus	unique_taxid	0.00016017102342746377
3	s__Nonlabens sp900101765	0.0439	1336802	Nonlabens sp. Hel1_33_55	unique_taxid	0.0014350016180542163
3	s__Novosphingobium pentaromativorans	0.0439	205844	Novosphingobium pentaromativorans	unique_gtdb_binomial	0.0014350016180542163
3	s__Novosphingobium sp000253255	0.0927	702113	Novosphingobium sp. PP1Y	unique_taxid	0.0030301742595358963
3	s__Oceanithermus profundus	0.0146	187137	Oceanithermus profundus	unique_gtdb_binomial	0.00047724427388591247
3	s__Oceanobacillus iheyensis	0.0049	182710	Oceanobacillus iheyensis	unique_gtdb_binomial	0.00016017102342746377
3	s__Octadecabacter antarcticus	0.0683	1217908	Octadecabacter antarcticus	unique_taxid	0.0022325879387950563
3	s__Octadecabacter arcticus	0.0195	53946	Octadecabacter arcticus	unique_taxid	0.0006374152973133762
3	s__Octadecabacter temperatus	0.0293	1458307	Octadecabacter temperatus	unique_taxid	0.0009577573441683037
3	s__Oleispira antarctica	0.0049	188908	Oleispira antarctica	unique_taxid	0.00016017102342746377
3	s__Ornithinicoccus hydrothermalis	0.0293	1758689	Serinicoccus sp. JLT9	unique_taxid	0.0009577573441683037
3	s__Oscillibacter valericigenes	0.1415	351091	Oscillibacter valericigenes	unique_gtdb_binomial	0.0046253469010175755
3	s__Owenweeksia hongkongensis	0.0049	253245	Owenweeksia hongkongensis	unique_gtdb_binomial	0.00016017102342746377
3	s__Paenibacillus_AQ crassostreae	0.0293	1763538	Paenibacillus sp. LPB0068	unique_taxid	0.0009577573441683037
3	s__Palaeococcus pacificus	0.5367	971279	Palaeococcus pacificus	unique_taxid	0.017543630259902
3	s__Paraglaciecola chathamensis	0.0488	983545	Glaciecola sp. 4H-3-7+YE-5	unique_taxid	0.00159517264148168
3	s__Paraglaciecola psychrophila	0.0229	326544	Paraglaciecola psychrophila	unique_gtdb_binomial	0.0007485543747936572
3	s__Paraoerskovia marina	0.0683	545619	Paraoerskovia marina	unique_taxid	0.0022325879387950563
3	s__Parasynechococcus sp000012505	0.0683	316279	Synechococcus sp. CC9902	strict_source_name_or_assembly_sources_unique	0.0022325879387950563
3	s__Parasynechococcus sp000161795	0.0049	166314	Synechococcus sp. WH 8109	unique_taxid	0.00016017102342746377
3	s__Parasynechococcus sp000737535	0.0098	1280380	Synechococcus sp. KORDI-100	unique_taxid	0.00032034204685492753
3	s__Parasynechococcus sp000737595	0.039	585425	Synechococcus sp. KORDI-52	unique_taxid	0.0012748305946267524
3	s__Paraurantiacibacter namhicola	0.0293	645517	Altererythrobacter namhicola	unique_taxid	0.0009577573441683037
3	s__Parvularcula bermudensis	0.0439	208216	Parvularcula bermudensis	unique_taxid	0.0014350016180542163
3	s__Pelagerythrobacter marensis	0.0342	543877	Altererythrobacter marensis	strict_source_name_or_assembly_sources_unique	0.0011179283675957676
3	s__Pelagibacter sp000299095	0.039	859653	alpha proteobacterium HIMB5	unique_taxid	0.0012748305946267524
3	s__Pelagibacter ubiqueversans	0.0047	198252	Candidatus Pelagibacter ubique	strict_source_name_or_assembly_sources_unique	0.00015363343063450608
3	s__Pelagibacterium halotolerans	0.0244	531813	Pelagibacterium halotolerans	unique_gtdb_binomial	0.00079758632074084
3	s__Persephonella marina	0.0342	309805	Persephonella marina	unique_taxid	0.0011179283675957676
3	s__Phaeobacter gallaeciensis	0.1153	60890	Phaeobacter gallaeciensis	unique_gtdb_binomial	0.0037689222451401166
3	s__Phaeobacter inhibens	0.0293	221822	Phaeobacter inhibens	unique_taxid	0.0009577573441683037
3	s__Photobacterium gaetbulicola	0.039	1295392	Photobacterium gaetbulicola	unique_taxid	0.0012748305946267524
3	s__Photobacterium phosphoreum	0.0195	659	Photobacterium phosphoreum	unique_taxid	0.0006374152973133762
3	s__Photobacterium profundum	0.0049	74109	Photobacterium profundum	unique_gtdb_binomial	0.00016017102342746377
3	s__Phycisphaera mikurensis	0.0342	547188	Phycisphaera mikurensis	unique_gtdb_binomial	0.0011179283675957676
3	s__Piscirickettsia salmonis	0.2098	1238	Piscirickettsia salmonis	unique_gtdb_binomial	0.006857934839812632
3	s__Planktomarina temperata	0.0067	1284658	Planktomarina temperata	unique_taxid	0.00021900935856408312
3	s__Planococcus antarcticus	0.0098	161360	Planococcus antarcticus	unique_taxid	0.00032034204685492753
3	s__Planococcus donghaensis	0.0098	414778	Planococcus donghaensis	unique_gtdb_binomial	0.00032034204685492753
3	s__Planococcus kocurii	0.0098	1374	Planococcus kocurii	unique_taxid	0.00032034204685492753
3	s__Polaribacter todarodis	0.0586	1850252	Tenacibaculum sp. LPB0136	unique_taxid	0.0019155146883366074
3	s__Polaribacter vadi	0.0342	1774273	Polaribacter vadi	unique_gtdb_binomial	0.0011179283675957676
3	s__Prochlorococcus_A sp000757845	0.0098	1501268	Prochlorococcus sp. MIT 0604	unique_taxid	0.00032034204685492753
3	s__Prochlorococcus_B sp000757865	0.0098	1501269	Prochlorococcus sp. MIT 0801	unique_taxid	0.00032034204685492753
3	s__Prosthecochloris vibrioformis	0.0195	1868325	Prosthecochloris sp. CIB 2401	unique_taxid	0.0006374152973133762
3	s__Pseudalgibacter alginicilyticus	0.1854	1736674	Algibacter alginolytica	unique_taxid	0.006060348519071793
