profile	raw_best	out	panel	sample	input_rows	added_rows	output_rows	called_species_before
/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin13_20260627/minco_sample13_current_default.tsv	/tmp/minco_hmp_raw_candidate_cache/hmp_airskin_gtdb_source_abundance.sample13.best_raw_rows.tsv	/tmp/minco_raw_side_candidate_surface_hmp_20260629/hmp_airskin_gtdb_source_abundance.sample13.raw_side_rescue.tsv	hmp_airskin_gtdb_source_abundance	13	40	0	40	40
/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin14_20260627/minco_sample14_current_default.tsv	/tmp/minco_hmp_raw_candidate_cache/hmp_airskin_gtdb_source_abundance.sample14.best_raw_rows.tsv	/tmp/minco_raw_side_candidate_surface_hmp_20260629/hmp_airskin_gtdb_source_abundance.sample14.raw_side_rescue.tsv	hmp_airskin_gtdb_source_abundance	14	30	2	32	30
/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin15_20260627/minco_sample15_current_default.tsv	/tmp/minco_hmp_raw_candidate_cache/hmp_airskin_gtdb_source_abundance.sample15.best_raw_rows.tsv	/tmp/minco_raw_side_candidate_surface_hmp_20260629/hmp_airskin_gtdb_source_abundance.sample15.raw_side_rescue.tsv	hmp_airskin_gtdb_source_abundance	15	22	2	24	22
/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin16_20260627/minco_sample16_current_default.tsv	/tmp/minco_hmp_raw_candidate_cache/hmp_airskin_gtdb_source_abundance.sample16.best_raw_rows.tsv	/tmp/minco_raw_side_candidate_surface_hmp_20260629/hmp_airskin_gtdb_source_abundance.sample16.raw_side_rescue.tsv	hmp_airskin_gtdb_source_abundance	16	10	0	10	10
/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin17_20260627/minco_sample17_current_default.tsv	/tmp/minco_hmp_raw_candidate_cache/hmp_airskin_gtdb_source_abundance.sample17.best_raw_rows.tsv	/tmp/minco_raw_side_candidate_surface_hmp_20260629/hmp_airskin_gtdb_source_abundance.sample17.raw_side_rescue.tsv	hmp_airskin_gtdb_source_abundance	17	73	0	73	73
/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin18_20260627/minco_sample18_current_default.tsv	/tmp/minco_hmp_raw_candidate_cache/hmp_airskin_gtdb_source_abundance.sample18.best_raw_rows.tsv	/tmp/minco_raw_side_candidate_surface_hmp_20260629/hmp_airskin_gtdb_source_abundance.sample18.raw_side_rescue.tsv	hmp_airskin_gtdb_source_abundance	18	26	1	27	26
/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin19_20260627/minco_sample19_current_default.tsv	/tmp/minco_hmp_raw_candidate_cache/hmp_airskin_gtdb_source_abundance.sample19.best_raw_rows.tsv	/tmp/minco_raw_side_candidate_surface_hmp_20260629/hmp_airskin_gtdb_source_abundance.sample19.raw_side_rescue.tsv	hmp_airskin_gtdb_source_abundance	19	147	4	151	147
/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin20_20260627/minco_sample20_current_default.tsv	/tmp/minco_hmp_raw_candidate_cache/hmp_airskin_gtdb_source_abundance.sample20.best_raw_rows.tsv	/tmp/minco_raw_side_candidate_surface_hmp_20260629/hmp_airskin_gtdb_source_abundance.sample20.raw_side_rescue.tsv	hmp_airskin_gtdb_source_abundance	20	106	0	106	106
/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin21_20260627/minco_sample21_current_default.tsv	/tmp/minco_hmp_raw_candidate_cache/hmp_airskin_gtdb_source_abundance.sample21.best_raw_rows.tsv	/tmp/minco_raw_side_candidate_surface_hmp_20260629/hmp_airskin_gtdb_source_abundance.sample21.raw_side_rescue.tsv	hmp_airskin_gtdb_source_abundance	21	41	0	41	41
/tmp/minco_current_code_hmp_airskin22_20260627/minco_sample22_current_default.tsv	/tmp/minco_hmp_raw_candidate_cache/hmp_airskin_gtdb_source_abundance.sample22.best_raw_rows.tsv	/tmp/minco_raw_side_candidate_surface_hmp_20260629/hmp_airskin_gtdb_source_abundance.sample22.raw_side_rescue.tsv	hmp_airskin_gtdb_source_abundance	22	38	0	38	38
/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin23_20260627/minco_sample23_current_default.tsv	/tmp/minco_hmp_raw_candidate_cache/hmp_airskin_gtdb_source_abundance.sample23.best_raw_rows.tsv	/tmp/minco_raw_side_candidate_surface_hmp_20260629/hmp_airskin_gtdb_source_abundance.sample23.raw_side_rescue.tsv	hmp_airskin_gtdb_source_abundance	23	36	0	36	36
/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin24_20260627/minco_sample24_current_default.tsv	/tmp/minco_hmp_raw_candidate_cache/hmp_airskin_gtdb_source_abundance.sample24.best_raw_rows.tsv	/tmp/minco_raw_side_candidate_surface_hmp_20260629/hmp_airskin_gtdb_source_abundance.sample24.raw_side_rescue.tsv	hmp_airskin_gtdb_source_abundance	24	26	1	27	26
/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin25_20260627/minco_sample25_current_default.tsv	/tmp/minco_hmp_raw_candidate_cache/hmp_airskin_gtdb_source_abundance.sample25.best_raw_rows.tsv	/tmp/minco_raw_side_candidate_surface_hmp_20260629/hmp_airskin_gtdb_source_abundance.sample25.raw_side_rescue.tsv	hmp_airskin_gtdb_source_abundance	25	76	1	77	76
/tmp/minco_current_code_hmp_airskin28_20260627/minco_sample28_current_default.tsv	/tmp/minco_hmp_raw_candidate_cache/hmp_airskin_gtdb_source_abundance.sample28.best_raw_rows.tsv	/tmp/minco_raw_side_candidate_surface_hmp_20260629/hmp_airskin_gtdb_source_abundance.sample28.raw_side_rescue.tsv	hmp_airskin_gtdb_source_abundance	28	30761	0	30761	15
/tmp/minco_current_code_hmp_gastrooral_20260627/minco_sample0_current_default.tsv	/tmp/minco_hmp_raw_candidate_cache/hmp_gastrooral_gtdb_source_abundance.sample0.best_raw_rows.tsv	/tmp/minco_raw_side_candidate_surface_hmp_20260629/hmp_gastrooral_gtdb_source_abundance.sample0.raw_side_rescue.tsv	hmp_gastrooral_gtdb_source_abundance	0	34	1	35	34
/tmp/minco_current_code_hmp_gastrooral_20260627/minco_sample6_current_default.tsv	/tmp/minco_hmp_raw_candidate_cache/hmp_gastrooral_gtdb_source_abundance.sample6.best_raw_rows.tsv	/tmp/minco_raw_side_candidate_surface_hmp_20260629/hmp_gastrooral_gtdb_source_abundance.sample6.raw_side_rescue.tsv	hmp_gastrooral_gtdb_source_abundance	6	51	1	52	51
