sample	otu	genome	abundance	candidate_source	taxid	map_source	gtdb_species
3	Otu755.0	1121272.PRJNA165369	39.0	filename_taxID	1121272	ncbi_taxid	s__Catelliglobosispora koreensis
3	Otu250.0	LjRoot184	31.0	camitax_taxID	46914	ncbi_species_taxid	s__Devosia riboflavina
3	Otu951.0	1120967.PRJNA185542	30.0	filename_taxID	1120967	ncbi_taxid	s__Algoriphagus terrigena
4	Otu7.0	1463864.PRJNA238534	4969.0	filename_taxID	1463864	ncbi_species_taxid	s__Streptomyces sp000719475
4	Otu2.0	1419583.PRJNA227201	2140.0	filename_taxID	1419583	ncbi_taxid	s__Aquipseudomonas fluorescens_W
4	Otu1.0	1214242.PRJNA171216	1085.0	filename_taxID	1214242	ncbi_taxid	s__Streptomyces collinus_A
4	Otu78.0	208439.PRJNA251529	538.0	filename_taxID	208439	ncbi_species_taxid	s__Amycolatopsis japonica
4	Otu45.0	323098.PRJNA13474	390.560547901	filename_taxID	323098	ncbi_taxid	s__Nitrobacter winogradskyi
4	Otu22.0	1107311.PRJNA221771	335.0	filename_taxID	1107311	ncbi_taxid	s__Flavobacterium enshiense
4	Otu988.0	448385.PRJNA28111	262.0	filename_taxID	448385	ncbi_taxid	s__Sorangium cellulosum_B
4	Otu75.0	219305.PRJNA33595	246.0	filename_taxID	219305	ncbi_species_taxid	s__Micromonospora sp000158815
4	Otu96.0	3934_C	162.0	camitax_taxID	1736576	ncbi_species_taxid	s__Pseudoxanthomonas_A sp001427635
4	Otu14.0	3934_CK	132.0	camitax_taxID	1144338	ncbi_species_taxid	s__Aquipseudomonas sp000282495
4	Otu761.0	498211.PRJNA28329	115.0	filename_taxID	498211	ncbi_taxid	s__Cellvibrio japonicus
4	Otu883.0	253839.PRJNA33601	108.0	filename_taxID	253839	ncbi_species_taxid	s__Streptomyces racemochromogenes
4	Otu209.0	743713.PRJNA68653	99.0	filename_taxID	743713	ncbi_taxid	s__Aquipseudomonas fluorescens_H
4	LjRoot109	LjRoot109	83.33224938690194	camitax_taxID	358220	ncbi_species_taxid	s__Acidovorax sp000302535
4	Otu59.0	LjRoot40	78.0	camitax_taxID	1736315	ncbi_species_taxid	s__Pseudorhodoferax sp001422365
4	LjRoot84	LjRoot84	52.88221277674112	camitax_taxID	1882774	ncbi_species_taxid	s__Variovorax sp900101545
4	Otu755.0	1121272.PRJNA165369	47.0	filename_taxID	1121272	ncbi_taxid	s__Catelliglobosispora koreensis
4	LjRoot181	LjRoot181	42.32933611247329	camitax_taxID	358220	ncbi_species_taxid	s__Acidovorax sp000302535
4	Otu118.0	LjRoot3	30.0	camitax_taxID	46914	ncbi_species_taxid	s__Devosia riboflavina
4	Otu31.0	658612.PRJNA261945	28.0	filename_taxID	658612	ncbi_species_taxid	s__Aquipseudomonas capeferrum
5	Otu2.0	1419583.PRJNA227201	2262.0	filename_taxID	1419583	ncbi_taxid	s__Aquipseudomonas fluorescens_W
5	Otu1.0	1214242.PRJNA171216	623.0	filename_taxID	1214242	ncbi_taxid	s__Streptomyces collinus_A
5	Otu7.0	1463864.PRJNA238534	325.0	filename_taxID	1463864	ncbi_species_taxid	s__Streptomyces sp000719475
5	Otu22.0	1107311.PRJNA221771	151.0	filename_taxID	1107311	ncbi_taxid	s__Flavobacterium enshiense
5	Otu45.0	323098.PRJNA13474	79.2174696214	filename_taxID	323098	ncbi_taxid	s__Nitrobacter winogradskyi
5	Otu988.0	448385.PRJNA28111	62.0	filename_taxID	448385	ncbi_taxid	s__Sorangium cellulosum_B
5	Otu951.0	1120967.PRJNA185542	50.0	filename_taxID	1120967	ncbi_taxid	s__Algoriphagus terrigena
5	Otu761.0	498211.PRJNA28329	48.0	filename_taxID	498211	ncbi_taxid	s__Cellvibrio japonicus
5	Otu209.0	743713.PRJNA68653	41.0	filename_taxID	743713	ncbi_taxid	s__Aquipseudomonas fluorescens_H
5	Otu755.0	1121272.PRJNA165369	40.0	filename_taxID	1121272	ncbi_taxid	s__Catelliglobosispora koreensis
5	Otu883.0	253839.PRJNA33601	40.0	filename_taxID	253839	ncbi_species_taxid	s__Streptomyces racemochromogenes
5	Otu63.0	LjRoot149	33.0	camitax_taxID	1144313	ncbi_species_taxid	s__Flavobacterium sp000282055
5	LjRoot109	LjRoot109	26.06792704499319	camitax_taxID	358220	ncbi_species_taxid	s__Acidovorax sp000302535
5	Otu14.0	3934_CK	25.0	camitax_taxID	1144338	ncbi_species_taxid	s__Aquipseudomonas sp000282495
5	Otu75.0	219305.PRJNA33595	19.0	filename_taxID	219305	ncbi_species_taxid	s__Micromonospora sp000158815
5	LjRoot84	LjRoot84	16.542571150834313	camitax_taxID	1882774	ncbi_species_taxid	s__Variovorax sp900101545
5	LjRoot187	LjRoot187	12.79790353132607	camitax_taxID	358220	ncbi_species_taxid	s__Acidovorax sp000302535
5	Otu118.0	LjRoot3	10.0	camitax_taxID	46914	ncbi_species_taxid	s__Devosia riboflavina
5	LjRoot130	LjRoot130	8.994913737820381	camitax_taxID	1882774	ncbi_species_taxid	s__Variovorax sp900101545
5	Otu96.0	3934_C	8.0	camitax_taxID	1736576	ncbi_species_taxid	s__Pseudoxanthomonas_A sp001427635
