sample	sample_label	source_genomes_positive	source_genomes_mapped	truth_gtdb_species	truth_mass_total	truth_mass_mapped	truth_mass_mapped_pct	truth_mass_exact_accession	truth_mass_unique_assembly_core	truth_mass_ambiguous_assembly_core	truth_mass_unmapped	release_truth_quality	has_current_minco_inputs	has_same_release_outputs	can_profile_without_download	can_restore_from_bam_archive	local_fastq	local_bam_list	minco_unique_cached	minco_split_cached	minco_current_exact_profile	sylph_r226_profile	sylph_r232_profile	sylph_sketch
3	airskin_sample3	82	81	47	460.9999999999811	459.9999999999811	99.78308026030368	459.9999999999811	0.0	0.0	1.0	True	True	True	False	True		/mnt/new3T/minco_release_holdouts_20260628/cami2_hmp_unseen_transfer_20260626/nonzero_bam_paths_sample3.txt	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin3_20260627/work/minco.best_diff_unique.unfiltered.tsv	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin3_20260627/work/minco.best_diff_split.unfiltered.tsv	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin3_20260627/minco_sample3_current_default.tsv		/mnt/new3T/minco_release_holdouts_20260628/cami2_hmp_unseen_transfer_20260626/run_sylph_r232/sylph_sample3/profile.tsv	/mnt/new3T/minco_release_holdouts_20260628/cami2_hmp_unseen_transfer_20260626/run_sylph_r232/sylph_sample3/airskinurogenital_sample3.nonzero.fastq.gz.sylsp
1	airskin_sample1	90	89	51	460.00000000001455	459.00000000001455	99.78260869565219	455.12825800437054	3.8717419956440002	0.0	1.0	True	True	True	False	True		/mnt/new3T/minco_release_holdouts_20260628/cami2_hmp_unseen_transfer_20260626/nonzero_bam_paths_sample1.txt	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin1_20260627/work/minco.best_diff_unique.unfiltered.tsv	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin1_20260627/work/minco.best_diff_split.unfiltered.tsv	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin1_20260627/minco_sample1_current_default.tsv		/mnt/new3T/minco_release_holdouts_20260628/cami2_hmp_unseen_transfer_20260626/run_sylph_r232/sylph_sample1/profile.tsv	/mnt/new3T/minco_release_holdouts_20260628/cami2_hmp_unseen_transfer_20260626/run_sylph_r232/sylph_sample1/airskinurogenital_sample1.nonzero.fastq.gz.sylsp
17	airskin_sample17	89	88	46	323.0000000000159	322.0000000000159	99.6904024767802	322.0000000000159	0.0	0.0	1.0	True	True	True	False	True		/mnt/new3T/minco_release_holdouts_20260628/cami2_hmp_unseen_transfer_20260626/nonzero_bam_paths_sample17.txt	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin17_20260627/work/minco.best_diff_unique.unfiltered.tsv	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin17_20260627/work/minco.best_diff_split.unfiltered.tsv	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin17_20260627/minco_sample17_current_default.tsv		/mnt/new3T/minco_release_holdouts_20260628/cami2_hmp_unseen_transfer_20260626/run_sylph_r232/sylph_sample17/profile.tsv	/mnt/new3T/minco_release_holdouts_20260628/cami2_hmp_unseen_transfer_20260626/run_sylph_r232/sylph_sample17/airskinurogenital_sample17.nonzero.fastq.gz.sylsp
24	airskin_sample24	50	49	29	271.00000000003547	270.00000000003547	99.63099630996315	270.00000000003547	0.0	0.0	1.0	True	True	True	False	True		/mnt/new3T/minco_release_holdouts_20260628/cami2_hmp_unseen_transfer_20260626/nonzero_bam_paths_sample24.txt	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin24_20260627/work/minco.best_diff_unique.unfiltered.tsv	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin24_20260627/work/minco.best_diff_split.unfiltered.tsv	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin24_20260627/minco_sample24_current_default.tsv		/mnt/new3T/minco_release_holdouts_20260628/cami2_hmp_unseen_transfer_20260626/run_sylph_r232/sylph_sample24/profile.tsv	/mnt/new3T/minco_release_holdouts_20260628/cami2_hmp_unseen_transfer_20260626/run_sylph_r232/sylph_sample24/airskinurogenital_sample24.nonzero.fastq.gz.sylsp
16	airskin_sample16	41	40	10	100.9999999999976	100.3955868302736	99.40157111908515	98.5238448346296	1.871741995644	0.0	0.604413169724	True	True	True	False	True		/mnt/new3T/minco_release_holdouts_20260628/cami2_hmp_unseen_transfer_20260626/nonzero_bam_paths_sample16.txt	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin16_20260627/work/minco.best_diff_unique.unfiltered.tsv	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin16_20260627/work/minco.best_diff_split.unfiltered.tsv	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin16_20260627/minco_sample16_current_default.tsv		/mnt/new3T/minco_release_holdouts_20260628/cami2_hmp_unseen_transfer_20260626/run_sylph_r232/sylph_sample16/profile.tsv	/mnt/new3T/minco_release_holdouts_20260628/cami2_hmp_unseen_transfer_20260626/run_sylph_r232/sylph_sample16/airskinurogenital_sample16.nonzero.fastq.gz.sylsp
15	airskin_sample15	72	68	24	366.9999999999788	363.8793449707738	99.14968527814572	363.00760297512977	0.871741995644	0.0	3.1206550292050004	True	True	True	False	True		/mnt/new3T/minco_release_holdouts_20260628/cami2_hmp_unseen_transfer_20260626/nonzero_bam_paths_sample15.txt	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin15_20260627/work/minco.best_diff_unique.unfiltered.tsv	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin15_20260627/work/minco.best_diff_split.unfiltered.tsv	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin15_20260627/minco_sample15_current_default.tsv		/mnt/new3T/minco_release_holdouts_20260628/cami2_hmp_unseen_transfer_20260626/run_sylph_r232/sylph_sample15/profile.tsv	/mnt/new3T/minco_release_holdouts_20260628/cami2_hmp_unseen_transfer_20260626/run_sylph_r232/sylph_sample15/airskinurogenital_sample15.nonzero.fastq.gz.sylsp
4	airskin_sample4	255	247	106	1236.0000000001714	1225.1398480615114	99.12134693052926	1224.2681060658674	0.871741995644	0.0	10.86015193866	True	True	True	False	True		/mnt/new3T/minco_release_holdouts_20260628/cami2_hmp_unseen_transfer_20260626/nonzero_bam_paths_sample4.txt	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin4_20260627/work/minco.best_diff_unique.unfiltered.tsv	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin4_20260627/work/minco.best_diff_split.unfiltered.tsv	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin4_20260627/minco_sample4_current_default.tsv		/mnt/new3T/minco_release_holdouts_20260628/cami2_hmp_unseen_transfer_20260626/run_sylph_r232/sylph_sample4/profile.tsv	/mnt/new3T/minco_release_holdouts_20260628/cami2_hmp_unseen_transfer_20260626/run_sylph_r232/sylph_sample4/airskinurogenital_sample4.nonzero.fastq.gz.sylsp
23	airskin_sample23	98	95	33	1254.0000000000052	1241.6449662408602	99.01475009895175	1235.7732242452162	5.871741995644	0.0	12.355033759145	True	True	True	False	True		/mnt/new3T/minco_release_holdouts_20260628/cami2_hmp_unseen_transfer_20260626/nonzero_bam_paths_sample23.txt	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin23_20260627/work/minco.best_diff_unique.unfiltered.tsv	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin23_20260627/work/minco.best_diff_split.unfiltered.tsv	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin23_20260627/minco_sample23_current_default.tsv		/mnt/new3T/minco_release_holdouts_20260628/cami2_hmp_unseen_transfer_20260626/run_sylph_r232/sylph_sample23/profile.tsv	/mnt/new3T/minco_release_holdouts_20260628/cami2_hmp_unseen_transfer_20260626/run_sylph_r232/sylph_sample23/airskinurogenital_sample23.nonzero.fastq.gz.sylsp
20	airskin_sample20	163	156	79	668.9999999999487	660.0536829604617	98.66273287900034	659.0536829604617	1.0	0.0	8.946317039486999	True	True	True	False	True		/mnt/new3T/minco_release_holdouts_20260628/cami2_hmp_unseen_transfer_20260626/nonzero_bam_paths_sample20.txt	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin20_20260627/work/minco.best_diff_unique.unfiltered.tsv	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin20_20260627/work/minco.best_diff_split.unfiltered.tsv	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin20_20260627/minco_sample20_current_default.tsv		/mnt/new3T/minco_release_holdouts_20260628/cami2_hmp_unseen_transfer_20260626/run_sylph_r232/sylph_sample20/profile.tsv	/mnt/new3T/minco_release_holdouts_20260628/cami2_hmp_unseen_transfer_20260626/run_sylph_r232/sylph_sample20/airskinurogenital_sample20.nonzero.fastq.gz.sylsp
7	airskin_sample7	186	176	75	992.9999999996244	979.2645528458467	98.61677269347604	978.3928108502026	0.871741995644	0.0	13.7354471537778	True	True	True	False	True		/mnt/new3T/minco_release_holdouts_20260628/cami2_hmp_unseen_transfer_20260626/nonzero_bam_paths_sample7.txt	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin7_20260627/work/minco.best_diff_unique.unfiltered.tsv	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin7_20260627/work/minco.best_diff_split.unfiltered.tsv	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin7_20260627/minco_sample7_current_default.tsv		/mnt/new3T/minco_release_holdouts_20260628/cami2_hmp_unseen_transfer_20260626/run_sylph_r232/sylph_sample7/profile.tsv	/mnt/new3T/minco_release_holdouts_20260628/cami2_hmp_unseen_transfer_20260626/run_sylph_r232/sylph_sample7/airskinurogenital_sample7.nonzero.fastq.gz.sylsp
14	airskin_sample14	58	56	28	139.0000000000051	137.0000000000051	98.56115107913675	137.0000000000051	0.0	0.0	2.0	True	True	True	False	True		/mnt/new3T/minco_release_holdouts_20260628/cami2_hmp_unseen_transfer_20260626/nonzero_bam_paths_sample14.txt	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin14_20260627/work/minco.best_diff_unique.unfiltered.tsv	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin14_20260627/work/minco.best_diff_split.unfiltered.tsv	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin14_20260627/minco_sample14_current_default.tsv		/mnt/new3T/minco_release_holdouts_20260628/cami2_hmp_unseen_transfer_20260626/run_sylph_r232/sylph_sample14/profile.tsv	/mnt/new3T/minco_release_holdouts_20260628/cami2_hmp_unseen_transfer_20260626/run_sylph_r232/sylph_sample14/airskinurogenital_sample14.nonzero.fastq.gz.sylsp
9	airskin_sample9	192	184	96	1716.9999999997979	1689.009276164763	98.36978894379509	1682.2657921734728	6.74348399129	0.0	27.9907238350347	True	True	True	False	True		/mnt/new3T/minco_release_holdouts_20260628/cami2_hmp_unseen_transfer_20260626/nonzero_bam_paths_sample9.txt	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin9_20260627/work/minco.best_diff_unique.unfiltered.tsv	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin9_20260627/work/minco.best_diff_split.unfiltered.tsv	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin9_20260627/minco_sample9_current_default.tsv		/mnt/new3T/minco_release_holdouts_20260628/cami2_hmp_unseen_transfer_20260626/run_sylph_r232/sylph_sample9/profile.tsv	/mnt/new3T/minco_release_holdouts_20260628/cami2_hmp_unseen_transfer_20260626/run_sylph_r232/sylph_sample9/airskinurogenital_sample9.nonzero.fastq.gz.sylsp
10	airskin_sample10	201	194	69	2039.0000000000107	2005.6134711509008	98.36260280288819	2004.6134711509008	1.0	0.0	33.38652884911	True	True	True	False	True		/mnt/new3T/minco_release_holdouts_20260628/cami2_hmp_unseen_transfer_20260626/nonzero_bam_paths_sample10.txt	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin10_20260627/work/minco.best_diff_unique.unfiltered.tsv	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin10_20260627/work/minco.best_diff_split.unfiltered.tsv	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin10_20260627/minco_sample10_current_default.tsv		/mnt/new3T/minco_release_holdouts_20260628/cami2_hmp_unseen_transfer_20260626/run_sylph_r232/sylph_sample10/profile.tsv	/mnt/new3T/minco_release_holdouts_20260628/cami2_hmp_unseen_transfer_20260626/run_sylph_r232/sylph_sample10/airskinurogenital_sample10.nonzero.fastq.gz.sylsp
19	airskin_sample19	241	234	111	462.0000000000013	454.00000000000136	98.26839826839829	453.00000000000136	1.0	0.0	8.0	True	True	True	False	True		/mnt/new3T/minco_release_holdouts_20260628/cami2_hmp_unseen_transfer_20260626/nonzero_bam_paths_sample19.txt	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin19_20260627/work/minco.best_diff_unique.unfiltered.tsv	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin19_20260627/work/minco.best_diff_split.unfiltered.tsv	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin19_20260627/minco_sample19_current_default.tsv		/mnt/new3T/minco_release_holdouts_20260628/cami2_hmp_unseen_transfer_20260626/run_sylph_r232/sylph_sample19/profile.tsv	/mnt/new3T/minco_release_holdouts_20260628/cami2_hmp_unseen_transfer_20260626/run_sylph_r232/sylph_sample19/airskinurogenital_sample19.nonzero.fastq.gz.sylsp
26	airskin_sample26	212	203	69	2512.9999999992556	2466.291101134003	98.14130923735509	2464.292760246361	1.9983408876420001	0.0	46.708898865253	True	True	True	False	True	/tmp/cami2_hmp_unseen_transfer_20260626/reads/airskinurogenital_sample26.nonzero.fastq.gz	/tmp/cami2_hmp_unseen_transfer_20260626/nonzero_bam_paths_sample26.txt	/tmp/minco_current_code_hmp_airskin26_20260627/work/minco.best_diff_unique.unfiltered.tsv	/tmp/minco_current_code_hmp_airskin26_20260627/work/minco.best_diff_split.unfiltered.tsv	/tmp/minco_current_code_hmp_airskin26_20260627/minco_sample26_current_default.tsv		/tmp/cami2_hmp_unseen_transfer_20260626/run_sylph_r232/sylph_sample26/profile.tsv	
2	airskin_sample2	45	42	26	337.9999999999771	329.9999999999771	97.6331360946744	329.9999999999771	0.0	0.0	8.0	True	True	True	False	True	/tmp/cami2_hmp_unseen_transfer_20260626/reads/airskinurogenital_sample2.nonzero.fastq.gz	/tmp/cami2_hmp_unseen_transfer_20260626/nonzero_bam_paths_sample2.txt	/tmp/minco_current_code_hmp_airskin2_20260627/work/minco.best_diff_unique.unfiltered.tsv	/tmp/minco_current_code_hmp_airskin2_20260627/work/minco.best_diff_split.unfiltered.tsv	/tmp/minco_current_code_hmp_airskin2_20260627/minco_sample2_current_default.tsv		/tmp/cami2_hmp_unseen_transfer_20260626/run_sylph_r232/sylph_sample2/profile.tsv	
8	airskin_sample8	135	129	56	1228.999999999887	1176.599684610757	95.73634537110377	1175.727942615113	0.871741995644	0.0	52.40031538913	True	True	True	False	True	/tmp/cami2_hmp_unseen_transfer_20260626/reads/airskinurogenital_sample8.nonzero.fastq.gz	/tmp/cami2_hmp_unseen_transfer_20260626/nonzero_bam_paths_sample8.txt	/tmp/minco_current_code_hmp_airskin8_20260627/work/minco.best_diff_unique.unfiltered.tsv	/tmp/minco_current_code_hmp_airskin8_20260627/work/minco.best_diff_split.unfiltered.tsv	/tmp/minco_current_code_hmp_airskin8_20260627/minco_sample8_current_default.tsv		/tmp/cami2_hmp_unseen_transfer_20260626/run_sylph_r232/sylph_sample8/profile.tsv	
27	airskin_sample27	195	181	88	417.0000000000471	394.99269096489377	94.72246785727798	393.9943500772518	0.998340887642	0.0	22.0073090351534	False	True	True	False	True	/tmp/cami2_hmp_unseen_transfer_20260626/reads/airskinurogenital_sample27.nonzero.fastq.gz	/tmp/cami2_hmp_unseen_transfer_20260626/nonzero_bam_paths_sample27.txt	/tmp/minco_current_code_hmp_airskin27_20260627/work/minco.best_diff_unique.unfiltered.tsv	/tmp/minco_current_code_hmp_airskin27_20260627/work/minco.best_diff_split.unfiltered.tsv	/tmp/minco_current_code_hmp_airskin27_20260627/minco_sample27_current_default.tsv		/tmp/cami2_hmp_unseen_transfer_20260626/run_sylph_r232/sylph_sample27/profile.tsv	
12	airskin_sample12	96	92	42	978.9999999999702	909.2992861038094	92.88041737526426	908.2992861038094	1.0	0.0	69.70071389616082	False	True	True	False	True	/tmp/cami2_hmp_unseen_transfer_20260626/reads/airskinurogenital_sample12.nonzero.fastq.gz	/tmp/cami2_hmp_unseen_transfer_20260626/nonzero_bam_paths_sample12.txt	/tmp/minco_current_code_hmp_airskin12_20260627/work/minco.best_diff_unique.unfiltered.tsv	/tmp/minco_current_code_hmp_airskin12_20260627/work/minco.best_diff_split.unfiltered.tsv	/tmp/minco_current_code_hmp_airskin12_20260627/minco_sample12_current_default.tsv		/tmp/cami2_hmp_unseen_transfer_20260626/run_sylph_r232/sylph_sample12/profile.tsv	
