strategy_family	scope	best_signal	failure_mode	decision	source
selected-call simple mass transforms	base called rows; candidate-row mass preserved	base_genus_xny_a0.10;mean_sample_delta=-0.382481;worsened_samples=4;max_worse=0.161705	sample_safe=0	do_not_promote_selected_mass_transform	results/selected_call_mass_transform_audit.tsv
selected-call guarded mass transforms	output-derived guards over selected-call profiles	base_global_xny_a0.10;single;n_calls>=71.4;mean_delta=-0.491859;switched=13	mean_delta=-0.129226;holdouts_with_mean_regression=1;holdouts_with_sample_regression=2;max_sample_worse=0.825999	sample_safe_in_panel_but_fails_lopo	results/selected_call_mass_transform_guard_audit.tsv
selected-call feature allocators	fixed calls; output depth/quality target features	genus_raw_hit_breadth_a0.02;mean_sample_delta=-0.318875;worsened_samples=1;max_worse=0.040714	sample_safe=0	do_not_promote_feature_allocator	results/selected_call_feature_allocator_audit.tsv
selected-call guarded feature allocators	output-derived guards over feature allocators	genus_raw_hit_breadth_a0.02;single;base_mass_multi_genus_frac>=0.375015;mean_delta=-0.312324;switched=28	mean_delta=-0.146115;holdouts_with_mean_regression=0;holdouts_with_sample_regression=0;max_sample_worse=0.000000	candidate_guard_needs_wrapper_and_independent_holdout	results/selected_call_feature_allocator_guard_audit.tsv
implemented guarded feature allocator	wrapper function parity on cached selected profiles	mean_L1_delta_pp=-0.318866	worsened_samples=0; needs independent holdout	candidate_needs_independent_holdout	results/feature_allocator_wrapper_parity_audit.tsv
implemented guarded feature allocator external	plant/strain cached exact-split diagnostic profiles	mean_delta_l1=-0.004134;improved_datasets=2;worsened_datasets=0;improved_samples=4;worsened_samples=2;max_sample_worse=0.000249;switched_samples=6;adjusted_rows=130	diagnostic_nonrelease; counts=0;F1=5.55e-17;L1=2.22e-16;Pearson=2.22e-16	keep_feature_allocator_experimental_off_by_default	results/feature_allocator_external_exactsplit_audit.tsv
guarded feature allocator release candidate	wrapper parity plus external exact-split	samples=38;switched=36;improved=34;worsened=2;mean_L1_delta_pp=-0.269171;max_worse_L1_delta_pp=0.000249;mean_F1_delta=0	plant_holdout3:delta_L1=0.000248910;base_multi=0.794009;rows=40;plant_holdout4:delta_L1=0.000060987;base_multi=0.762779;rows=33	keep_feature_allocator_experimental_off_by_default	results/feature_allocator_release_candidate_audit.tsv
refined guarded feature allocator	combined output-only guard, wrapper parity, score replay	samples=38;switched=33;improved=33;worsened=0;mean_L1_delta_pp=-0.262955;selected_mean_L1_delta_pp=-0.311474;external_mean_L1_delta_pp=-0.004186;max_worse_L1_delta_pp=0.000000	guard_match=max_abs_mean_delta=3.10619365229e-07; independent_holdout_missing	refined_guard_score_replay_pass_candidate_needs_independent_holdout	results/feature_allocator_combined_guard_audit.tsv;results/feature_allocator_refined_guard_parity_audit.tsv;results/feature_allocator_refined_score_replay_audit.tsv
refined guarded feature allocator marine diagnostic	independent cached marine exact-split profiles; nonrelease GTDB transfer truth	samples=2;switched=2;improved=2;worsened=0;mean_L1_delta=-0.000521634;max_worse_L1=-0.000503001;mean_F1_delta=0.000000000	samples=marine0,marine2;min_truth_mass_mapped_pct_bacteria_archaea=74.120670	diagnostic_supports_refined_allocator_holdout_candidate	results/feature_allocator_refined_marine_diagnostic_audit.tsv
refined guarded feature allocator holdout inventory	release-grade manifest overlap and omitted HMP input check	release_panels=4;release_samples=32;selected_cache_overlap=32;independent_release_ready_samples=0	samples=2,8,12,26,27;truth=5/5;minco_profile=0/5;sylph_profile=0/5;ready_pairs=0/5	release_grade_independent_holdout_missing	results/feature_allocator_refined_independent_holdout_inventory_audit.tsv
refined guarded feature allocator recovery plan	ranked independent holdout recovery routes	post_recovery_scored=True;candidate_vs_sylph=minco_F1_wins=0/3;minco_L1_wins=0/3;refined_effect=improved=0;worsened=0;mean_L1_delta_pp=0.000000000	extension_result_does_not_support_default_promotion	do_not_promote_refined_allocator_without_independent_release_holdout	results/feature_allocator_refined_holdout_recovery_audit.tsv
CAMI3 source-profile extension diagnostic	samples3-5 local taxonomic-profile source rows	samples=3,4,5;min_mapped_profile_scope_pct=62.728832;ready_samples=	minco_F1_wins=0/3;minco_L1_wins=0/3	keep_refined_allocator_opt_in	results/cami3_source_profile_binomial_extension_audit.tsv
CAMI3 source-readmap recovery inputs	samples3-5 exact per-read truth recovery	candidate_profiles=3/3;raw_tables=3/3;sylph_profiles=3/3		post_recovery_scoring_ready	results/cami3_source_readmap_recovery_inputs_audit.tsv
