wall_clock	max_rss_kb	exit_status	panel	sample	command	elapsed_s	time_log
mm:ss or m:ss): 0:14.26	3116500	0	hmp_airskin_gtdb_source_abundance	13	/usr/bin/time -v -o /tmp/minco_candidate_surface_integrated_hmp_20260629/hmp_airskin_gtdb_source_abundance.sample13.time.log python3 -B scripts/minco_profile_calibrated.py --unique-table /mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin13_20260627/work/minco.best_diff_unique.unfiltered.tsv --split-table /mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin13_20260627/work/minco.best_diff_split.unfiltered.tsv --taxmap /tmp/cami2_marine_samples3_5_20260625/run/gtdb232_refseqvirus_species_taxmap.tsv --model-cache /tmp/minco_model_cache_bench_20260627/minco_profile_rf_hgb.train12.unfiltered.joblib --strategy universal --scope bacteria --train-pool train12 --candidate-surface-switch accession-ani90-xny100-br01-af70 --candidate-surface-taxmap /tmp/cami2_toymouse_current_default_20260626/gtdb_r232_species.taxmap.tsv -o /tmp/minco_candidate_surface_integrated_hmp_20260629/hmp_airskin_gtdb_source_abundance.sample13.integrated_candidate_surface.tsv	14.393	/tmp/minco_candidate_surface_integrated_hmp_20260629/hmp_airskin_gtdb_source_abundance.sample13.time.log
mm:ss or m:ss): 0:14.17	3094664	0	hmp_airskin_gtdb_source_abundance	14	/usr/bin/time -v -o /tmp/minco_candidate_surface_integrated_hmp_20260629/hmp_airskin_gtdb_source_abundance.sample14.time.log python3 -B scripts/minco_profile_calibrated.py --unique-table /mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin14_20260627/work/minco.best_diff_unique.unfiltered.tsv --split-table /mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin14_20260627/work/minco.best_diff_split.exact.unfiltered.tsv --taxmap /tmp/cami2_marine_samples3_5_20260625/run/gtdb232_refseqvirus_species_taxmap.tsv --model-cache /tmp/minco_model_cache_bench_20260627/minco_profile_rf_hgb.train12.unfiltered.joblib --strategy universal --scope bacteria --train-pool train12 --candidate-surface-switch accession-ani90-xny100-br01-af70 --candidate-surface-taxmap /tmp/cami2_toymouse_current_default_20260626/gtdb_r232_species.taxmap.tsv -o /tmp/minco_candidate_surface_integrated_hmp_20260629/hmp_airskin_gtdb_source_abundance.sample14.integrated_candidate_surface.tsv	14.301	/tmp/minco_candidate_surface_integrated_hmp_20260629/hmp_airskin_gtdb_source_abundance.sample14.time.log
mm:ss or m:ss): 0:14.12	3082040	0	hmp_airskin_gtdb_source_abundance	15	/usr/bin/time -v -o /tmp/minco_candidate_surface_integrated_hmp_20260629/hmp_airskin_gtdb_source_abundance.sample15.time.log python3 -B scripts/minco_profile_calibrated.py --unique-table /mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin15_20260627/work/minco.best_diff_unique.unfiltered.tsv --split-table /mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin15_20260627/work/minco.best_diff_split.exact.unfiltered.tsv --taxmap /tmp/cami2_marine_samples3_5_20260625/run/gtdb232_refseqvirus_species_taxmap.tsv --model-cache /tmp/minco_model_cache_bench_20260627/minco_profile_rf_hgb.train12.unfiltered.joblib --strategy universal --scope bacteria --train-pool train12 --candidate-surface-switch accession-ani90-xny100-br01-af70 --candidate-surface-taxmap /tmp/cami2_toymouse_current_default_20260626/gtdb_r232_species.taxmap.tsv -o /tmp/minco_candidate_surface_integrated_hmp_20260629/hmp_airskin_gtdb_source_abundance.sample15.integrated_candidate_surface.tsv	14.255	/tmp/minco_candidate_surface_integrated_hmp_20260629/hmp_airskin_gtdb_source_abundance.sample15.time.log
mm:ss or m:ss): 0:13.41	2994512	0	hmp_airskin_gtdb_source_abundance	16	/usr/bin/time -v -o /tmp/minco_candidate_surface_integrated_hmp_20260629/hmp_airskin_gtdb_source_abundance.sample16.time.log python3 -B scripts/minco_profile_calibrated.py --unique-table /mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin16_20260627/work/minco.best_diff_unique.unfiltered.tsv --split-table /mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin16_20260627/work/minco.best_diff_split.exact.unfiltered.tsv --taxmap /tmp/cami2_marine_samples3_5_20260625/run/gtdb232_refseqvirus_species_taxmap.tsv --model-cache /tmp/minco_model_cache_bench_20260627/minco_profile_rf_hgb.train12.unfiltered.joblib --strategy universal --scope bacteria --train-pool train12 --candidate-surface-switch accession-ani90-xny100-br01-af70 --candidate-surface-taxmap /tmp/cami2_toymouse_current_default_20260626/gtdb_r232_species.taxmap.tsv -o /tmp/minco_candidate_surface_integrated_hmp_20260629/hmp_airskin_gtdb_source_abundance.sample16.integrated_candidate_surface.tsv	13.545	/tmp/minco_candidate_surface_integrated_hmp_20260629/hmp_airskin_gtdb_source_abundance.sample16.time.log
mm:ss or m:ss): 0:14.49	3150116	0	hmp_airskin_gtdb_source_abundance	17	/usr/bin/time -v -o /tmp/minco_candidate_surface_integrated_hmp_20260629/hmp_airskin_gtdb_source_abundance.sample17.time.log python3 -B scripts/minco_profile_calibrated.py --unique-table /mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin17_20260627/work/minco.best_diff_unique.unfiltered.tsv --split-table /mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin17_20260627/work/minco.best_diff_split.exact.unfiltered.tsv --taxmap /tmp/cami2_marine_samples3_5_20260625/run/gtdb232_refseqvirus_species_taxmap.tsv --model-cache /tmp/minco_model_cache_bench_20260627/minco_profile_rf_hgb.train12.unfiltered.joblib --strategy universal --scope bacteria --train-pool train12 --candidate-surface-switch accession-ani90-xny100-br01-af70 --candidate-surface-taxmap /tmp/cami2_toymouse_current_default_20260626/gtdb_r232_species.taxmap.tsv -o /tmp/minco_candidate_surface_integrated_hmp_20260629/hmp_airskin_gtdb_source_abundance.sample17.integrated_candidate_surface.tsv	14.628	/tmp/minco_candidate_surface_integrated_hmp_20260629/hmp_airskin_gtdb_source_abundance.sample17.time.log
mm:ss or m:ss): 0:15.04	3213716	0	hmp_airskin_gtdb_source_abundance	18	/usr/bin/time -v -o /tmp/minco_candidate_surface_integrated_hmp_20260629/hmp_airskin_gtdb_source_abundance.sample18.time.log python3 -B scripts/minco_profile_calibrated.py --unique-table /mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin18_20260627/work/minco.best_diff_unique.unfiltered.tsv --split-table /mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin18_20260627/work/minco.best_diff_split.exact.unfiltered.tsv --taxmap /tmp/cami2_marine_samples3_5_20260625/run/gtdb232_refseqvirus_species_taxmap.tsv --model-cache /tmp/minco_model_cache_bench_20260627/minco_profile_rf_hgb.train12.unfiltered.joblib --strategy universal --scope bacteria --train-pool train12 --candidate-surface-switch accession-ani90-xny100-br01-af70 --candidate-surface-taxmap /tmp/cami2_toymouse_current_default_20260626/gtdb_r232_species.taxmap.tsv -o /tmp/minco_candidate_surface_integrated_hmp_20260629/hmp_airskin_gtdb_source_abundance.sample18.integrated_candidate_surface.tsv	15.170	/tmp/minco_candidate_surface_integrated_hmp_20260629/hmp_airskin_gtdb_source_abundance.sample18.time.log
mm:ss or m:ss): 0:16.32	3370304	0	hmp_airskin_gtdb_source_abundance	19	/usr/bin/time -v -o /tmp/minco_candidate_surface_integrated_hmp_20260629/hmp_airskin_gtdb_source_abundance.sample19.time.log python3 -B scripts/minco_profile_calibrated.py --unique-table /mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin19_20260627/work/minco.best_diff_unique.unfiltered.tsv --split-table /mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin19_20260627/work/minco.best_diff_split.exact.unfiltered.tsv --taxmap /tmp/cami2_marine_samples3_5_20260625/run/gtdb232_refseqvirus_species_taxmap.tsv --model-cache /tmp/minco_model_cache_bench_20260627/minco_profile_rf_hgb.train12.unfiltered.joblib --strategy universal --scope bacteria --train-pool train12 --candidate-surface-switch accession-ani90-xny100-br01-af70 --candidate-surface-taxmap /tmp/cami2_toymouse_current_default_20260626/gtdb_r232_species.taxmap.tsv -o /tmp/minco_candidate_surface_integrated_hmp_20260629/hmp_airskin_gtdb_source_abundance.sample19.integrated_candidate_surface.tsv	16.448	/tmp/minco_candidate_surface_integrated_hmp_20260629/hmp_airskin_gtdb_source_abundance.sample19.time.log
mm:ss or m:ss): 0:15.38	3262516	0	hmp_airskin_gtdb_source_abundance	20	/usr/bin/time -v -o /tmp/minco_candidate_surface_integrated_hmp_20260629/hmp_airskin_gtdb_source_abundance.sample20.time.log python3 -B scripts/minco_profile_calibrated.py --unique-table /mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin20_20260627/work/minco.best_diff_unique.unfiltered.tsv --split-table /mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin20_20260627/work/minco.best_diff_split.exact.unfiltered.tsv --taxmap /tmp/cami2_marine_samples3_5_20260625/run/gtdb232_refseqvirus_species_taxmap.tsv --model-cache /tmp/minco_model_cache_bench_20260627/minco_profile_rf_hgb.train12.unfiltered.joblib --strategy universal --scope bacteria --train-pool train12 --candidate-surface-switch accession-ani90-xny100-br01-af70 --candidate-surface-taxmap /tmp/cami2_toymouse_current_default_20260626/gtdb_r232_species.taxmap.tsv -o /tmp/minco_candidate_surface_integrated_hmp_20260629/hmp_airskin_gtdb_source_abundance.sample20.integrated_candidate_surface.tsv	15.508	/tmp/minco_candidate_surface_integrated_hmp_20260629/hmp_airskin_gtdb_source_abundance.sample20.time.log
mm:ss or m:ss): 0:15.68	3317816	0	hmp_airskin_gtdb_source_abundance	21	/usr/bin/time -v -o /tmp/minco_candidate_surface_integrated_hmp_20260629/hmp_airskin_gtdb_source_abundance.sample21.time.log python3 -B scripts/minco_profile_calibrated.py --unique-table /mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin21_20260627/work/minco.best_diff_unique.unfiltered.tsv --split-table /mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin21_20260627/work/minco.best_diff_split.exact.unfiltered.tsv --taxmap /tmp/cami2_marine_samples3_5_20260625/run/gtdb232_refseqvirus_species_taxmap.tsv --model-cache /tmp/minco_model_cache_bench_20260627/minco_profile_rf_hgb.train12.unfiltered.joblib --strategy universal --scope bacteria --train-pool train12 --candidate-surface-switch accession-ani90-xny100-br01-af70 --candidate-surface-taxmap /tmp/cami2_toymouse_current_default_20260626/gtdb_r232_species.taxmap.tsv -o /tmp/minco_candidate_surface_integrated_hmp_20260629/hmp_airskin_gtdb_source_abundance.sample21.integrated_candidate_surface.tsv	15.815	/tmp/minco_candidate_surface_integrated_hmp_20260629/hmp_airskin_gtdb_source_abundance.sample21.time.log
mm:ss or m:ss): 0:14.68	3180676	0	hmp_airskin_gtdb_source_abundance	22	/usr/bin/time -v -o /tmp/minco_candidate_surface_integrated_hmp_20260629/hmp_airskin_gtdb_source_abundance.sample22.time.log python3 -B scripts/minco_profile_calibrated.py --unique-table /tmp/minco_current_code_hmp_airskin22_20260627/work/minco.best_diff_unique.unfiltered.tsv --split-table /tmp/minco_current_code_hmp_airskin22_20260627/work/minco.best_diff_split.exact.unfiltered.tsv --taxmap /tmp/cami2_marine_samples3_5_20260625/run/gtdb232_refseqvirus_species_taxmap.tsv --model-cache /tmp/minco_model_cache_bench_20260627/minco_profile_rf_hgb.train12.unfiltered.joblib --strategy universal --scope bacteria --train-pool train12 --candidate-surface-switch accession-ani90-xny100-br01-af70 --candidate-surface-taxmap /tmp/cami2_toymouse_current_default_20260626/gtdb_r232_species.taxmap.tsv -o /tmp/minco_candidate_surface_integrated_hmp_20260629/hmp_airskin_gtdb_source_abundance.sample22.integrated_candidate_surface.tsv	14.812	/tmp/minco_candidate_surface_integrated_hmp_20260629/hmp_airskin_gtdb_source_abundance.sample22.time.log
mm:ss or m:ss): 0:14.38	3124292	0	hmp_airskin_gtdb_source_abundance	23	/usr/bin/time -v -o /tmp/minco_candidate_surface_integrated_hmp_20260629/hmp_airskin_gtdb_source_abundance.sample23.time.log python3 -B scripts/minco_profile_calibrated.py --unique-table /mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin23_20260627/work/minco.best_diff_unique.unfiltered.tsv --split-table /mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin23_20260627/work/minco.best_diff_split.exact.unfiltered.tsv --taxmap /tmp/cami2_marine_samples3_5_20260625/run/gtdb232_refseqvirus_species_taxmap.tsv --model-cache /tmp/minco_model_cache_bench_20260627/minco_profile_rf_hgb.train12.unfiltered.joblib --strategy universal --scope bacteria --train-pool train12 --candidate-surface-switch accession-ani90-xny100-br01-af70 --candidate-surface-taxmap /tmp/cami2_toymouse_current_default_20260626/gtdb_r232_species.taxmap.tsv -o /tmp/minco_candidate_surface_integrated_hmp_20260629/hmp_airskin_gtdb_source_abundance.sample23.integrated_candidate_surface.tsv	14.510	/tmp/minco_candidate_surface_integrated_hmp_20260629/hmp_airskin_gtdb_source_abundance.sample23.time.log
mm:ss or m:ss): 0:13.19	2945656	0	hmp_airskin_gtdb_source_abundance	24	/usr/bin/time -v -o /tmp/minco_candidate_surface_integrated_hmp_20260629/hmp_airskin_gtdb_source_abundance.sample24.time.log python3 -B scripts/minco_profile_calibrated.py --unique-table /mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin24_20260627/work/minco.best_diff_unique.unfiltered.tsv --split-table /mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin24_20260627/work/minco.best_diff_split.exact.unfiltered.tsv --taxmap /tmp/cami2_marine_samples3_5_20260625/run/gtdb232_refseqvirus_species_taxmap.tsv --model-cache /tmp/minco_model_cache_bench_20260627/minco_profile_rf_hgb.train12.unfiltered.joblib --strategy universal --scope bacteria --train-pool train12 --candidate-surface-switch accession-ani90-xny100-br01-af70 --candidate-surface-taxmap /tmp/cami2_toymouse_current_default_20260626/gtdb_r232_species.taxmap.tsv -o /tmp/minco_candidate_surface_integrated_hmp_20260629/hmp_airskin_gtdb_source_abundance.sample24.integrated_candidate_surface.tsv	13.321	/tmp/minco_candidate_surface_integrated_hmp_20260629/hmp_airskin_gtdb_source_abundance.sample24.time.log
mm:ss or m:ss): 0:15.65	3309108	0	hmp_airskin_gtdb_source_abundance	25	/usr/bin/time -v -o /tmp/minco_candidate_surface_integrated_hmp_20260629/hmp_airskin_gtdb_source_abundance.sample25.time.log python3 -B scripts/minco_profile_calibrated.py --unique-table /mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin25_20260627/work/minco.best_diff_unique.unfiltered.tsv --split-table /mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin25_20260627/work/minco.best_diff_split.exact.unfiltered.tsv --taxmap /tmp/cami2_marine_samples3_5_20260625/run/gtdb232_refseqvirus_species_taxmap.tsv --model-cache /tmp/minco_model_cache_bench_20260627/minco_profile_rf_hgb.train12.unfiltered.joblib --strategy universal --scope bacteria --train-pool train12 --candidate-surface-switch accession-ani90-xny100-br01-af70 --candidate-surface-taxmap /tmp/cami2_toymouse_current_default_20260626/gtdb_r232_species.taxmap.tsv -o /tmp/minco_candidate_surface_integrated_hmp_20260629/hmp_airskin_gtdb_source_abundance.sample25.integrated_candidate_surface.tsv	15.782	/tmp/minco_candidate_surface_integrated_hmp_20260629/hmp_airskin_gtdb_source_abundance.sample25.time.log
