sample	gtdb_species	read_rows	truth_abundance	source_genomes	source_genome_ids
3	s__Fusicatenibacter saccharivorans	652302	0.025128376603214788	2	ASV406.1,ASV431.3
3	s__Fusobacterium_A hominis	504	1.941539625513988e-05	1	ASV627.14
3	s__Gemella morbillorum	164	6.317708305243929e-06	1	ASV227.0
3	s__Helicobacter pylori_BU	386	1.4869728084293638e-05	2	ASV530.4,ASV618.11
3	s__Holdemanella biformis	218	8.397929332580345e-06	1	ASV564.0
3	s__Holdemania massiliensis	5146	0.00019823735938283695	1	ASV565.1
3	s__Hominimerdicola aceti	4980608	0.19186602760222168	1	ASV487.6
3	s__Intestinibacter bartlettii	25484	0.0009817102344563187	2	ASV476.9,ASV481.4
3	s__Intestinimonas butyriciproducens	7008	0.00026996646221432596	1	ASV324.5
3	s__Kallipyga massiliensis	420	1.6179496879283234e-05	1	ASV609.1
3	s__Klebsiella michiganensis	294	1.1325647815498264e-05	1	ASV710.0
3	s__Klebsiella oxytoca	12348	0.00047567720825092706	2	ASV1.9,ASV689.12
3	s__Klebsiella pneumoniae	2626	0.00010116037810713755	2	ASV219.10,ASV741.7
3	s__Lacticaseibacillus paracasei	134	5.162029956723698e-06	1	ASV265.16
3	s__Lacticaseibacillus rhamnosus	11094	0.0004273698532827814	2	ASV385.9,ASV550.3
3	s__Lactobacillus acidophilus	3266	0.00012581484954223582	2	ASV374.8,ASV520.10
3	s__Lactobacillus gasseri	956	3.6827616706178026e-05	1	ASV266.10
3	s__Lactobacillus panisapium	2136	8.228429841464044e-05	1	ASV266.8
3	s__Lactobacillus paragasseri	1598	6.155913336451096e-05	1	ASV266.3
3	s__Lactococcus lactis	11032	0.00042498145136250624	1	ASV287.11
3	s__Ligilactobacillus ruminis	208	8.012703216406935e-06	1	ASV493.9
3	s__Ligilactobacillus salivarius	2008	7.735340412762079e-05	1	ASV570.2
3	s__Mediterraneibacter faecis	134	5.162029956723698e-06	1	ASV392.10
3	s__Mediterraneibacter gnavus	35378	0.001362852953798291	3	ASV297.3,ASV444.0,ASV466.4
3	s__Mediterraneibacter massiliensis	236452	0.00910874856214352	1	ASV442.9
3	s__Megamonas funiformis	157708	0.0060753240329476195	2	ASV575.3,ASV582.2
3	s__Mycobacterium tuberculosis	210	8.089748439641617e-06	1	ASV30.0
3	s__Odoribacter splanchnicus	62280	0.0023991882515279994	1	ASV139.5
3	s__Oscillibacter welbionis	35808	0.0013794176767937475	1	ASV470.1
3	s__Parabacteroides distasonis	501912	0.019334961042082873	2	ASV173.5,ASV174.3
3	s__Parolsenella catena	50962	0.0019631893332429334	1	ASV65.2
3	s__Peptoniphilus_E obesi	1090	4.198964666290172e-05	1	ASV622.1
3	s__Peptostreptococcus anaerobius	198	7.627477100233524e-06	1	ASV483.9
3	s__Phocaeicola plebeius_A	574	2.2111979068353753e-05	1	ASV113.4
3	s__Phocaeicola vulgatus	454	1.748926567427283e-05	1	ASV124.1
3	s__Prevotella sp934202525	194	7.47338665376416e-06	1	ASV149.7
3	s__Romboutsia_C sp015668195	237520	0.009149890711350842	1	ASV484.8
3	s__Roseburia hominis	194812	0.007504667014397441	1	ASV456.0
3	s__Roseburia rectalis	338154	0.013026575208850338	1	ASV397.2
3	s__Ruthenibacterium lactatiformans	186	7.165205760825432e-06	1	ASV468.3
3	s__Salmonella enterica	7688	0.00029616183811411785	5	ASV204.0,ASV221.3,ASV398.11,ASV423.14,ASV655.10
3	s__Sarcina perfringens	150	5.778391742601155e-06	1	ASV341.4
3	s__Schaedlerella glycyrrhizinilytica_A	27160	0.0010462741315269825	1	ASV371.8
3	s__Staphylococcus hominis	406	1.5640180316640457e-05	1	ASV243.0
3	s__Streptococcus agalactiae	27024	0.001041035056347024	1	ASV290.8
3	s__Streptococcus anginosus	86	3.3129445990913285e-06	1	ASV248.13
3	s__Streptococcus mutans	161584	0.006224637675576433	2	ASV515.1,ASV621.4
3	s__Streptococcus oralis_W	290	1.11715573690289e-05	1	ASV245.13
3	s__Streptococcus pasteurianus	102	3.929306384968785e-06	1	ASV546.4
3	s__Streptococcus salivarius_F	618456	0.023824540290414264	2	ASV519.11,ASV540.10
3	s__Streptococcus sanguinis_H	236	9.091336341692483e-06	1	ASV475.12
3	s__Streptococcus taoyuanensis	92	3.544080268795375e-06	1	ASV286.3
3	s__Thomasclavelia ramosa	1340	5.162029956723698e-05	1	ASV557.8
3	s__Turicibacter sanguinis	4836	0.00018629534978146123	1	ASV573.4
3	s__Vibrio cholerae	970	3.73669332688208e-05	1	ASV440.14
4	s__Actinomyces urogenitalis	4330	0.00016061291967358411	1	ASV10.0
4	s__Agathobaculum ammoniilyticum	4454	0.00016521245825084146	1	ASV473.2
4	s__Agathobaculum butyriciproducens	30572	0.001134008817612197	1	ASV337.1
4	s__Akkermansia massiliensis	2152	7.982425014724088e-05	1	ASV827.5
4	s__Akkermansia muciniphila	2652	9.837077666843996e-05	2	ASV825.7,ASV830.4
4	s__Akkermansia sp004167605	1124940	0.041727459089515404	2	ASV828.10,ASV829.6
4	s__Alistipes onderdonkii	1564204	0.058021101941131394	1	ASV166.15
4	s__Alistipes senegalensis	5152	0.0001911034092744354	1	ASV165.8
4	s__Alistipes shahii	41882	0.0015535312475217205	1	ASV96.11
4	s__Anaerostipes caccae	1782430	0.06611577053436178	1	ASV399.4
4	s__Anaerotruncus colihominis	1846	6.847377591626703e-05	1	ASV499.2
4	s__Bacteroides cellulosilyticus	7628	0.0002829458086074133	3	ASV135.6,ASV136.11,ASV440.6
4	s__Bacteroides fragilis	1334	4.948213275855917e-05	1	ASV126.6
4	s__Bacteroides ovatus	38928	0.0014439583688344762	2	ASV101.12,ASV99.7
4	s__Bacteroides uniformis	4958352	0.18392041373888107	1	ASV102.7
4	s__Barnesiella intestinihominis	560762	0.020800374610161286	1	ASV127.7
4	s__Bifidobacterium adolescentis	55352	0.0020531746720028237	1	ASV71.1
4	s__Bifidobacterium bifidum	222	8.234657775412395e-06	2	ASV19.5,ASV64.8
4	s__Bifidobacterium catenulatum	96	3.560933092070225e-06	1	ASV8.4
4	s__Bifidobacterium longum	61908	0.0022963567277487864	4	ASV23.5,ASV6.0,ASV87.10,ASV88.7
4	s__Bilophila wadsworthia	448262	0.01662740614289149	1	ASV712.0
4	s__Blautia_A fusiformis	580154	0.021519683094759472	1	ASV406.15
4	s__Blautia_A hydrogenotrophica	770	2.8561650842646595e-05	1	ASV410.0
4	s__Blautia_A obeum	2778052	0.10304643019054034	1	ASV387.7
4	s__Campylobacter_D jejuni	174	6.454191229377282e-06	1	ASV710.12
4	s__Catenibacterium mitsuoka_A	106	3.931863622494206e-06	1	ASV551.0
4	s__Cetobacterium_A somerae	306	1.1350474230973841e-05	1	ASV626.0
4	s__Christensenella minuta	948886	0.035197078729189035	1	ASV329.2
4	s__Citrobacter portucalensis	1340	4.9704691076813556e-05	1	ASV92.7
4	s__Clostridioides difficile	119510	0.004432990769097006	4	ASV222.8,ASV297.2,ASV476.7,ASV576.11
4	s__Clostridium tertium	188	6.973493971970857e-06	1	ASV504.9
4	s__Collinsella tanakaei	17940	0.0006654493715806233	1	ASV73.2
4	s__Desulfovibrio fairfieldensis	22762	0.0008443120733510672	1	ASV714.0
4	s__Dorea formicigenerans	345320	0.012808973076600939	1	ASV426.3
4	s__ECMA0423 sp047199055	8036	0.0002980797742487117	1	ASV527.4
4	s__Eggerthella lenta	11646	0.00043198569573176914	2	ASV81.8,ASV86.5
4	s__Eisenbergiella porci	1078	3.998631117970523e-05	1	ASV429.0
4	s__Enterobacter cloacae	258	9.57000768493873e-06	1	ASV681.12
4	s__Enterobacter roggenkampii	12144	0.00045045803614688344	1	ASV685.5
4	s__Enterocloster bolteae	321484	0.011924823064282336	2	ASV444.11,ASV447.2
4	s__Enterococcus faecalis	102830	0.0038142786443498044	6	ASV420.3,ASV491.5,ASV493.1,ASV497.5,ASV519.7,ASV520.1
4	s__Enterococcus_B faecium	268	9.940938215362712e-06	1	ASV463.0
4	s__Enterococcus_B hirae	436	1.6172571126485606e-05	1	ASV550.0
4	s__Enterococcus_B lactis	94434	0.0035028453710058294	1	ASV540.8
4	s__Enterococcus_B pernyi	3804	0.00014110197377328266	1	ASV374.5
4	s__Enterococcus_L caccae	1862	6.906726476494541e-05	1	ASV514.3
4	s__Eubacterium callanderi	232	8.605588305836377e-06	1	ASV380.1
4	s__Extibacter hylemonae	157790	0.005852912839560008	1	ASV436.0
4	s__Faecalibacterium prausnitzii	236992	0.008790756826624028	1	ASV507.2
4	s__Faecalimonas umbilicata	1744	6.469028450594242e-05	1	ASV392.1
4	s__Faecalitalea cylindroides	248328	0.009211243675912655	1	ASV547.7
4	s__Flavonifractor plautii	8293228	0.3076211460967017	2	ASV487.4,ASV509.0
4	s__Fusicatenibacter saccharivorans	56124	0.0020818105089515553	1	ASV431.3
4	s__Holdemania massiliensis	8804	0.0003265672389852735	1	ASV565.1
4	s__Intestinimonas butyriciproducens	40108	0.0014877281714245061	1	ASV324.5
4	s__Klebsiella michiganensis	648	2.4036298371474017e-05	1	ASV506.10
4	s__Klebsiella pneumoniae	55906	0.0020737242233883125	5	ASV423.3,ASV472.1,ASV585.7,ASV671.12,ASV815.3
4	s__Lactobacillus gasseri	2216	8.219820554195436e-05	1	ASV266.7
4	s__Lactococcus petauri	332	1.2314893610076194e-05	1	ASV287.0
4	s__Leuconostoc mesenteroides	8036	0.0002980797742487117	1	ASV1.2
4	s__Lientehia dongpingensis	20440	0.0007581820041866188	1	ASV442.7
4	s__Megamonas funiformis	902	3.345793384424315e-05	1	ASV582.2
4	s__Odoribacter splanchnicus	64032	0.00237514237241084	1	ASV139.5
4	s__Oscillibacter welbionis	21644	0.0008028420400496661	1	ASV470.1
4	s__Otoolea fessa	899728	0.033373658427730823	2	ASV300.0,ASV334.5
4	s__Parabacteroides distasonis	176098	0.006532012454660234	2	ASV173.10,ASV174.5
4	s__Parolsenella catena	28686	0.0010640513195742341	1	ASV65.2
4	s__Phocaeicola dorei	270	1.0015124321447507e-05	1	ASV134.8
4	s__Phocaeicola vulgatus	1360	5.044655213766152e-05	1	ASV124.3
4	s__Pluralibacter gergoviae	272	1.0089310427532303e-05	1	ASV74.5
4	s__Romboutsia_C hominis	46146	0.0017116960256945062	1	ASV484.2
4	s__Roseburia hominis	300864	0.011159964310548085	1	ASV456.0
4	s__Ruminococcoides intestinale_A	66426	0.0024639431413943412	1	ASV525.3
4	s__Salmonella enterica	63208	0.002344577696703904	5	ASV655.6,ASV713.6,ASV743.4,ASV783.8,ASV79.6
4	s__Sarcina perfringens	1908	7.077354520489572e-05	1	ASV341.2
4	s__Streptococcus hominis	4768	0.0001768596769061545	1	ASV332.3
4	s__Streptococcus salivarius_D	17820	0.0006609982052155355	1	ASV515.16
4	s__Streptococcus salivarius_F	26744	0.0009920166105658967	1	ASV290.10
4	s__Streptococcus sp001556435	782	2.9006767479155372e-05	1	ASV546.15
4	s__Streptococcus vaginalis	2440	9.050704942345154e-05	1	ASV385.1
4	s__Sutterella wadsworthensis_A	6972	0.0002586127658116001	1	ASV692.1
4	s__Thomasclavelia ramosa	19032	0.0007059549855029221	1	ASV557.6
4	s__Turicibacter sanguinis	156	5.786516274614116e-06	1	ASV573.6
4	s__Veillonella parvula_E	5074	0.00018821015113712835	1	ASV575.4
4	s__Vibrio parahaemolyticus	1350	5.0075621607237537e-05	1	ASV638.11
4	s__Weizmannia faecalis	370	1.3724429625687325e-05	1	ASV226.10
5	s__Actinomyces urogenitalis	9968	0.0004002082624698117	1	ASV10.0
5	s__Agathobaculum butyriciproducens	480	1.9271665929525443e-05	1	ASV337.1
5	s__Akkermansia muciniphila	364638	0.014639961919188123	3	ASV828.13,ASV829.7,ASV830.8
5	s__Akkermansia sp004167605	254	1.0197923221040548e-05	1	ASV827.0
5	s__Alistipes onderdonkii	471924	0.018947420150261178	2	ASV165.0,ASV166.16
5	s__Anaerostipes hadrus	4339492	0.17422758359968382	1	ASV387.12
5	s__Anaerotruncus colihominis	270	1.0840312085358063e-05	1	ASV499.2
5	s__Bacillus velezensis	1278	5.1310810537361494e-05	1	ASV229.6
5	s__Bacillus_A cereus	858	3.444810284902673e-05	1	ASV226.9
5	s__Bacteroides cellulosilyticus	7068	0.00028377528081226217	1	ASV101.0
5	s__Bacteroides fragilis	2354524	0.09453249989802076	1	ASV102.2
5	s__Bacteroides ovatus	16480	0.0006616605302470403	2	ASV150.2,ASV99.0
5	s__Bacteroides uniformis	378	1.5176436919501288e-05	1	ASV98.7
5	s__Bifidobacterium animalis_B	148	5.9420969949370126e-06	1	ASV61.11
5	s__Bifidobacterium bifidum	370	1.485524248734253e-05	2	ASV49.7,ASV58.12
5	s__Bifidobacterium catenulatum	6306	0.00025318151114914054	1	ASV88.8
5	s__Bifidobacterium longum	40448	0.0016239590489946776	2	ASV23.2,ASV67.4
5	s__Bifidobacterium pseudocatenulatum	1686	6.769172657745812e-05	3	ASV64.9,ASV71.8,ASV87.9
5	s__Bilophila wadsworthia	24468	0.0009823731707575595	1	ASV712.0
5	s__Blautia_A ammoniilytica	812960	0.03263977819597293	1	ASV406.7
5	s__Blautia_A faecis	773476	0.031054523076053383	1	ASV406.0
5	s__Blautia_A fusiformis	270	1.0840312085358063e-05	1	ASV412.1
5	s__Blautia_A hydrogenotrophica	13902	0.0005581556244838807	1	ASV410.0
5	s__Blautia_A obeum	655722	0.02632678193050059	2	ASV406.18,ASV406.2
5	s__Blautia_A sp005848555	539482	0.021659826831233846	1	ASV300.7
5	s__Cetobacterium_A somerae	884	3.54919847535427e-05	1	ASV626.0
5	s__Christensenella minuta	309466	0.012424844517805253	1	ASV329.2
5	s__Clostridioides difficile	174574	0.007009024599960364	1	ASV486.9
5	s__Clostridium paraputrificum	10538	0.0004230933657611232	1	ASV334.4
5	s__Clostridium tertium	1154	4.633229683890076e-05	1	ASV504.8
5	s__Collinsella tanakaei	133466	0.00535856701031259	1	ASV73.2
5	s__Corynebacterium hesseae	210	8.431353844167382e-06	1	ASV31.1
5	s__Dorea formicigenerans	297436	0.011941848390446522	1	ASV426.7
5	s__Eggerthella lenta	97720	0.003923389988819222	2	ASV81.10,ASV86.2
5	s__Enterobacter cloacae	382	1.5337034135580666e-05	1	ASV749.2
5	s__Enterobacter quasiroggenkampii	1428	5.73332061403382e-05	1	ASV730.11
5	s__Enterocloster bolteae	22318	0.0008960521671148935	1	ASV447.2
5	s__Enterococcus faecalis	2882	0.00011571029418519236	6	ASV255.4,ASV258.10,ASV463.4,ASV497.8,ASV576.14,ASV815.1
5	s__Enterococcus_B faecium	218	8.75254827632614e-06	1	ASV225.0
5	s__Enterococcus_D innesii	7376	0.00029614126645037433	1	ASV256.1
5	s__Escherichia coli	145724	0.0058507171789878454	2	ASV418.2,ASV743.2
5	s__Eubacterium maltosivorans	330	1.3249270326548743e-05	1	ASV372.2
5	s__Eubacterium_G segne	226	9.073742708484897e-06	1	ASV380.6
5	s__Extibacter hylemonae	207716	0.008339652833786057	1	ASV436.0
5	s__Faecalibacillus faecis	6018	0.00024161851159142526	1	ASV222.14
5	s__Faecalicoccus sp900546545	96426	0.003871436789417543	2	ASV545.10,ASV547.0
5	s__Faecalitalea cylindroides	1430	5.741350474837789e-05	1	ASV563.0
5	s__Fusicatenibacter saccharivorans	533242	0.021409295174150016	2	ASV406.1,ASV431.3
5	s__Helicobacter pylori_BU	496	1.9914054793842958e-05	1	ASV530.4
5	s__Holdemania massiliensis	1576	6.327530313527522e-05	1	ASV565.1
5	s__Hominimerdicola aceti	5712220	0.22934165740823717	1	ASV487.6
5	s__Intestinibacter bartlettii	270288	0.010851875084915778	2	ASV476.9,ASV481.4
5	s__Intestinimonas butyriciproducens	3230	0.0001296822519840983	1	ASV324.5
5	s__Kallipyga massiliensis	142	5.7012011708179445e-06	1	ASV609.1
5	s__Kingella kingae	166	6.664784467294217e-06	1	ASV668.0
5	s__Klebsiella oxytoca	4542	0.00018235813885813452	1	ASV1.9
5	s__Klebsiella pneumoniae	5452	0.00021889400551619318	1	ASV741.7
5	s__Lacticaseibacillus paracasei	15280	0.0006134813654232266	1	ASV265.16
5	s__Lacticaseibacillus rhamnosus	466	1.870957567324762e-05	2	ASV385.9,ASV550.3
5	s__Lactiplantibacillus pentosus	1138	4.5689907974583245e-05	1	ASV269.0
5	s__Lactobacillus acidophilus	4012	0.00016107900772761684	2	ASV374.8,ASV520.10
5	s__Lactobacillus gasseri	792818	0.03183109091440522	1	ASV266.10
5	s__Lactobacillus helveticus	498	1.999435340188265e-05	1	ASV275.10
5	s__Lactobacillus panisapium	1759286	0.07063410847185646	1	ASV266.8
5	s__Lactobacillus paragasseri	1326634	0.05326343178906262	1	ASV266.3
5	s__Lactococcus lactis	23750	0.000953545970471311	1	ASV287.11
5	s__Leuconostoc mesenteroides	14778	0.0005933264148052646	1	ASV281.4
5	s__Ligilactobacillus agilis	150	6.022395602976702e-06	1	ASV578.18
5	s__Ligilactobacillus salivarius	442	1.774599237677135e-05	1	ASV570.2
5	s__Mediterraneibacter faecis	2954	0.00011860104407462118	1	ASV392.10
5	s__Mediterraneibacter gnavus	38640	0.0015513691073267984	1	ASV444.0
5	s__Mediterraneibacter massiliensis	187008	0.007508241046143113	1	ASV442.9
5	s__Megamonas funiformis	177380	0.007121683547040049	1	ASV575.3
5	s__Odoribacter splanchnicus	81748	0.0032821253050142624	1	ASV139.5
5	s__Oscillibacter welbionis	770	3.09149640952804e-05	1	ASV470.1
5	s__Parabacteroides distasonis	167870	0.006739863665811326	1	ASV174.3
5	s__Parolsenella catena	109094	0.004380048172740935	1	ASV65.2
5	s__Peptostreptococcus anaerobius	166	6.664784467294217e-06	1	ASV483.9
5	s__Prevotella sp934202525	320	1.2847777286350297e-05	1	ASV149.7
5	s__Romboutsia_C sp015668195	56790	0.0022800789752869793	1	ASV484.8
5	s__Roseburia hominis	614256	0.02466195089001371	1	ASV456.0
5	s__Roseburia rectalis	494336	0.019847246351953937	1	ASV397.2
5	s__Salmonella enterica	7092	0.00028473886410873843	5	ASV204.0,ASV398.11,ASV423.14,ASV527.6,ASV84.4
5	s__Sarcina perfringens	484	1.9432263145604824e-05	1	ASV341.4
5	s__Schaedlerella glycyrrhizinilytica_A	20832	0.0008363903013414043	1	ASV371.8
5	s__Staphylococcus epidermidis	192	7.708666371810177e-06	1	ASV231.5
5	s__Staphylococcus hominis	2736	0.00010984849579829503	1	ASV243.0
5	s__Streptococcus agalactiae	97324	0.0039074908644273635	1	ASV290.8
5	s__Streptococcus mutans	6002	0.00024097612272710775	1	ASV515.1
5	s__Streptococcus oralis_W	16794	0.0006742674117092715	1	ASV245.13
5	s__Streptococcus pasteurianus	1004	4.0309901235924054e-05	1	ASV546.4
5	s__Streptococcus salivarius_D	2346	9.419026723055561e-05	1	ASV250.8
5	s__Streptococcus salivarius_F	230408	0.009250720840604373	1	ASV540.10
5	s__Streptococcus taoyuanensis	606	2.4330478236025873e-05	1	ASV286.3
5	s__Sutterella wadsworthensis_A	1620	6.504187251214838e-05	1	ASV692.1
5	s__Thomasclavelia ramosa	822	3.3002727904312326e-05	1	ASV557.8
5	s__Turicibacter sanguinis	161338	0.0064776084119537005	1	ASV573.4
5	s__Vibrio cholerae	312	1.252658285419154e-05	1	ASV440.14
5	s__Vibrio parahaemolyticus	410	1.646121464813632e-05	1	ASV783.7
