sample	source_genome_id	source_profile_taxid	species_taxid	species_label	abundance_pct_all	profile_scope	taxpathsn	recommended_gtdb_species	recommended_resolution_rule	taxid_gtdb_species_count	ncbi_name_gtdb_species_count	gtdb_binomial_species_count
3	ASV484.8	2787108.1	2787108	Romboutsia sp. 1001713B170131_170501_G6	0.4571	gtdb_profile_scope	cellular organisms|Bacteria|Bacillati|Bacillota|Clostridia|Peptostreptococcales|Peptostreptococcaceae|Romboutsia|Romboutsia sp. 1001713B170131_170501_G6|Romboutsia sp. 1001713B170131_170501_G6 strain	s__Romboutsia_C sp015668195	unique_species_taxid	1	1	0
3	vASV51.0	1495285.1	1914201	Tequatrovirus e112	0.4542	out_of_scope	Viruses|Duplodnaviria|Heunggongvirae|Uroviricota|Caudoviricetes|Pantevenvirales|Straboviridae|Tequatrovirus|Tequatrovirus e112|Escherichia phage vB_EcoM_112 strain		out_of_scope	0	0	0
3	ASV406.2	40520.3	40520	Blautia obeum	0.4536	gtdb_profile_scope	cellular organisms|Bacteria|Bacillati|Bacillota|Clostridia|Lachnospirales|Lachnospiraceae|Blautia|Blautia obeum|Blautia obeum strain		unresolved	10	10	0
3	hvASV49.0	3052716.1	3052716	Protoparvovirus primate3	0.4488	out_of_scope	Viruses|Monodnaviria|Shotokuvirae|Cossaviricota|Quintoviricetes|Piccovirales|Parvoviridae|Protoparvovirus|Protoparvovirus primate3|Protoparvovirus primate3 strain		out_of_scope	0	0	0
3	vASV98.0	2894753.1	3428266	Dhillonvirus JLBYU60	0.3979	out_of_scope	Viruses|Duplodnaviria|Heunggongvirae|Uroviricota|Caudoviricetes|||Dhillonvirus|Dhillonvirus JLBYU60|Escherichia phage JLBYU60 strain		out_of_scope	0	0	0
3	vASV64.0	1880822.1	2560544	Klebsiella virus PMBT1	0.3964	out_of_scope	Viruses|Duplodnaviria|Heunggongvirae|Uroviricota|Caudoviricetes|Pantevenvirales|Straboviridae|Slopekvirus|Klebsiella virus PMBT1|Klebsiella phage PMBT1 strain		out_of_scope	0	0	0
3	vASV94.0	173707.1	173707	Streptococcus phage phiNIH1.1	0.3788	out_of_scope	Viruses|Duplodnaviria|Heunggongvirae|Uroviricota|Caudoviricetes||Aliceevansviridae||Streptococcus phage phiNIH1.1|Streptococcus phage phiNIH1.1 strain		out_of_scope	0	0	0
3	ASV575.3	437897.1	437897	Megamonas funiformis	0.3783	gtdb_profile_scope	cellular organisms|Bacteria|Bacillati|Bacillota|Negativicutes|Selenomonadales|Selenomonadaceae|Megamonas|Megamonas funiformis|Megamonas funiformis strain	s__Megamonas funiformis	unique_species_taxid	1	1	1
3	ASV410.0	53443.1	53443	Blautia hydrogenotrophica	0.378	gtdb_profile_scope	cellular organisms|Bacteria|Bacillati|Bacillota|Clostridia|Lachnospirales|Lachnospiraceae|Blautia|Blautia hydrogenotrophica|Blautia hydrogenotrophica strain	s__Blautia_A hydrogenotrophica	unique_species_taxid	1	1	0
3	vASV14.0	10868.1	1977411	Infulavirus If1	0.37	out_of_scope	Viruses|Monodnaviria|Loebvirae|Hofneiviricota|Faserviricetes|Tubulavirales|Inoviridae|Infulavirus|Infulavirus If1|Escherichia phage If1 strain		out_of_scope	0	0	0
3	vASV87.0	10843.1	1986034	Gequatrovirus G4	0.3627	out_of_scope	Viruses|Monodnaviria|Sangervirae|Phixviricota|Malgrandaviricetes|Petitvirales|Microviridae|Gequatrovirus|Gequatrovirus G4|Escherichia phage G4 strain		out_of_scope	0	0	0
3	vASV48.0	155148.1	2748764	Lederbergvirus HK620	0.3586	out_of_scope	Viruses|Duplodnaviria|Heunggongvirae|Uroviricota|Caudoviricetes|||Lederbergvirus|Lederbergvirus HK620|Enterobacteria phage HK620 strain		out_of_scope	0	0	0
3	vASV44.0	2029658.1	2845148	Skunavirus sv05601	0.3548	out_of_scope	Viruses|Duplodnaviria|Heunggongvirae|Uroviricota|Caudoviricetes|||Skunavirus|Skunavirus sv05601|Lactococcus phage 05601 strain		out_of_scope	0	0	0
3	vASV18.0	2894747.1	3428265	Dhillonvirus JLBYU37	0.3535	out_of_scope	Viruses|Duplodnaviria|Heunggongvirae|Uroviricota|Caudoviricetes|||Dhillonvirus|Dhillonvirus JLBYU37|Escherichia phage JLBYU37 strain		out_of_scope	0	0	0
3	vASV59.0	2163605.1	3060806	Wroclawvirus PA5oct	0.3441	out_of_scope	Viruses|Duplodnaviria|Heunggongvirae|Uroviricota|Caudoviricetes||Arenbergviridae|Wroclawvirus|Wroclawvirus PA5oct|Pseudomonas phage vB_PaeM_PA5oct strain		out_of_scope	0	0	0
3	ASV329.2	626937.2	626937	Christensenella minuta	0.3399	gtdb_profile_scope	cellular organisms|Bacteria|Bacillati|Bacillota|Clostridia|Christensenellales|Christensenellaceae|Christensenella|Christensenella minuta|Christensenella minuta strain	s__Christensenella minuta	unique_species_taxid	1	1	1
3	ASV456.0	301301.1	301301	Roseburia hominis	0.3338	gtdb_profile_scope	cellular organisms|Bacteria|Bacillati|Bacillota|Clostridia|Lachnospirales|Lachnospiraceae|Roseburia|Roseburia hominis|Roseburia hominis strain	s__Roseburia hominis	unique_gtdb_binomial	18	18	1
3	vASV83.0	2910155.1	3427815	Carltongylesvirus SKA49	0.3257	out_of_scope	Viruses|Duplodnaviria|Heunggongvirae|Uroviricota|Caudoviricetes||Chaseviridae|Carltongylesvirus|Carltongylesvirus SKA49|Escherichia phage SKA49 strain		out_of_scope	0	0	0
3	vASV11.5	1141141.1	1914204	Tequatrovirus c40	0.308	out_of_scope	Viruses|Duplodnaviria|Heunggongvirae|Uroviricota|Caudoviricetes|Pantevenvirales|Straboviridae|Tequatrovirus|Tequatrovirus c40|Escherichia phage vB_EcoM_ACG-C40 strain		out_of_scope	0	0	0
3	hvASV9.0	1518574.1	1518574	Burkina Faso astrovirus	0.2775	out_of_scope	Viruses|Riboviria|Orthornavirae|Pisuviricota|Stelpaviricetes|Stellavirales|Astroviridae|Mamastrovirus|Burkina Faso astrovirus|Burkina Faso astrovirus strain		out_of_scope	0	0	0
3	vASV81.0	1211280.1	3433022	Tulanevirus ime13	0.272	out_of_scope	Viruses|Duplodnaviria|Heunggongvirae|Uroviricota|Caudoviricetes|Pantevenvirales|Straboviridae|Tulanevirus|Tulanevirus ime13|Stenotrophomonas phage IME13 strain		out_of_scope	0	0	0
3	vASV3.0	2029671.1	2845179	Skunavirus sv66901	0.2683	out_of_scope	Viruses|Duplodnaviria|Heunggongvirae|Uroviricota|Caudoviricetes|||Skunavirus|Skunavirus sv66901|Lactococcus phage 66901 strain		out_of_scope	0	0	0
3	vASV63.0	2029667.1	2845171	Skunavirus sv57001	0.2681	out_of_scope	Viruses|Duplodnaviria|Heunggongvirae|Uroviricota|Caudoviricetes|||Skunavirus|Skunavirus sv57001|Lactococcus phage 57001 strain		out_of_scope	0	0	0
3	vASV86.0	2865794.1	3060720	Suseptimavirus 101114UKE3	0.2494	out_of_scope	Viruses|Duplodnaviria|Heunggongvirae|Uroviricota|Caudoviricetes||Mktvariviridae|Suseptimavirus|Suseptimavirus 101114UKE3|Escherichia phage vB_EcoP-101114UKE3 strain		out_of_scope	0	0	0
3	hvASV4.0	683174.1	683174	Astrovirus VA3	0.2465	out_of_scope	Viruses|Riboviria|Orthornavirae|Pisuviricota|Stelpaviricetes|Stellavirales|Astroviridae||Astrovirus VA3|Astrovirus VA3 strain		out_of_scope	0	0	0
3	hvASV12.7	2675249.1	2845395	Skunavirus CHPC361	0.2459	out_of_scope	Viruses|Duplodnaviria|Heunggongvirae|Uroviricota|Caudoviricetes|||Skunavirus|Skunavirus CHPC361|Lactococcus phage CHPC361 strain		out_of_scope	0	0	0
3	vASV57.0	2836105.1	3428283	Dhillonvirus sponge	0.2456	out_of_scope	Viruses|Duplodnaviria|Heunggongvirae|Uroviricota|Caudoviricetes|||Dhillonvirus|Dhillonvirus sponge|Escherichia phage vB_EcoS_Sponge strain		out_of_scope	0	0	0
3	vASV92.0	581037.1	2006174	Pbunavirus pv141	0.2442	out_of_scope	Viruses|Duplodnaviria|Heunggongvirae|Uroviricota|Caudoviricetes||Lindbergviridae|Pbunavirus|Pbunavirus pv141|Pseudomonas phage 14-1 strain		out_of_scope	0	0	0
3	ASV431.3	1150298.2	1150298	Fusicatenibacter saccharivorans	0.244	gtdb_profile_scope	cellular organisms|Bacteria|Bacillati|Bacillota|Clostridia|Lachnospirales|Lachnospiraceae|Fusicatenibacter|Fusicatenibacter saccharivorans|Fusicatenibacter saccharivorans strain	s__Fusicatenibacter saccharivorans	unique_gtdb_binomial	16	16	1
3	vASV50.0	2500819.1	2845425	Skunavirus MV10L	0.2329	out_of_scope	Viruses|Duplodnaviria|Heunggongvirae|Uroviricota|Caudoviricetes|||Skunavirus|Skunavirus MV10L|Lactococcus phage MV10L strain		out_of_scope	0	0	0
3	vASV56.0	1897495.1	3431622	Phapecoctavirus ESCO5	0.2073	out_of_scope	Viruses|Duplodnaviria|Heunggongvirae|Uroviricota|Caudoviricetes|||Phapecoctavirus|Phapecoctavirus ESCO5|Escherichia phage ESCO5 strain		out_of_scope	0	0	0
3	vASV37.0	1874589.1	2845163	Skunavirus sv3R16S	0.1931	out_of_scope	Viruses|Duplodnaviria|Heunggongvirae|Uroviricota|Caudoviricetes|||Skunavirus|Skunavirus sv3R16S|Lactococcus phage 3R16S strain		out_of_scope	0	0	0
3	vASV17.0	698487.1	1911010	Kagunavirus K1H	0.1905	out_of_scope	Viruses|Duplodnaviria|Heunggongvirae|Uroviricota|Caudoviricetes||Sarkviridae|Kagunavirus|Kagunavirus K1H|Escherichia phage K1H strain		out_of_scope	0	0	0
3	fASV200.0	5970.1	5970	Exophiala dermatitidis	0.1895	out_of_scope	cellular organisms|Eukaryota|Fungi|Ascomycota|Eurotiomycetes|Chaetothyriales|Herpotrichiellaceae|Exophiala|Exophiala dermatitidis|Exophiala dermatitidis strain		out_of_scope	0	0	0
3	hvASV6.0	3432189.1	3432189	Rosavirus acaliforni	0.1873	out_of_scope	Viruses|Riboviria|Orthornavirae|Pisuviricota|Pisoniviricetes|Picornavirales|Picornaviridae|Rosavirus|Rosavirus acaliforni|Rosavirus acaliforni strain		out_of_scope	0	0	0
3	vASV77.0	2601632.1	3060524	Pawinskivirus PS119XW	0.1851	out_of_scope	Viruses|Duplodnaviria|Heunggongvirae|Uroviricota|Caudoviricetes||Chimalliviridae|Pawinskivirus|Pawinskivirus PS119XW|Pseudomonas phage vB_PaeM_PS119XW strain		out_of_scope	0	0	0
3	vASV26.0	2905675.1	31532	Skunavirus sk1	0.1833	out_of_scope	Viruses|Duplodnaviria|Heunggongvirae|Uroviricota|Caudoviricetes|||Skunavirus|Skunavirus sk1|Lactococcus phage SK1 strain		out_of_scope	0	0	0
3	ASV65.2	2003188.1	2003188	Parolsenella catena	0.1774	gtdb_profile_scope	cellular organisms|Bacteria|Bacillati|Actinomycetota|Coriobacteriia|Coriobacteriales|Atopobiaceae|Parolsenella|Parolsenella catena|Parolsenella catena strain	s__Parolsenella catena	unique_species_taxid	1	1	1
3	ASV577.0	187327.1	187327	Acidaminococcus intestini	0.1724	gtdb_profile_scope	cellular organisms|Bacteria|Bacillati|Bacillota|Negativicutes|Acidaminococcales|Acidaminococcaceae|Acidaminococcus|Acidaminococcus intestini|Acidaminococcus intestini strain	s__Acidaminococcus intestini	unique_gtdb_binomial	5	5	1
3	vASV61.0	1788294.1	3430121	Kayfunavirus 101118UKE1	0.1722	out_of_scope	Viruses|Duplodnaviria|Heunggongvirae|Uroviricota|Caudoviricetes|Autographivirales|Autotranscriptaviridae|Kayfunavirus|Kayfunavirus 101118UKE1|Escherichia phage LM33_P1 strain		out_of_scope	0	0	0
3	vASV38.0	1582155.1	2843976	Sherbrookevirus CD506	0.164	out_of_scope	Viruses|Duplodnaviria|Heunggongvirae|Uroviricota|Caudoviricetes|||Sherbrookevirus|Sherbrookevirus CD506|Clostridium phage phiCD506 strain		out_of_scope	0	0	0
3	hvASV21.0	3047961.1	3047961	Cyclovirus manukha	0.1633	out_of_scope	Viruses|Monodnaviria|Shotokuvirae|Cressdnaviricota|Arfiviricetes|Cirlivirales|Circoviridae|Cyclovirus|Cyclovirus manukha|Cyclovirus manukha strain		out_of_scope	0	0	0
3	vASV20.0	2886925.1	10752	Enquatrovirus N4	0.1616	out_of_scope	Viruses|Duplodnaviria|Heunggongvirae|Uroviricota|Caudoviricetes||Schitoviridae|Enquatrovirus|Enquatrovirus N4|Escherichia phage N4 strain		out_of_scope	0	0	0
