taxid	species_name	gtdb_species	call_status	gtdb_mapping_method	calibrated_probability	calibrated_abundance	reported_ani	u_XnY_ctx_max	s_XnY_ctx_max	u_Ref_breadth_max	s_Ref_breadth_max	u_Real_min_align_fraction_max	s_Real_min_align_fraction_max	u_Ref_zip_af_max	s_Ref_zip_af_max	u_Ref_hit_mean_depth_max	s_Ref_hit_mean_depth_max	tail_rescue_added	low_extra_split_rescue_added	candidate_rescue_added	raw_unique_fallback	auto_exact_split_used	s_best_accession	u_best_accession
161896	Corynebacterium camporealensis	s__Corynebacterium camporealense	TP	best_ref_s_best_accession:exact_accession	0.9630194956157956	0.013777526137718	0.997801	931.0	1000	0.931	0.952763	0.931	1.0	1.0	0.952784	1.249194	10.725528	False	False	False	False	True	GCF_000980815.1	GCF_000980815.1
161879	Corynebacterium kroppenstedtii	s__Corynebacterium kroppenstedtii	TP	best_ref_s_best_accession:exact_accession	0.9718415002934986	0.0126924230525805	0.980895	471.0	999	0.471	0.656812	0.471	0.999	1.0	0.656845	1.272727	9.881079	False	False	False	False	True	GCF_000023145.1	GCF_000023145.1
146827	Corynebacterium simulans	s__Corynebacterium simulans	TP	best_ref_s_best_accession:exact_accession	0.9096057473873824	0.0119218877417188	0.973715	513.0	638	0.513	0.560819	0.513	0.638	1.0	0.560872	1.202729	9.281614	False	False	False	False	True	GCF_001586215.1	GCF_001586215.1
65058	Corynebacterium ulcerans	s__Corynebacterium ulcerans	TP	best_ref_s_best_accession:exact_accession	0.5148686455151302	0.0075689842363109	0.952644	297.0	419	0.297	0.351834	0.297	0.419	0.844421	0.352808	1.232323	5.908482	False	False	False	False	True	GCF_900187135.1	GCF_900187135.1
1313	Streptococcus pneumoniae	s__Streptococcus pneumoniae	TP	best_ref_s_best_accession:exact_accession	0.7487495284848951	0.0049409903265001	0.939566	171.0	860	0.171	0.258943	0.171	0.86	1.0	0.264594	1.894737	12.514925	False	False	False	False	True	GCF_001457635.1	GCF_001457635.1
1717	Corynebacterium diphtheriae	s__Corynebacterium diphtheriae	TP	best_ref_s_best_accession:exact_accession	0.7409119753630851	0.0045496464303738	0.976061	413.0	781	0.413	0.573474	0.413	0.781	0.533369	0.590579	1.922518	3.647371	False	False	False	False	True	GCF_001457455.1	GCF_001457455.1
1282	Staphylococcus epidermidis	s__Staphylococcus epidermidis	TP	best_ref_s_best_accession:exact_accession	0.983907610442918	0.0045022563698859	1.0	803.0	888	0.803	0.833638	0.803	0.888	1.0	1.0	1.094645	4.20427	False	False	False	False	True	GCF_006742205.1	GCF_006742205.1
1705	Corynebacterium stationis	s__Corynebacterium stationis	TP	best_ref_s_best_accession:exact_accession	0.8258007824323341	0.0043962763041752	0.989939	625.0	964	0.625	0.775295	0.625	0.964	1.0	0.801451	1.0736	3.537796	False	False	False	False	True	GCF_001941345.1	GCF_001941345.1
2763067	Streptococcus hominis	s__Streptococcus hominis	TP	best_ref_s_best_accession:exact_accession	0.5542267960066392	0.0033975674587389	0.938249	149.0	412	0.149	0.238788	0.149	0.412	1.0	0.257042	1.067114	2.847063	False	False	False	False	True	GCF_014287335.1	GCF_014287335.1
1744	Propionibacterium freudenreichii	s__Propionibacterium freudenreichii	TP	best_ref_s_best_accession:exact_accession	0.9554667520013084	0.0033513567563735	0.989719	719.0	782	0.719	0.738861	0.719	0.782	1.0	0.797575	1.058414	2.816222	False	False	False	False	True	GCF_000940845.1	GCF_000940845.1
1292	Staphylococcus warneri	s__Staphylococcus warneri	TP	best_ref_s_best_accession:exact_accession	0.8160899233093142	0.0031283595373151	0.98752	579.0	833	0.579	0.693364	0.579	0.833	1.0	0.75991	1.184801	2.66904	False	False	False	False	True	GCF_900636385.1	GCF_900636385.1
1314	Streptococcus pyogenes	s__Streptococcus pyogenes	TP	best_ref_s_best_accession:exact_accession	0.9537442965384896	0.0030043339583341	0.991678	699.0	824	0.699	0.752384	0.699	0.824	1.0	0.832695	1.39628	2.588406	False	False	False	False	True	GCF_002055535.1	GCF_002055535.1
349751	Corynebacterium marinum	s__Corynebacterium marinum	TP	best_ref_s_best_accession:exact_accession	0.9435658206497612	0.0029294360350865	0.991408	696.0	847	0.696	0.74314	0.696	0.847	1.0	0.827769	1.034483	2.540157	False	False	False	False	True	GCF_000835165.1	GCF_000835165.1
28028	Corynebacterium flavescens	s__Corynebacterium flavescens	TP	best_ref_s_best_accession:exact_accession	0.9591969870038324	0.0029156401350253	0.997029	827.0	875	0.827	0.839918	0.827	0.875	1.0	0.93672	1.08948	2.531305	False	False	False	False	True	GCF_008693105.1	GCF_008693105.1
283734	Staphylococcus pseudintermedius	s__Staphylococcus pseudintermedius	TP	best_ref_s_best_accession:exact_accession	0.7621276258457403	0.00278014648243	0.976586	444.0	671	0.444	0.528834	0.444	0.671	1.0	0.597443	1.304054	2.44502	False	False	False	False	True	GCF_001792775.2	GCF_001792775.2
730	[Haemophilus] ducreyi	s__Haemophilus_B ducreyi	TP	best_ref_s_best_accession:exact_accession	0.9120700938110428	0.0024913569408914	0.980073	546.0	575	0.546	0.552316	0.546	0.575	1.0	0.645068	1.391941	2.265121	False	False	False	False	True	GCF_900109315.1	GCF_900109315.1
152794	Corynebacterium efficiens	s__Corynebacterium efficiens	TP	best_ref_s_best_accession:exact_accession	0.957036240834556	0.0021461811612805	0.990178	589.0	754	0.589	0.654115	0.589	0.754	1.0	0.805671	1.073005	2.057821	False	False	False	False	True	GCF_000011305.1	GCF_000011305.1
258224	Corynebacterium resistens	s__Corynebacterium resistens	TP	best_ref_s_best_accession:exact_accession	0.9586758874420624	0.0019479963294126	0.992331	626.0	725	0.626	0.659332	0.626	0.725	1.0	0.844747	1.044728	1.94289	False	False	False	False	True	GCF_000177535.2	GCF_000177535.2
160386	Corynebacterium casei	s__Corynebacterium casei	TP	best_ref_s_best_accession:exact_accession	0.9298453626376636	0.0019455779963767	0.965995	278.0	515	0.278	0.369188	0.278	0.515	1.0	0.473261	1.153846	1.941508	False	False	False	False	True	GCF_000550785.1	GCF_000550785.1
43771	Corynebacterium urealyticum	s__Corynebacterium urealyticum	TP	best_ref_s_best_accession:exact_accession	0.9348026185487128	0.0017242579023785	0.967909	262.0	560	0.262	0.364653	0.262	0.56	1.0	0.49361	1.01145	3.53221	False	False	False	False	True	GCF_000069945.1	GCF_000069945.1
472569	Devriesea agamarum	s__Devriesea agamarum	TP	best_ref_s_best_accession:exact_accession	0.9590625165418064	0.0016763292795897	0.999286	715.0	723	0.715	0.717461	0.715	0.723	1.0	0.984419	1.012587	1.790518	False	False	False	False	True	GCF_900070355.1	GCF_900070355.1
72000	Kocuria rhizophila	s__Kocuria rhizophila_A	TP	best_ref_s_best_accession:exact_accession	0.8171240798193293	0.0016648839329996	0.989572	513.0	712	0.513	0.577479	0.513	0.712	1.0	0.794998	1.02924	2.059113	False	False	False	False	True	GCF_000010285.1	GCF_000010285.1
1404244	Corynebacterium glyciniphilum	s__Corynebacterium glyciniphilum	TP	best_ref_s_best_accession:exact_accession	0.7768405322646013	0.0016287626805358	0.893048	58.0	91	0.058	0.068329	0.058	0.091	1.0	0.095088	1.181818	6.141901	False	False	False	False	True	GCF_000626675.1	GCF_000626675.1
33075	Acidobacterium capsulatum	s__Acidobacterium capsulatum	TP	best_ref_s_best_accession:exact_accession	0.9607454074706008	0.0016018131989415	0.99825	674.0	712	0.674	0.685701	0.674	0.712	1.0	0.962225	1.017804	1.749811	False	False	False	False	True	GCF_000022565.1	GCF_000022565.1
38305	Corynebacterium vitaeruminis	s__Corynebacterium vitaeruminis	TP	best_ref_s_best_accession:exact_accession	0.9836305837944236	0.0015973487593914	0.99223	576.0	660	0.576	0.599807	0.576	0.66	1.0	0.842875	1.022569	2.353015	False	False	False	False	True	GCF_000550805.1	GCF_000550805.1
1697	Corynebacterium ammoniagenes	s__Corynebacterium ammoniagenes	TP	best_ref_s_best_accession:exact_accession	0.9532192200136788	0.0012396163740098	0.986958	448.0	511	0.448	0.464618	0.448	0.511	1.0	0.750577	1.029018	1.55892	False	False	False	False	True	GCF_001941425.1	GCF_001941425.1
74706	Staphylococcus coagulans	s__Staphylococcus coagulans	TP	best_ref_s_best_accession:exact_accession	0.5465355283616056	0.0011236453959456	0.966132	221.0	347	0.221	0.276753	0.221	0.347	1.0	0.474689	1.027149	1.500319	False	False	False	False	True	GCF_002901995.1	GCF_002901995.1
1308	Streptococcus thermophilus	s__Streptococcus thermophilus	TP	best_ref_s_best_accession:exact_accession	0.5111313148762902	0.001111587494077	0.94774	131.0	315	0.131	0.183413	0.131	0.315	1.0	0.316728	1.007634	1.4943	False	False	False	False	True	GCF_010120595.1	GCF_010120595.1
43765	Corynebacterium amycolatum	s__Corynebacterium amycolatum	TP	best_ref_s_best_accession:exact_accession	0.4474195430254495	0.0010844220035719	0.974343	234.0	472	0.234	0.324197	0.234	0.472	1.0	0.568676	1.021368	2.311398	False	False	False	False	True	GCF_049243625.1	GCF_049243625.1
191493	Corynebacterium sphenisci	s__Corynebacterium sphenisci	TP	best_ref_s_best_accession:exact_accession	0.9620340026579506	0.0010457153553584	0.990903	443.0	497	0.443	0.455922	0.443	0.497	1.0	0.818619	1.015801	1.461648	False	False	False	False	True	GCF_001941505.1	GCF_001941505.1
1231000	Corynebacterium lactis	s__Corynebacterium lactis	TP	best_ref_s_best_accession:exact_accession	0.9836334689615304	0.0010392286246857	0.991625	448.0	484	0.448	0.461355	0.448	0.484	1.0	0.831725	1.013393	3.355854	False	False	False	False	True	GCF_001274895.1	GCF_001274895.1
1358	Lactococcus lactis	s__Lactococcus lactis	TP	best_ref_s_best_accession:exact_accession	0.9511586016885624	0.001032570998322	0.978873	317.0	396	0.317	0.347039	0.317	0.396	1.0	0.628258	1.028391	1.455182	False	False	False	False	True	GCF_029023865.1	GCF_029023865.1
48296	Acinetobacter pittii	s__Acinetobacter pittii	TP	best_ref_s_best_accession:exact_accession	0.6391248294797063	0.0010142899303469	0.913458	36.0	222	0.036	0.08134	0.036	0.222	1.0	0.148983	1.0	1.446213	False	False	False	False	True	GCF_000369045.1	GCF_000369045.1
1304	Streptococcus salivarius	s__Streptococcus salivarius	TP	best_ref_s_best_accession:exact_accession	0.4848579892534844	0.001012739063097	0.952909	111.0	477	0.111	0.193554	0.111	0.477	1.0	0.354871	1.027027	1.674838	False	False	False	False	True	GCF_000785515.1	GCF_000785515.1
1359	Lactococcus cremoris	s__Lactococcus cremoris	TP	best_ref_s_best_accession:exact_accession	0.9647923601400936	0.0009537385173886	0.986075	361.0	427	0.361	0.385772	0.361	0.427	1.0	0.736132	1.033241	1.416745	False	False	False	False	True	GCF_044358145.1	GCF_044358145.1
191610	Corynebacterium atypicum	s__Corynebacterium atypicum	TP	best_ref_s_best_accession:exact_accession	0.9608050701465516	0.0009490127878919	0.995297	460.0	498	0.46	0.470957	0.46	0.498	1.0	0.901699	1.026087	1.414459	False	False	False	False	True	GCF_000732945.1	GCF_000732945.1
571915	Corynebacterium mustelae	s__Corynebacterium mustelae	TP	best_ref_s_best_accession:exact_accession	0.9621564546727922	0.0009386806899134	0.994919	445.0	487	0.445	0.463611	0.445	0.487	1.0	0.89424	1.022472	1.40947	False	False	False	False	True	GCF_001020985.1	GCF_001020985.1
446860	Kocuria flava	s__Kocuria flava	TP	best_ref_s_best_accession:exact_accession	0.9590142551959726	0.0008944708117632	0.991027	388.0	486	0.388	0.411727	0.388	0.486	1.0	0.820859	1.007732	1.388237	False	False	False	False	True	GCF_001482365.1	GCF_001482365.1
1912856	Peptoniphilus sp. ING2-D1G	s__Peptoniphilus_E sp000952975	TP	best_ref_s_best_accession:exact_accession	0.9610254982821974	0.0008917443715011	0.99838	474.0	501	0.474	0.482991	0.474	0.501	1.0	0.964977	1.021097	1.386934	False	False	False	False	True	GCA_000952975.1	GCA_000952975.1
75985	Mannheimia haemolytica	s__Mannheimia haemolytica	TP	best_ref_s_best_accession:exact_accession	0.7641482717644307	0.0008832296000103	0.976373	216.0	400	0.216	0.295653	0.216	0.4	1.0	0.594638	1.013889	1.382868	False	False	False	False	True	GCF_004342115.1	GCF_004342115.1
3037696	Ralstonia nicotianae	s__Ralstonia nicotianae	TP	best_ref_s_best_accession:exact_accession	0.73924493359366	0.0008570417838264	0.970624	186.0	370	0.186	0.255105	0.186	0.37	1.0	0.523999	1.021505	1.370408	False	False	False	False	True	GCF_018243235.1	GCF_018243235.1
1868794	Jeotgalibaca arthritidis	s__Jeotgalibaca arthritidis	TP	best_ref_s_best_accession:exact_accession	0.8272312730647019	0.0008478870050779	0.972419	253.0	283	0.253	0.263377	0.253	0.283	1.0	0.545098	1.003953	1.366069	False	False	False	False	True	GCF_011100465.1	GCF_011100465.1
1510	Thermoclostridium stercorarium	s__Thermoclostridium stercorarium	TP	best_ref_s_best_accession:exact_accession	0.959219945620591	0.0008327158452153	0.996946	443.0	452	0.443	0.446034	0.443	0.452	1.0	0.935016	1.015801	1.358894	False	False	False	False	True	GCF_000331995.1	GCF_000331995.1
408	Methylorubrum extorquens	s__Methylobacterium extorquens	TP	best_ref_s_best_accession:exact_accession	0.4362602824106016	0.000801162555163	0.944249	93.0	236	0.093	0.136105	0.093	0.236	1.0	0.293313	1.064516	1.77027	False	False	False	False	True	GCA_900234795.1	GCA_900234795.1
1336795	Formosa sp. Hel3_A1_48	s__UBA3537 sp001735715	TP	best_ref_s_best_accession:exact_accession	0.814043834693458	0.0007776282614798	0.990341	300.0	452	0.3	0.367181	0.3	0.452	1.0	0.808556	1.006667	1.33303	False	False	False	False	True	GCF_001735715.1	GCF_001735715.1
161895	Corynebacterium phocae	s__Corynebacterium phocae	TP	best_ref_s_best_accession:exact_accession	0.8575900300402763	0.0005140674451688	0.953553	116.0	130	0.116	0.118706	0.116	0.13	1.0	0.359931	1.025862	1.213401	False	False	False	False	True	GCF_008693075.1	GCF_008693075.1
313598	Polaribacter sp. MED152	s__Polaribacter sp000152945	TP	best_ref_s_best_accession:exact_accession	0.93046527299674	9.120980593794832e-05	0.990551	52.0	66	0.052	0.055677	0.052	0.066	1.0	0.812313	1.019231	1.035922	False	False	False	False	True	GCF_000152945.2	GCF_000152945.2
