sample	genome_id	taxid	truth_name	transfer_method	source_sequence_id	source_sequence_id_class	sampled_read_rows	taxid_gtdb_species_count	truth_abundance_pct_all
3	Otu805	294	Pseudomonas fluorescens	ambiguous_taxid	NODE_13_length_144826_cov_70.991811	assembly_contig_label	24	124	0.0098
3	Otu370.1	669041	Tenacibaculum dicentrarchi	ambiguous_taxid	NODE_4_length_110084_cov_122.382340	assembly_contig_label	22	2	0.0315
3	Otu370.1	669041	Tenacibaculum dicentrarchi	ambiguous_taxid	NODE_3_length_136262_cov_118.861101	assembly_contig_label	22	2	0.0315
3	Otu370.1	669041	Tenacibaculum dicentrarchi	ambiguous_taxid	NODE_9_length_79324_cov_106.609000	assembly_contig_label	22	2	0.0315
3	Otu805	294	Pseudomonas fluorescens	ambiguous_taxid	NODE_10_length_182315_cov_64.735713	assembly_contig_label	22	124	0.0098
3	Otu1548.1	1063	Rhodobacter sphaeroides	ambiguous_taxid	NZ_CP015212.1	other	22	6	0.0129
3	Otu1062.0	669041	Tenacibaculum dicentrarchi	ambiguous_taxid	NODE_14_length_63258_cov_100.806339	assembly_contig_label	20	2	0.0315
3	Otu1062.0	669041	Tenacibaculum dicentrarchi	ambiguous_taxid	NODE_7_length_90646_cov_104.969984	assembly_contig_label	20	2	0.0315
3	Otu370.1	669041	Tenacibaculum dicentrarchi	ambiguous_taxid	NODE_7_length_83220_cov_130.211907	assembly_contig_label	20	2	0.0315
3	Otu1062.0	669041	Tenacibaculum dicentrarchi	ambiguous_taxid	NODE_3_length_127036_cov_110.607900	assembly_contig_label	20	2	0.0315
3	Otu370.1	669041	Tenacibaculum dicentrarchi	ambiguous_taxid	NODE_8_length_81896_cov_141.644706	assembly_contig_label	20	2	0.0315
3	Otu1548.1	1063	Rhodobacter sphaeroides	ambiguous_taxid	NZ_CP015214.1	other	18	6	0.0129
3	Otu370.1	669041	Tenacibaculum dicentrarchi	ambiguous_taxid	NODE_10_length_71629_cov_115.236430	assembly_contig_label	18	2	0.0315
3	Otu805	294	Pseudomonas fluorescens	ambiguous_taxid	NODE_16_length_130037_cov_76.283758	assembly_contig_label	18	124	0.0098
3	Otu1062.0	669041	Tenacibaculum dicentrarchi	ambiguous_taxid	NODE_12_length_66528_cov_100.804747	assembly_contig_label	18	2	0.0315
3	Otu805	294	Pseudomonas fluorescens	ambiguous_taxid	NODE_23_length_75463_cov_62.072807	assembly_contig_label	16	124	0.0098
3	Otu370.1	669041	Tenacibaculum dicentrarchi	ambiguous_taxid	NODE_15_length_50324_cov_121.311035	assembly_contig_label	16	2	0.0315
3	Otu1062.0	669041	Tenacibaculum dicentrarchi	ambiguous_taxid	NODE_21_length_46553_cov_110.454594	assembly_contig_label	16	2	0.0315
3	Otu1062.0	669041	Tenacibaculum dicentrarchi	ambiguous_taxid	NODE_4_length_108889_cov_104.695859	assembly_contig_label	16	2	0.0315
3	Otu370.1	669041	Tenacibaculum dicentrarchi	ambiguous_taxid	NODE_26_length_35674_cov_107.271331	assembly_contig_label	16	2	0.0315
3	Otu1062.0	669041	Tenacibaculum dicentrarchi	ambiguous_taxid	NODE_15_length_57551_cov_135.987375	assembly_contig_label	14	2	0.0315
4	Otu24.0	467094	Ilumatobacter coccineus	ambiguous_taxid	AP012057.1	other	29366	2	0.4123
4	Otu1337	1491	Clostridium botulinum	ambiguous_taxid	CP006903.1	other	9266	13	0.163
4	Otu47.0	1263979	Candidatus Endolissoclinum faulkneri	ambiguous_taxid	CP006745.1	other	6476	2	0.4995
4	Otu40.0	1263979	Candidatus Endolissoclinum faulkneri	ambiguous_taxid	CP003539.1	other	4492	2	0.4995
4	Otu219.0	73141	Thiocystis violascens	ambiguous_taxid	CP003154.1	other	3570	2	0.0479
4	Otu238.0	1250153	Maribacter sp. MAR_2009_60	unmapped	LT629754.1	other	3414	0	0.0479
4	Otu987	1155739	Moorea producens	ambiguous_taxid	NZ_CP017708.1	other	2648	2	0.0192
4	Otu64.0	2296	Desulfobacterium autotrophicum	ambiguous_taxid	CP001087.1	other	2388	2	0.0288
4	Otu212.0	89184	Ruegeria pomeroyi	ambiguous_taxid	CP000031.2	other	2296	2	0.0384
4	Otu457.0	111501	Muricauda ruestringensis	ambiguous_taxid	CP002999.1	other	2168	2	0.0384
4	Otu1000	324767	Bacillus infantis	ambiguous_taxid	CP006643.1	other	2066	5	0.0288
4	Otu183.1	2743	Marinobacter hydrocarbonoclasticus	ambiguous_taxid	CP000514.1	other	1980	4	0.0357
4	Otu1389.0	1833	Rhodococcus erythropolis	ambiguous_taxid	AP008957.1	other	1722	5	0.0192
4	Otu1236	1219	Prochlorococcus marinus	ambiguous_taxid	CP000111.1	other	1262	55	0.2205
4	Otu174	1219	Prochlorococcus marinus	ambiguous_taxid	NZ_GL947595.1	other	1048	55	0.2205
4	Otu465	713887	Candidatus Atelocyanobacterium thalassa	ambiguous_taxid	CP001842.1	other	1042	3	0.0479
4	Otu252	316279	Synechococcus sp. CC9902	ambiguous_taxid	CP000097.1	other	1008	2	0.0288
4	Otu492	1219	Prochlorococcus marinus	ambiguous_taxid	CP000576.1	other	938	55	0.2205
4	Otu169.1	1336795	Formosa sp. Hel3_A1_48	ambiguous_taxid	NZ_CP017259.1	other	872	2	0.0273
4	Otu1242	349106	Psychrobacter sp. PRwf-1	unmapped	CP000713.1	other	824	0	0.0192
4	Otu1082	1219	Prochlorococcus marinus	ambiguous_taxid	CP000825.1	other	798	55	0.2205
4	Otu185.0	28229	Colwellia psychrerythraea	ambiguous_taxid	CP000083.1	other	722	4	0.0096
4	Otu1200.0	400668	Marinomonas sp. MWYL1	unmapped	CP000749.1	other	708	0	0.0096
4	Otu1548.1	1063	Rhodobacter sphaeroides	ambiguous_taxid	NZ_CP015210.1	other	644	6	0.0126
4	Otu203	316	Pseudomonas stutzeri	ambiguous_taxid	CP007511.1	other	602	51	0.0096
4	Otu583	1219	Prochlorococcus marinus	ambiguous_taxid	CP000552.1	other	482	55	0.2205
4	Otu511	1219	Prochlorococcus marinus	ambiguous_taxid	AE017126.1	other	474	55	0.2205
4	Otu909	543877	Altererythrobacter marensis	ambiguous_taxid	NZ_CP011805.1	other	468	3	0.0096
4	Otu997	582419	Thermococcus paralvinellae	ambiguous_taxid	CP006965.1	other	324	2	0.0096
4	Otu212.0	89184	Ruegeria pomeroyi	ambiguous_taxid	CP000032.1	other	302	2	0.0384
4	Otu447.0	1336794	Formosa sp. Hel1_33_131	ambiguous_taxid	NZ_CP017260.1	other	302	2	0.0063
4	Otu801.1	2743	Marinobacter hydrocarbonoclasticus	ambiguous_taxid	FO203363.1	other	278	4	0.0357
4	Otu1682	1219	Prochlorococcus marinus	ambiguous_taxid	CP000551.1	other	266	55	0.2205
4	Otu767	1427364	Candidatus Thioglobus singularis	ambiguous_taxid	NZ_CP006911.1	other	246	3	0.0096
4	Otu2156	1219	Prochlorococcus marinus	ambiguous_taxid	BX548174.1	other	244	55	0.2205
4	Otu966	744985	alpha proteobacterium HIMB59	ambiguous_taxid	CP003801.1	other	188	2	0.0096
4	Otu1548.1	1063	Rhodobacter sphaeroides	ambiguous_taxid	NZ_CP015211.1	other	178	6	0.0126
4	Otu975	410330	Calyptogena okutanii thioautotrophic gill symbiont	unmapped	AP009247.1	other	142	0	0.0096
4	Otu183.1	2743	Marinobacter hydrocarbonoclasticus	ambiguous_taxid	CP000516.1	other	122	4	0.0357
4	Otu183.1	2743	Marinobacter hydrocarbonoclasticus	ambiguous_taxid	CP000515.1	other	120	4	0.0357
4	Otu1389.0	1833	Rhodococcus erythropolis	ambiguous_taxid	AP008931.1	other	98	5	0.0192
4	Otu1337	1491	Clostridium botulinum	ambiguous_taxid	CP006904.1	other	94	13	0.163
4	Otu64.0	2296	Desulfobacterium autotrophicum	ambiguous_taxid	CP001088.1	other	30	2	0.0288
4	Otu1548.1	1063	Rhodobacter sphaeroides	ambiguous_taxid	NZ_CP015214.1	other	28	6	0.0126
4	Otu370.1	669041	Tenacibaculum dicentrarchi	ambiguous_taxid	NODE_4_length_110084_cov_122.382340	assembly_contig_label	26	2	0.0078
4	Otu1548.1	1063	Rhodobacter sphaeroides	ambiguous_taxid	NZ_CP015212.1	other	26	6	0.0126
4	Otu1389.0	1833	Rhodococcus erythropolis	ambiguous_taxid	AP008932.1	other	20	5	0.0192
4	Otu370.1	669041	Tenacibaculum dicentrarchi	ambiguous_taxid	NODE_1_length_171587_cov_117.312621	assembly_contig_label	20	2	0.0078
4	Otu1548.1	1063	Rhodobacter sphaeroides	ambiguous_taxid	NZ_CP015213.1	other	20	6	0.0126
4	Otu370.1	669041	Tenacibaculum dicentrarchi	ambiguous_taxid	NODE_5_length_92643_cov_113.590990	assembly_contig_label	16	2	0.0078
4	Otu370.1	669041	Tenacibaculum dicentrarchi	ambiguous_taxid	NODE_12_length_63549_cov_103.594557	assembly_contig_label	16	2	0.0078
4	Otu370.1	669041	Tenacibaculum dicentrarchi	ambiguous_taxid	NODE_8_length_81896_cov_141.644706	assembly_contig_label	14	2	0.0078
4	Otu370.1	669041	Tenacibaculum dicentrarchi	ambiguous_taxid	NODE_2_length_170203_cov_135.356893	assembly_contig_label	14	2	0.0078
4	Otu1242	349106	Psychrobacter sp. PRwf-1	unmapped	CP000714.1	other	12	0	0.0192
4	Otu370.1	669041	Tenacibaculum dicentrarchi	ambiguous_taxid	NODE_7_length_83220_cov_130.211907	assembly_contig_label	10	2	0.0078
4	Otu370.1	669041	Tenacibaculum dicentrarchi	ambiguous_taxid	NODE_9_length_79324_cov_106.609000	assembly_contig_label	10	2	0.0078
4	Otu370.1	669041	Tenacibaculum dicentrarchi	ambiguous_taxid	NODE_22_length_39644_cov_102.039375	assembly_contig_label	10	2	0.0078
4	Otu370.1	669041	Tenacibaculum dicentrarchi	ambiguous_taxid	NODE_3_length_136262_cov_118.861101	assembly_contig_label	10	2	0.0078
4	Otu370.1	669041	Tenacibaculum dicentrarchi	ambiguous_taxid	NODE_14_length_54764_cov_145.416897	assembly_contig_label	10	2	0.0078
4	Otu370.1	669041	Tenacibaculum dicentrarchi	ambiguous_taxid	NODE_13_length_59571_cov_111.185233	assembly_contig_label	10	2	0.0078
4	Otu370.1	669041	Tenacibaculum dicentrarchi	ambiguous_taxid	NODE_6_length_85447_cov_126.900574	assembly_contig_label	10	2	0.0078
4	Otu1548.1	1063	Rhodobacter sphaeroides	ambiguous_taxid	NZ_CP015215.1	other	10	6	0.0126
4	Otu1242	349106	Psychrobacter sp. PRwf-1	unmapped	CP000715.1	other	8	0	0.0192
4	Otu370.1	669041	Tenacibaculum dicentrarchi	ambiguous_taxid	NODE_26_length_35674_cov_107.271331	assembly_contig_label	8	2	0.0078
4	Otu370.1	669041	Tenacibaculum dicentrarchi	ambiguous_taxid	NODE_10_length_71629_cov_115.236430	assembly_contig_label	8	2	0.0078
4	Otu370.1	669041	Tenacibaculum dicentrarchi	ambiguous_taxid	NODE_17_length_48777_cov_121.816835	assembly_contig_label	6	2	0.0078
4	Otu370.1	669041	Tenacibaculum dicentrarchi	ambiguous_taxid	NODE_27_length_32540_cov_92.804831	assembly_contig_label	6	2	0.0078
4	Otu370.1	669041	Tenacibaculum dicentrarchi	ambiguous_taxid	NODE_16_length_49901_cov_122.656286	assembly_contig_label	6	2	0.0078
4	Otu370.1	669041	Tenacibaculum dicentrarchi	ambiguous_taxid	NODE_30_length_29742_cov_133.572784	assembly_contig_label	6	2	0.0078
4	Otu370.1	669041	Tenacibaculum dicentrarchi	ambiguous_taxid	NODE_19_length_44227_cov_97.793855	assembly_contig_label	6	2	0.0078
4	Otu370.1	669041	Tenacibaculum dicentrarchi	ambiguous_taxid	NODE_20_length_40742_cov_76.410710	assembly_contig_label	6	2	0.0078
4	Otu370.1	669041	Tenacibaculum dicentrarchi	ambiguous_taxid	NODE_23_length_38199_cov_114.534041	assembly_contig_label	6	2	0.0078
4	Otu370.1	669041	Tenacibaculum dicentrarchi	ambiguous_taxid	NODE_24_length_35894_cov_98.760589	assembly_contig_label	4	2	0.0078
4	Otu987	1155739	Moorea producens	ambiguous_taxid	NZ_CP017709.1	other	4	2	0.0192
4	Otu370.1	669041	Tenacibaculum dicentrarchi	ambiguous_taxid	NODE_33_length_26163_cov_171.913543	assembly_contig_label	4	2	0.0078
4	Otu370.1	669041	Tenacibaculum dicentrarchi	ambiguous_taxid	NODE_11_length_68039_cov_114.520011	assembly_contig_label	4	2	0.0078
4	Otu370.1	669041	Tenacibaculum dicentrarchi	ambiguous_taxid	NODE_90_length_1927_cov_30.356111	assembly_contig_label	4	2	0.0078
4	Otu370.1	669041	Tenacibaculum dicentrarchi	ambiguous_taxid	NODE_40_length_21368_cov_166.258886	assembly_contig_label	4	2	0.0078
4	Otu370.1	669041	Tenacibaculum dicentrarchi	ambiguous_taxid	NODE_45_length_16133_cov_109.973198	assembly_contig_label	4	2	0.0078
4	Otu370.1	669041	Tenacibaculum dicentrarchi	ambiguous_taxid	NODE_18_length_46197_cov_113.181572	assembly_contig_label	4	2	0.0078
4	Otu370.1	669041	Tenacibaculum dicentrarchi	ambiguous_taxid	NODE_21_length_40309_cov_100.043403	assembly_contig_label	2	2	0.0078
4	Otu370.1	669041	Tenacibaculum dicentrarchi	ambiguous_taxid	NODE_61_length_8973_cov_27.990617	assembly_contig_label	2	2	0.0078
4	Otu370.1	669041	Tenacibaculum dicentrarchi	ambiguous_taxid	NODE_32_length_27684_cov_95.945023	assembly_contig_label	2	2	0.0078
4	Otu370.1	669041	Tenacibaculum dicentrarchi	ambiguous_taxid	NODE_31_length_29269_cov_107.515785	assembly_contig_label	2	2	0.0078
4	Otu370.1	669041	Tenacibaculum dicentrarchi	ambiguous_taxid	NODE_75_length_3183_cov_104.624018	assembly_contig_label	2	2	0.0078
4	Otu370.1	669041	Tenacibaculum dicentrarchi	ambiguous_taxid	NODE_41_length_20976_cov_122.908677	assembly_contig_label	2	2	0.0078
4	Otu370.1	669041	Tenacibaculum dicentrarchi	ambiguous_taxid	NODE_50_length_14552_cov_37.937335	assembly_contig_label	2	2	0.0078
4	Otu370.1	669041	Tenacibaculum dicentrarchi	ambiguous_taxid	NODE_35_length_25006_cov_153.335263	assembly_contig_label	2	2	0.0078
4	Otu370.1	669041	Tenacibaculum dicentrarchi	ambiguous_taxid	NODE_39_length_22735_cov_92.939977	assembly_contig_label	2	2	0.0078
4	Otu370.1	669041	Tenacibaculum dicentrarchi	ambiguous_taxid	NODE_47_length_16000_cov_87.282807	assembly_contig_label	2	2	0.0078
4	Otu370.1	669041	Tenacibaculum dicentrarchi	ambiguous_taxid	NODE_82_length_2514_cov_32.832426	assembly_contig_label	2	2	0.0078
4	Otu370.1	669041	Tenacibaculum dicentrarchi	ambiguous_taxid	NODE_36_length_24298_cov_90.231641	assembly_contig_label	2	2	0.0078
4	Otu370.1	669041	Tenacibaculum dicentrarchi	ambiguous_taxid	NODE_42_length_20400_cov_117.748187	assembly_contig_label	2	2	0.0078
4	Otu370.1	669041	Tenacibaculum dicentrarchi	ambiguous_taxid	NODE_49_length_14975_cov_125.926522	assembly_contig_label	2	2	0.0078
4	Otu370.1	669041	Tenacibaculum dicentrarchi	ambiguous_taxid	NODE_53_length_12846_cov_91.084598	assembly_contig_label	2	2	0.0078
4	Otu370.1	669041	Tenacibaculum dicentrarchi	ambiguous_taxid	NODE_28_length_32132_cov_112.107889	assembly_contig_label	2	2	0.0078
4	Otu370.1	669041	Tenacibaculum dicentrarchi	ambiguous_taxid	NODE_86_length_2189_cov_123.976237	assembly_contig_label	2	2	0.0078
4	Otu370.1	669041	Tenacibaculum dicentrarchi	ambiguous_taxid	NODE_52_length_13794_cov_69.280091	assembly_contig_label	2	2	0.0078
4	Otu370.1	669041	Tenacibaculum dicentrarchi	ambiguous_taxid	NODE_94_length_1745_cov_58.040173	assembly_contig_label	2	2	0.0078
4	Otu370.1	669041	Tenacibaculum dicentrarchi	ambiguous_taxid	NODE_70_length_4400_cov_12.961619	assembly_contig_label	2	2	0.0078
5	Otu64.0	2296	Desulfobacterium autotrophicum	ambiguous_taxid	CP001087.1	other	30022	2	0.4175
5	Otu24.0	467094	Ilumatobacter coccineus	ambiguous_taxid	AP012057.1	other	17410	2	0.2812
5	Otu987	1155739	Moorea producens	ambiguous_taxid	NZ_CP017708.1	other	8212	2	0.0767
5	Otu47.0	1263979	Candidatus Endolissoclinum faulkneri	ambiguous_taxid	CP006745.1	other	4922	2	0.3445
5	Otu183.1	2743	Marinobacter hydrocarbonoclasticus	ambiguous_taxid	CP000514.1	other	4366	4	0.0792
5	Otu238.0	1250153	Maribacter sp. MAR_2009_60	unmapped	LT629754.1	other	3948	0	0.0682
5	Otu219.0	73141	Thiocystis violascens	ambiguous_taxid	CP003154.1	other	3828	2	0.0596
5	Otu1337	1491	Clostridium botulinum	ambiguous_taxid	CP006903.1	other	3796	13	0.0767
5	Otu1200.0	400668	Marinomonas sp. MWYL1	unmapped	CP000749.1	other	3332	0	0.0511
5	Otu1000	324767	Bacillus infantis	ambiguous_taxid	CP006643.1	other	2696	5	0.0426
5	Otu203	316	Pseudomonas stutzeri	ambiguous_taxid	CP007511.1	other	1966	51	0.0426
5	Otu40.0	1263979	Candidatus Endolissoclinum faulkneri	ambiguous_taxid	CP003539.1	other	1886	2	0.3445
5	Otu457.0	111501	Muricauda ruestringensis	ambiguous_taxid	CP002999.1	other	1788	2	0.0341
5	Otu174	1219	Prochlorococcus marinus	ambiguous_taxid	NZ_GL947595.1	other	1454	55	0.2215
5	Otu169.1	1336795	Formosa sp. Hel3_A1_48	ambiguous_taxid	NZ_CP017259.1	other	1394	2	0.0546
5	Otu293.0	154	Spirochaeta thermophila	ambiguous_taxid	CP002903.1	other	1352	2	0.0426
5	Otu252	316279	Synechococcus sp. CC9902	ambiguous_taxid	CP000097.1	other	1272	2	0.0426
5	Otu185.0	28229	Colwellia psychrerythraea	ambiguous_taxid	CP000083.1	other	1170	4	0.017
5	Otu1767	1155739	Moorea producens	ambiguous_taxid	NZ_CP017599.1	other	1042	2	0.0767
5	Otu212.0	89184	Ruegeria pomeroyi	ambiguous_taxid	CP000031.2	other	906	2	0.017
5	Otu492	1219	Prochlorococcus marinus	ambiguous_taxid	CP000576.1	other	876	55	0.2215
5	Otu1082	1219	Prochlorococcus marinus	ambiguous_taxid	CP000825.1	other	822	55	0.2215
