dataset	sample	Ref	block_XnY_ctx	exact_XnY_ctx	block_Ref_breadth	exact_Ref_breadth	block_Ref_mean_depth	exact_Ref_mean_depth	block_Normalized_abundance_depth	exact_Normalized_abundance_depth	normalized_abundance_abs_delta	ref_mean_depth_abs_delta
hmp_gastrooral_r232	0	/mnt/new3T/gtdbr220/GTDBr226_genomes/GCF_000827935.1_ASM82793v1_genomic.fna.gz	1000.0	1000.0	0.794087	0.796403	1.067276	6.943506	0.003617	0.006743	0.003126	5.8762300000000005
hmp_gastrooral_r232	0	/mnt/new3T/gtdbr220/GTDBr226_genomes/GCF_000814825.1_ASM81482v1_genomic.fna.gz	999.0	999.0	0.941469	0.943469	1.112924	7.044852	0.003772	0.006841	0.0030689999999999997	5.931927999999999
hmp_gastrooral_r232	0	/mnt/new3T/gtdbr220/GTDBr226_genomes/GCF_000195755.1_ASM19575v1_genomic.fna.gz	995.0	995.0	0.968812	0.97104	1.100067	5.928504	0.003728	0.005757	0.002029	4.828437
hmp_gastrooral_r232	0	/mnt/new3T/gtdbr220/gtdb232/r232add_genomes/GCF_048296725.1_ASM4829672v1_genomic.fna.gz	948.0	949.0	0.898662	0.899045	1.864939	4.57081	0.00632	0.004439	0.0018809999999999999	2.705871
hmp_gastrooral_r232	0	/mnt/new3T/gtdbr220/GTDBr226_genomes/GCF_017356245.1_ASM1735624v1_genomic.fna.gz	181.0	220.0	0.087821	0.105961	0.15937	2.148769	0.00054	0.002087	0.0015469999999999998	1.9893990000000001
hmp_gastrooral_r232	0	/mnt/new3T/gtdbr220/GTDBr226_genomes/GCF_001889325.1_ASM188932v1_genomic.fna.gz	330.0	349.0	0.152329	0.161243	0.435406	3.088177	0.001476	0.002999	0.0015229999999999998	2.652771
hmp_gastrooral_r232	0	/mnt/new3T/gtdbr220/GTDBr226_genomes/GCF_900290265.1_PRJEB24600_genomic.fna.gz	807.0	809.0	0.56228	0.564539	0.724994	3.917124	0.002457	0.003804	0.001347	3.1921299999999997
hmp_gastrooral_r232	0	/mnt/new3T/gtdbr220/gtdb232/r232add_genomes/GCF_052116985.1_ASM5211698v1_genomic.fna.gz	268.0	290.0	0.104018	0.116631	0.283646	2.256015	0.000961	0.002191	0.0012299999999999998	1.972369
hmp_gastrooral_r232	0	/mnt/new3T/gtdbr220/GTDBr226_genomes/GCF_000270205.1_ASM27020v1_genomic.fna.gz	779.0	779.0	0.765979	0.765979	0.794312	1.50914	0.002692	0.001466	0.0012259999999999999	0.7148279999999999
hmp_gastrooral_r232	0	/mnt/new3T/gtdbr220/GTDBr226_genomes/GCF_001020205.1_ASM102020v1_genomic.fna.gz	283.0	305.0	0.115292	0.127701	0.31344	2.350328	0.001062	0.002282	0.0012200000000000002	2.0368880000000003
cami2_toy_mouse	6	/mnt/new3T/gtdbr220/GTDBr226_genomes/GCF_025149285.1_ASM2514928v1_genomic.fna.gz	975.0	975.0	0.891509	0.891509	125.197885	125.984546	0.166672	0.166797	0.000125000000000014	0.7866609999999952
cami2_toy_mouse	6	/mnt/new3T/gtdbr220/GTDBr226_genomes/GCF_000382385.1_ASM38238v1_genomic.fna.gz	921.0	921.0	0.85242	0.85242	65.694821	66.132093	0.087458	0.087556	9.800000000000086e-05	0.437271999999993
cami2_toy_mouse	6	/mnt/new3T/gtdbr220/GTDBr226_genomes/GCF_000238055.2_Oribacterium_sp_ACB1_V2_genomic.fna.gz	967.0	967.0	0.805932	0.805932	2.917668	2.944837	0.003884	0.003899	1.5000000000000256e-05	0.02716900000000022
cami2_toy_mouse	6	/mnt/new3T/gtdbr220/GTDBr226_genomes/GCF_000621805.1_ASM62180v1_genomic.fna.gz	934.0	934.0	0.865078	0.865078	2.518448	2.540273	0.003353	0.003363	1.0000000000000026e-05	0.021825000000000205
cami2_toy_mouse	6	/mnt/new3T/gtdbr220/GTDBr226_genomes/GCF_000010505.1_ASM1050v1_genomic.fna.gz	839.0	839.0	0.74103	0.74103	5.980772	6.006897	0.007962	0.007953	9.000000000000327e-06	0.026125000000000398
cami2_toy_mouse	6	/mnt/new3T/gtdbr220/GTDBr226_genomes/GCA_000403255.2_Lach_bact_3-1_V1_genomic.fna.gz	987.0	987.0	0.787033	0.787033	3.272896	3.297711	0.004357	0.004366	9.000000000000327e-06	0.024815000000000254
cami2_toy_mouse	6	/mnt/new3T/gtdbr220/GTDBr226_genomes/GCF_000829035.1_ASM82903v1_genomic.fna.gz	727.0	727.0	0.696009	0.696009	3.144237	3.168805	0.004186	0.004195	9.000000000000327e-06	0.024567999999999923
cami2_toy_mouse	6	/mnt/new3T/gtdbr220/GTDBr226_genomes/GCF_001953955.1_ASM195395v1_genomic.fna.gz	378.0	378.0	0.307371	0.307371	0.690348	0.700764	0.000919	0.000928	9.000000000000002e-06	0.010416000000000092
cami2_toy_mouse	6	/mnt/new3T/gtdbr220/GTDBr226_genomes/GCF_018127785.1_ASM1812778v1_genomic.fna.gz	945.0	945.0	0.733518	0.733518	2.382089	2.401865	0.003171	0.00318	8.999999999999894e-06	0.019775999999999794
cami2_toy_mouse	6	/mnt/new3T/gtdbr220/GTDBr226_genomes/GCA_019120055.1_ASM1912005v1_genomic.fna.gz	732.0	732.0	0.680954	0.680954	1.562924	1.578924	0.002081	0.00209	8.999999999999894e-06	0.016000000000000014
cami2_toy_mouse	6	/mnt/new3T/gtdbr220/gtdb232/r232add_genomes/GCF_042682085.1_ASM4268208v1_genomic.fna.gz	550.0	550.0	0.514585	0.514585	0.961128	0.973128	0.00128	0.001288	7.999999999999978e-06	0.01200000000000001
cami2_toy_mouse	6	/mnt/new3T/gtdbr220/GTDBr226_genomes/GCF_900103655.1_IMG-taxon_2597490363_annotated_assembly_genomic.fna.gz	907.0	907.0	0.832485	0.832485	2.254098	2.272848	0.003001	0.003009	7.99999999999976e-06	0.018750000000000266
cami2_toy_mouse	6	/mnt/new3T/gtdbr220/GTDBr226_genomes/GCA_000403275.2_Lach_bact_28-4_V1_genomic.fna.gz	988.0	988.0	0.830316	0.830316	3.509039	3.533728	0.004671	0.004678	7.000000000000062e-06	0.02468899999999996
cami2_toy_mouse	6	/mnt/new3T/gtdbr220/GTDBr226_genomes/GCA_024460105.1_ASM2446010v1_genomic.fna.gz	97.0	97.0	0.068689	0.068689	7.394527	7.43095	0.009844	0.009838	6.000000000000796e-06	0.036423000000000094
cami2_toy_mouse	6	/mnt/new3T/gtdbr220/GTDBr226_genomes/GCF_900167385.1_IMG-taxon_2585428083_annotated_assembly_genomic.fna.gz	294.0	294.0	0.230923	0.230923	1.07532	1.085771	0.001432	0.001438	6.000000000000146e-06	0.010450999999999988
cami2_toy_mouse	6	/mnt/new3T/gtdbr220/GTDBr226_genomes/GCF_000613945.1_ASM61394v1_genomic.fna.gz	99.0	99.0	0.050465	0.050465	0.19622	0.201733	0.000261	0.000267	5.999999999999983e-06	0.00551299999999999
cami2_toy_mouse	6	/mnt/new3T/gtdbr220/GTDBr226_genomes/GCA_015065875.1_ASM1506587v1_genomic.fna.gz	3.0	3.0	0.003	0.003	0.151792	0.156792	0.000202	0.000208	5.999999999999983e-06	0.004999999999999977
cami2_toy_mouse	6	/mnt/new3T/gtdbr220/GTDBr226_genomes/GCF_000160855.1_ASM16085v1_genomic.fna.gz	637.0	637.0	0.524311	0.524311	1.0891	1.0906	0.00145	0.001444	5.999999999999929e-06	0.0015000000000000568
cami2_toy_mouse	6	/mnt/new3T/gtdbr220/GTDBr226_genomes/GCF_000184945.1_ASM18494v1_genomic.fna.gz	1000.0	1000.0	0.925119	0.925119	38.860886	39.079752	0.051734	0.05174	5.999999999999062e-06	0.21886599999999845
cami2_toy_mouse	6	/mnt/new3T/gtdbr220/GTDBr226_genomes/GCF_000220255.1_ASM22025v1_genomic.fna.gz	937.0	937.0	0.820916	0.820916	2.489919	2.507541	0.003315	0.00332	5.00000000000023e-06	0.017621999999999804
toy_mouse_first50k	0_first50k	/mnt/new3T/gtdbr220/GTDBr226_genomes/GCA_946579245.1_ERR6769658_bin.3_MetaWRAP_v1.1_MAG_genomic.fna.gz	10.0	10.0	0.0057	0.0057	0.0187	0.0202	0.013109	0.014043	0.0009339999999999991	0.0014999999999999979
toy_mouse_first50k	0_first50k	/mnt/new3T/gtdbr220/GTDBr226_genomes/GCF_000829035.1_ASM82903v1_genomic.fna.gz	348.0	348.0	0.332695	0.332695	0.443296	0.448296	0.310762	0.311646	0.0008839999999999959	0.004999999999999949
toy_mouse_first50k	0_first50k	/mnt/new3T/gtdbr220/GTDBr226_genomes/GCF_030530845.1_ASM3053084v1_genomic.fna.gz	1.0	1.0	0.001	0.001	0.001	0.002	0.000701	0.00139	0.0006889999999999999	0.001
toy_mouse_first50k	0_first50k	/mnt/new3T/gtdbr220/GTDBr226_genomes/GCA_009785325.1_ASM978532v1_genomic.fna.gz	1.0	1.0	0.001	0.001	0.002	0.003	0.001402	0.002086	0.0006840000000000001	0.001
toy_mouse_first50k	0_first50k	/mnt/new3T/gtdbr220/GTDBr226_genomes/GCF_002217985.1_ASM221798v1_genomic.fna.gz	87.0	87.0	0.082659	0.082659	0.089361	0.089361	0.062645	0.062122	0.0005230000000000096	0.0
toy_mouse_first50k	0_first50k	/mnt/new3T/gtdbr220/gtdb232/r232add_genomes/GCA_963705915.1_MFD05512.bin.c.3_genomic.fna.gz	1.0	1.0	0.00025	0.000333	0.00045	0.000833	0.000316	0.000579	0.000263	0.000383
toy_mouse_first50k	0_first50k	/mnt/new3T/gtdbr220/gtdb232/r232add_genomes/GCA_964621585.1_SRP193661_co1_10_genomic.fna.gz	1.0	1.0	0.00025	0.000333	0.00045	0.000833	0.000316	0.000579	0.000263	0.000383
toy_mouse_first50k	0_first50k	/mnt/new3T/gtdbr220/GTDBr226_genomes/GCF_019049135.1_ASM1904913v1_genomic.fna.gz	3.0	3.0	0.000346	0.000346	0.000348	0.000681	0.000244	0.000473	0.000229	0.00033299999999999996
toy_mouse_first50k	0_first50k	/mnt/new3T/gtdbr220/GTDBr226_genomes/GCA_930989465.1_ERR3414580_bin.46_metaWRAP_v1.1_MAG_genomic.fna.gz	21.0	21.0	0.014051	0.014051	0.020961	0.021461	0.014694	0.014919	0.0002249999999999995	0.0005000000000000004
toy_mouse_first50k	0_first50k	/mnt/new3T/gtdbr220/GTDBr226_genomes/GCF_000160855.1_ASM16085v1_genomic.fna.gz	193.0	193.0	0.165692	0.165692	0.194327	0.19566	0.136228	0.136019	0.00020899999999998697	0.0013330000000000009
toy_mouse_first50k	0_first50k	/mnt/new3T/gtdbr220/GTDBr226_genomes/GCF_900103655.1_IMG-taxon_2597490363_annotated_assembly_genomic.fna.gz	17.0	17.0	0.00756	0.00756	0.013847	0.01418	0.009707	0.009857	0.0001499999999999991	0.00033299999999999996
toy_mouse_first50k	0_first50k	/mnt/new3T/gtdbr220/GTDBr226_genomes/GCF_034356035.1_ASM3435603v1_genomic.fna.gz	20.0	20.0	0.018333	0.018333	0.018333	0.018333	0.012852	0.012745	0.00010700000000000119	0.0
toy_mouse_first50k	0_first50k	/mnt/new3T/gtdbr220/GTDBr226_genomes/GCF_001434585.1_ASM143458v1_genomic.fna.gz	21.0	21.0	0.016546	0.016546	0.016946	0.016946	0.01188	0.011781	9.900000000000013e-05	0.0
toy_mouse_first50k	0_first50k	/mnt/new3T/gtdbr220/GTDBr226_genomes/GCA_020724925.1_ASM2072492v1_genomic.fna.gz	2.0	2.0	0.000201	0.000334	0.000203	0.000336	0.000142	0.000234	9.199999999999999e-05	0.00013299999999999998
toy_mouse_first50k	0_first50k	/mnt/new3T/gtdbr220/GTDBr226_genomes/GCA_000424365.1_ASM42436v1_genomic.fna.gz	18.0	18.0	0.014444	0.014444	0.014444	0.014444	0.010126	0.010041	8.5e-05	0.0
toy_mouse_first50k	0_first50k	/mnt/new3T/gtdbr220/GTDBr226_genomes/GCF_000423945.1_ASM42394v1_genomic.fna.gz	12.0	12.0	0.012	0.012	0.012	0.012	0.008412	0.008342	6.999999999999888e-05	0.0
toy_mouse_first50k	0_first50k	/mnt/new3T/gtdbr220/GTDBr226_genomes/GCF_000260435.1_ASM26043v1_genomic.fna.gz	20.0	20.0	0.00836	0.00836	0.011011	0.011011	0.007719	0.007654	6.499999999999995e-05	0.0
toy_mouse_first50k	0_first50k	/mnt/new3T/gtdbr220/GTDBr226_genomes/GCF_001434975.1_ASM143497v1_genomic.fna.gz	18.0	18.0	0.008002	0.008002	0.010531	0.010531	0.007383	0.007321	6.199999999999956e-05	0.0
toy_mouse_first50k	0_first50k	/mnt/new3T/gtdbr220/GTDBr226_genomes/GCF_007095465.1_ASM709546v1_genomic.fna.gz	11.0	11.0	0.008501	0.008501	0.008503	0.008503	0.005961	0.005911	5.0000000000000565e-05	0.0
toy_mouse_first50k	0_first50k	/mnt/new3T/gtdbr220/GTDBr226_genomes/GCF_000829055.1_ASM82905v1_genomic.fna.gz	17.0	17.0	0.006646	0.006646	0.008547	0.008547	0.005992	0.005942	4.99999999999997e-05	0.0
