route	sample	status	gtdb_species	truth_abundance	truth_abundance_pct	high_truth_abundance	raw_candidate_present	raw_mode	raw_accession	gtdb_mapping_method	ANI	XnY_ctx	Real_min_align_fraction	Ref_breadth	Ref_hit_mean_depth	Ref_zip_af	Ref_zip_aaf_ani	Default_call	Default_call_rule
marine_setup_truth_profile_rescore	3	FN	s__Shewanella sp029835735	0.0052627621983309	0.52627621983309	False	True	split_exact	GCF_029835735.1	exact_accession	0.93119	460.0	0.46	0.210122	3.243209	0.22007	0.93119	weak	below_default_call_thresholds
marine_setup_truth_profile_rescore	3	FN	s__Pyrococcus sp000211475	0.0051025911749034	0.51025911749034	False	True	split_exact	GCF_000211475.1	exact_accession	0.999049	932.0	0.932	0.91711	2.943723	0.979289	0.999049	major	breadth>=0.5;rel_depth>=1e-4;support>=min(S,max(100,ceil(S/100)));ANI>=0.95
marine_setup_truth_profile_rescore	3	FN	s__Methanosarcina siciliae	0.004785517924445	0.4785517924445	False	True	split_exact	GCF_000970085.1	exact_accession	0.994048	921.0	0.921	0.817482	2.882628	0.877258	0.994048	major	breadth>=0.5;rel_depth>=1e-4;support>=min(S,max(100,ceil(S/100)));ANI>=0.95
marine_setup_truth_profile_rescore	4	FN	s__Chlorobium phaeobacteroides	0.0044674660612395	0.44674660612395	False	True	split_exact	GCF_000015125.1	exact_accession	0.560005	3.0	0.003	6.1e-05	3.564516	6.3e-05	0.560005	weak	below_default_call_thresholds
marine_setup_truth_profile_rescore	4	FN	s__Nitrosarchaeum limnae	0.0044674660612395	0.44674660612395	False	True	split_exact	GCA_000204585.1	exact_accession	0.997044	896.0	0.896	0.836486	2.500396	0.937033	0.997044	major	breadth>=0.5;rel_depth>=1e-4;support>=min(S,max(100,ceil(S/100)));ANI>=0.95
marine_setup_truth_profile_rescore	5	FN	s__Methylomonas methanica	0.0042132324061841	0.42132324061841003	False	True	split_exact	GCF_001644045.1	exact_accession	0.683126	3.0	0.003	0.000609	1.613782	0.000939	0.683126	weak	below_default_call_thresholds
marine_setup_truth_profile_rescore	3	FN	s__Nitrosopumilus sediminis	0.0039879316037042	0.39879316037041995	False	True	split_exact	GCF_000299395.1	exact_accession	0.992464	880.0	0.88	0.751081	2.454752	0.847215	0.992464	major	breadth>=0.5;rel_depth>=1e-4;support>=min(S,max(100,ceil(S/100)));ANI>=0.95
marine_setup_truth_profile_rescore	3	FN	s__Archaeoglobus fulgidus	0.0033505163063908	0.33505163063908	False	True	split_exact	GCF_000008665.1	exact_accession	0.992698	737.0	0.737	0.7127	2.166838	0.851586	0.992698	major	breadth>=0.5;rel_depth>=1e-4;support>=min(S,max(100,ceil(S/100)));ANI>=0.95
marine_setup_truth_profile_rescore	3	FN	s__Nanoarchaeum equitans	0.0033505163063908	0.33505163063908	False	True	split_exact	GCA_000008085.1	exact_accession	0.999063	826.0	0.826	0.826	2.197337	0.979599	0.999063	major	breadth>=0.5;rel_depth>=1e-4;support>=min(S,max(100,ceil(S/100)));ANI>=0.95
marine_setup_truth_profile_rescore	4	FN	s__Nitrosopumilus sediminis	0.0031924738842986	0.31924738842986	False	True	split_exact	GCF_000299395.1	exact_accession	0.992824	805.0	0.805	0.68839	2.035084	0.853952	0.992824	major	breadth>=0.5;rel_depth>=1e-4;support>=min(S,max(100,ceil(S/100)));ANI>=0.95
marine_setup_truth_profile_rescore	3	FN	s__Vibrio tasmaniensis	0.0031903452829633	0.31903452829633	False	True	split_exact	GCF_024347635.1	exact_accession	0.881612	342.0	0.342	0.073347	4.869506	0.073937	0.881612	weak	below_default_call_thresholds
marine_setup_truth_profile_rescore	3	FN	s__Nitrosopelagicus brevis	0.0027098322126809	0.27098322126809	False	True	split_exact	GCF_000812185.1	exact_accession	0.993315	760.0	0.76	0.647634	1.849107	0.863225	0.993315	major	breadth>=0.5;rel_depth>=1e-4;support>=min(S,max(100,ceil(S/100)));ANI>=0.95
marine_setup_truth_profile_rescore	5	FN	s__Archaeoglobus fulgidus	0.0025735324410655	0.25735324410655	False	True	split_exact	GCF_000008665.1	exact_accession	0.993258	662.0	0.662	0.64155	1.831796	0.862143	0.993258	major	breadth>=0.5;rel_depth>=1e-4;support>=min(S,max(100,ceil(S/100)));ANI>=0.95
marine_setup_truth_profile_rescore	5	FN	s__Methanosarcina siciliae	0.0025735324410655	0.25735324410655	False	True	split_exact	GCF_000970085.1	exact_accession	0.991728	732.0	0.732	0.636891	1.889976	0.833618	0.991728	major	breadth>=0.5;rel_depth>=1e-4;support>=min(S,max(100,ceil(S/100)));ANI>=0.95
marine_setup_truth_profile_rescore	4	FN	s__Methylomonas methanica	0.0025533133151793	0.25533133151792997	False	True	split_exact	GCF_001644045.1	exact_accession	0.682438	3.0	0.003	0.000609	1.633013	0.000924	0.682438	weak	below_default_call_thresholds
marine_setup_truth_profile_rescore	5	FN	s__Aeropyrum camini	0.0023400743220788	0.23400743220788	False	True	split_exact	GCF_000591035.1	exact_accession	1.0	703.0	0.703	0.696667	1.693301	1.0	1.0	major	breadth>=0.5;rel_depth>=1e-4;support>=min(S,max(100,ceil(S/100)));ANI>=0.95
marine_setup_truth_profile_rescore	4	FN	s__Nitrosopelagicus brevis	0.0022337330306197	0.22337330306196998	False	True	split_exact	GCF_000812185.1	exact_accession	0.992895	665.0	0.665	0.574434	1.658057	0.855295	0.992895	major	breadth>=0.5;rel_depth>=1e-4;support>=min(S,max(100,ceil(S/100)));ANI>=0.95
marine_setup_truth_profile_rescore	4	FN	s__Methanococcus maripaludis	0.0022337330306197	0.22337330306196998	False	True	split_exact	GCF_002945325.1	exact_accession	0.885837	75.0	0.075	0.042969	1.424	0.081139	0.885837	weak	below_default_call_thresholds
marine_setup_truth_profile_rescore	3	FN	s__Aeropyrum camini	0.002232587938795	0.22325879387949998	False	True	split_exact	GCF_000591035.1	exact_accession	0.998791	714.0	0.714	0.708	1.786017	0.973758	0.998791	major	breadth>=0.5;rel_depth>=1e-4;support>=min(S,max(100,ceil(S/100)));ANI>=0.95
marine_setup_truth_profile_rescore	3	FN	s__Methanocaldococcus vulcanius	0.002232587938795	0.22325879387949998	False	True	split_exact	GCF_000024625.1	exact_accession	0.992788	705.0	0.705	0.611891	1.760794	0.853283	0.992788	major	breadth>=0.5;rel_depth>=1e-4;support>=min(S,max(100,ceil(S/100)));ANI>=0.95
marine_setup_truth_profile_rescore	5	FN	s__Clostridium cagae	0.002106616203092	0.21066162030920002	False	True	split_exact	GCF_900290265.1	exact_accession	0.95683	396.0	0.396	0.261704	1.668254	0.386843	0.95683	weak	below_default_call_thresholds
marine_setup_truth_profile_rescore	5	FN	s__Nitrosopumilus sediminis	0.002106616203092	0.21066162030920002	False	True	split_exact	GCF_000299395.1	exact_accession	0.990615	653.0	0.653	0.552724	1.674545	0.813443	0.990615	major	breadth>=0.5;rel_depth>=1e-4;support>=min(S,max(100,ceil(S/100)));ANI>=0.95
cami3_source_readmap_extension_after_recovery	4	FN	s__Bifidobacterium adolescentis	0.0020531746720028	0.20531746720028	False	True	split	GCF_000010425.1	exact_accession	0.938872	619.0	0.619	0.246104	3.059823	0.26059	0.938872	weak	below_default_call_thresholds
marine_setup_truth_profile_rescore	3	FN	s__Chlorobium phaeobacteroides	0.0019155146883366	0.19155146883366	False	True	split_exact	GCF_000015125.1	exact_accession	0.60522	2.0	0.002	2.4e-05	1.08	0.000169	0.60522	weak	below_default_call_thresholds
marine_setup_truth_profile_rescore	3	FN	s__MTP4 sp000970045	0.0019155146883366	0.19155146883366	False	True	split_exact	GCF_000970045.1	exact_accession	0.983789	641.0	0.641	0.467917	1.651522	0.700016	0.983789	weak	below_default_call_thresholds
marine_setup_truth_profile_rescore	4	FN	s__Halorhabdus tiamatea	0.0019141527460601	0.19141527460601	False	True	split_exact	GCF_000470655.1	exact_accession	0.99229	581.0	0.581	0.530856	1.576376	0.843985	0.99229	major	breadth>=0.5;rel_depth>=1e-4;support>=min(S,max(100,ceil(S/100)));ANI>=0.95
marine_setup_truth_profile_rescore	5	FN	s__Nanoarchaeum equitans	0.0016369533990128	0.16369533990128	False	True	split_exact	GCA_000008085.1	exact_accession	1.0	593.0	0.593	0.593	1.436762	1.0	1.0	major	breadth>=0.5;rel_depth>=1e-4;support>=min(S,max(100,ceil(S/100)));ANI>=0.95
marine_setup_truth_profile_rescore	3	FN	s__Thermococcus sp000221185	0.0015951726414816	0.15951726414816	False	True	split_exact	GCF_000221185.1	exact_accession	0.983426	549.0	0.549	0.399499	1.488515	0.69446	0.983426	weak	below_default_call_thresholds
marine_setup_truth_profile_rescore	4	FN	s__Vibrio tasmaniensis	0.0015945724615005	0.15945724615005	False	True	split_exact	GCF_024347635.1	exact_accession	0.874728	296.0	0.296	0.063401	6.097146	0.063546	0.874728	weak	below_default_call_thresholds
cami3_source_readmap_extension_after_recovery	4	FN	s__Alistipes shahii	0.0015535312475217	0.15535312475217	False	True	split	GCF_025145845.1	exact_accession	0.947721	511.0	0.511	0.312934	4.513144	0.31659	0.947721	weak	below_default_call_thresholds
marine_setup_truth_profile_rescore	3	FN	s__Desulfovibrio desulfuricans	0.0014350016180542	0.14350016180542	False	False				0.0	0.0	0.0	0.0	0.0	0.0	0.0		
marine_setup_truth_profile_rescore	3	FN	s__Bacillus pumilus	0.0014350016180542	0.14350016180542	False	True	split_exact	GCF_900186955.1	exact_accession	0.841144	82.0	0.082	0.014241	1.349859	0.030354	0.841144	weak	below_default_call_thresholds
marine_setup_truth_profile_rescore	3	FN	s__Pseudoalteromonas tetraodonis	0.0014350016180542	0.14350016180542	False	True	split_exact	GCF_002310835.1	exact_accession	0.956872	192.0	0.192	0.106247	1.168938	0.387195	0.956872	weak	below_default_call_thresholds
marine_setup_truth_profile_rescore	5	FN	s__Photobacterium profundum	0.0014034952800261	0.14034952800261	False	True	split_exact	GCF_003026285.1	exact_accession	0.857752	87.0	0.087	0.027735	1.585508	0.043741	0.857752	weak	below_default_call_thresholds
marine_setup_truth_profile_rescore	5	FN	s__Francisella noatunensis	0.0014034952800261	0.14034952800261	False	True	split_exact	GCF_009823375.1	exact_accession	0.890358	133.0	0.133	0.053687	1.525566	0.089624	0.890358	weak	below_default_call_thresholds
marine_setup_truth_profile_rescore	4	FN	s__Pseudoalteromonas tetraodonis	0.0012783211382384	0.12783211382384	False	True	split_exact	GCF_002310835.1	exact_accession	0.867705	78.0	0.078	0.028075	1.405858	0.054449	0.867705	weak	below_default_call_thresholds
marine_setup_truth_profile_rescore	4	FN	s__Pyrococcus furiosus	0.0012783211382384	0.12783211382384	False	True	split_exact	GCF_000007305.1	exact_accession	0.99269	457.0	0.457	0.43651	1.402091	0.851454	0.99269	weak	below_default_call_thresholds
marine_setup_truth_profile_rescore	4	FN	s__Desulfovibrio desulfuricans	0.0012783211382384	0.12783211382384	False	False				0.0	0.0	0.0	0.0	0.0	0.0	0.0		
marine_setup_truth_profile_rescore	4	FN	s__Aeropyrum camini	0.0012783211382384	0.12783211382384	False	True	split_exact	GCF_000591035.1	exact_accession	0.999083	484.0	0.484	0.4795	1.373306	0.980021	0.999083	weak	below_default_call_thresholds
marine_setup_truth_profile_rescore	4	FN	s__Methanoculleus marisnigri	0.0012783211382384	0.12783211382384	False	True	split_exact	GCF_000015825.1	exact_accession	0.98283	467.0	0.467	0.301206	1.317188	0.685411	0.98283	weak	below_default_call_thresholds
marine_setup_truth_profile_rescore	3	FN	s__JBDGSM01 sp001761425	0.0012748305946267	0.12748305946267	False	True	split_exact	GCA_001761425.1	exact_accession	0.996924	507.0	0.507	0.505023	1.438541	0.934562	0.996924	major	breadth>=0.5;rel_depth>=1e-4;support>=min(S,max(100,ceil(S/100)));ANI>=0.95
marine_setup_truth_profile_rescore	3	FN	s__Aciduliprofundum sp000327505	0.0012748305946267	0.12748305946267	False	True	split_exact	GCF_000327505.1	exact_accession	0.995806	477.0	0.477	0.4736	1.410682	0.911851	0.995806	weak	below_default_call_thresholds
marine_setup_truth_profile_rescore	3	FN	s__Halorhabdus tiamatea	0.0012748305946267	0.12748305946267	False	True	split_exact	GCF_000470655.1	exact_accession	0.99532	492.0	0.492	0.445244	1.378413	0.902168	0.99532	weak	below_default_call_thresholds
marine_setup_truth_profile_rescore	3	FN	s__Haloquadratum walsbyi	0.0012748305946267	0.12748305946267	False	True	split_exact	GCF_000237865.1	exact_accession	1.0	508.0	0.508	0.48674	1.35046	1.0	1.0	weak	below_default_call_thresholds
marine_setup_truth_profile_rescore	3	FN	s__Pyrobaculum aerophilum	0.0012748305946267	0.12748305946267	False	True	split_exact	GCF_000007225.1	exact_accession	0.996599	483.0	0.483	0.463924	1.386248	0.927918	0.996599	weak	below_default_call_thresholds
marine_setup_truth_profile_rescore	5	FN	s__Pyrococcus furiosus	0.0011700371610394	0.11700371610394	False	True	split_exact	GCF_000007305.1	exact_accession	0.996056	450.0	0.45	0.42956	1.349088	0.916899	0.996056	weak	below_default_call_thresholds
marine_setup_truth_profile_rescore	5	FN	s__Methanococcus maripaludis	0.0011700371610394	0.11700371610394	False	True	split_exact	GCF_002945325.1	exact_accession	0.954616	184.0	0.184	0.156179	1.300931	0.368452	0.954616	weak	below_default_call_thresholds
marine_setup_truth_profile_rescore	5	FN	s__Halorhabdus tiamatea	0.0011700371610394	0.11700371610394	False	True	split_exact	GCF_000470655.1	exact_accession	0.992192	441.0	0.441	0.393959	1.348292	0.842169	0.992192	weak	below_default_call_thresholds
cami3_source_readmap_extension_after_recovery	4	FN	s__Streptococcus salivarius_F	0.0009920166105658	0.09920166105658	False	True	split	GCF_002094005.1	exact_accession	0.903124	452.0	0.452	0.096298	2.055695	0.118687	0.903124	weak	below_default_call_thresholds
marine_setup_truth_profile_rescore	4	FN	s__Thermococcus sp000221185	0.0009587408536788	0.09587408536788	False	True	split_exact	GCF_000221185.1	exact_accession	0.976826	372.0	0.372	0.260439	1.311047	0.600599	0.976826	weak	below_default_call_thresholds
marine_setup_truth_profile_rescore	4	FN	s__Nanoarchaeum equitans	0.0009587408536788	0.09587408536788	False	True	split_exact	GCA_000008085.1	exact_accession	1.0	412.0	0.412	0.412	1.223301	1.0	1.0	weak	below_default_call_thresholds
marine_setup_truth_profile_rescore	4	FN	s__Photobacterium profundum	0.0009587408536788	0.09587408536788	False	True	split_exact	GCF_003026285.1	exact_accession	0.876427	64.0	0.064	0.019952	1.190886	0.065966	0.876427	weak	below_default_call_thresholds
marine_setup_truth_profile_rescore	4	FN	s__Methanocaldococcus vulcanius	0.0009587408536788	0.09587408536788	False	True	split_exact	GCF_000024625.1	exact_accession	0.998568	413.0	0.413	0.350809	1.241518	0.968982	0.998568	weak	below_default_call_thresholds
marine_setup_truth_profile_rescore	4	FN	s__Francisella noatunensis	0.0009587408536788	0.09587408536788	False	True	split_exact	GCF_009823375.1	exact_accession	0.900248	113.0	0.113	0.047825	1.306495	0.11141	0.900248	weak	below_default_call_thresholds
marine_setup_truth_profile_rescore	4	FN	s__Pyrobaculum aerophilum	0.0009587408536788	0.09587408536788	False	True	split_exact	GCF_000007225.1	exact_accession	1.0	372.0	0.372	0.358801	1.230482	1.0	1.0	weak	below_default_call_thresholds
marine_setup_truth_profile_rescore	3	FN	s__Pyrococcus furiosus	0.0009577573441683	0.09577573441683	False	True	split_exact	GCF_000007305.1	exact_accession	0.992906	414.0	0.414	0.398776	1.346409	0.855509	0.992906	weak	below_default_call_thresholds
marine_setup_truth_profile_rescore	3	FN	s__Francisella noatunensis	0.0009577573441683	0.09577573441683	False	True	split_exact	GCF_009823375.1	exact_accession	0.898444	98.0	0.098	0.037678	1.232466	0.107075	0.898444	weak	below_default_call_thresholds
marine_setup_truth_profile_rescore	3	FN	s__Vibrio vulnificus	0.0009577573441683	0.09577573441683	False	True	split_exact	GCF_002224265.1	exact_accession	0.916664	174.0	0.174	0.0817	1.400031	0.159872	0.916664	weak	below_default_call_thresholds
marine_setup_truth_profile_rescore	5	FN	s__Pyrococcus horikoshii	0.0009365790420526	0.09365790420526	False	True	split_exact	GCF_000011105.1	exact_accession	0.995635	406.0	0.406	0.40022	1.318365	0.908434	0.995635	weak	below_default_call_thresholds
marine_setup_truth_profile_rescore	5	FN	s__Desulfovibrio desulfuricans	0.0009365790420526	0.09365790420526	False	True	split_exact	GCF_000420465.1	exact_accession	1.0	1.0	0.001	0.0001	1.0	1.0	1.0	weak	below_default_call_thresholds
marine_setup_truth_profile_rescore	5	FN	s__Bacillus pumilus	0.0009365790420526	0.09365790420526	False	True	split_exact	GCF_900186955.1	exact_accession	0.868073	59.0	0.059	0.009337	1.09612	0.054891	0.868073	weak	below_default_call_thresholds
marine_setup_truth_profile_rescore	5	FN	s__Nitrosopelagicus brevis	0.0009365790420526	0.09365790420526	False	True	split_exact	GCF_000812185.1	exact_accession	0.991259	399.0	0.399	0.343854	1.293689	0.82506	0.991259	weak	below_default_call_thresholds
marine_setup_truth_profile_rescore	5	FN	s__Thermoplasma volcanium	0.0009365790420526	0.09365790420526	False	True	split_exact	GCF_000011185.1	exact_accession	0.99504	376.0	0.376	0.372634	1.292512	0.896624	0.99504	weak	below_default_call_thresholds
marine_setup_truth_profile_rescore	5	FN	s__Archaeoglobus_C veneficus	0.0009365790420526	0.09365790420526	False	True	split_exact	GCF_000194625.1	exact_accession	1.0	395.0	0.395	0.392476	1.267533	1.0	1.0	weak	below_default_call_thresholds
cami3_source_readmap_extension_after_recovery	4	FN	s__Desulfovibrio fairfieldensis	0.000844312073351	0.0844312073351	False	True	split	GCF_001553605.1	exact_accession	0.954589	260.0	0.26	0.1868	1.39532	0.368234	0.954589	weak	below_default_call_thresholds
marine_setup_truth_profile_rescore	5	FN	s__Pseudovibrio sp000156235	0.0008377026622465	0.08377026622465	False	True	split_exact	GCF_000156235.1	exact_accession	0.931529	149.0	0.149	0.081476	1.246443	0.221715	0.931529	weak	below_default_call_thresholds
marine_setup_truth_profile_rescore	3	FN	s__Methanohalophilus halophilus	0.0007975863207408	0.07975863207408	False	True	split_exact	GCF_001889405.1	exact_accession	0.984148	359.0	0.359	0.279872	1.273817	0.705581	0.984148	weak	below_default_call_thresholds
marine_setup_truth_profile_rescore	3	FN	s__Pyrococcus horikoshii	0.0007975863207408	0.07975863207408	False	True	split_exact	GCF_000011105.1	exact_accession	0.994473	357.0	0.357	0.35147	1.27407	0.885503	0.994473	weak	below_default_call_thresholds
marine_setup_truth_profile_rescore	3	FN	s__Nitrosopumilus piranensis	0.0007975863207408	0.07975863207408	False	True	split_exact	GCF_000875775.1	exact_accession	0.9907	364.0	0.364	0.309876	1.258199	0.81498	0.9907	weak	below_default_call_thresholds
marine_setup_truth_profile_rescore	3	FN	s__Methanocaldococcus jannaschii	0.0007975863207408	0.07975863207408	False	True	split_exact	GCF_000091665.1	exact_accession	0.989853	327.0	0.327	0.292942	1.245289	0.799933	0.989853	weak	below_default_call_thresholds
marine_setup_truth_profile_rescore	3	FN	s__Methanococcus maripaludis	0.0007975863207408	0.07975863207408	False	True	split_exact	GCF_002945325.1	exact_accession	0.951899	111.0	0.111	0.089471	1.156454	0.347074	0.951899	weak	below_default_call_thresholds
marine_setup_truth_profile_rescore	3	FN	s__Nitrosarchaeum limnae	0.0007975863207408	0.07975863207408	False	True	split_exact	GCA_000204585.1	exact_accession	0.998031	339.0	0.339	0.307714	1.206303	0.957612	0.998031	weak	below_default_call_thresholds
marine_setup_truth_profile_rescore	3	FN	s__Micromonospora gifhornensis	0.000771435949569	0.0771435949569	False	True	split_exact	GCF_016863515.1	exact_accession	0.935894	148.0	0.148	0.092085	1.255475	0.244063	0.935894	weak	below_default_call_thresholds
cami3_source_readmap_extension_after_recovery	3	FN	s__Bacteroides ovatus	0.0007125142244743	0.07125142244742999	False	True	split	GCF_001314995.1	exact_accession	0.897934	146.0	0.146	0.046187	1.313769	0.105881	0.897934	weak	below_default_call_thresholds
marine_setup_truth_profile_rescore	5	FN	s__Pseudoalteromonas rubra	0.0007031209230659	0.07031209230659	False	True	split_exact	GCF_000238295.3	exact_accession	0.903831	76.0	0.076	0.032773	1.167014	0.120547	0.903831	weak	below_default_call_thresholds
marine_setup_truth_profile_rescore	5	FN	s__Haloferax mediterranei	0.0007031209230659	0.07031209230659	False	True	split_exact	GCF_000306765.2	exact_accession	1.0	326.0	0.326	0.301686	1.186864	1.0	1.0	weak	below_default_call_thresholds
marine_setup_truth_profile_rescore	5	FN	s__Pseudoalteromonas luteoviolacea	0.0007031209230659	0.07031209230659	False	True	split_exact	GCF_001625655.1	exact_accession	0.715468	10.0	0.01	0.001014	1.424855	0.001912	0.715468	weak	below_default_call_thresholds
marine_setup_truth_profile_rescore	5	FN	s__Nitrosopumilus maritimus	0.0007031209230659	0.07031209230659	False	True	split_exact	GCF_000018465.1	exact_accession	1.0	324.0	0.324	0.265782	1.153009	1.0	1.0	weak	below_default_call_thresholds
