panel	sample	gtdb_species	is_truth_species	calibrated_probability	calibrated_abundance	reported_ani	max_xny	max_breadth	max_real_min_af	max_zip_af	max_mean_depth	max_depth_cv	profile
cami2_toy_mouse_gut	5	s__Acetivibrio clariflavus	True	0.9613822564272384	0.0014170635108478	0.989639	400.0	0.373959	0.4	0.79617	0.505017	1.695545	/tmp/minco_current_code_toymouse_refresh_20260627/sample5_current.tsv
cami2_toy_mouse_gut	5	s__Aestuariibacter salexigens	True	0.9612510180190988	0.0016560610714079	0.997281	498.0	0.493104	0.498	0.953058	0.698247	1.222814	/tmp/minco_current_code_toymouse_refresh_20260627/sample5_current.tsv
cami2_toy_mouse_gut	5	s__Bdellovibrio bacteriovorus_B	True	0.9601320293243945	0.0064341314148401	0.977687	645.0	0.57753	0.645	0.612088	1.759288	1.182976	/tmp/minco_current_code_toymouse_refresh_20260627/sample5_current.tsv
cami2_toy_mouse_gut	5	s__Stoquefichus massiliensis	True	0.9581513585357336	0.0005994663797254	1.0	249.0	0.238375	0.249	1.0	0.268334	1.937897	/tmp/minco_current_code_toymouse_refresh_20260627/sample5_current.tsv
cami2_toy_mouse_gut	5	s__Anaeromassilibacillus senegalensis	True	0.9579824726598964	0.0011307104433339	0.999517	420.0	0.392982	0.42	0.989441	0.500786	1.454575	/tmp/minco_current_code_toymouse_refresh_20260627/sample5_current.tsv
cami2_toy_mouse_gut	5	s__Mediterraneibacter torques	True	0.9573127556746786	0.0008129862036081	0.995303	308.0	0.2751	0.308	0.90183	0.328185	1.877675	/tmp/minco_current_code_toymouse_refresh_20260627/sample5_current.tsv
cami2_toy_mouse_gut	5	s__Saccharofermentans sp000621765	True	0.9571565757068874	0.0005078778252761	1.0	217.0	0.204004	0.217	1.0	0.227337	2.139746	/tmp/minco_current_code_toymouse_refresh_20260627/sample5_current.tsv
cami2_toy_mouse_gut	5	s__Parabacteroides gordonii	True	0.9563592006270788	0.0022462357657828	0.978241	462.0	0.392898	0.462	0.619592	0.622977	1.572315	/tmp/minco_current_code_toymouse_refresh_20260627/sample5_current.tsv
cami2_toy_mouse_gut	5	s__Ruminococcoides sp900100595	True	0.9555029464240452	0.0024205493997785	0.992673	634.0	0.5631	0.634	0.851134	0.922195	1.23321	/tmp/minco_current_code_toymouse_refresh_20260627/sample5_current.tsv
cami2_toy_mouse_gut	5	s__Ethanoligenens harbinense	True	0.9547693814230036	0.0007862052997397	0.995675	282.0	0.269736	0.282	0.909229	0.319978	1.860267	/tmp/minco_current_code_toymouse_refresh_20260627/sample5_current.tsv
cami2_toy_mouse_gut	5	s__Ruminiclostridium cellulolyticum	True	0.9535171694394504	0.0005935030991976	0.990698	207.0	0.190128	0.207	0.814937	0.2165	2.253829	/tmp/minco_current_code_toymouse_refresh_20260627/sample5_current.tsv
cami2_toy_mouse_gut	5	s__Ruminococcus flavefaciens_H	True	0.95248456584203	0.0005895942151233	0.995138	216.0	0.202988	0.216	0.898553	0.230085	2.184326	/tmp/minco_current_code_toymouse_refresh_20260627/sample5_current.tsv
cami2_toy_mouse_gut	5	s__Kineothrix sp000403275	False	0.9512074446336244	0.0090887371866048	0.991734	977.0	0.819467	0.977	0.833729	3.391871	0.794356	/tmp/minco_current_code_toymouse_refresh_20260627/sample5_current.tsv
cami2_toy_mouse_gut	5	s__Secundilactobacillus pentosiphilus	True	0.9510450542944154	0.0087710455415954	0.997095	964.0	0.919586	0.964	0.938085	3.683023	0.617757	/tmp/minco_current_code_toymouse_refresh_20260627/sample5_current.tsv
cami2_toy_mouse_gut	5	s__Prevotella pallens	True	0.9504158433255177	0.0029999649082787	0.991271	704.0	0.609792	0.704	0.825271	1.108214	1.188461	/tmp/minco_current_code_toymouse_refresh_20260627/sample5_current.tsv
cami2_toy_mouse_gut	5	s__Butyrivibrio sp000621565	True	0.9503691682711	0.0009729936265299	0.992069	352.0	0.296552	0.352	0.874779	0.365804	1.8211	/tmp/minco_current_code_toymouse_refresh_20260627/sample5_current.tsv
cami2_toy_mouse_gut	5	s__XBD2001 sp900116395	True	0.9494668390435071	0.0001478057016591	1.0	73.0	0.065119	0.073	1.0	0.066161	3.991357	/tmp/minco_current_code_toymouse_refresh_20260627/sample5_current.tsv
cami2_toy_mouse_gut	5	s__Roseburia bovis_A	True	0.9494268821599732	0.0006916814328847	0.99529	249.0	0.24006	0.249	0.927525	0.279137	1.929995	/tmp/minco_current_code_toymouse_refresh_20260627/sample5_current.tsv
cami2_toy_mouse_gut	5	s__Butyrivibrio sp000621605	True	0.9485803162728628	0.0005600292641828	0.985676	183.0	0.161796	0.183	0.835261	0.182922	2.471355	/tmp/minco_current_code_toymouse_refresh_20260627/sample5_current.tsv
cami2_toy_mouse_gut	5	s__Catonella morbi	True	0.9483860488561102	0.0005960275704971	0.98141	175.0	0.155566	0.175	0.664331	0.17724	2.602538	/tmp/minco_current_code_toymouse_refresh_20260627/sample5_current.tsv
cami2_toy_mouse_gut	5	s__Sporobacter termitidis	True	0.9479251464770396	0.0007125713467042	0.995271	249.0	0.24611	0.249	0.978435	0.287443	1.905865	/tmp/minco_current_code_toymouse_refresh_20260627/sample5_current.tsv
cami2_toy_mouse_gut	5	s__Clostridium_AQ innocuum	True	0.9475137867028802	0.0013578836004047	0.937545	138.0	0.115272	0.138	0.592932	0.153832	3.648895	/tmp/minco_current_code_toymouse_refresh_20260627/sample5_current.tsv
cami2_toy_mouse_gut	5	s__Coprobacter fastidiosus	True	0.9467893313796354	0.0005604827297477	0.996425	225.0	0.198354	0.225	0.924366	0.223273	2.277436	/tmp/minco_current_code_toymouse_refresh_20260627/sample5_current.tsv
cami2_toy_mouse_gut	5	s__Hydrogenoanaerobacterium saccharovorans	True	0.9467540918568624	0.0006522497237188	0.980942	170.0	0.166484	0.17	0.679755	0.191969	2.408884	/tmp/minco_current_code_toymouse_refresh_20260627/sample5_current.tsv
cami2_toy_mouse_gut	5	s__Faecalimonas sp000209385	True	0.9454807169767108	0.009797046829624	0.996877	986.0	0.921962	0.986	0.933593	4.094149	0.877322	/tmp/minco_current_code_toymouse_refresh_20260627/sample5_current.tsv
cami2_toy_mouse_gut	5	s__Bacteroides gallinarum	True	0.9440111333686536	0.0021440122371579	0.991186	590.0	0.508244	0.59	0.823742	0.79055	1.261689	/tmp/minco_current_code_toymouse_refresh_20260627/sample5_current.tsv
cami2_toy_mouse_gut	5	s__Sediminibacterium sp000515315	True	0.9434096993061184	0.0005685704388693	0.996478	240.0	0.207947	0.24	0.931027	0.23553	2.208496	/tmp/minco_current_code_toymouse_refresh_20260627/sample5_current.tsv
cami2_toy_mouse_gut	5	s__Acetanaerobacterium elongatum	True	0.9431032002505528	0.0006901332531622	0.997987	263.0	0.254244	0.263	0.985861	0.295533	1.878404	/tmp/minco_current_code_toymouse_refresh_20260627/sample5_current.tsv
cami2_toy_mouse_gut	5	s__Thomasclavelia ramosa	True	0.9430431795134668	0.0007838388423879	0.996466	284.0	0.273782	0.284	0.92519	0.324615	1.805494	/tmp/minco_current_code_toymouse_refresh_20260627/sample5_current.tsv
cami2_toy_mouse_gut	5	s__Alistipes excrementavium	True	0.9426836913838148	0.0034504742248259	0.98944	679.0	0.623514	0.679	0.792687	1.22431	1.100185	/tmp/minco_current_code_toymouse_refresh_20260627/sample5_current.tsv
cami2_toy_mouse_gut	5	s__Thermoclostridium stercorarium	True	0.9426311946459062	0.000783713910123	0.995077	272.0	0.265512	0.272	0.932056	0.314801	1.829321	/tmp/minco_current_code_toymouse_refresh_20260627/sample5_current.tsv
cami2_toy_mouse_gut	5	s__Hominimerdicola sp000621805	True	0.942074163027445	0.0072597479057038	0.995821	947.0	0.876777	0.947	0.912159	2.964169	0.714324	/tmp/minco_current_code_toymouse_refresh_20260627/sample5_current.tsv
cami2_toy_mouse_gut	5	s__Oscillibacter ruminantium	True	0.9417982681321896	0.00077249060572	0.998139	299.0	0.279672	0.299	0.959879	0.330592	1.785921	/tmp/minco_current_code_toymouse_refresh_20260627/sample5_current.tsv
cami2_toy_mouse_gut	5	s__Lentilactobacillus parafarraginis	True	0.9410139972752074	0.0003721652942319	0.934472	49.0	0.036299	0.049	0.635944	0.039406	5.321747	/tmp/minco_current_code_toymouse_refresh_20260627/sample5_current.tsv
cami2_toy_mouse_gut	5	s__Anaerovibrio lipolyticus	True	0.940223277429672	0.0001119539778305	1.0	70.0	0.050113	0.07	1.0	0.050113	5.174725	/tmp/minco_current_code_toymouse_refresh_20260627/sample5_current.tsv
cami2_toy_mouse_gut	5	s__Faecalimonas umbilicata	True	0.9398663078003834	0.000841680180623	0.976479	212.0	0.187104	0.212	0.596036	0.224559	2.358887	/tmp/minco_current_code_toymouse_refresh_20260627/sample5_current.tsv
cami2_toy_mouse_gut	5	s__Acutalibacter muris	True	0.9356671517616733	0.0002821913905104	0.919041	32.0	0.019989	0.032	1.0	0.021278	7.386173	/tmp/minco_current_code_toymouse_refresh_20260627/sample5_current.tsv
cami2_toy_mouse_gut	5	s__Proteiniborus ethanoligenes	True	0.9352803510160366	0.0001549823135366	0.995199	61.0	0.058666	0.061	0.899756	0.060666	4.135003	/tmp/minco_current_code_toymouse_refresh_20260627/sample5_current.tsv
cami2_toy_mouse_gut	5	s__Oribacterium sp000160135	True	0.935145996769273	0.0002555584998773	0.99955	111.0	0.107027	0.111	1.0	0.113266	2.969955	/tmp/minco_current_code_toymouse_refresh_20260627/sample5_current.tsv
cami2_toy_mouse_gut	5	s__Lachnoanaerobaculum sp000209465	True	0.9336806638033336	0.00026351624658	0.996385	123.0	0.10276	0.123	1.0	0.108939	3.168133	/tmp/minco_current_code_toymouse_refresh_20260627/sample5_current.tsv
cami2_toy_mouse_gut	5	s__Cellulosilyticum lentocellum	True	0.9334400422111456	0.0003031735907994	0.998395	127.0	0.1225	0.127	1.0	0.131	2.809982	/tmp/minco_current_code_toymouse_refresh_20260627/sample5_current.tsv
cami2_toy_mouse_gut	5	s__Ruminococcus flavefaciens_C	True	0.9304895912506868	0.0001915273306935	0.950884	32.0	0.026327	0.032	0.339408	0.027404	6.64371	/tmp/minco_current_code_toymouse_refresh_20260627/sample5_current.tsv
cami2_toy_mouse_gut	5	s__Porphyromonas_A cangingivalis	True	0.9296805606708142	0.0039954298971089	0.983265	583.0	0.576277	0.583	0.691993	1.237588	1.138125	/tmp/minco_current_code_toymouse_refresh_20260627/sample5_current.tsv
cami2_toy_mouse_gut	5	s__CAG-791 sp900107575	True	0.928361769596409	0.0002960649115397	1.0	132.0	0.128167	0.132	1.0	0.132525	2.666926	/tmp/minco_current_code_toymouse_refresh_20260627/sample5_current.tsv
cami2_toy_mouse_gut	5	s__Lacticaseibacillus paracasei	True	0.9280829940750672	0.0048374309158524	0.983285	640.0	0.612884	0.64	0.692298	1.499059	1.085674	/tmp/minco_current_code_toymouse_refresh_20260627/sample5_current.tsv
cami2_toy_mouse_gut	5	s__Hungatella hathewayi	True	0.9280217707461182	0.4168705037010741	0.99478	975.0	0.891509	0.975	0.891509	166.355733	0.468838	/tmp/minco_current_code_toymouse_refresh_20260627/sample5_current.tsv
cami2_toy_mouse_gut	5	s__Kandleria vitulina	True	0.926182564422214	0.0036500969879004	0.986901	619.0	0.603314	0.619	0.749621	1.224777	1.115393	/tmp/minco_current_code_toymouse_refresh_20260627/sample5_current.tsv
cami2_toy_mouse_gut	5	s__Parasutterella excrementihominis	True	0.9233928149735248	0.000110816856231	1.0	64.0	0.048474	0.064	1.0	0.049604	4.957823	/tmp/minco_current_code_toymouse_refresh_20260627/sample5_current.tsv
cami2_toy_mouse_gut	5	s__Duodenibacillus massiliensis	True	0.923212995108302	0.0008452092048711	0.983443	222.0	0.218833	0.222	0.694712	0.262833	2.128527	/tmp/minco_current_code_toymouse_refresh_20260627/sample5_current.tsv
cami2_toy_mouse_gut	5	s__Intestinimonas butyriciproducens	True	0.9230781889218936	0.0002642950754004	0.949542	50.0	0.036768	0.05	0.67211	0.038985	5.242895	/tmp/minco_current_code_toymouse_refresh_20260627/sample5_current.tsv
cami2_toy_mouse_gut	5	s__Allobaculum stercoricanis	True	0.922630014449198	0.0002244873959789	0.987144	79.0	0.072051	0.079	0.88783	0.075731	3.689065	/tmp/minco_current_code_toymouse_refresh_20260627/sample5_current.tsv
cami2_toy_mouse_gut	5	s__Butyrivibrio sp000423925	True	0.9224876978044204	0.0011511685263884	0.980971	298.0	0.264937	0.298	0.834578	0.339032	1.891501	/tmp/minco_current_code_toymouse_refresh_20260627/sample5_current.tsv
cami2_toy_mouse_gut	5	s__Prevotella maculosa	True	0.92241739581077	0.1009459415188276	0.990328	874.0	0.808338	0.874	0.808338	36.311943	1.110087	/tmp/minco_current_code_toymouse_refresh_20260627/sample5_current.tsv
cami2_toy_mouse_gut	5	s__Trichococcus palustris	True	0.9219791846951916	0.000244959226451	1.0	111.0	0.104649	0.111	1.0	0.109649	3.070967	/tmp/minco_current_code_toymouse_refresh_20260627/sample5_current.tsv
cami2_toy_mouse_gut	5	s__Ligilactobacillus acidipiscis	True	0.921450729905918	0.0024818180523426	0.981495	475.0	0.446422	0.475	0.665564	0.739385	1.391696	/tmp/minco_current_code_toymouse_refresh_20260627/sample5_current.tsv
cami2_toy_mouse_gut	5	s__Bacteroides luti	True	0.9171758269888064	0.0001251951090573	0.998109	73.0	0.052278	0.073	0.959261	0.053757	4.830888	/tmp/minco_current_code_toymouse_refresh_20260627/sample5_current.tsv
cami2_toy_mouse_gut	5	s__Alistipes_A indistinctus	True	0.91696253401186	0.0002095944657412	0.983992	67.0	0.062969	0.067	1.0	0.065969	3.949881	/tmp/minco_current_code_toymouse_refresh_20260627/sample5_current.tsv
cami2_toy_mouse_gut	5	s__Butyrivibrio sp000423945	True	0.9162099446043936	0.0069900915498173	0.985487	747.0	0.694863	0.747	0.726666	2.273676	0.946711	/tmp/minco_current_code_toymouse_refresh_20260627/sample5_current.tsv
cami2_toy_mouse_gut	5	s__Pseudobutyrivibrio sp900104335	True	0.9128717488068188	0.0004565340376863	0.97811	131.0	0.114187	0.131	1.0	0.126252	2.90198	/tmp/minco_current_code_toymouse_refresh_20260627/sample5_current.tsv
cami2_toy_mouse_gut	5	s__FD2005 sp000702525	True	0.9114639020778028	0.0031300008097893	0.977247	483.0	0.456861	0.483	0.606188	0.849303	1.436567	/tmp/minco_current_code_toymouse_refresh_20260627/sample5_current.tsv
cami2_toy_mouse_gut	5	s__Roseburia ruminis	True	0.9112727622020166	0.0022221563813577	0.978458	414.0	0.392311	0.414	0.622557	0.619248	1.565895	/tmp/minco_current_code_toymouse_refresh_20260627/sample5_current.tsv
cami2_toy_mouse_gut	5	s__Clostridium_R aminophilum	True	0.9090471910260584	0.0003244479512736	0.953757	63.0	0.048873	0.063	1.0	0.052508	4.898979	/tmp/minco_current_code_toymouse_refresh_20260627/sample5_current.tsv
cami2_toy_mouse_gut	5	s__Eisenbergiella tayi	True	0.9070146129369152	0.0058850979114915	0.978565	623.0	0.579235	0.623	0.636952	1.643856	1.940441	/tmp/minco_current_code_toymouse_refresh_20260627/sample5_current.tsv
cami2_toy_mouse_gut	5	s__Lactobacillus acidophilus	True	0.9024321384773792	0.0007126091168389	0.926635	70.0	0.054371	0.07	0.251397	0.063503	4.498589	/tmp/minco_current_code_toymouse_refresh_20260627/sample5_current.tsv
cami2_toy_mouse_gut	5	s__Butyribacter intestini	True	0.8985272173822569	0.0003442027972632	0.948024	69.0	0.045508	0.069	0.747444	0.049104	5.094698	/tmp/minco_current_code_toymouse_refresh_20260627/sample5_current.tsv
cami2_toy_mouse_gut	5	s__Odoribacter splanchnicus	True	0.8975322745307841	0.0002164884960622	0.987566	90.0	0.070255	0.09	1.0	0.073714	3.792706	/tmp/minco_current_code_toymouse_refresh_20260627/sample5_current.tsv
cami2_toy_mouse_gut	5	s__Ruthenibacterium lactatiformans	True	0.8973905441104091	0.0031372564052372	0.936442	227.0	0.186371	0.227	0.518341	0.346898	4.183249	/tmp/minco_current_code_toymouse_refresh_20260627/sample5_current.tsv
cami2_toy_mouse_gut	5	s__Limosilactobacillus fermentum	True	0.8960723845799297	0.0007805017787723	0.971419	167.0	0.157234	0.167	0.533238	0.186297	2.730034	/tmp/minco_current_code_toymouse_refresh_20260627/sample5_current.tsv
cami2_toy_mouse_gut	5	s__YE71 sp900119155	True	0.8957080104025776	0.0009875231929045	0.988823	299.0	0.279392	0.299	0.78201	0.345677	1.850269	/tmp/minco_current_code_toymouse_refresh_20260627/sample5_current.tsv
cami2_toy_mouse_gut	5	s__Mediterraneibacter massiliensis	True	0.8948786438028511	0.0008919857676802	0.963478	161.0	0.147402	0.161	0.698606	0.178782	3.364024	/tmp/minco_current_code_toymouse_refresh_20260627/sample5_current.tsv
cami2_toy_mouse_gut	5	s__Oribacterium sp900107835	True	0.8929293508603878	0.0001945025076982	0.975177	64.0	0.048294	0.064	0.78661	0.050427	5.024938	/tmp/minco_current_code_toymouse_refresh_20260627/sample5_current.tsv
cami2_toy_mouse_gut	5	s__Prevotella sp900115435	True	0.892613648164059	0.0003329270844104	0.956393	67.0	0.053047	0.067	1.0	0.057098	4.656641	/tmp/minco_current_code_toymouse_refresh_20260627/sample5_current.tsv
cami2_toy_mouse_gut	5	s__Ramlibacter tataouinensis_B	True	0.8723317131346853	0.0002311751740876	0.961672	48.0	0.040166	0.048	0.430324	0.042166	5.267827	/tmp/minco_current_code_toymouse_refresh_20260627/sample5_current.tsv
cami2_toy_mouse_gut	5	s__Butyrivibrio proteoclasticus_A	True	0.8667806096496173	0.0005036542681644	0.939919	63.0	0.053823	0.063	0.467828	0.060118	4.424492	/tmp/minco_current_code_toymouse_refresh_20260627/sample5_current.tsv
cami2_toy_mouse_gut	5	s__Prevotella sp900119285	True	0.8660414441335502	0.0002989304279305	0.947507	48.0	0.039465	0.048	0.329802	0.042164	5.380415	/tmp/minco_current_code_toymouse_refresh_20260627/sample5_current.tsv
cami2_toy_mouse_gut	5	s__Christensenella intestinihominis	True	0.8453472544020593	0.0010036231562655	0.984233	262.0	0.255816	0.262	0.711533	0.317566	1.896326	/tmp/minco_current_code_toymouse_refresh_20260627/sample5_current.tsv
cami2_toy_mouse_gut	5	s__Oribacterium parvum	True	0.8447692958026412	0.0088663542393529	0.991676	982.0	0.816932	0.982	0.832666	3.30466	0.856695	/tmp/minco_current_code_toymouse_refresh_20260627/sample5_current.tsv
cami2_toy_mouse_gut	5	s__Enterocloster asparagiformis	True	0.8414414139471065	0.0090997980770603	0.99164	966.0	0.817849	0.966	0.832011	3.389001	0.858473	/tmp/minco_current_code_toymouse_refresh_20260627/sample5_current.tsv
cami2_toy_mouse_gut	5	s__Butyricicoccus sp959018045	False	0.8358290650823859	0.000328210537293	0.912504	25.0	0.019933	0.025	0.145888	0.021433	8.046362	/tmp/minco_current_code_toymouse_refresh_20260627/sample5_current.tsv
cami2_toy_mouse_gut	5	s__Porphyromonas circumdentaria	True	0.8347750739288844	0.0006838101314007	0.961048	126.0	0.111919	0.126	0.473455	0.12992	3.091206	/tmp/minco_current_code_toymouse_refresh_20260627/sample5_current.tsv
cami2_toy_mouse_gut	5	s__Butyrivibrio fibrisolvens_C	True	0.8329719143978698	0.0034847500915415	0.973615	494.0	0.442018	0.494	0.559635	0.872946	1.526415	/tmp/minco_current_code_toymouse_refresh_20260627/sample5_current.tsv
cami2_toy_mouse_gut	5	s__NK4A144 sp000424365	True	0.8327235762385821	0.0085379204118713	0.990599	976.0	0.795367	0.976	0.813167	3.107726	0.946261	/tmp/minco_current_code_toymouse_refresh_20260627/sample5_current.tsv
cami2_toy_mouse_gut	5	s__Anaerosporobacter mobilis	True	0.8325055265194914	0.0012639102006654	0.990744	430.0	0.352468	0.43	0.815769	0.461524	1.744798	/tmp/minco_current_code_toymouse_refresh_20260627/sample5_current.tsv
cami2_toy_mouse_gut	5	s__Bdellovibrio bacteriovorus	True	0.8307170334084619	0.0124245826636734	0.989383	997.0	0.788664	0.997	0.791707	4.403086	0.907804	/tmp/minco_current_code_toymouse_refresh_20260627/sample5_current.tsv
cami2_toy_mouse_gut	5	s__Petralouisia sp000403255	False	0.8279665938865457	0.00780981984104	0.988816	953.0	0.758178	0.953	0.781887	2.733354	0.917919	/tmp/minco_current_code_toymouse_refresh_20260627/sample5_current.tsv
cami2_toy_mouse_gut	5	s__Oscillibacter sp000403435	True	0.8273235608359537	0.0019970946203328	0.984822	588.0	0.423198	0.588	0.71612	0.64017	1.584227	/tmp/minco_current_code_toymouse_refresh_20260627/sample5_current.tsv
cami2_toy_mouse_gut	5	s__Thomasclavelia saccharogumia	True	0.8272849815297576	0.0018367602561584	0.991086	559.0	0.460705	0.559	0.821918	0.675759	1.502738	/tmp/minco_current_code_toymouse_refresh_20260627/sample5_current.tsv
cami2_toy_mouse_gut	5	s__Pseudobutyrivibrio ruminis_C	True	0.8241330993664073	0.0016503030960202	0.989019	492.0	0.410187	0.492	0.785391	0.580177	1.569205	/tmp/minco_current_code_toymouse_refresh_20260627/sample5_current.tsv
cami2_toy_mouse_gut	5	s__Gemmiger formicilis	True	0.8239107436519219	0.0031069763891335	0.985775	709.0	0.54928	0.709	0.73129	1.017041	1.294677	/tmp/minco_current_code_toymouse_refresh_20260627/sample5_current.tsv
cami2_toy_mouse_gut	5	s__Butyrivibrio hungatei_A	True	0.8195023729513684	0.0017478934871748	0.985753	545.0	0.394426	0.545	0.73094	0.566983	1.823529	/tmp/minco_current_code_toymouse_refresh_20260627/sample5_current.tsv
cami2_toy_mouse_gut	5	s__Lactiplantibacillus plantarum	True	0.8194776310466936	0.0006199471988218	0.982995	206.0	0.166694	0.206	0.687895	0.190892	2.541205	/tmp/minco_current_code_toymouse_refresh_20260627/sample5_current.tsv
cami2_toy_mouse_gut	5	s__Alistipes onderdonkii	True	0.8139149331856816	0.0031070150172409	0.98602	727.0	0.552248	0.727	0.735237	1.022543	1.344463	/tmp/minco_current_code_toymouse_refresh_20260627/sample5_current.tsv
cami2_toy_mouse_gut	5	s__Bacteroides fragilis	True	0.8128475987256072	0.012959671716445	0.978738	885.0	0.624502	0.885	0.626396	3.63374	1.421468	/tmp/minco_current_code_toymouse_refresh_20260627/sample5_current.tsv
cami2_toy_mouse_gut	5	s__Nisaea denitrificans	True	0.8122742866609958	0.0006859866356902	0.999014	346.0	0.258719	0.346	0.978531	0.30047	2.14938	/tmp/minco_current_code_toymouse_refresh_20260627/sample5_current.tsv
cami2_toy_mouse_gut	5	s__Porphyromonas_A sp001808555	True	0.8103751214909765	0.0119246567856195	0.987712	991.0	0.759449	0.991	0.763117	4.073314	0.971274	/tmp/minco_current_code_toymouse_refresh_20260627/sample5_current.tsv
cami2_toy_mouse_gut	5	s__Blautia pseudococcoides	True	0.8053559407993987	0.0024117479171408	0.988986	614.0	0.518175	0.614	0.784814	0.847246	1.348395	/tmp/minco_current_code_toymouse_refresh_20260627/sample5_current.tsv
