gtdb_species	sample	abundance_pct_all	source_taxids	truth_names	truth_abundance
s__Ignicoccus islandicus	0	0.0604	54259	Ignicoccus islandicus	0.0029644317272722815
s__Isoalcanivorax pacificus	0	0.0173	1306787	Alcanivorax pacificus	0.0008490839218842792
s__JBDGSM01 sp001761425	0	0.0518	1737403	Nanohaloarchaea archaeon SG9	0.002542343766104374
s__Kangiella geojedonensis	0	0.0518	914150	Kangiella geojedonensis	0.002542343766104374
s__Kangiella koreensis	0	0.0173	261964	Kangiella koreensis	0.0008490839218842792
s__Kangiella sediminilitoris	0	0.0259	1144748	Kangiella sediminilitoris	0.001271171883052187
s__Lacinutrix sp000211855	0	0.0604	983544	Lacinutrix sp. 5H-3-7-4	0.0029644317272722815
s__Leisingera methylohalidivorans	0	0.0345	133924	Leisingera methylohalidivorans	0.0016932598442200948
s__Luteimonas sp001717465	0	0.1036	1896164	Luteimonas sp. JM171	0.005084687532208748
s__MONJU sp000801295	0	0.0345	1248727	endosymbiont of unidentified scaly snail isolate Monju	0.0016932598442200948
s__MTP4 sp000970045	0	0.0086	1434100	Methanosarcina sp. MTP4	0.00042208796116790766
s__Magnetococcus marinus	0	0.1381	1124597	Magnetococcus marinus	0.006777947376428842
s__Magnetospira sp000968135	0	0.0328	1288970	Magnetospira sp. QH-2	0.001609823851896206
s__Maridesulfovibrio hydrothermalis	0	0.0173	191026	Desulfovibrio hydrothermalis	0.0008490839218842792
s__Maridesulfovibrio salexigens	0	0.0173	880	Desulfovibrio salexigens	0.0008490839218842792
s__Marinithermus hydrothermalis	0	0.2589	186192	Marinithermus hydrothermalis	0.012706810830973407
s__Marinitoga piezophila	0	0.0259	149715	Marinitoga piezophila	0.001271171883052187
s__Marinobacter psychrophilus	0	0.0086	490759	Marinobacter sp. BSs20148	0.00042208796116790766
s__Marinobacter similis	0	0.0086	1420916	Marinobacter similis	0.00042208796116790766
s__Marinobacterium_A aestuarii	0	0.0184	1821621	Marinobacterium sp. ST58-10	0.0009030719169173838
s__Marinomonas mediterranea	0	0.1122	119864	Marinomonas mediterranea	0.005506775493376655
s__Marivivens geojensis	0	0.0004	1920883	Donghicola sp. JLT3646	1.963199819385617e-05
s__Methanocaldococcus jannaschii	0	0.0173	2190	Methanocaldococcus jannaschii	0.0008490839218842792
s__Methanocaldococcus vulcanius	0	0.0259	73913	Methanocaldococcus vulcanius	0.001271171883052187
s__Methanosarcina siciliae	0	0.2071	38027	Methanosarcina siciliae	0.010164467064869032
s__Methanotorris igneus	0	0.0259	2189	Methanotorris igneus	0.001271171883052187
s__Methyloceanibacter caenitepidi	0	0.0518	1384459	Methyloceanibacter caenitepidi	0.002542343766104374
s__Methylophaga frappieri	0	0.0086	754477	Methylophaga frappieri	0.00042208796116790766
s__Micromonospora arenicola	0	0.0131	168697	Salinispora arenicola	0.0006429479408487896
s__Micromonospora gifhornensis	0	0.0884	1003110	Verrucosispora maris	0.004338671600842213
s__Micromonospora krabiensis	0	0.0042	307121	Micromonospora krabiensis	0.00020613598103548977
s__Micromonospora tropica	0	0.2223	168695	Salinispora tropica	0.010910482996235565
s__Moritella marina	0	0.0071	90736	Moritella marina	0.00034846796794094705
s__Moritella viscosa	0	0.2259	80854	Moritella viscosa	0.011087170979980271
s__Nanoarchaeum equitans	0	0.0949	160232	Nanoarchaeum equitans	0.004657691571492376
s__Nautilia profundicola	0	0.0086	244787	Nautilia profundicola	0.00042208796116790766
s__Nitratiruptor sp000010325	0	0.0432	387092	Nitratiruptor sp. SB155-2	0.0021202558049364666
s__Nitrosococcus halophilus	0	3.0122	133539	Nitrosococcus halophilus	0.1478387623988339
s__Nitrosococcus oceani	0	0.9839	1229	Nitrosococcus oceani	0.048289807557337715
s__Nitrosopumilus adriaticus	0	0.0432	1580092	Candidatus Nitrosopumilus adriaticus	0.0021202558049364666
s__Nitrosopumilus koreensis	0	0.0086	1510466	Candidatus Nitrosopumilus koreensis	0.00042208796116790766
s__Nitrosopumilus sediminis	0	0.1036	1229909	Candidatus Nitrosopumilus sediminis	0.005084687532208748
s__Nodularia spumigena	0	0.0086	70799	Nodularia spumigena	0.00042208796116790766
s__Octadecabacter antarcticus	0	0.0259	1217908	Octadecabacter antarcticus	0.001271171883052187
s__Octadecabacter temperatus	0	0.0086	1458307	Octadecabacter temperatus	0.00042208796116790766
s__Oleispira antarctica	0	0.0259	188908	Oleispira antarctica	0.001271171883052187
s__Ornithinicoccus hydrothermalis	0	0.0086	1758689	Serinicoccus sp. JLT9	0.00042208796116790766
s__Paenibacillus_AQ crassostreae	0	0.0086	1763538	Paenibacillus sp. LPB0068	0.00042208796116790766
s__Palaeococcus pacificus	0	0.9839	971279	Palaeococcus pacificus	0.048289807557337715
s__Paraoerskovia marina	0	0.0173	545619	Paraoerskovia marina	0.0008490839218842792
s__Parasynechococcus sp000737535	0	0.0086	1280380	Synechococcus sp. KORDI-100	0.00042208796116790766
s__Parvularcula bermudensis	0	0.0259	208216	Parvularcula bermudensis	0.001271171883052187
s__Pelagibacter sp000299095	0	0.0086	859653	alpha proteobacterium HIMB5	0.00042208796116790766
s__Persephonella marina	0	0.0086	309805	Persephonella marina	0.00042208796116790766
s__Photobacterium gaetbulicola	0	0.0432	1295392	Photobacterium gaetbulicola	0.0021202558049364666
s__Planktomarina temperata	0	0.0235	1284658	Planktomarina temperata	0.00115337989388905
s__Planococcus plakortidis	0	0.0173	1038856	Planococcus plakortidis	0.0008490839218842792
s__Polaribacter todarodis	0	0.0173	1850252	Tenacibaculum sp. LPB0136	0.0008490839218842792
s__Prochlorococcus_B sp000757865	0	0.0259	1501269	Prochlorococcus sp. MIT 0801	0.001271171883052187
s__Pseudalgibacter alginicilyticus	0	0.0432	1736674	Algibacter alginolytica	0.0021202558049364666
s__Pseudoalteromonas tetraodonis	0	0.0086	234831	Pseudoalteromonas sp. SM9913	0.00042208796116790766
s__Psychrobacter sp000586415	0	0.397	1298608	Psychrobacter sp. JCM 18900	0.01948475820740225
s__Pusillimonas_C sp000209655	0	0.0259	1007105	Pusillimonas sp. T7-7	0.001271171883052187
s__Pyrobaculum aerophilum	0	0.0173	13773	Pyrobaculum aerophilum	0.0008490839218842792
s__Pyrococcus abyssi	0	0.0345	29292	Pyrococcus abyssi	0.0016932598442200948
s__Pyrococcus furiosus	0	0.0173	2261	Pyrococcus furiosus	0.0008490839218842792
s__Pyrococcus sp000211475	0	0.0518	342949	Pyrococcus sp. NA2	0.002542343766104374
s__Pyrococcus yayanosii	0	0.0086	1008460	Pyrococcus yayanosii	0.00042208796116790766
s__Rhodobacter xanthinilyticus	0	0.0012	1850250	Rhodobacter sp. LPB0142	5.88959945815685e-05
s__Rhodococcoides sp000954115	0	0.0863	1564114	Rhodococcus sp. B7740	0.004235603610324469
s__Rivularia sp000316665	0	0.0086	373994	Rivularia sp. PCC 7116	0.00042208796116790766
s__Roseibacterium elongatum	0	0.0168	159346	Roseibacterium elongatum	0.0008245439241419591
s__Roseobacter denitrificans	0	0.0345	2434	Roseobacter denitrificans	0.0016932598442200948
s__Salinibacter ruber	0	0.0173	146919	Salinibacter ruber	0.0008490839218842792
s__Salipiger sp001687105	0	0.0863	1792508	Yangia sp. CCB-MM3	0.004235603610324469
s__Shewanella baltica	0	0.0604	62322	Shewanella baltica	0.0029644317272722815
s__Shewanella denitrificans	0	0.0086	192073	Shewanella denitrificans	0.00042208796116790766
s__Shewanella loihica	0	0.0173	359303	Shewanella loihica	0.0008490839218842792
s__Shewanella piezotolerans	0	0.0432	404011	Shewanella piezotolerans	0.0021202558049364666
s__Shewanella sp029835735	0	0.1208	94122	Shewanella sp. ANA-3	0.005928863454544563
s__Spiribacter curvatus	0	2.7015	1335757	Spiribacter curvatus	0.1325896078017561
s__Spiribacter salinus	0	0.8804	1335746	Spiribacter salinus	0.043210028024677424
s__Spongiibacter sp001010805	0	0.0432	1620392	Spongiibacter sp. IMCC21906	0.0021202558049364666
s__Staphylothermus marinus	0	0.0259	2280	Staphylothermus marinus	0.001271171883052187
s__Stappia sp900105595	0	0.0086	1881061	Stappia sp. ES.058	0.00042208796116790766
s__Streptococcus iniae	0	0.0259	1346	Streptococcus iniae	0.001271171883052187
s__Streptococcus parauberis	0	0.0086	1348	Streptococcus parauberis	0.00042208796116790766
s__Sulfitobacter alexandrii	0	0.0086	1917485	Sulfitobacter sp. AM1-D1	0.00042208796116790766
s__Sulfurimonas denitrificans	0	0.0173	39766	Sulfurimonas denitrificans	0.0008490839218842792
s__Sulfurovum sp000010345	0	0.9321	387093	Sulfurovum sp. NBC37-1	0.04574746379123334
s__Synechococcus_C sp000014585	0	0.0863	64471	Synechococcus sp. CC9311	0.004235603610324469
s__Synechococcus_C sp000063505	0	0.1812	32051	Synechococcus sp. WH 7803	0.008893295181816845
s__Synechococcus_C sp001040845	0	0.0086	32052	Synechococcus sp. WH 8020	0.00042208796116790766
s__Syntrophotalea acetylenica	0	0.0164	29542	Pelobacter acetylenicus	0.000804911925948103
s__Syntrophotalea carbinolica	0	0.0009	19	Pelobacter carbinolicus	4.417199593617638e-05
s__Thalassotalea_A crassostreae	0	0.0259	1763536	Thalassotalea sp. LPB0090	0.001271171883052187
s__Thermoclostridium stercorarium	0	0.0173	1510	[Clostridium] stercorarium	0.0008490839218842792
s__Thermococcus eurythermalis	0	0.0259	1505907	Thermococcus eurythermalis	0.001271171883052187
s__Thermococcus gammatolerans	0	0.0173	187878	Thermococcus gammatolerans	0.0008490839218842792
s__Thermococcus nautili	0	0.0173	195522	Thermococcus nautili	0.0008490839218842792
s__Thermococcus onnurineus	0	0.0086	342948	Thermococcus onnurineus	0.00042208796116790766
s__Thermococcus sp000151205	0	0.0518	246969	Thermococcus sp. AM4	0.002542343766104374
s__Thermococcus sp000221185	0	0.0604	1042877	Thermococcus sp. 4557	0.0029644317272722815
s__Thermosipho melanesiensis	0	0.0086	46541	Thermosipho melanesiensis	0.00042208796116790766
s__Thermotoga maritima	0	0.0605	126740,2336	Thermotoga maritima;Thermotoga sp. RQ2	0.0029693397268207456
s__Thermotoga neapolitana	0	0.0086	2337	Thermotoga neapolitana	0.00042208796116790766
s__Thioflavicoccus mobilis	0	0.2762	80679	Thioflavicoccus mobilis	0.013555894752857685
s__Vibrio anguillarum	0	0.7854	55601	Vibrio anguillarum	0.03854742845363659
s__Vibrio nigripulchritudo	0	0.0949	28173	Vibrio nigripulchritudo	0.004657691571492376
s__Vreelandella titanicae	0	0.0336	1380358	Halomonas sp. 23_GOM-1509m	0.0016490878482839182
s__Wenyingzhuangia fucanilytica	0	0.0129	1790137	Wenyingzhuangia fucanilytica	0.0006331319417518615
s__Woeseia oceani	0	0.0432	1548547	Woeseia oceani	0.0021202558049364666
s__Xianfuyuplasma sp000755705	0	0.0173	1541959	Candidatus Izimaplasma sp. HR1	0.0008490839218842792
s__Zunongwangia profunda	0	0.0086	398743	Zunongwangia profunda	0.00042208796116790766
s__Aciduliprofundum boonei	3	0.0049	379547	Aciduliprofundum boonei	0.00020880652158164543
s__Aciduliprofundum sp000327505	3	0.039	673860	Aciduliprofundum sp. MAR08-339	0.001661929457486566
s__Acinetobacter venetianus	3	0.039	52133	Acinetobacter venetianus	0.001661929457486566
s__Actinoalloteichus_A fjordicus	3	0.0488	1612552	Actinoalloteichus sp. ADI127-7	0.002079542500649857
s__Aegicerativicinus sp900104375	3	0.0146	1250295	Flavobacteriaceae bacterium MAR_2010_188	0.0006221582071616375
s__Aeromonas salmonicida	3	0.1073	645	Aeromonas salmonicida	0.004572436686879706
s__Aeropyrum camini	3	0.0683	229980	Aeropyrum camini	0.0029105072293931396
s__Aeropyrum pernix	3	0.0049	56636	Aeropyrum pernix	0.00020880652158164543
s__Agarivorans gilvus	3	0.0488	680279	Agarivorans gilvus	0.002079542500649857
s__Alcanivorax borkumensis	3	0.0098	59754	Alcanivorax borkumensis	0.00041761304316329087
s__Aliivibrio salmonicida	3	0.7807	40269	Aliivibrio salmonicida	0.03326841865281441
s__Aliivibrio wodanis	3	0.3903	80852	Aliivibrio wodanis	0.016632078647615553
s__Alloalcanivorax dieselolei	3	0.0098	285091	Alcanivorax dieselolei	0.00041761304316329087
s__Alteraurantiacibacter gangjinensis	3	0.0146	502682	Erythrobacter gangjinensis	0.0006221582071616375
s__Alteriqipengyuania bathyomarina	3	0.0049	1634516	Citromicrobium sp. JL477	0.00020880652158164543
s__Alteromonas australica	3	0.0244	589873	Alteromonas australica	0.0010397712503249284
s__Alteromonas mediterranea	3	0.7755	314275	Alteromonas mediterranea	0.033046828058482865
s__Aquibium oceanicum	3	0.0098	1670800	Mesorhizobium sp. B7	0.00041761304316329087
s__Aquiluna sp900100865	3	0.0049	1855377	Candidatus Aquiluna sp. UB-MaderosW2red	0.00020880652158164543
s__Aquipseudomonas pohangensis	3	0.0049	364197	Pseudomonas pohangensis	0.00020880652158164543
s__Aquipseudomonas rustica	3	0.0146	1699311	Pseudomonas sp. P1.31	0.0006221582071616375
s__Archaeoglobus fulgidus	3	0.1025	2234	Archaeoglobus fulgidus	0.0043678915228813585
s__Archaeoglobus_B profundus	3	0.0098	84156	Archaeoglobus profundus	0.00041761304316329087
s__Belliella baltica	3	0.0244	232259	Belliella baltica	0.0010397712503249284
s__Bernardetia litoralis	3	0.039	999	Bernardetia litoralis	0.001661929457486566
s__Brucella melitensis	3	0.0683	120576,120577	Brucella ceti;Brucella pinnipedialis	0.0029105072293931396
s__Celeribacter indicus	3	0.0244	1208324	Celeribacter indicus	0.0010397712503249284
s__Cellulophaga algicola	3	0.0197	59600	Cellulophaga algicola	0.0008394874439098806
s__Cenarchaeum symbiosum	3	0.0195	46770	Cenarchaeum symbiosum	0.000830964728743283
s__Christiangramia sp900105135	3	0.001	1250205	Gramella sp. MAR_2010_147	4.261357583298887e-05
s__Chromohalobacter moromii	3	0.0098	158080	Chromohalobacter salexigens	0.00041761304316329087
s__Colwellia marinimaniae	3	0.0537	58049	Colwellia sp. MT41	0.002288349022231502
s__Colwellia_A sp001767295	3	0.0146	1816218	Colwellia sp. PAMC 20917	0.0006221582071616375
s__Corynebacterium marinum	3	0.0098	349751	Corynebacterium marinum	0.00041761304316329087
s__Corynebacterium maris	3	0.0049	575200	Corynebacterium maris	0.00020880652158164543
s__Corynebacterium phocae	3	0.1025	161895	Corynebacterium phocae	0.0043678915228813585
s__Corynebacterium stationis	3	0.039	1705	Corynebacterium stationis	0.001661929457486566
s__Croceibacter atlanticus	3	0.0137	313588	Croceibacter atlanticus	0.0005838059889119475
s__Croceibacterium_C atlanticum	3	0.0098	1267766	Altererythrobacter atlanticus	0.00041761304316329087
s__Croceicoccus naphthovorans	3	0.0049	1348774	Croceicoccus naphthovorans	0.00020880652158164543
s__Cyclobacterium amurskyense	3	0.0146	320787	Cyclobacterium amurskyense	0.0006221582071616375
s__Cyclobacterium marinum	3	0.0049	104	Cyclobacterium marinum	0.00020880652158164543
s__Cycloclasticus pugetii	3	0.5123	1329899	Cycloclasticus zancles	0.021830934899240196
s__Denitrovibrio acetiphilus	3	0.0098	118000	Denitrovibrio acetiphilus	0.00041761304316329087
s__Desulfobacula toluolica	3	0.2147	28223	Desulfobacula toluolica	0.00914913473134271
s__Desulfococcus multivorans	3	0.1317	897	Desulfococcus multivorans	0.005612207937204634
s__Desulfocurvibacter africanus	3	0.0829	873	Desulfovibrio africanus	0.003532665436554777
s__Desulfotalea psychrophila	3	0.2147	84980	Desulfotalea psychrophila	0.00914913473134271
s__Dinoroseobacter shibae	3	0.0049	215813	Dinoroseobacter shibae	0.00020880652158164543
s__Dokdonia sp000212355	3	0.0091	983548	Dokdonia sp. 4H-3-7-5	0.0003877835400801987
s__Echinicola vietnamensis	3	0.0098	390884	Echinicola vietnamensis	0.00041761304316329087
s__Epibacterium sp000014065	3	0.0116	292414	Ruegeria sp. TM1040	0.0004943174796626709
s__Erythrobacter epoxidivorans	3	0.0098	361183	Altererythrobacter epoxidivorans	0.00041761304316329087
s__Erythrobacter ishigakiensis	3	0.0146	476157	Altererythrobacter ishigakiensis	0.0006221582071616375
s__Filomicrobium insigne	3	0.0146	1608628	Candidatus Filomicrobium marinum	0.0006221582071616375
s__Flagellimonas_A lutaonensis	3	0.122	516051	Muricauda lutaonensis	0.005198856251624642
s__Flammeovirga yaeyamensis	3	0.1513	1191459	Flammeovirga sp. MY04	0.006447434023531215
s__Flavobacterium crassostreae	3	0.0195	1763534	Flavobacterium crassostreae	0.000830964728743283
s__Flavobacterium frigidarium	3	0.0049	99286	Flavobacterium frigidarium	0.00020880652158164543
s__Formosa agariphila	3	0.0098	320324	Formosa agariphila	0.00041761304316329087
s__Formosa haliotis	3	0.1513	1555194	Formosa haliotis	0.006447434023531215
s__Francisella noatunensis	3	0.0293	657445	Francisella noatunensis	0.0012485777719065739
s__Francisella uliginis	3	0.0049	573570	Francisella sp. TX077310	0.00020880652158164543
s__Geoglobus ahangari	3	0.0049	113653	Geoglobus ahangari	0.00020880652158164543
s__Glaciecola nitratireducens	3	0.1366	300231	Glaciecola nitratireducens	0.005821014458786279
s__Gloeomargarita lithophora	3	0.0829	1188228	Gloeomargarita lithophora	0.003532665436554777
s__Gymnodinialimonas sp000013565	3	0.0098	290400	Jannaschia sp. CCS1	0.00041761304316329087
s__Hahella chejuensis	3	0.0537	158327	Hahella chejuensis	0.002288349022231502
s__Haloarcula hispanica	3	0.0049	51589	Haloarcula hispanica	0.00020880652158164543
s__Halodesulfurarchaeum formicicum	3	0.0146	1873524	haloarchaeon HSR6	0.0006221582071616375
s__Haloferax mediterranei	3	0.0195	2252	Haloferax mediterranei	0.000830964728743283
s__Halogeometricum borinquense	3	0.0049	60847	Halogeometricum borinquense	0.00020880652158164543
s__Halolamina sediminis	3	0.0049	1480675	Halolamina sediminis	0.00020880652158164543
s__Halomonas aestuarii	3	0.122	1897729	Halomonas aestuarii	0.005198856251624642
s__Halopseudomonas litoralis	3	0.0146	797277	Pseudomonas litoralis	0.0006221582071616375
s__Halorhabdus tiamatea	3	0.039	430914	Halorhabdus tiamatea	0.001661929457486566
s__Helicobacter_G enhydrae	3	0.0195	222136	Helicobacter sp. MIT 01-6242	0.000830964728743283
s__Henriciella sp001854405	3	0.0146	1906738	Hyphomonas sp. Mor2	0.0006221582071616375
s__Hippea maritima	3	0.0049	84405	Hippea maritima	0.00020880652158164543
s__Hirschia baltica	3	0.0072	2724	Hirschia baltica	0.00030681774599751986
s__Hoeflea sp001011155	3	0.0244	1620421	Hoeflea sp. IMCC20628	0.0010397712503249284
s__Hungateiclostridium thermocellum	3	0.0244	1515	Ruminiclostridium thermocellum	0.0010397712503249284
s__Hydrogenophaga crassostreae	3	0.0878	1763535	Hydrogenophaga sp. LPB0072	0.0037414719581364228
s__Hydrogenovibrio crunogenus	3	0.0195	39765	Thiomicrospira crunogena	0.000830964728743283
s__Hyperthermus butylicus	3	2.103	54248	Hyperthermus butylicus	0.0896163499767756
s__Hyphomicrobium_C nitrativorans	3	0.1317	1427356	Hyphomicrobium nitrativorans	0.005612207937204634
s__Hyphomonas neptunia	3	0.161	81032	Hyphomonas neptunium	0.006860785709111208
s__IMCC9063 sp000195085	3	0.0002	1002672	Candidatus Pelagibacter sp. IMCC9063	8.522715166597774e-06
s__Ignicoccus hospitalis	3	0.0049	160233	Ignicoccus hospitalis	0.00020880652158164543
s__Ignicoccus islandicus	3	0.0098	54259	Ignicoccus islandicus	0.00041761304316329087
s__Isoalcanivorax pacificus	3	0.0098	1306787	Alcanivorax pacificus	0.00041761304316329087
s__JBDGSM01 sp001761425	3	0.039	1737403	Nanohaloarchaea archaeon SG9	0.001661929457486566
s__Kangiella geojedonensis	3	0.0244	914150	Kangiella geojedonensis	0.0010397712503249284
s__Kangiella koreensis	3	0.0098	261964	Kangiella koreensis	0.00041761304316329087
s__Kangiella sediminilitoris	3	0.0049	1144748	Kangiella sediminilitoris	0.00020880652158164543
s__Kosmotoga olearia	3	0.0195	651457	Kosmotoga olearia	0.000830964728743283
s__Lacinutrix sp000211855	3	0.3562	983544	Lacinutrix sp. 5H-3-7-4	0.015178955711710636
s__Leisingera methylohalidivorans	3	0.039	133924	Leisingera methylohalidivorans	0.001661929457486566
s__Luteimonas sp001717465	3	0.0244	1896164	Luteimonas sp. JM171	0.0010397712503249284
s__MONJU sp000801295	3	0.0146	1248727	endosymbiont of unidentified scaly snail isolate Monju	0.0006221582071616375
s__MTP4 sp000970045	3	0.0586	1434100	Methanosarcina sp. MTP4	0.0024971555438131478
s__Magnetococcus marinus	3	0.0683	1124597	Magnetococcus marinus	0.0029105072293931396
s__Magnetospira sp000968135	3	0.1947	1288970	Magnetospira sp. QH-2	0.008296863214682933
s__Maribacter dokdonensis	3	0.0244	1644130	Maribacter sp. 1_2014MBL_MicDiv	0.0010397712503249284
s__Maribacter_A sp000153165	3	0.0049	313603	Maribacter sp. HTCC2170	0.00020880652158164543
s__Maridesulfovibrio hydrothermalis	3	0.122	191026	Desulfovibrio hydrothermalis	0.005198856251624642
s__Marinithermus hydrothermalis	3	0.0537	186192	Marinithermus hydrothermalis	0.002288349022231502
s__Marinitoga piezophila	3	0.0098	149715	Marinitoga piezophila	0.00041761304316329087
s__Marinobacter psychrophilus	3	0.0195	490759	Marinobacter sp. BSs20148	0.000830964728743283
s__Marinobacter salinus	3	0.0108	1874317	Marinobacter salinus	0.0004602266189962798
s__Marinobacter similis	3	0.0244	1420916	Marinobacter similis	0.0010397712503249284
s__Marinobacterium_A aestuarii	3	0.023	1821621	Marinobacterium sp. ST58-10	0.000980112244158744
s__Marinomonas mediterranea	3	0.0976	119864	Marinomonas mediterranea	0.004159085001299714
s__Marinovum algicola	3	0.0042	42444	Marinovum algicola	0.00017897701849855323
s__Marivivens geojensis	3	0.0012	1920883	Donghicola sp. JLT3646	5.113629099958664e-05
s__Metabacillus weihaiensis	3	0.0098	1547283	Bacillus weihaiensis	0.00041761304316329087
s__Methanocaldococcus bathoardescens	3	0.0098	1301915	Methanocaldococcus bathoardescens	0.00041761304316329087
s__Methanocaldococcus jannaschii	3	0.0244	2190	Methanocaldococcus jannaschii	0.0010397712503249284
s__Methanocaldococcus vulcanius	3	0.0683	73913	Methanocaldococcus vulcanius	0.0029105072293931396
s__Methanohalophilus halophilus	3	0.0244	2177	Methanohalophilus halophilus	0.0010397712503249284
s__Methanosarcina siciliae	3	0.1464	38027	Methanosarcina siciliae	0.0062386275019495705
s__Methanosarcina sp000969965	3	0.0049	1434102	Methanosarcina sp. WH1	0.00020880652158164543
s__Methanotorris igneus	3	0.0098	2189	Methanotorris igneus	0.00041761304316329087
