panel	sample	source_profile	adjusted_profile	called_rows	candidate_added_rows	eligible_base_rows	adjusted_base_rows	adjusted_base_row_frac	metadata_candidate_raw_mass_before	n_calls	n_base_calls	n_candidate_calls	candidate_call_frac	abundance_entropy	top1_abundance	top3_abundance	raw_mass_sum	base_raw_mass	candidate_raw_mass	candidate_raw_frac	s_xny_median	s_xny_mean	u_xny_median	xny_max_median	s_breadth_median	u_breadth_median	s_depth_median	u_depth_median	s_zip_median	u_zip_median	probability_mean	probability_min	base_genus_count	multi_species_genus_count	max_species_per_genus	base_mass_multi_genus_frac	blend_perturb_raw_sum	blend_perturb_base_frac	blend_perturb_row_frac	blend_perturb_max_frac
hmp_airskin_gtdb_source_abundance	13	/tmp/minco_candidate_preset_replay_20260629/hmp_airskin_gtdb_source_abundance.sample13.candidate_preset.tsv	/tmp/minco_candidate_preset_genus_xny_blend_20260629/hmp_airskin_gtdb_source_abundance.sample13.genus_xny_a0.25.tsv	40.0	0.0	40.0	32.0	0.8	0.0	40.0	40.0	0.0	0.0	2.2476944614108954	0.349584274004052	0.699637758315744	73.84212257489807	73.84212257489807	0.0	0.0	309.0	487.025	218.0	309.0	0.2551565	0.218	0.26559	0.2255	1.0	1.0	0.8313151421599437	0.394052863565713	13.0	5.0	12.0	0.9723627662797747	2.323292201892323	0.03146296613475334	0.8	0.006505257913183512
hmp_airskin_gtdb_source_abundance	14	/tmp/minco_candidate_preset_replay_20260629/hmp_airskin_gtdb_source_abundance.sample14.candidate_preset.tsv	/tmp/minco_candidate_preset_genus_xny_blend_20260629/hmp_airskin_gtdb_source_abundance.sample14.genus_xny_a0.25.tsv	32.0	2.0	30.0	14.0	0.4666666666666667	4.808989707376749	32.0	30.0	2.0	0.0625	1.9220750703134448	0.5687834518979216	0.7157296336174727	695.3589189688282	690.5499292614517	4.808989707376749	0.006915838103447592	918.0	800.5	641.5	918.0	0.739814	0.6415	4.6237055	0.717	0.8299425	1.0	0.870987939118989	0.4370190420866554	20.0	4.0	5.0	0.8444018655207838	5.321436128972442	0.007706084532748787	0.4666666666666667	0.0020229424775508203
hmp_airskin_gtdb_source_abundance	15	/tmp/minco_candidate_preset_replay_20260629/hmp_airskin_gtdb_source_abundance.sample15.candidate_preset.tsv	/tmp/minco_candidate_preset_genus_xny_blend_20260629/hmp_airskin_gtdb_source_abundance.sample15.genus_xny_a0.25.tsv	24.0	2.0	22.0	15.0	0.6818181818181818	3.7965170219935023	24.0	22.0	2.0	0.08333333333333333	1.2235725784168605	0.717436186693316	0.8522255655401146	674.3223068477622	670.5257898257688	3.7965170219935023	0.00563012224783277	834.5	708.7083333333334	574.5	834.5	0.614458	0.5745	2.004049	0.6695	0.6719005	1.0	0.826084283955716	0.5231920773375729	10.0	3.0	8.0	0.9216853403983881	4.602365349709059	0.006863815560181436	0.6818181818181818	0.0021631663703690937
hmp_airskin_gtdb_source_abundance	16	/tmp/minco_candidate_preset_replay_20260629/hmp_airskin_gtdb_source_abundance.sample16.candidate_preset.tsv	/tmp/minco_candidate_preset_genus_xny_blend_20260629/hmp_airskin_gtdb_source_abundance.sample16.genus_xny_a0.25.tsv	10.0	0.0	10.0	6.0	0.6	0.0	10.0	10.0	0.0	0.0	1.1552525099779345	0.71788102649343	0.8440494861254986	700.4183300548	700.4183300548	0.0	0.0	923.5	856.7	677.0	923.5	0.7847235	0.677	20.177993	1.19	0.7847235	0.9923664999999999	0.8893429581675198	0.609185135408064	5.0	1.0	6.0	0.8873258813092646	2.733709579346785	0.00390296692996727	0.6	0.0019514834649836008
hmp_airskin_gtdb_source_abundance	17	/tmp/minco_candidate_preset_replay_20260629/hmp_airskin_gtdb_source_abundance.sample17.candidate_preset.tsv	/tmp/minco_candidate_preset_genus_xny_blend_20260629/hmp_airskin_gtdb_source_abundance.sample17.genus_xny_a0.25.tsv	73.0	0.0	73.0	54.0	0.7397260273972602	0.0	73.0	73.0	0.0	0.0	2.398346652777461	0.5062832210182114	0.6412523749243779	765.7900750735467	765.7900750735467	0.0	0.0	594.0	558.2328767123288	322.0	594.0	0.4141	0.322	1.170239	0.352	0.732249	1.0	0.7428647843864737	0.3856249602568238	32.0	13.0	11.0	0.9270131475020653	20.093281603833162	0.026238628911328468	0.7397260273972602	0.005657127737485006
hmp_airskin_gtdb_source_abundance	18	/tmp/minco_candidate_preset_replay_20260629/hmp_airskin_gtdb_source_abundance.sample18.candidate_preset.tsv	/tmp/minco_candidate_preset_genus_xny_blend_20260629/hmp_airskin_gtdb_source_abundance.sample18.genus_xny_a0.25.tsv	27.0	1.0	26.0	13.0	0.5	4.602962983066915	27.0	26.0	1.0	0.037037037037037035	1.9370959238610062	0.35430033309518	0.7795550633291611	774.8444260130057	770.2414630299387	4.602962983066915	0.005940499574542535	944.0	857.7407407407408	651.0	944.0	0.780363	0.651	3.189823	0.865	0.8236	1.0	0.8847516293878543	0.5891990458334775	17.0	4.0	6.0	0.4829930883645831	3.6668638516392886	0.0047606679562727724	0.5	0.0015517989479691462
hmp_airskin_gtdb_source_abundance	19	/tmp/minco_candidate_preset_replay_20260629/hmp_airskin_gtdb_source_abundance.sample19.candidate_preset.tsv	/tmp/minco_candidate_preset_genus_xny_blend_20260629/hmp_airskin_gtdb_source_abundance.sample19.genus_xny_a0.25.tsv	151.0	4.0	147.0	92.0	0.6258503401360545	9.08702008880001	151.0	147.0	4.0	0.026490066225165563	3.9703170517910777	0.1387712971485335	0.26062818260848414	871.0695745187003	861.9825544299003	9.08702008880001	0.010432025586269548	662.0	576.1986754966888	316.0	662.0	0.442876	0.316	1.305214	0.385	0.655225	1.0	0.714599158205944	0.0	69.0	20.0	28.0	0.870935776884278	29.952956818648047	0.03474891303160815	0.6258503401360545	0.0037286048108056994
hmp_airskin_gtdb_source_abundance	20	/tmp/minco_candidate_preset_replay_20260629/hmp_airskin_gtdb_source_abundance.sample20.candidate_preset.tsv	/tmp/minco_candidate_preset_genus_xny_blend_20260629/hmp_airskin_gtdb_source_abundance.sample20.genus_xny_a0.25.tsv	106.0	0.0	106.0	66.0	0.6226415094339622	0.0	106.0	106.0	0.0	0.0	2.8814190841566005	0.3966736609315463	0.5216915261115583	724.4890725705683	724.4890725705683	0.0	0.0	619.5	533.566037735849	348.0	619.5	0.4319225	0.348	0.9391045	0.3755	0.7843195000000001	1.0	0.7480924038646374	0.4119697462899382	50.0	15.0	16.0	0.9381864563008664	21.11076530019051	0.029138831901614686	0.6226415094339622	0.005199144835944993
hmp_airskin_gtdb_source_abundance	21	/tmp/minco_candidate_preset_replay_20260629/hmp_airskin_gtdb_source_abundance.sample21.candidate_preset.tsv	/tmp/minco_candidate_preset_genus_xny_blend_20260629/hmp_airskin_gtdb_source_abundance.sample21.genus_xny_a0.25.tsv	41.0	0.0	41.0	29.0	0.7073170731707317	0.0	41.0	41.0	0.0	0.0	2.617338491044714	0.2656787040768778	0.53269249891724	391.7033044552195	391.7033044552195	0.0	0.0	653.0	607.9268292682926	382.0	653.0	0.468217	0.382	1.078487	0.432	0.651591	1.0	0.7737325184737605	0.40907579840477	22.0	10.0	6.0	0.9198079629646787	27.755521310011588	0.07085853245127441	0.7073170731707317	0.01728913455855707
hmp_airskin_gtdb_source_abundance	22	/tmp/minco_candidate_preset_replay_20260629/hmp_airskin_gtdb_source_abundance.sample22.candidate_preset.tsv	/tmp/minco_candidate_preset_genus_xny_blend_20260629/hmp_airskin_gtdb_source_abundance.sample22.genus_xny_a0.25.tsv	38.0	0.0	38.0	17.0	0.4473684210526316	0.0	38.0	38.0	0.0	0.0	2.291796190280048	0.3792830690760033	0.5642660520152663	848.8703787107715	848.8703787107715	0.0	0.0	461.0	456.07894736842104	135.5	461.0	0.25101850000000003	0.1355	2.1209435	0.196	0.737776	1.0	0.6555107563597196	0.4057023585796319	26.0	5.0	5.0	0.545823604508478	6.871249895645197	0.00809458083115229	0.4473684210526316	0.0012220650485740181
hmp_airskin_gtdb_source_abundance	23	/tmp/minco_candidate_preset_replay_20260629/hmp_airskin_gtdb_source_abundance.sample23.candidate_preset.tsv	/tmp/minco_candidate_preset_genus_xny_blend_20260629/hmp_airskin_gtdb_source_abundance.sample23.genus_xny_a0.25.tsv	36.0	0.0	36.0	26.0	0.7222222222222222	0.0	36.0	36.0	0.0	0.0	1.9350439942190685	0.4999916132807124	0.7532725879318107	464.9654682128142	464.9654682128142	0.0	0.0	530.5	556.3333333333334	238.0	530.5	0.2924065	0.238	0.8019215	0.2565	0.6248415	1.0	0.7486860426503821	0.351842551771164	16.0	6.0	9.0	0.8847284235502406	9.286344088172882	0.019972115615094523	0.7222222222222222	0.0038093509174615004
hmp_airskin_gtdb_source_abundance	24	/tmp/minco_candidate_preset_replay_20260629/hmp_airskin_gtdb_source_abundance.sample24.candidate_preset.tsv	/tmp/minco_candidate_preset_genus_xny_blend_20260629/hmp_airskin_gtdb_source_abundance.sample24.genus_xny_a0.25.tsv	27.0	1.0	26.0	19.0	0.7307692307692307	3.856547770774472	27.0	26.0	1.0	0.037037037037037035	2.49968174916058	0.2255969911269918	0.5376168579180101	807.3040000154564	803.4474522446819	3.856547770774472	0.0047770700636942665	876.0	825.3333333333334	713.0	876.0	0.801606	0.713	6.768028	1.077	0.801606	1.0	0.8371612627863052	0.0	14.0	7.0	6.0	0.727914078856979	9.141080224647409	0.011377321813777541	0.7307692307692307	0.0018896955238574384
hmp_airskin_gtdb_source_abundance	25	/tmp/minco_candidate_preset_replay_20260629/hmp_airskin_gtdb_source_abundance.sample25.candidate_preset.tsv	/tmp/minco_candidate_preset_genus_xny_blend_20260629/hmp_airskin_gtdb_source_abundance.sample25.genus_xny_a0.25.tsv	77.0	1.0	76.0	44.0	0.5789473684210527	1.527158056324436	77.0	76.0	1.0	0.012987012987012988	3.1973554189963105	0.1580310624663621	0.41338682285868	649.7266726252701	648.1995145689457	1.527158056324436	0.002350462310795765	524.0	470.46753246753246	130.0	524.0	0.217014	0.13	0.865539	0.133	0.644305	1.0	0.6570522560369159	0.0	44.0	16.0	8.0	0.9088149119014302	26.451365072454117	0.040807443507643384	0.5789473684210527	0.005571879273573373
hmp_airskin_gtdb_source_abundance	28	/tmp/minco_candidate_preset_replay_20260629/hmp_airskin_gtdb_source_abundance.sample28.candidate_preset.tsv	/tmp/minco_candidate_preset_genus_xny_blend_20260629/hmp_airskin_gtdb_source_abundance.sample28.genus_xny_a0.25.tsv	15.0	0.0	15.0	9.0	0.6	0.0	15.0	15.0	0.0	0.0	2.0907917516529606	0.4383429447488456	0.5905027701971798	36.13808924085987	36.13808924085987	0.0	0.0	848.0	747.6666666666666	575.0	848.0	0.600815	0.575	1.318033	1.098	1.0	1.0	0.6792409548581196	0.0070467015331292	8.0	2.0	5.0	0.8259409560651796	0.8472826764374297	0.023445696610861252	0.6	0.007382211047050009
hmp_airskin_gtdb_source_abundance	3	/tmp/minco_candidate_preset_replay_20260629/hmp_airskin_gtdb_source_abundance.sample3.candidate_preset.tsv	/tmp/minco_candidate_preset_genus_xny_blend_20260629/hmp_airskin_gtdb_source_abundance.sample3.genus_xny_a0.25.tsv	47.0	0.0	47.0	34.0	0.723404255319149	0.0	47.0	47.0	0.0	0.0	2.1251718315774086	0.5492772773556349	0.6611939024027145	843.9592241304858	843.9592241304858	0.0	0.0	760.0	733.4893617021277	508.0	760.0	0.584087	0.508	2.256168	0.685	0.69341	1.0	0.8506839891467379	0.3757683932807379	26.0	13.0	6.0	0.9481030574518383	12.825944284488182	0.015197350674971879	0.723404255319149	0.0027732861696960443
hmp_airskin_gtdb_source_abundance	4	/tmp/minco_candidate_preset_replay_20260629/hmp_airskin_gtdb_source_abundance.sample4.candidate_preset.tsv	/tmp/minco_candidate_preset_genus_xny_blend_20260629/hmp_airskin_gtdb_source_abundance.sample4.genus_xny_a0.25.tsv	137.0	0.0	137.0	101.0	0.7372262773722628	0.0	137.0	137.0	0.0	0.0	3.212097233592452	0.261071425440598	0.5210641531805225	699.6853467325391	699.6853467325391	0.0	0.0	477.0	499.48175182481754	268.0	477.0	0.343312	0.268	0.642374	0.297	0.595753	1.0	0.7347940189481543	0.3551996818902455	60.0	24.0	16.0	0.916174235632834	21.949250101141175	0.03137017261207768	0.7372262773722628	0.0029199496377491562
hmp_airskin_gtdb_source_abundance	5	/tmp/minco_candidate_preset_replay_20260629/hmp_airskin_gtdb_source_abundance.sample5.candidate_preset.tsv	/tmp/minco_candidate_preset_genus_xny_blend_20260629/hmp_airskin_gtdb_source_abundance.sample5.genus_xny_a0.25.tsv	26.0	0.0	26.0	14.0	0.5384615384615384	0.0	26.0	26.0	0.0	0.0	2.39904478962427	0.3842552463633354	0.5720820757787146	573.7486646829607	573.7486646829607	0.0	0.0	808.0	784.9615384615385	640.5	808.0	0.669617	0.6405000000000001	5.368493	0.8265	0.6825785	1.0	0.8839778628949915	0.4088406006976751	16.0	4.0	6.0	0.3630175479751035	7.612486948085757	0.013267981987012081	0.5384615384615384	0.0023150502546423835
hmp_airskin_gtdb_source_abundance	6	/tmp/minco_candidate_preset_replay_20260629/hmp_airskin_gtdb_source_abundance.sample6.candidate_preset.tsv	/tmp/minco_candidate_preset_genus_xny_blend_20260629/hmp_airskin_gtdb_source_abundance.sample6.genus_xny_a0.25.tsv	17.0	1.0	16.0	2.0	0.125	12.345963447143628	17.0	16.0	1.0	0.058823529411764705	2.1951861164458526	0.2105747634141996	0.559432929034342	994.8354944947027	982.4895310475591	12.345963447143628	0.01241005524578151	1000.0	930.0	558.0	1000.0	0.730534	0.558	13.597066	1.656	0.750435	0.99174	0.9213778104189674	0.7823438768682182	15.0	1.0	2.0	0.28944794804659607	10.262082483669374	0.010444978963518972	0.125	0.005222489481759493
hmp_airskin_gtdb_source_abundance	7	/tmp/minco_candidate_preset_replay_20260629/hmp_airskin_gtdb_source_abundance.sample7.candidate_preset.tsv	/tmp/minco_candidate_preset_genus_xny_blend_20260629/hmp_airskin_gtdb_source_abundance.sample7.genus_xny_a0.25.tsv	89.0	0.0	89.0	69.0	0.7752808988764045	0.0	89.0	89.0	0.0	0.0	2.48640702116496	0.4095192195654438	0.6349195553383437	687.4666704624319	687.4666704624319	0.0	0.0	503.0	482.8314606741573	295.0	503.0	0.348356	0.295	0.618033	0.317	0.597708	1.0	0.7417102480403621	0.3620153403656558	33.0	13.0	15.0	0.9687283892089228	18.066762729387634	0.02628020165288134	0.7752808988764045	0.00552975348960934
hmp_airskin_gtdb_source_abundance	9	/tmp/minco_candidate_preset_replay_20260629/hmp_airskin_gtdb_source_abundance.sample9.candidate_preset.tsv	/tmp/minco_candidate_preset_genus_xny_blend_20260629/hmp_airskin_gtdb_source_abundance.sample9.genus_xny_a0.25.tsv	102.0	0.0	102.0	70.0	0.6862745098039216	0.0	102.0	102.0	0.0	0.0	2.7006520938017053	0.3064669943179232	0.5973802310674768	699.3135248795265	699.3135248795265	0.0	0.0	369.5	470.03921568627453	279.5	369.5	0.3088575	0.27949999999999997	0.4603655	0.289	0.6406925	1.0	0.7939919801116324	0.3693380898944734	46.0	14.0	23.0	0.9546279474109735	35.015515767498854	0.0500712692115187	0.6862745098039216	0.0089988645126331
hmp_gastrooral_gtdb_source_abundance	0	/tmp/minco_candidate_preset_replay_20260629/hmp_gastrooral_gtdb_source_abundance.sample0.candidate_preset.tsv	/tmp/minco_candidate_preset_genus_xny_blend_20260629/hmp_gastrooral_gtdb_source_abundance.sample0.genus_xny_a0.25.tsv	35.0	1.0	34.0	15.0	0.4411764705882353	33.37172162017547	35.0	34.0	1.0	0.02857142857142857	2.4982622980063542	0.3104449403655411	0.5074370013060663	561.1881518889805	527.8164302688051	33.37172162017547	0.059466190631154624	808.0	779.1714285714286	684.0	808.0	0.733363	0.684	2.52652	0.722	0.833398	1.0	0.8413353530251445	0.0	23.0	4.0	6.0	0.6731245347668775	2.7491302793050925	0.005208496972905943	0.4411764705882353	0.0018436668583531345
hmp_gastrooral_gtdb_source_abundance	6	/tmp/minco_candidate_preset_replay_20260629/hmp_gastrooral_gtdb_source_abundance.sample6.candidate_preset.tsv	/tmp/minco_candidate_preset_genus_xny_blend_20260629/hmp_gastrooral_gtdb_source_abundance.sample6.genus_xny_a0.25.tsv	52.0	1.0	51.0	28.0	0.5490196078431373	0.5867456442384007	52.0	51.0	1.0	0.019230769230769232	3.3778160457679505	0.1292569937991806	0.308573537458535	82.48870603485827	81.90196039061986	0.5867456442384007	0.0071130421659233245	832.0	760.25	496.5	832.0	0.6525935	0.4965	0.817909	0.685	1.0	1.0	0.7896682853409669	0.0	31.0	8.0	10.0	0.621088592780652	1.29986963128403	0.015871044173844984	0.5490196078431373	0.003388151911847166
