genome_id	abundance	source_taxid	source_accession	source_basename	source_lookup_key	mapping_method	metadata_accession	metadata_domain	metadata_genbank_accession	ncbi_taxid_metadata	ncbi_species_taxid_metadata	ncbi_species_metadata	ncbi_organism_name_metadata	gtdb_species	gtdb_taxonomy	tar_path	local_path
1992.0	17.0	1379690	GCF_900095495.1	GCF_900095495.1_B_ovatus_V975.fa	GCF_900095495.1	exact_accession	RS_GCF_900095495.1	bac120	GCA_900095495.1	1379690	28116	Bacteroides ovatus	Bacteroides ovatus V975	s__Bacteroides ovatus	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides ovatus	source_genomes/GCF_900095495.1_B_ovatus_V975.fa	
192598.0	0.93549780104	1297617	GCF_001454945.1	GCF_001454945.1_ASM145494v1.fa	GCF_001454945.1	exact_accession	RS_GCF_001454945.1	bac120	GCA_001454945.1	1297617	1297617	Intestinimonas butyriciproducens	Intestinimonas butyriciproducens	s__Intestinimonas butyriciproducens	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Intestinimonas;s__Intestinimonas butyriciproducens	source_genomes/GCF_001454945.1_ASM145494v1.fa	
192598.1	0.0645021989596	1673721	GCF_001244995.1	GCF_001244995.1_Intestinimonas_massiliensis.fa	GCF_001244995.1	exact_accession	RS_GCF_001244995.1	bac120	GCA_001244995.1	1673721	1673721	Intestinimonas massiliensis	Intestinimonas massiliensis (ex Afouda et al. 2020)	s__Intestinimonas massiliensis	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Intestinimonas;s__Intestinimonas massiliensis	source_genomes/GCF_001244995.1_Intestinimonas_massiliensis.fa	
denovo1277.0	1.0	1120997	GCF_900141865.1	GCF_900141865.1_IMG-taxon_2585428091_annotated_assembly.fa	GCF_900141865.1	exact_accession	RS_GCF_900141865.1	bac120	GCA_900141865.1	1120997	82374	Anaerovibrio lipolyticus	Anaerovibrio lipolyticus DSM 3074	s__Anaerovibrio lipolyticus	d__Bacteria;p__Bacillota;c__Negativicutes;o__Selenomonadales;f__Selenomonadaceae;g__Anaerovibrio;s__Anaerovibrio lipolyticus	source_genomes/GCF_900141865.1_IMG-taxon_2585428091_annotated_assembly.fa	
denovo9909.0	22.0	1410666	GCF_000621825.1	GCF_000621825.1_ASM62182v1.fa	GCF_000621825.1	exact_accession	RS_GCF_000621825.1	bac120	GCA_000621825.1	1410666	83231	Xylanibacter brevis	Xylanibacter brevis P6B11	s__Prevotella brevis	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella brevis	source_genomes/GCF_000621825.1_ASM62182v1.fa	
174573.0	84.0	1739394	GCF_001808555.1	GCF_001808555.1_ASM180855v1.fa	GCF_001808555.1	exact_accession	RS_GCF_001808555.1	bac120	GCA_001808555.1	1739394	1739394	Porphyromonas sp. HMSC065F10	Porphyromonas sp. HMSC065F10	s__Porphyromonas_A sp001808555	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas_A;s__Porphyromonas_A sp001808555	source_genomes/GCF_001808555.1_ASM180855v1.fa	
denovo5713.0	2.0	246787	GCF_001580105.1	GCF_001580105.1_ASM158010v1.fa	GCF_001580105.1	exact_accession	RS_GCF_001580105.1	bac120	GCA_001580105.1	817	817	Bacteroides fragilis	Bacteroides fragilis	s__Bacteroides fragilis	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides fragilis	source_genomes/GCF_001580105.1_ASM158010v1.fa	
304080.0	9.0	853	GCF_002549935.1	GCF_002549935.1_ASM254993v1.fa	GCF_002549935.1	exact_accession	RS_GCF_002549935.1	bac120	GCA_002549935.1	853	853	Faecalibacterium prausnitzii	Faecalibacterium prausnitzii	s__Faecalibacterium prausnitzii	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii	source_genomes/GCF_002549935.1_ASM254993v1.fa	
1135084.1	0.723605083425	1073388	GCF_000297755.1	GCF_000297755.1_Bact_frag_HMW_616_V1.fa	GCF_000297755.1	exact_accession	RS_GCF_000297755.1	bac120	GCA_000297755.1	1073388	817	Bacteroides fragilis	Bacteroides fragilis HMW 616	s__Bacteroides hominis	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides hominis	source_genomes/GCF_000297755.1_Bact_frag_HMW_616_V1.fa	
191616.0	1.0	1121128	GCF_900167005.1	GCF_900167005.1_IMG-taxon_2585428076_annotated_assembly.fa	GCF_900167005.1	exact_accession	RS_GCF_900167005.1	bac120	GCA_900167005.1	1121128	501571	Butyricicoccus pullicaecorum	Butyricicoccus pullicaecorum DSM 23266	s__Butyricicoccus pullicaecorum	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae;g__Butyricicoccus;s__Butyricicoccus pullicaecorum	source_genomes/GCF_900167005.1_IMG-taxon_2585428076_annotated_assembly.fa	
denovo1779.0	1.0	1235798	GCF_000403455.2	GCF_000403455.2_Dore_bact_5-2_V1.fa	000403455.2	unique_assembly_core	GB_GCA_000403455.2	bac120	GCA_000403455.2	1235798	1235798	Dorea sp. 5-2	Dorea sp. 5-2	s__Sporofaciens sp000403455	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Sporofaciens;s__Sporofaciens sp000403455	source_genomes/GCF_000403455.2_Dore_bact_5-2_V1.fa	
194490.0	18.0	1203611	GCF_000374505.1	GCF_000374505.1_ASM37450v1.fa	GCF_000374505.1	exact_accession	RS_GCF_000374505.1	bac120	GCA_000374505.1	1203611	328813	Alistipes onderdonkii	Alistipes onderdonkii WAL 8169 = DSM 19147	s__Alistipes onderdonkii	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes onderdonkii	source_genomes/GCF_000374505.1_ASM37450v1.fa	
denovo5712.0	1.0	709991	GCF_000190535.1	GCF_000190535.1_ASM19053v1.fa	GCF_000190535.1	exact_accession	RS_GCF_000190535.1	bac120	GCA_000190535.1	709991	28118	Odoribacter splanchnicus	Odoribacter splanchnicus DSM 20712	s__Odoribacter splanchnicus	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Odoribacter;s__Odoribacter splanchnicus	source_genomes/GCF_000190535.1_ASM19053v1.fa	
3016478.0	6.0	665956	GCF_000238635.1	GCF_000238635.1_Subdol_sp_4_3_54A2FAA_V1.fa	000238635.1	unique_assembly_core	GB_GCA_000238635.1	bac120	GCA_000238635.1	665956	665956	Subdoligranulum sp. 4_3_54A2FAA	Subdoligranulum sp. 4_3_54A2FAA	s__Ruthenibacterium lactatiformans	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruthenibacterium;s__Ruthenibacterium lactatiformans	source_genomes/GCF_000238635.1_Subdol_sp_4_3_54A2FAA_V1.fa	
179513.0	1.0	28112	GCF_900096735.1	GCF_900096735.1_TFUB20.fa	GCF_900096735.1	exact_accession	RS_GCF_900096735.1	bac120	GCA_900096735.1	28112	28112	Tannerella forsythia	Tannerella forsythia	s__Tannerella forsythia	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Tannerella;s__Tannerella forsythia	source_genomes/GCF_900096735.1_TFUB20.fa	
827592.0	8.3821647202	720554	GCF_000237085.1	GCF_000237085.1_ASM23708v1.fa	GCF_000237085.1	exact_accession	RS_GCF_000237085.1	bac120	GCA_000237085.1	720554	288965	Acetivibrio clariflavus	Acetivibrio clariflavus DSM 19732	s__Acetivibrio clariflavus	d__Bacteria;p__Bacillota;c__Clostridia;o__Acetivibrionales;f__Acetivibrionaceae;g__Acetivibrio;s__Acetivibrio clariflavus	source_genomes/GCF_000237085.1_ASM23708v1.fa	
267451.0	8.0	1673717	GCF_001261775.1	GCF_001261775.1_Anaeromassilibacillus_senegalense.fa	GCF_001261775.1	exact_accession	RS_GCF_001261775.1	bac120	GCA_001261775.1	1673717	1673717	Anaeromassilibacillus senegalensis	Anaeromassilibacillus senegalensis	s__Anaeromassilibacillus senegalensis	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Anaeromassilibacillus;s__Anaeromassilibacillus senegalensis	source_genomes/GCF_001261775.1_Anaeromassilibacillus_senegalense.fa	
275984.0	2.0	575593	GCF_000209465.1	GCF_000209465.1_Lach_bact_F0167_V1.fa	000209465.1	unique_assembly_core	GB_GCA_000209465.1	bac120	GCA_000209465.1	575593	712991	Lachnospiraceae oral taxon 107 str. F0167	Lachnospiraceae oral taxon 107 str. F0167	s__Lachnoanaerobaculum sp000209465	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnoanaerobaculum;s__Lachnoanaerobaculum sp000209465	source_genomes/GCF_000209465.1_Lach_bact_F0167_V1.fa	
denovo9225.0	5.0	658081	GCF_000218445.1	GCF_000218445.1_Lach_bact_1_1_57FAA_V1.fa	000218445.1	unique_assembly_core	GB_GCA_000218445.1	bac120	GCA_000218445.1	658081	658081	Lachnospiraceae bacterium 1_1_57FAA	Lachnospiraceae bacterium 1_1_57FAA	s__Mediterraneibacter torques	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Mediterraneibacter;s__Mediterraneibacter torques	source_genomes/GCF_000218445.1_Lach_bact_1_1_57FAA_V1.fa	
339549.0	0.703639339059	837	GCF_900157255.1	GCF_900157255.1_ATCC49417.fa	GCF_900157255.1	exact_accession	RS_GCF_900157255.1	bac120	GCA_900157255.1	837	837	Porphyromonas gingivalis	Porphyromonas gingivalis	s__Porphyromonas gingivalis	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas;s__Porphyromonas gingivalis	source_genomes/GCF_900157255.1_ATCC49417.fa	
169845.0	54.0	397288	GCF_000403255.1	GCF_000403255.1_Lach_bact_3-1_V1.fa	GCF_000403255.1	unmapped										source_genomes/GCF_000403255.1_Lach_bact_3-1_V1.fa	
827522.0	1.0	1265	GCF_900109435.1	GCF_900109435.1_IMG-taxon_2593339146_annotated_assembly.fa	GCF_900109435.1	exact_accession	RS_GCF_900109435.1	bac120	GCA_900109435.1	1452313	1452313	Ruminococcus sp. YRD2003	Ruminococcus sp. YRD2003	s__Ruminococcus flavefaciens_G	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminococcus;s__Ruminococcus flavefaciens_G	source_genomes/GCF_900109435.1_IMG-taxon_2593339146_annotated_assembly.fa	
denovo10472.0	1.0	1841855	GCF_900155865.1	GCF_900155865.1_PRJEB18812.fa	GCF_900155865.1	exact_accession	RS_GCF_900155865.1	bac120	GCA_900155865.1	1841855	1841855	Bacteroides bouchesdurhonensis	Bacteroides bouchesdurhonensis	s__Bacteroides bouchesdurhonensis	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides bouchesdurhonensis	source_genomes/GCF_900155865.1_PRJEB18812.fa	
437137.0	4.0	1852381	GCF_900128485.1	GCF_900128485.1_PRJEB18048.fa	GCF_900128485.1	exact_accession	RS_GCF_900128485.1	bac120	GCA_900128485.1	1852381	1852381	Duodenibacillus massiliensis	Duodenibacillus massiliensis	s__Duodenibacillus massiliensis	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_F;g__Duodenibacillus;s__Duodenibacillus massiliensis	source_genomes/GCF_900128485.1_PRJEB18048.fa	
4444771.0	2.21475461624	457422	GCF_000225685.1	GCF_000225685.1_Erys_bact_2_2_44A_V1.fa	000225685.1	unique_assembly_core	GB_GCA_000225685.1	bac120	GCA_000225685.1	457422	457422	Erysipelotrichaceae bacterium 2_2_44A	Erysipelotrichaceae bacterium 2_2_44A	s__Clostridium_AQ innocuum	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Clostridium_AQ;s__Clostridium_AQ innocuum	source_genomes/GCF_000225685.1_Erys_bact_2_2_44A_V1.fa	
133719.0	2.14636425143	1121336	GCF_001697245.1	GCF_001697245.1_ASM169724v1.fa	GCF_001697245.1	exact_accession	RS_GCF_001697245.1	bac120	GCA_001697245.1	1121336	1510	Thermoclostridium stercorarium	Thermoclostridium stercorarium subsp. thermolacticum DSM 2910	s__Thermoclostridium stercorarium	d__Bacteria;p__Bacillota;c__Clostridia;o__DSM-8532;f__DSM-8532;g__Thermoclostridium;s__Thermoclostridium stercorarium	source_genomes/GCF_001697245.1_ASM169724v1.fa	
136604.0	8.0	1280700	GCF_000424425.1	GCF_000424425.1_ASM42442v1.fa	GCF_000424425.1	exact_accession	RS_GCF_000424425.1	bac120	GCA_000424425.1	1280700	831	Butyrivibrio fibrisolvens	Butyrivibrio fibrisolvens FE2007	s__Butyrivibrio fibrisolvens_C	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Butyrivibrio;s__Butyrivibrio fibrisolvens_C	source_genomes/GCF_000424425.1_ASM42442v1.fa	
4440624.0	11.0	1280688	GCF_000424005.1	GCF_000424005.1_ASM42400v1.fa	GCF_000424005.1	exact_accession	RS_GCF_000424005.1	bac120	GCA_000424005.1	1280688	46206	Pseudobutyrivibrio ruminis	Pseudobutyrivibrio ruminis CF1b	s__Pseudobutyrivibrio ruminis_C	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Pseudobutyrivibrio;s__Pseudobutyrivibrio ruminis_C	source_genomes/GCF_000424005.1_ASM42400v1.fa	
273954.0	0.223931862026	1855344	GCF_900100545.1	GCF_900100545.1_IMG-taxon_2651870321_annotated_assembly.fa	GCF_900100545.1	exact_accession	RS_GCF_900100545.1	bac120	GCA_900100545.1	1855344	1855344	Pseudobutyrivibrio sp. 49	Pseudobutyrivibrio sp. 49	s__Pseudobutyrivibrio sp900100545	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Pseudobutyrivibrio;s__Pseudobutyrivibrio sp900100545	source_genomes/GCF_900100545.1_IMG-taxon_2651870321_annotated_assembly.fa	
273954.1	0.776068137974	1392836	GCF_000875945.1	GCF_000875945.1_TWA4_1.fa	000875945.1	unique_assembly_core	GB_GCA_000875945.1	bac120	GCA_000875945.1	1392836	1392836	Lachnospiraceae bacterium TWA4	Lachnospiraceae bacterium TWA4	s__TWA4 sp000875945	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__TWA4;s__TWA4 sp000875945	source_genomes/GCF_000875945.1_TWA4_1.fa	
1571092.0	109.0	1123059	GCF_000365025.1	GCF_000365025.1_ASM36502v1.fa	GCF_000365025.1	exact_accession	RS_GCF_000365025.1	bac120	GCA_000365025.1	1123059	437507	Robiginitomaculum antarcticum	Robiginitomaculum antarcticum DSM 21748	s__Robiginitomaculum antarcticum	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Caulobacterales;f__Maricaulaceae;g__Robiginitomaculum;s__Robiginitomaculum antarcticum	source_genomes/GCF_000365025.1_ASM36502v1.fa	
264359.1	2.32254374535	877406	GCF_900107575.1	GCF_900107575.1_IMG-taxon_2593339166_annotated_assembly.fa	900107575.1	unique_assembly_core	GB_GCA_900107575.1	bac120	GCA_900107575.1	877406	877406	Lachnospiraceae bacterium NK3A20	Lachnospiraceae bacterium NK3A20	s__CAG-791 sp900107575	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-791;s__CAG-791 sp900107575	source_genomes/GCF_900107575.1_IMG-taxon_2593339166_annotated_assembly.fa	
264359.0	0.67745625465	1805476	GCF_900078295.2	GCF_900078295.2_PRJEB13136.fa	GCF_900078295.2	exact_accession	RS_GCF_900078295.2	bac120	GCA_900078295.2	1805476	1805476	Blautia sp. Marseille-P2398	Blautia sp. Marseille-P2398	s__Blautia_A wexlerae	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A wexlerae	source_genomes/GCF_900078295.2_PRJEB13136.fa	
263992.1	1.64088910014	1408311	GCF_000701645.1	GCF_000701645.1_ASM70164v1.fa	GCF_000701645.1	exact_accession	RS_GCF_000701645.1	bac120	GCA_000701645.1	1408311	1408311	Oribacterium sp. FC2011	Oribacterium sp. FC2011	s__Oribacterium sp900107835	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Oribacterium;s__Oribacterium sp900107835	source_genomes/GCF_000701645.1_ASM70164v1.fa	
263992.0	0.359110899855	999408	GCF_000371505.1	GCF_000371505.1_Clos_clos_90A8_V1.fa	GCF_000371505.1	exact_accession	RS_GCF_000371505.1	bac120	GCA_000371505.1	999408	1531	Enterocloster clostridioformis	[Clostridium] clostridioforme 90A8	s__Enterocloster clostridioformis	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Enterocloster;s__Enterocloster clostridioformis	source_genomes/GCF_000371505.1_Clos_clos_90A8_V1.fa	
162639.0	6.0	1588749	GCF_001553165.1	GCF_001553165.1_ASM155316v1.fa	001553165.1	unique_assembly_core	GB_GCA_001553165.1	bac120	GCA_001553165.1	1588749	1588749	Porphyromonadaceae bacterium KA00676	Porphyromonadaceae bacterium KA00676	s__Porphyromonas pasteri	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas;s__Porphyromonas pasteri	source_genomes/GCF_001553165.1_ASM155316v1.fa	
828435.0	6.0	556270	GCF_000158555.2	GCF_000158555.2_Erys_bact_D7_V2.fa	000158555.2	unique_assembly_core	GB_GCA_000158555.2	bac120	GCA_000158555.2	556270	556270	Coprobacillus sp. D7	Coprobacillus sp. D7	s__Thomasclavelia ramosa	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Erysipelotrichales;f__Coprobacillaceae;g__Thomasclavelia;s__Thomasclavelia ramosa	source_genomes/GCF_000158555.2_Erys_bact_D7_V2.fa	
denovo10694.0	3.0	626522	GCF_000159995.1	GCF_000159995.1_ASM15999v1.fa	GCF_000159995.1	exact_accession	RS_GCF_000159995.1	bac120	GCA_000159995.1	626522	76122	Alloprevotella tannerae	Alloprevotella tannerae ATCC 51259	s__Alloprevotella tannerae	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Alloprevotella;s__Alloprevotella tannerae	source_genomes/GCF_000159995.1_ASM15999v1.fa	
318732.1	112.351759996	999412	GCF_000371445.1	GCF_000371445.1_Clos_hath_12489931_V1.fa	GCF_000371445.1	exact_accession	RS_GCF_000371445.1	bac120	GCA_000371445.1	999412	154046	Hungatella hathewayi	Hungatella hathewayi 12489931	s__Hungatella effluvii	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Hungatella;s__Hungatella effluvii	source_genomes/GCF_000371445.1_Clos_hath_12489931_V1.fa	
1931575.0	38.0	999406	GCF_000371545.1	GCF_000371545.1_Clos_clos_90A6_V1.fa	GCF_000371545.1	exact_accession	RS_GCF_000371545.1	bac120	GCA_000371545.1	999406	1531	Enterocloster clostridioformis	[Clostridium] clostridioforme 90A6	s__Enterocloster clostridioformis	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Enterocloster;s__Enterocloster clostridioformis	source_genomes/GCF_000371545.1_Clos_clos_90A6_V1.fa	
133719.1	0.853635748565	1572656	GCF_002119605.1	GCF_002119605.1_ASM211960v1.fa	002119605.1	unique_assembly_core	GB_GCA_002119605.1	bac120	GCA_002119605.1	1572656	1572656	Ruminococcaceae bacterium CPB6	Ruminococcaceae bacterium CPB6	s__Caproicibacterium lactatifermentans	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Caproicibacterium;s__Caproicibacterium lactatifermentans	source_genomes/GCF_002119605.1_ASM211960v1.fa	
3265889.0	5.67836682244	1078091	GCF_000411355.1	GCF_000411355.1_Copr_sp_HPP0048_V1.fa	000411355.1	unique_assembly_core	GB_GCA_000411355.1	bac120	GCA_000411355.1	1078091	1078091	Coprococcus sp. HPP0048	Coprococcus sp. HPP0048	s__Faecalimonas umbilicata	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Faecalimonas;s__Faecalimonas umbilicata	source_genomes/GCF_000411355.1_Copr_sp_HPP0048_V1.fa	
3265889.1	0.321633177559	411474	GCF_000154425.1	GCF_000154425.1_ASM15442v1.fa	GCF_000154425.1	exact_accession	RS_GCF_000154425.1	bac120	GCA_000154425.1	411474	33043	Coprococcus eutactus	Coprococcus eutactus ATCC 27759	s__Coprococcus eutactus	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Coprococcus;s__Coprococcus eutactus	source_genomes/GCF_000154425.1_ASM15442v1.fa	
47365.0	28.0	1033837	GCF_000214785.1	GCF_000214785.1_ASM21478v1.fa	GCF_000214785.1	exact_accession	RS_GCF_000214785.1	bac120	GCA_000214785.1	190905	267818	Lactobacillus kefiranofaciens	Lactobacillus kefiranofaciens subsp. kefiranofaciens	s__Lactobacillus kefiranofaciens	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus kefiranofaciens	source_genomes/GCF_000214785.1_ASM21478v1.fa	
denovo11206.0	8.0	575611	GCF_000162455.1	GCF_000162455.1_ASM16245v1.fa	GCF_000162455.1	exact_accession	RS_GCF_000162455.1	bac120	GCA_000162455.1	575611	28126	Segatella buccae	Segatella buccae D17	s__Prevotella buccae	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella buccae	source_genomes/GCF_000162455.1_ASM16245v1.fa	
