sample	source_genome_id	species_label	recommended_gtdb_species	recommended_resolution_rule	taxid_gtdb_species_count	ncbi_name_gtdb_species_count	gtdb_binomial_species_count	prior_wgs_or_unique_taxid_rows	prior_mapped_gtdb_species	fallback_added_rows	source_priority_case	source_priority_ok
4	ASV488.4	Salmonella enterica	s__Salmonella enterica	unique_gtdb_binomial	11	11	1	0		236	unmapped_source	true
4	ASV531.13	Escherichia coli	s__Escherichia coli	unique_gtdb_binomial	51	51	1	0		22434	unmapped_source	true
4	ASV577.0	Acidaminococcus intestini	s__Acidaminococcus intestini	unique_gtdb_binomial	5	5	1	0		364634	unmapped_source	true
4	ASV607.0	Veillonella parvula	s__Veillonella parvula	unique_gtdb_binomial	28	28	1	0		108	unmapped_source	true
4	ASV639.13	Escherichia coli	s__Escherichia coli	unique_gtdb_binomial	51	51	1	0		718	unmapped_source	true
4	ASV709.1	Klebsiella quasipneumoniae	s__Klebsiella quasipneumoniae	unique_gtdb_binomial	2	2	1	0		2832	unmapped_source	true
4	ASV808.0	Pyramidobacter piscolens	s__Pyramidobacter piscolens	unique_gtdb_binomial	2	2	1	0		1430	unmapped_source	true
4	ASV810.7	Klebsiella pneumoniae	s__Klebsiella pneumoniae	unique_gtdb_binomial	63	63	1	0		6370	unmapped_source	true
5	ASV270.6	Lactiplantibacillus plantarum	s__Lactiplantibacillus plantarum	unique_gtdb_binomial	4	4	1	0		2008	unmapped_source	true
5	ASV399.7	Anaerostipes hadrus	s__Anaerostipes hadrus	unique_gtdb_binomial	11	11	1	0		614284	unmapped_source	true
5	ASV451.3	Mediterraneibacter gnavus	s__Mediterraneibacter gnavus	unique_gtdb_binomial	4	4	1	0		17486	unmapped_source	true
5	ASV482.14	Clostridioides difficile	s__Clostridioides difficile	unique_gtdb_binomial	9	9	1	0		338	unmapped_source	true
5	ASV491.8	Lactobacillus acidophilus	s__Lactobacillus acidophilus	unique_gtdb_binomial	2	2	1	0		764	unmapped_source	true
5	ASV506.3	Klebsiella aerogenes	s__Klebsiella aerogenes	unique_gtdb_binomial	6	6	1	0		416	unmapped_source	true
5	ASV507.7	Faecalibacterium prausnitzii	s__Faecalibacterium prausnitzii	unique_gtdb_binomial	57	57	1	0		991330	unmapped_source	true
5	ASV514.4	Streptococcus sanguinis	s__Streptococcus sanguinis	unique_gtdb_binomial	27	27	1	0		186	unmapped_source	true
5	ASV577.0	Acidaminococcus intestini	s__Acidaminococcus intestini	unique_gtdb_binomial	5	5	1	0		62664	unmapped_source	true
5	ASV602.9	Lactiplantibacillus plantarum	s__Lactiplantibacillus plantarum	unique_gtdb_binomial	4	4	1	0		262	unmapped_source	true
5	ASV607.0	Veillonella parvula	s__Veillonella parvula	unique_gtdb_binomial	28	28	1	0		496	unmapped_source	true
5	ASV638.0	Vibrio cholerae	s__Vibrio cholerae	unique_gtdb_binomial	4	4	1	0		330	unmapped_source	true
5	ASV729.10	Escherichia coli	s__Escherichia coli	unique_gtdb_binomial	51	51	1	0		142752	unmapped_source	true
5	ASV731.5	Aeromonas veronii	s__Aeromonas veronii	unique_gtdb_binomial	6	6	1	0		4850	unmapped_source	true
5	ASV74.8	Escherichia coli	s__Escherichia coli	unique_gtdb_binomial	51	51	1	0		1958	unmapped_source	true
