sample	gtdb_species	read_rows	truth_abundance	source_genomes	source_genome_ids	fallback_read_rows	fallback_source_genomes	fallback_source_genome_ids
0	s__Clostridioides difficile	737680	0.027366512571130007	5	ASV305.7,ASV309.7,ASV368.3,ASV476.8,ASV486.6	84628	2	ASV368.3,ASV476.8
0	s__Clostridium nitritogenes	6634	0.0002461086709642073	1	ASV473.1	0	0	
0	s__Clostridium paraputrificum	773386	0.02869113665998258	1	ASV300.8	0	0	
0	s__Collinsella tanakaei	218254	0.008096804623548705	1	ASV73.2	0	0	
0	s__Comamonas kerstersii	1136	4.214342029173041e-05	1	ASV670.1	1136	1	ASV670.1
0	s__Coprococcus ammoniilyticus	5010	0.00018586138702602934	2	ASV334.1,ASV341.3	0	0	
0	s__Cutibacterium avidum	192	7.122831598602322e-06	1	ASV54.3	0	0	
0	s__Desulfovibrio fairfieldensis	113152	0.004197722088776302	1	ASV714.0	0	0	
0	s__Dorea_A longicatena	321990	0.011945211179343551	1	ASV426.8	0	0	
0	s__Eggerthella lenta	8352	0.00030984317453920104	1	ASV86.13	0	0	
0	s__Eisenbergiella porci	38166	0.0014158853687096678	1	ASV429.0	0	0	
0	s__Enterobacter hormaechei_C	188	6.97443927363144e-06	1	ASV699.7	0	0	
0	s__Enterobacter ludwigii	194	7.197027761087763e-06	1	ASV749.3	0	0	
0	s__Enterocloster bolteae	19558	0.0007255642729451262	2	ASV447.2,ASV466.0	0	0	
0	s__Enterococcus faecalis	20726	0.0007688948318366236	11	ASV255.2,ASV257.1,ASV374.3,ASV385.7,ASV420.1,ASV491.4,ASV497.3,ASV514.0,ASV515.12,ASV520.8,ASV583.8	0	0	
0	s__Enterococcus_B hirae	115004	0.00426642773523782	3	ASV258.8,ASV437.3,ASV519.3	0	0	
0	s__Enterococcus_B pernyi	128	4.748554399068215e-06	1	ASV602.4	0	0	
0	s__Enterococcus_D innesii	140	5.19373137398086e-06	1	ASV316.11	0	0	
0	s__Escherichia coli	151840	0.00563297265589467	8	ASV347.10,ASV348.5,ASV440.15,ASV688.0,ASV709.10,ASV737.3,ASV741.10,ASV783.5	137780	4	ASV348.5,ASV709.10,ASV737.3,ASV783.5
0	s__Eubacterium maltosivorans	41554	0.0015415736679600047	1	ASV372.2	0	0	
0	s__Eubacterium_F sp003491505	297736	0.01104543431688261	1	ASV300.2	0	0	
0	s__Eubacterium_G sp000435815	106	3.932396611728366e-06	1	ASV380.3	0	0	
0	s__Extibacter hylemonae	412630	0.015307781263183731	1	ASV436.0	0	0	
0	s__Faecalibacterium prausnitzii	1367528	0.05073266484569498	2	ASV507.1,ASV507.3	0	0	
0	s__Faecalibacterium taiwanense	1859330	0.06897757539702737	2	ASV507.11,ASV507.9	0	0	
0	s__Faecalibacterium tardum	593842	0.022030398761339585	1	ASV507.0	0	0	
0	s__Faecalimonas umbilicata	1766260	0.06552485697576739	1	ASV387.0	0	0	
0	s__Flavonifractor plautii	3518	0.00013051104981189046	1	ASV509.0	0	0	
0	s__Fusicatenibacter saccharivorans	55538	0.0020603532360582073	1	ASV431.3	0	0	
0	s__Fusobacterium polymorphum	546	2.0255552358525355e-05	1	ASV627.1	546	1	ASV627.1
0	s__Gemella morbillorum	394	1.4616644009631849e-05	1	ASV227.0	0	0	
0	s__Holdemanella biformis	90	3.3388273118448385e-06	1	ASV564.0	0	0	
0	s__Holdemania massiliensis	772	2.863971871938017e-05	1	ASV565.1	0	0	
0	s__Intestinibacter bartlettii	3314	0.0001229430412383755	1	ASV481.2	0	0	
0	s__Intestinimonas butyriciproducens	1448	5.371802163945918e-05	1	ASV324.5	0	0	
0	s__Kingella kingae	82	3.042042661903075e-06	1	ASV668.0	0	0	
0	s__Klebsiella variicola	1476	5.475676791425535e-05	1	ASV373.9	0	0	
0	s__Lachnoanaerobaculum sp000296385	226	8.384166360854816e-06	1	ASV442.4	0	0	
0	s__Lacticaseibacillus rhamnosus	2968	0.00011010710512839424	1	ASV463.1	0	0	
0	s__Lactobacillus delbrueckii	538	1.9958767708583592e-05	1	ASV265.0	0	0	
0	s__Lactobacillus gasseri	878	3.2572115331108534e-05	1	ASV576.1	0	0	
0	s__Lactobacillus paragasseri	769598	0.028550609128235156	1	ASV266.11	0	0	
0	s__Lactococcus petauri	1366	5.0675978977556103e-05	1	ASV287.1	0	0	
0	s__Laedolimicola ammoniilytica	5386	0.00019981026557329223	1	ASV371.2	0	0	
0	s__Ligaoa zhengdingensis	236	8.755147173282021e-06	1	ASV297.4	0	0	
0	s__Longicatena caecimuris	16550	0.0006139732445670231	1	ASV547.6	0	0	
0	s__Mediterraneibacter gnavus	28894	0.001071911959427164	1	ASV444.5	28894	1	ASV444.5
0	s__Megamonas funiformis	368	1.3652093897321117e-05	1	ASV582.2	0	0	
0	s__Megasphaera elsdenii	188	6.97443927363144e-06	1	ASV592.0	188	1	ASV592.0
0	s__Odoribacter splanchnicus	166	6.158281486291591e-06	1	ASV139.5	0	0	
0	s__Oscillibacter welbionis	164886	0.0061169542237872005	1	ASV470.1	0	0	
0	s__Parabacteroides distasonis	142412	0.005283211945938302	3	ASV154.6,ASV174.18,ASV96.0	0	0	
0	s__Parabacteroides merdae	344	1.2761739947495827e-05	1	ASV173.0	0	0	
0	s__Paraprevotella xylaniphila	8834646	0.3277484150586751	1	ASV149.0	0	0	
0	s__Parolsenella catena	66	2.4484733620195483e-06	1	ASV65.2	0	0	
0	s__Phocaeicola vulgatus	24320	0.0009022253358229608	1	ASV124.5	0	0	
0	s__Pseudomonas aeruginosa	502	1.8623236783845655e-05	1	ASV790.3	502	1	ASV790.3
0	s__Romboutsia_C hominis	133342	0.004946732349066827	1	ASV484.0	0	0	
0	s__Roseburia hominis	229548	0.00851579035310399	1	ASV456.0	0	0	
0	s__Roseburia rectalis	3048	0.00011307495162781187	1	ASV397.3	0	0	
0	s__Salmonella enterica	235818	0.008748395322495847	7	ASV471.8,ASV638.12,ASV676.10,ASV687.8,ASV694.7,ASV74.2,ASV743.6	2028	2	ASV676.10,ASV74.2
0	s__Sarcina perfringens	3326	0.00012338821821328814	1	ASV504.4	0	0	
0	s__Slackia exigua	78	2.8936503369321934e-06	1	ASV81.2	0	0	
0	s__Streptococcus constellatus	260	9.645501123107312e-06	1	ASV546.2	0	0	
0	s__Streptococcus mutans	3808	0.00014126949337227938	1	ASV222.0	0	0	
0	s__Streptococcus parasanguinis_V	1956	7.256384691076116e-05	1	ASV245.8	0	0	
0	s__Streptococcus salivarius_E	234550	0.008701354955480077	2	ASV286.1,ASV290.6	0	0	
0	s__Streptococcus salivarius_F	88	3.2646311493593976e-06	1	ASV621.12	0	0	
0	s__Streptococcus vaginalis	10552	0.000391458953273186	2	ASV540.2,ASV596.11	0	0	
0	s__Sutterella wadsworthensis_A	66530	0.00246813534507819	1	ASV692.1	0	0	
0	s__Thomasclavelia ramosa	33636	0.0012478310606801443	1	ASV557.0	0	0	
0	s__Turicibacter sanguinis	9200	0.00034130234743302796	1	ASV573.1	0	0	
0	s__Veillonella parvula	29434	0.001091944923298233	1	ASV607.0	29434	1	ASV607.0
0	s__Vibrio cholerae	436	1.6174763421826106e-05	1	ASV221.15	0	0	
0	s__Vibrio parahaemolyticus	1742	6.462485752481899e-05	4	ASV513.0,ASV581.18,ASV655.9,ASV730.1	0	0	
0	s__Weissella confusa	108396	0.004021283614385924	1	ASV284.4	0	0	
1	s__Acidaminococcus intestini	2808	0.00010469034363561378	1	ASV577.0	2808	1	ASV577.0
1	s__Actinomyces urogenitalis	2728	0.00010170771276280427	1	ASV10.0	0	0	
1	s__Aeromonas sp023093515	318	1.18559577194178e-05	1	ASV731.3	0	0	
1	s__Agathobaculum butyriciproducens	105558	0.003935506870900328	1	ASV337.1	0	0	
1	s__Akkermansia sp004167605	114	4.250248993753551e-06	1	ASV379.6	0	0	
1	s__Alistipes finegoldii	842	3.1392189936320083e-05	1	ASV165.4	0	0	
1	s__Alistipes onderdonkii	53816	0.002006415788138957	1	ASV166.0	0	0	
1	s__Anaerostipes hadrus	1106332	0.04124724973471362	1	ASV399.6	0	0	
1	s__Anaerotruncus colihominis	3120	0.00011632260403957086	1	ASV499.2	0	0	
1	s__Bacteroides fragilis	280814	0.010469556323964119	1	ASV134.7	280814	1	ASV134.7
1	s__Bacteroides intestinalis_A	230	8.57506375932734e-06	1	ASV70.16	0	0	
1	s__Bacteroides ovatus	540486	0.020150877874016506	2	ASV136.1,ASV150.14	0	0	
1	s__Bacteroides sp947646015	4188218	0.1561488538607062	1	ASV102.10	0	0	
1	s__Bacteroides thetaiotaomicron	161298	0.006013654931530353	2	ASV153.8,ASV99.3	0	0	
1	s__Bacteroides uniformis	45582	0.0016994285055550382	4	ASV101.4,ASV178.5,ASV495.13,ASV98.15	0	0	
1	s__Bifidobacterium adolescentis	1038	3.8699635574703385e-05	1	ASV19.14	0	0	
1	s__Bifidobacterium angulatum	276	1.0290076511192808e-05	1	ASV50.0	0	0	
1	s__Bifidobacterium bifidum	35752	0.0013329377370585697	3	ASV68.9,ASV71.10,ASV88.2	22762	1	ASV71.10
1	s__Bifidobacterium breve	78570	0.0029293163459580395	2	ASV23.7,ASV49.2	0	0	
1	s__Bifidobacterium longum	5746	0.000214227462439543	2	ASV1.11,ASV7.12	0	0	
1	s__Bifidobacterium pseudocatenulatum	1596	5.950348591254971e-05	4	ASV16.8,ASV511.12,ASV66.4,ASV87.11	0	0	
1	s__Bilophila wadsworthia	64390	0.0024006450237525536	1	ASV712.0	0	0	
1	s__Blautia_A faecis	3079410	0.11480929170047914	1	ASV487.10	0	0	
1	s__Blautia_A obeum	354650	0.013222375488023656	1	ASV406.4	0	0	
1	s__Butyricimonas synergistica	153340	0.005716957725457627	1	ASV137.1	0	0	
1	s__Campylobacter_D coli	112	4.175683221933313e-06	1	ASV713.0	0	0	
1	s__Campylobacter_D jejuni	478	1.782121946503682e-05	1	ASV585.5	0	0	
1	s__Catenibacterium mitsuoka_A	476906	0.017780431987851147	1	ASV551.0	0	0	
1	s__Cetobacterium_A somerae	128	4.772209396495215e-06	1	ASV626.0	0	0	
1	s__Christensenella minuta	87754	0.003271722370156571	1	ASV329.2	0	0	
1	s__Citrobacter braakii	10770	0.0004015366812519802	1	ASV729.15	0	0	
1	s__Clostridioides difficile	1906962	0.0710970466809321	6	ASV305.7,ASV309.7,ASV368.3,ASV476.8,ASV486.6,ASV815.4	170008	3	ASV368.3,ASV476.8,ASV815.4
1	s__Clostridium nitritogenes	14988	0.0005587958940208615	1	ASV473.1	0	0	
1	s__Clostridium paraputrificum	1546780	0.05766842226805366	1	ASV300.8	0	0	
1	s__Collinsella tanakaei	57570	0.002146375741845543	1	ASV73.2	0	0	
1	s__Comamonas kerstersii	7870	0.0002934163121126355	1	ASV670.1	7870	1	ASV670.1
1	s__Coprobacter secundus	276	1.0290076511192808e-05	1	ASV128.1	0	0	
1	s__Coprococcus ammoniilyticus	1594	5.942892014072947e-05	2	ASV334.1,ASV341.3	0	0	
1	s__Desulfovibrio fairfieldensis	179132	0.006678557918851412	1	ASV714.0	0	0	
1	s__Dorea_A longicatena	718318	0.026780968041184763	1	ASV426.8	0	0	
1	s__ECMA0423 sp047199055	172	6.412656376540445e-06	1	ASV219.11	0	0	
1	s__Eggerthella lenta	9482	0.0003535163241997471	1	ASV86.13	0	0	
1	s__Eisenbergiella porci	4774	0.00017798849733490746	1	ASV429.0	0	0	
1	s__Enterocloster bolteae	4950	0.0001845502852550884	2	ASV447.2,ASV466.0	0	0	
1	s__Enterococcus faecalis	73258	0.002731269656003488	12	ASV255.2,ASV257.1,ASV374.3,ASV385.7,ASV420.1,ASV491.4,ASV497.3,ASV514.0,ASV515.12,ASV520.8,ASV550.6,ASV583.8	0	0	
1	s__Enterococcus_B hirae	39288	0.00146477002163675	3	ASV258.8,ASV437.3,ASV519.3	0	0	
1	s__Enterococcus_B pernyi	122	4.548512081034502e-06	1	ASV602.4	0	0	
1	s__Escherichia coli	56624	0.0021111061317745706	9	ASV430.9,ASV472.8,ASV671.4,ASV675.7,ASV688.0,ASV689.9,ASV709.10,ASV741.10,ASV783.5	10630	5	ASV671.4,ASV675.7,ASV689.9,ASV709.10,ASV783.5
1	s__Eubacterium maltosivorans	7396	0.0002757442241912391	1	ASV372.2	0	0	
1	s__Eubacterium_F sp003491505	595476	0.02220106377021394	1	ASV300.2	0	0	
1	s__Eubacterium_G sp000435815	370	1.379466778674398e-05	1	ASV380.3	0	0	
1	s__Extibacter hylemonae	608658	0.02269252677228113	1	ASV436.0	0	0	
1	s__Faecalibacillus intestinalis	1306	4.869144899861524e-05	1	ASV545.7	0	0	
1	s__Faecalibacterium prausnitzii	596718	0.02224736911451431	2	ASV507.1,ASV507.3	0	0	
1	s__Faecalibacterium taiwanense	811182	0.030243205958342043	2	ASV507.11,ASV507.9	0	0	
1	s__Faecalibacterium tardum	259052	0.009658206160788113	1	ASV507.0	0	0	
1	s__Faecalimonas umbilicata	2209300	0.08236907984122561	1	ASV387.0	0	0	
1	s__Faecalispora jeddahensis	132	4.92134094013569e-06	1	ASV383.0	0	0	
1	s__Faecalitalea cylindroides	332	1.2377918122159464e-05	1	ASV563.0	0	0	
1	s__Flavonifractor plautii	12286	0.0004580575362917204	1	ASV509.0	0	0	
1	s__Fusicatenibacter saccharivorans	95316	0.0035536555534088896	1	ASV431.3	0	0	
1	s__Fusobacterium animalis	34524	0.0012871543531609438	1	ASV401.0	0	0	
1	s__Fusobacterium polymorphum	246	9.17158993388924e-06	1	ASV627.1	246	1	ASV627.1
1	s__Gemella morbillorum	974	3.6313530876455774e-05	1	ASV227.0	0	0	
1	s__Holdemanella biformis	312	1.1632260403957086e-05	1	ASV564.0	0	0	
1	s__Holdemania massiliensis	1148	4.2800753024816456e-05	1	ASV565.1	0	0	
1	s__Hungatella hathewayi	254	9.469853021170191e-06	1	ASV357.0	254	1	ASV357.0
1	s__Intestinibacter bartlettii	6286	0.00023436022083100718	1	ASV481.2	0	0	
1	s__Intestinimonas butyriciproducens	2282	8.507954564689125e-05	1	ASV324.5	0	0	
1	s__Kingella kingae	860	3.2063281882702226e-05	1	ASV668.0	0	0	
1	s__Klebsiella aerogenes	194	7.23287986656306e-06	1	ASV432.5	0	0	
1	s__Lachnoanaerobaculum sp000296385	98352	0.0036668463950320107	1	ASV442.4	0	0	
1	s__Lacticaseibacillus paracasei	5832	0.00021743379062781322	1	ASV710.5	0	0	
1	s__Lacticaseibacillus rhamnosus	16044	0.000598166621541947	1	ASV463.1	0	0	
1	s__Lactobacillus acidophilus	70	2.6098020137083207e-06	1	ASV225.7	0	0	
1	s__Lactobacillus gasseri	1538	5.734107852976282e-05	1	ASV576.1	0	0	
1	s__Lactobacillus paragasseri	642	2.3935612754296312e-05	1	ASV266.11	0	0	
1	s__Laedolimicola ammoniilytica	6286	0.00023436022083100718	1	ASV371.2	0	0	
1	s__Lawsonibacter sp003478995	208	7.754840269304724e-06	1	ASV468.10	0	0	
1	s__Ligaoa zhengdingensis	196	7.307445638383298e-06	1	ASV297.4	0	0	
1	s__Ligilactobacillus ruminis	140	5.219604027416641e-06	1	ASV250.4	0	0	
1	s__Longicatena caecimuris	65786	0.00245269193248308	1	ASV547.6	0	0	
1	s__Mediterraneibacter gnavus	24668	0.0009196942296308122	1	ASV444.5	24668	1	ASV444.5
1	s__Megamonas funiformis	74	2.758933557348796e-06	1	ASV582.2	0	0	
1	s__Megasphaera massiliensis	94	3.5045912755511733e-06	1	ASV575.8	0	0	
1	s__Microbacterium algeriense	138	5.145038255596404e-06	1	ASV38.1	0	0	
1	s__Oscillibacter welbionis	133626	0.004981962912625543	1	ASV470.1	0	0	
1	s__Parabacteroides distasonis	300246	0.011194037362969549	2	ASV174.18,ASV96.0	0	0	
1	s__Parabacteroides merdae	1516	5.6520855039740204e-05	1	ASV173.0	0	0	
1	s__Paraprevotella xylaniphila	4133916	0.15412431859001494	1	ASV149.0	0	0	
1	s__Parolsenella catena	360	1.3421838927642792e-05	1	ASV65.2	0	0	
1	s__Peptostreptococcus anaerobius	206	7.680274497484487e-06	1	ASV483.5	0	0	
1	s__Phocaeicola vulgatus	25704	0.0009583192994336953	1	ASV124.5	0	0	
1	s__Romboutsia_C hominis	64132	0.002391026039187743	1	ASV484.0	0	0	
1	s__Roseburia hominis	367812	0.013713092832372641	1	ASV456.0	0	0	
1	s__Roseburia rectalis	176112	0.006565963603402854	1	ASV397.3	0	0	
1	s__Salmonella enterica	357564	0.013331017817565741	9	ASV395.17,ASV471.8,ASV638.12,ASV676.10,ASV687.8,ASV694.7,ASV74.2,ASV743.6,ASV79.5	1636	3	ASV395.17,ASV676.10,ASV74.2
1	s__Sarcina perfringens	7432	0.0002770864080840034	1	ASV504.4	0	0	
1	s__Slackia exigua	758	2.8260427519870102e-05	1	ASV81.2	0	0	
1	s__Streptococcus constellatus	976	3.6388096648276016e-05	1	ASV546.2	0	0	
1	s__Streptococcus dysgalactiae	928	3.459851812459031e-05	1	ASV475.5	0	0	
1	s__Streptococcus mutans	2370	8.836043960698172e-05	1	ASV222.0	0	0	
1	s__Streptococcus parasanguinis_V	362	1.3496404699463029e-05	1	ASV245.8	0	0	
1	s__Streptococcus salivarius_E	77684	0.002896283709041674	2	ASV286.1,ASV290.6	0	0	
1	s__Streptococcus vaginalis	18196	0.0006783993920205229	2	ASV540.2,ASV596.11	0	0	
1	s__Sutterella wadsworthensis_A	191480	0.0071389269940695605	1	ASV692.1	0	0	
1	s__Thomasclavelia ramosa	652	2.43084416133975e-05	1	ASV557.0	0	0	
1	s__Turicibacter sanguinis	28910	0.0010778482316615365	1	ASV573.1	0	0	
1	s__Vibrio cholerae	264	9.84268188027138e-06	1	ASV221.15	0	0	
1	s__Vibrio parahaemolyticus	740	2.758933557348796e-05	4	ASV513.0,ASV581.18,ASV730.1,ASV735.19	0	0	
2	s__Acidaminococcus intestini	371112	0.012769789643529653	1	ASV577.0	371112	1	ASV577.0
2	s__Actinomyces urogenitalis	3452	0.00011878169891963709	1	ASV10.0	0	0	
2	s__Agathobaculum butyriciproducens	49200	0.0016929488953783733	1	ASV337.1	0	0	
2	s__Akkermansia massiliensis	223030	0.007674357563744687	1	ASV829.12	0	0	
2	s__Akkermansia muciniphila	612	2.105863260104806e-05	2	ASV827.8,ASV830.14	422	1	ASV827.8
2	s__Akkermansia sp004167605	1370	4.7141056639601044e-05	1	ASV828.0	0	0	
2	s__Alistipes putredinis	86	2.9592196138727665e-06	1	ASV166.7	0	0	
2	s__Anaerococcus vaginalis	144	4.95497237671719e-06	1	ASV615.1	0	0	
2	s__Anaerostipes caccae	838212	0.02884248129050604	1	ASV399.1	0	0	
2	s__Anaerotruncus colihominis	628	2.160918508734997e-05	1	ASV499.2	0	0	
2	s__Bacillus velezensis	780	2.6839433707218114e-05	1	ASV226.3	780	1	ASV226.3
2	s__Bacteroides caccae	6765908	0.23281171696812397	1	ASV102.12	0	0	
2	s__Bacteroides cellulosilyticus	762	2.6220062160128464e-05	1	ASV116.8	0	0	
2	s__Bacteroides fragilis	578	1.98887085676565e-05	2	ASV153.9,ASV156.1	0	0	
2	s__Bacteroides ovatus	210	7.226001382712569e-06	1	ASV134.9	0	0	
2	s__Bacteroides thetaiotaomicron	3322250	0.11431706235103255	2	ASV102.15,ASV99.15	0	0	
2	s__Bacteroides uniformis	1000	3.440953039386938e-05	2	ASV395.12,ASV585.1	0	0	
2	s__Bifidobacterium adolescentis	1506	5.182075277316728e-05	4	ASV463.10,ASV49.12,ASV71.6,ASV87.6	0	0	
2	s__Bifidobacterium bifidum	72950	0.002510175242232771	2	ASV23.10,ASV50.4	0	0	
2	s__Bifidobacterium breve	990	3.4065435089930684e-05	1	ASV709.17	990	1	ASV709.17
2	s__Bifidobacterium longum	464	1.5966022102755392e-05	1	ASV8.3	0	0	
2	s__Bifidobacterium pseudocatenulatum	890	3.0624482050543746e-05	2	ASV16.4,ASV19.11	0	0	
2	s__Bilophila wadsworthia	122186	0.0042043628807053235	1	ASV712.0	0	0	
2	s__Bittarella massiliensis	102	3.5097721001746767e-06	1	ASV468.7	0	0	
2	s__Blautia celeris	3550822	0.12218211753222005	2	ASV387.4,ASV406.9	0	0	
2	s__Blautia producta	964314	0.033181591892233755	1	ASV406.14	0	0	
2	s__Blautia_A fusiformis	1925896	0.06626917694743147	3	ASV387.3,ASV412.1,ASV487.1	0	0	
2	s__Blautia_A intestinalis	492394	0.016943046308758918	1	ASV406.12	0	0	
2	s__Blautia_A obeum	2318224	0.07976899918779745	3	ASV387.10,ASV406.5,ASV406.8	0	0	
2	s__Bovifimicola ammoniilytica	772	2.656415746406716e-05	1	ASV504.0	0	0	
2	s__Bulleidia moorei	173850	0.005982096858974191	1	ASV547.10	0	0	
2	s__Butyribacter intestini	122	4.197962708052064e-06	1	ASV371.7	0	0	
2	s__Campylobacter_D jejuni	292	1.0047582875009859e-05	2	ASV347.2,ASV533.7	0	0	
2	s__Cetobacterium_A somerae	208	7.157182321924831e-06	1	ASV626.0	0	0	
2	s__Christensenella minuta	2442	8.402807322182902e-05	1	ASV329.2	0	0	
2	s__Clostridioides difficile	1812	6.235006907369132e-05	2	ASV297.5,ASV591.8	1392	1	ASV297.5
2	s__Clostridium paraputrificum	386	1.328207873203358e-05	1	ASV473.6	0	0	
2	s__Collinsella tanakaei	194082	0.006678270477902957	1	ASV73.2	0	0	
2	s__Comamonas kerstersii	5276	0.00018154468235805483	1	ASV670.1	5276	1	ASV670.1
2	s__Corynebacterium hesseae	286	9.841125692646642e-06	1	ASV31.1	0	0	
2	s__Dorea formicigenerans	11228	0.00038635020726236535	1	ASV426.2	0	0	
2	s__ECMA0423 sp047199055	891216	0.03066632403950269	2	ASV689.14,ASV70.12	0	0	
2	s__Eggerthella lenta	32326	0.0011123224795122216	1	ASV86.7	0	0	
2	s__Eisenbergiella porci	230	7.914191990589956e-06	1	ASV429.0	0	0	
2	s__Enterocloster bolteae	10422	0.00035861612576490665	1	ASV447.2	0	0	
2	s__Enterococcus faecalis	19264	0.0006628651935074997	4	ASV258.12,ASV511.2,ASV546.9,ASV576.15	0	0	
2	s__Enterococcus_B hirae	404	1.3901450279123228e-05	2	ASV301.2,ASV437.14	0	0	
2	s__Escherichia coli	1236	4.253017956682255e-05	4	ASV398.8,ASV600.0,ASV671.0,ASV677.8	542	1	ASV677.8
2	s__Extibacter hylemonae	691084	0.023779875902716824	1	ASV436.0	0	0	
2	s__Faecalibacterium prausnitzii	1356688	0.046682996970997856	1	ASV507.5	0	0	
2	s__Faecalicoccus pleomorphus	95014	0.003269387120843105	1	ASV547.8	0	0	
2	s__Faecalimonas umbilicata	90548	0.0031157141581040844	1	ASV442.10	0	0	
2	s__Faecalitalea cylindroides	146496	0.005040858564580288	2	ASV547.1,ASV563.0	0	0	
2	s__Flavonifractor plautii	888	3.0555662989756006e-05	1	ASV509.0	0	0	
2	s__Fontibacillus vini	184	6.331353592471965e-06	1	ASV231.2	0	0	
2	s__Fusicatenibacter saccharivorans	862622	0.02968241792742039	3	ASV387.8,ASV416.7,ASV431.3	0	0	
2	s__Fusobacterium polymorphum	18528	0.0006375397791376119	1	ASV627.8	18528	1	ASV627.8
2	s__Fusobacterium simiae	72	2.477486188358595e-06	1	ASV472.2	0	0	
2	s__Gemella morbillorum	3524	0.00012125918510799569	1	ASV227.0	0	0	
2	s__Holdemania massiliensis	10706	0.00036838843239676557	1	ASV565.1	0	0	
2	s__Hominimerdicola aceti	98	3.372133978599199e-06	1	ASV525.5	0	0	
2	s__Hungatella hathewayi	746	2.5669509673826555e-05	1	ASV357.0	746	1	ASV357.0
2	s__Intestinibacter bartlettii	5844	0.00020108929562177264	1	ASV476.6	0	0	
2	s__Intestinimonas butyriciproducens	638196	0.02196002465924586	2	ASV300.9,ASV324.5	0	0	
2	s__Kallipyga massiliensis	130	4.473238951203019e-06	1	ASV609.1	0	0	
2	s__Kingella kingae	70	2.4086671275708564e-06	1	ASV668.0	0	0	
2	s__Klebsiella grimontii	198	6.813087017986137e-06	1	ASV780.10	0	0	
2	s__Klebsiella oxytoca	1478	5.085728592213894e-05	2	ASV530.7,ASV741.2	0	0	
2	s__Klebsiella pneumoniae	9344	0.0003215226520003155	3	ASV554.6,ASV710.18,ASV783.4	5370	1	ASV783.4
2	s__Klebsiella quasipneumoniae	13870	0.0004772601865629683	1	ASV743.9	0	0	
2	s__Klebsiella variicola	406	1.3970269339910967e-05	1	ASV713.3	0	0	
2	s__Lacticaseibacillus rhamnosus	760	2.6151243099340728e-05	2	ASV385.3,ASV520.11	0	0	
2	s__Lactobacillus acidophilus	61448	0.0021143968236424855	1	ASV540.9	0	0	
2	s__Lactococcus petauri	1418	4.879271409850678e-05	1	ASV287.9	0	0	
2	s__Leuconostoc mesenteroides	64	2.20220994520764e-06	1	ASV281.4	0	0	
2	s__Ligilactobacillus salivarius	1018	3.5028901940959023e-05	2	ASV219.4,ASV519.15	0	0	
2	s__Mediterraneibacter gnavus	403628	0.01388864993381671	3	ASV444.7,ASV451.7,ASV466.9	403628	3	ASV444.7,ASV451.7,ASV466.9
2	s__Odoribacter splanchnicus	314	1.0804592543674985e-05	1	ASV139.5	0	0	
