sample	ncbi_species_taxid	truth_name	abundance_pct_all	transfer_method	gtdb_species	taxid_gtdb_species_count	binomial_gtdb_species_count
0	1335746	Spiribacter salinus	0.8804	unique_taxid	s__Spiribacter salinus	1	1
0	1335757	Spiribacter curvatus	2.7015	unique_taxid	s__Spiribacter curvatus	1	1
0	133924	Leisingera methylohalidivorans	0.0345	unique_taxid	s__Leisingera methylohalidivorans	1	1
0	1346	Streptococcus iniae	0.0259	unique_taxid	s__Streptococcus iniae	1	1
0	1348	Streptococcus parauberis	0.0086	unique_taxid	s__Streptococcus parauberis	1	1
0	1348774	Croceicoccus naphthovorans	0.0086	unique_taxid	s__Croceicoccus naphthovorans	1	1
0	135577	Idiomarina loihiensis	0.0086	unique_gtdb_binomial	s__Idiomarina loihiensis	3	1
0	13773	Pyrobaculum aerophilum	0.0173	unique_taxid	s__Pyrobaculum aerophilum	1	1
0	1380358	Halomonas sp. 23_GOM-1509m	0.0336	unique_taxid	s__Vreelandella titanicae	1	0
0	1384459	Methyloceanibacter caenitepidi	0.0518	unique_taxid	s__Methyloceanibacter caenitepidi	1	1
0	1397108	Celeribacter marinus	0.0173	unique_gtdb_binomial	s__Celeribacter marinus	2	1
0	1408	Bacillus pumilus	0.069	unique_gtdb_binomial	s__Bacillus pumilus	10	1
0	1420916	Marinobacter similis	0.0086	unique_taxid	s__Marinobacter similis	1	1
0	1427356	Hyphomicrobium nitrativorans	0.164	unique_taxid	s__Hyphomicrobium_C nitrativorans	1	0
0	1427364	Candidatus Thioglobus singularis	0.0086	ambiguous_taxid		3	0
0	1434100	Methanosarcina sp. MTP4	0.0086	unique_taxid	s__MTP4 sp000970045	1	0
0	1458307	Octadecabacter temperatus	0.0086	unique_taxid	s__Octadecabacter temperatus	1	1
0	1462	Geobacillus kaustophilus	0.0086	ambiguous_taxid		2	0
0	146919	Salinibacter ruber	0.0173	unique_taxid	s__Salinibacter ruber	1	1
0	1480675	Halolamina sediminis	0.0086	unique_taxid	s__Halolamina sediminis	1	1
0	1491	Clostridium botulinum	0.2158	ambiguous_taxid		13	0
0	149715	Marinitoga piezophila	0.0259	unique_taxid	s__Marinitoga piezophila	1	1
0	1501269	Prochlorococcus sp. MIT 0801	0.0259	unique_taxid	s__Prochlorococcus_B sp000757865	1	0
0	1505907	Thermococcus eurythermalis	0.0259	unique_taxid	s__Thermococcus eurythermalis	1	1
0	1510	[Clostridium] stercorarium	0.0173	unique_taxid	s__Thermoclostridium stercorarium	1	0
0	1510466	Candidatus Nitrosopumilus koreensis	0.0086	unique_taxid	s__Nitrosopumilus koreensis	1	0
0	1515	Ruminiclostridium thermocellum	0.0173	unique_taxid	s__Hungateiclostridium thermocellum	1	0
0	1541959	Candidatus Izimaplasma sp. HR1	0.0173	unique_taxid	s__Xianfuyuplasma sp000755705	1	0
0	1548547	Woeseia oceani	0.0432	unique_taxid	s__Woeseia oceani	1	1
0	1555194	Formosa haliotis	0.0173	unique_taxid	s__Formosa haliotis	1	1
0	1564114	Rhodococcus sp. B7740	0.0863	unique_taxid	s__Rhodococcoides sp000954115	1	0
0	1580092	Candidatus Nitrosopumilus adriaticus	0.0432	unique_taxid	s__Nitrosopumilus adriaticus	1	0
0	158327	Hahella chejuensis	0.0173	unique_taxid	s__Hahella chejuensis	1	1
0	159346	Roseibacterium elongatum	0.0168	unique_taxid	s__Roseibacterium elongatum	1	1
0	160232	Nanoarchaeum equitans	0.0949	unique_taxid	s__Nanoarchaeum equitans	1	1
0	1608628	Candidatus Filomicrobium marinum	0.0345	unique_taxid	s__Filomicrobium insigne	1	0
0	161895	Corynebacterium phocae	0.0432	unique_taxid	s__Corynebacterium phocae	1	1
0	1620392	Spongiibacter sp. IMCC21906	0.0432	unique_taxid	s__Spongiibacter sp001010805	1	0
0	1620421	Hoeflea sp. IMCC20628	0.0086	unique_taxid	s__Hoeflea sp001011155	1	0
0	1634516	Citromicrobium sp. JL477	0.0173	unique_taxid	s__Alteriqipengyuania bathyomarina	1	0
0	1648404	Erythrobacter atlanticus	0.0086	unique_taxid	s__Alteraurantiacibacter atlanticus	1	0
0	1670800	Mesorhizobium sp. B7	0.0086	unique_taxid	s__Aquibium oceanicum	1	0
0	167642	Ilyobacter polytropus	0.0777	unique_gtdb_binomial	s__Ilyobacter polytropus	2	1
0	168695	Salinispora tropica	0.2223	unique_taxid	s__Micromonospora tropica	1	0
0	168697	Salinispora arenicola	0.0131	unique_taxid	s__Micromonospora arenicola	1	0
0	171437	Tistrella mobilis	0.1974	unique_gtdb_binomial	s__Tistrella mobilis	2	1
0	1736674	Algibacter alginolytica	0.0432	unique_taxid	s__Pseudalgibacter alginicilyticus	1	0
0	1737403	Nanohaloarchaea archaeon SG9	0.0518	unique_taxid	s__JBDGSM01 sp001761425	1	0
0	1758689	Serinicoccus sp. JLT9	0.0086	unique_taxid	s__Ornithinicoccus hydrothermalis	1	0
0	1763535	Hydrogenophaga sp. LPB0072	0.0777	unique_taxid	s__Hydrogenophaga crassostreae	1	0
0	1763536	Thalassotalea sp. LPB0090	0.0259	unique_taxid	s__Thalassotalea_A crassostreae	1	0
0	1763538	Paenibacillus sp. LPB0068	0.0086	unique_taxid	s__Paenibacillus_AQ crassostreae	1	0
0	1774273	Polaribacter vadi	0.0086	unique_gtdb_binomial	s__Polaribacter vadi	2	1
0	1790137	Wenyingzhuangia fucanilytica	0.0129	unique_taxid	s__Wenyingzhuangia fucanilytica	1	1
0	1792508	Yangia sp. CCB-MM3	0.0863	unique_taxid	s__Salipiger sp001687105	1	0
0	1800	Mycobacterium chubuense	0.0173	unique_gtdb_binomial	s__Mycobacterium chubuense	2	1
0	1821621	Marinobacterium sp. ST58-10	0.0184	unique_taxid	s__Marinobacterium_A aestuarii	1	0
0	1821960	Edwardsiella anguillarum	0.0086	unique_taxid	s__Edwardsiella anguillarum	1	1
0	182710	Oceanobacillus iheyensis	0.0259	unique_gtdb_binomial	s__Oceanobacillus iheyensis	2	1
0	1850250	Rhodobacter sp. LPB0142	0.0012	unique_taxid	s__Rhodobacter xanthinilyticus	1	0
0	1850252	Tenacibaculum sp. LPB0136	0.0173	unique_taxid	s__Polaribacter todarodis	1	0
0	1855377	Candidatus Aquiluna sp. UB-MaderosW2red	0.0432	unique_taxid	s__Aquiluna sp900100865	1	0
0	186192	Marinithermus hydrothermalis	0.2589	unique_taxid	s__Marinithermus hydrothermalis	1	1
0	187493	Thalassolituus oleivorans	0.2751	unique_gtdb_binomial	s__Thalassolituus oleivorans	2	1
0	187878	Thermococcus gammatolerans	0.0173	unique_taxid	s__Thermococcus gammatolerans	1	1
0	1881061	Stappia sp. ES.058	0.0086	unique_taxid	s__Stappia sp900105595	1	0
0	188908	Oleispira antarctica	0.0259	unique_taxid	s__Oleispira antarctica	1	1
0	1896164	Luteimonas sp. JM171	0.1036	unique_taxid	s__Luteimonas sp001717465	1	0
0	1897729	Halomonas aestuarii	0.0086	unique_taxid	s__Halomonas aestuarii	1	1
0	1898108	bacterium AB1	0.0259	unmapped		0	0
0	19	Pelobacter carbinolicus	0.0009	unique_taxid	s__Syntrophotalea carbinolica	1	0
0	1906738	Hyphomonas sp. Mor2	0.0259	unique_taxid	s__Henriciella sp001854405	1	0
0	190893	Vibrio coralliilyticus	0.1899	unique_gtdb_binomial	s__Vibrio coralliilyticus	2	1
0	191026	Desulfovibrio hydrothermalis	0.0173	unique_taxid	s__Maridesulfovibrio hydrothermalis	1	0
0	191493	Corynebacterium sphenisci	0.0086	unique_taxid	s__Corynebacterium sphenisci	1	1
0	1917485	Sulfitobacter sp. AM1-D1	0.0086	unique_taxid	s__Sulfitobacter alexandrii	1	0
0	192073	Shewanella denitrificans	0.0086	unique_taxid	s__Shewanella denitrificans	1	1
0	1920883	Donghicola sp. JLT3646	0.0004	unique_taxid	s__Marivivens geojensis	1	0
0	192421	Planococcus maritimus	0.0086	unique_gtdb_binomial	s__Planococcus maritimus	6	1
0	192843	Rhodoferax ferrireducens	0.0345	unique_gtdb_binomial	s__Rhodoferax ferrireducens	5	1
0	195522	Thermococcus nautili	0.0173	unique_taxid	s__Thermococcus nautili	1	1
0	2014	Nocardiopsis dassonvillei	0.0173	unique_gtdb_binomial	s__Nocardiopsis dassonvillei	2	1
0	208216	Parvularcula bermudensis	0.0259	unique_taxid	s__Parvularcula bermudensis	1	1
0	212663	Vibrio tasmaniensis	0.0863	unique_gtdb_binomial	s__Vibrio tasmaniensis	4	1
0	2189	Methanotorris igneus	0.0259	unique_taxid	s__Methanotorris igneus	1	1
0	2190	Methanocaldococcus jannaschii	0.0173	unique_taxid	s__Methanocaldococcus jannaschii	1	1
0	2198	Methanoculleus marisnigri	0.1208	unique_gtdb_binomial	s__Methanoculleus marisnigri	2	1
0	2234	Archaeoglobus fulgidus	0.1467	unique_taxid	s__Archaeoglobus fulgidus	1	1
0	2252	Haloferax mediterranei	0.0259	unique_taxid	s__Haloferax mediterranei	1	1
0	2261	Pyrococcus furiosus	0.0173	unique_taxid	s__Pyrococcus furiosus	1	1
0	228	Pseudoalteromonas haloplanktis	0.069	unique_gtdb_binomial	s__Pseudoalteromonas haloplanktis	3	1
0	2280	Staphylothermus marinus	0.0259	unique_taxid	s__Staphylothermus marinus	1	1
0	229980	Aeropyrum camini	0.0345	unique_taxid	s__Aeropyrum camini	1	1
0	2336	Thermotoga maritima	0.0432	unique_taxid	s__Thermotoga maritima	1	1
0	2337	Thermotoga neapolitana	0.0086	unique_taxid	s__Thermotoga neapolitana	1	1
0	234831	Pseudoalteromonas sp. SM9913	0.0086	unique_taxid	s__Pseudoalteromonas tetraodonis	1	0
0	2426	Teredinibacter turnerae	0.0604	unique_gtdb_binomial	s__Teredinibacter turnerae	2	1
0	2434	Roseobacter denitrificans	0.0345	unique_taxid	s__Roseobacter denitrificans	1	1
0	244787	Nautilia profundicola	0.0086	unique_taxid	s__Nautilia profundicola	1	1
0	246432	Staphylococcus equorum	0.0086	unique_gtdb_binomial	s__Staphylococcus equorum	3	1
0	246969	Thermococcus sp. AM4	0.0518	unique_taxid	s__Thermococcus sp000151205	1	0
0	261964	Kangiella koreensis	0.0173	unique_taxid	s__Kangiella koreensis	1	1
0	271098	Shewanella halifaxensis	0.0777	unique_gtdb_binomial	s__Shewanella halifaxensis	2	1
0	2724	Hirschia baltica	0.0127	unique_taxid	s__Hirschia baltica	1	1
0	2743	Marinobacter hydrocarbonoclasticus	0.0183	ambiguous_taxid		4	0
0	2746	Halomonas elongata	0.0009	unique_gtdb_binomial	s__Halomonas elongata	2	1
0	2748	Carnobacterium divergens	0.0086	unique_gtdb_binomial	s__Carnobacterium divergens	2	1
0	28108	Alteromonas macleodii	0.2689	unique_gtdb_binomial	s__Alteromonas macleodii	13	1
0	28173	Vibrio nigripulchritudo	0.0949	unique_taxid	s__Vibrio nigripulchritudo	1	1
0	28223	Desulfobacula toluolica	0.0086	unique_taxid	s__Desulfobacula toluolica	1	1
0	28229	Colwellia psychrerythraea	0.0949	ambiguous_taxid		4	0
0	288	Pseudoalteromonas atlantica	0.0259	unique_gtdb_binomial	s__Pseudoalteromonas atlantica	2	1
0	29292	Pyrococcus abyssi	0.0345	unique_taxid	s__Pyrococcus abyssi	1	1
0	293091	Haloquadratum walsbyi	0.0086	unique_gtdb_binomial	s__Haloquadratum walsbyi	3	1
0	294	Pseudomonas fluorescens	0.0086	ambiguous_taxid		124	0
0	29498	Vibrio tubiashii	0.0345	unique_gtdb_binomial	s__Vibrio tubiashii	3	1
0	29542	Pelobacter acetylenicus	0.0164	unique_taxid	s__Syntrophotalea acetylenica	1	0
0	29549	Rhodothermus marinus	0.0432	unique_gtdb_binomial	s__Rhodothermus marinus	2	1
0	300231	Glaciecola nitratireducens	0.0259	unique_taxid	s__Glaciecola nitratireducens	1	1
0	307121	Micromonospora krabiensis	0.0042	unique_taxid	s__Micromonospora krabiensis	1	1
0	309805	Persephonella marina	0.0086	unique_taxid	s__Persephonella marina	1	1
0	314275	Alteromonas mediterranea	0.6909	unique_taxid	s__Alteromonas mediterranea	1	1
0	316	Pseudomonas stutzeri	0.0345	ambiguous_taxid		51	0
0	316279	Synechococcus sp. CC9902	0.0345	ambiguous_taxid		2	0
0	320324	Formosa agariphila	0.0173	unique_taxid	s__Formosa agariphila	1	1
0	32051	Synechococcus sp. WH 7803	0.1812	unique_taxid	s__Synechococcus_C sp000063505	1	0
0	32052	Synechococcus sp. WH 8020	0.0086	unique_taxid	s__Synechococcus_C sp001040845	1	0
0	320787	Cyclobacterium amurskyense	0.0086	unique_taxid	s__Cyclobacterium amurskyense	1	1
0	324767	Bacillus infantis	0.0345	ambiguous_taxid		5	0
0	326544	Paraglaciecola psychrophila	0.0162	unique_gtdb_binomial	s__Paraglaciecola psychrophila	2	1
0	328515	Nonlabens dokdonensis	0.0345	unique_gtdb_binomial	s__Nonlabens dokdonensis	2	1
0	342948	Thermococcus onnurineus	0.0086	unique_taxid	s__Thermococcus onnurineus	1	1
0	342949	Pyrococcus sp. NA2	0.0518	unique_taxid	s__Pyrococcus sp000211475	1	0
0	351091	Oscillibacter valericigenes	0.0259	unique_gtdb_binomial	s__Oscillibacter valericigenes	8	1
0	35806	Rhodovulum sulfidophilum	0.0086	unique_gtdb_binomial	s__Rhodovulum sulfidophilum	3	1
0	359303	Shewanella loihica	0.0173	unique_taxid	s__Shewanella loihica	1	1
0	373994	Rivularia sp. PCC 7116	0.0086	unique_taxid	s__Rivularia sp000316665	1	0
0	379547	Aciduliprofundum boonei	0.0518	unique_taxid	s__Aciduliprofundum boonei	1	1
0	38027	Methanosarcina siciliae	0.2071	unique_taxid	s__Methanosarcina siciliae	1	1
0	387092	Nitratiruptor sp. SB155-2	0.0432	unique_taxid	s__Nitratiruptor sp000010325	1	0
0	387093	Sulfurovum sp. NBC37-1	0.9321	unique_taxid	s__Sulfurovum sp000010345	1	0
0	390884	Echinicola vietnamensis	0.0086	unique_taxid	s__Echinicola vietnamensis	1	1
0	39152	Methanococcus maripaludis	0.0173	unique_gtdb_binomial	s__Methanococcus maripaludis	3	1
0	39765	Thiomicrospira crunogena	0.0086	unique_taxid	s__Hydrogenovibrio crunogenus	1	0
0	39766	Sulfurimonas denitrificans	0.0173	unique_taxid	s__Sulfurimonas denitrificans	1	1
0	398743	Zunongwangia profunda	0.0086	unique_taxid	s__Zunongwangia profunda	1	1
0	39960	Erythrobacter litoralis	0.3798	unique_gtdb_binomial	s__Erythrobacter litoralis	3	1
0	399736	Agrococcus jejuensis	0.0086	unique_gtdb_binomial	s__Agrococcus jejuensis	2	1
0	40269	Aliivibrio salmonicida	0.3798	unique_taxid	s__Aliivibrio salmonicida	1	1
0	404011	Shewanella piezotolerans	0.0432	unique_taxid	s__Shewanella piezotolerans	1	1
0	411153	Gramella forsetii	0.0173	unique_taxid	s__Christiangramia forsetii	1	0
0	421	Methylomonas methanica	0.1295	unique_gtdb_binomial	s__Methylomonas methanica	3	1
0	430914	Halorhabdus tiamatea	0.069	unique_taxid	s__Halorhabdus tiamatea	1	1
0	43657	Pseudoalteromonas luteoviolacea	0.0173	unique_gtdb_binomial	s__Pseudoalteromonas luteoviolacea	12	1
0	44251	Paenibacillus durus	0.0259	ambiguous_taxid		2	0
0	45658	Vibrio scophthalmi	0.0518	unique_gtdb_binomial	s__Vibrio scophthalmi	2	1
0	46541	Thermosipho melanesiensis	0.0086	unique_taxid	s__Thermosipho melanesiensis	1	1
0	467094	Ilumatobacter coccineus	0.397	ambiguous_taxid		2	0
0	46770	Cenarchaeum symbiosum	0.0086	unique_taxid	s__Cenarchaeum symbiosum	1	1
0	488546	Campylobacter peloridis	0.0086	unique_taxid	s__Campylobacter_D peloridis	1	0
0	490759	Marinobacter sp. BSs20148	0.0086	unique_taxid	s__Marinobacter psychrophilus	1	0
0	492670	Bacillus velezensis	0.0086	unique_gtdb_binomial	s__Bacillus velezensis	3	1
0	502682	Erythrobacter gangjinensis	0.0086	unique_taxid	s__Alteraurantiacibacter gangjinensis	1	0
0	52133	Acinetobacter venetianus	0.0086	unique_taxid	s__Acinetobacter venetianus	1	1
0	53633	Sulfobacillus acidophilus	0.069	ambiguous_taxid		2	0
0	54248	Hyperthermus butylicus	1.9161	unique_taxid	s__Hyperthermus butylicus	1	1
0	54259	Ignicoccus islandicus	0.0604	unique_taxid	s__Ignicoccus islandicus	1	1
0	545619	Paraoerskovia marina	0.0173	unique_taxid	s__Paraoerskovia marina	1	1
0	547188	Phycisphaera mikurensis	0.0173	unique_gtdb_binomial	s__Phycisphaera mikurensis	12	1
0	55601	Vibrio anguillarum	0.7854	unique_taxid	s__Vibrio anguillarum	1	1
0	56812	Shewanella frigidimarina	0.0086	unique_gtdb_binomial	s__Shewanella frigidimarina	2	1
0	58049	Colwellia sp. MT41	0.0086	unique_taxid	s__Colwellia marinimaniae	1	0
0	582419	Thermococcus paralvinellae	0.0086	ambiguous_taxid		2	0
0	60890	Phaeobacter gallaeciensis	0.0679	unique_gtdb_binomial	s__Phaeobacter gallaeciensis	4	1
0	62322	Shewanella baltica	0.0604	unique_taxid	s__Shewanella baltica	1	1
0	64160	Desulfurobacterium thermolithotrophum	0.0518	unique_taxid	s__Desulfurobacterium thermolithotrophum	1	1
0	64471	Synechococcus sp. CC9311	0.0863	unique_taxid	s__Synechococcus_C sp000014585	1	0
0	645	Aeromonas salmonicida	0.1554	unique_taxid	s__Aeromonas salmonicida	1	1
0	657445	Francisella noatunensis	0.0173	unique_taxid	s__Francisella noatunensis	1	1
0	663	Vibrio alginolyticus	0.0086	unique_gtdb_binomial	s__Vibrio alginolyticus	7	1
0	666	Vibrio cholerae	0.1208	unique_gtdb_binomial	s__Vibrio cholerae	4	1
0	668	Aliivibrio fischeri	0.0173	unique_gtdb_binomial	s__Aliivibrio fischeri	3	1
0	669	Vibrio harveyi	0.0259	unique_gtdb_binomial	s__Vibrio harveyi	4	1
0	670	Vibrio parahaemolyticus	0.0173	unique_gtdb_binomial	s__Vibrio parahaemolyticus	7	1
0	672	Vibrio vulnificus	0.0345	unique_gtdb_binomial	s__Vibrio vulnificus	3	1
0	673860	Aciduliprofundum sp. MAR08-339	0.0086	unique_taxid	s__Aciduliprofundum sp000327505	1	0
0	680279	Agarivorans gilvus	0.0086	unique_taxid	s__Agarivorans gilvus	1	1
0	70799	Nodularia spumigena	0.0086	unique_taxid	s__Nodularia spumigena	1	1
0	713887	Candidatus Atelocyanobacterium thalassa	0.0777	ambiguous_taxid		3	0
0	73141	Thiocystis violascens	0.0518	ambiguous_taxid		2	0
0	73913	Methanocaldococcus vulcanius	0.0259	unique_taxid	s__Methanocaldococcus vulcanius	1	1
0	73919	Thermaerobacter marianensis	0.0173	unique_gtdb_binomial	s__Thermaerobacter marianensis	4	1
0	74109	Photobacterium profundum	0.0173	unique_gtdb_binomial	s__Photobacterium profundum	2	1
0	74318	Maricaulis maris	0.0132	unique_gtdb_binomial	s__Maricaulis maris	4	1
0	754477	Methylophaga frappieri	0.0086	unique_taxid	s__Methylophaga frappieri	1	1
0	76594	Cellulophaga baltica	0.0036	unique_gtdb_binomial	s__Cellulophaga baltica	2	1
0	80679	Thioflavicoccus mobilis	0.2762	unique_taxid	s__Thioflavicoccus mobilis	1	1
0	80852	Aliivibrio wodanis	0.3711	unique_taxid	s__Aliivibrio wodanis	1	1
0	80854	Moritella viscosa	0.2259	unique_taxid	s__Moritella viscosa	1	1
0	81032	Hyphomonas neptunium	0.0259	unique_taxid	s__Hyphomonas neptunia	1	0
0	84405	Hippea maritima	0.0345	unique_taxid	s__Hippea maritima	1	1
0	859653	alpha proteobacterium HIMB5	0.0086	unique_taxid	s__Pelagibacter sp000299095	1	0
0	873	Desulfovibrio africanus	0.0432	unique_taxid	s__Desulfocurvibacter africanus	1	0
0	876	Desulfovibrio desulfuricans	0.0518	unique_gtdb_binomial	s__Desulfovibrio desulfuricans	8	1
0	880	Desulfovibrio salexigens	0.0173	unique_taxid	s__Maridesulfovibrio salexigens	1	0
0	897	Desulfococcus multivorans	0.164	unique_taxid	s__Desulfococcus multivorans	1	1
0	90736	Moritella marina	0.0071	unique_taxid	s__Moritella marina	1	1
0	914150	Kangiella geojedonensis	0.0518	unique_taxid	s__Kangiella geojedonensis	1	1
0	936476	Marinomonas posidonica	0.2848	unique_gtdb_binomial	s__Marinomonas posidonica	2	1
0	94122	Shewanella sp. ANA-3	0.1208	unique_taxid	s__Shewanella sp029835735	1	0
0	959	Bdellovibrio bacteriovorus	0.0259	unique_gtdb_binomial	s__Bdellovibrio bacteriovorus	14	1
0	96345	Flavobacterium psychrophilum	0.0086	unique_gtdb_binomial	s__Flavobacterium psychrophilum	38	1
0	97084	Halobacteriovorax marinus	0.0259	unique_gtdb_binomial	s__Halobacteriovorax marinus	2	1
0	971279	Palaeococcus pacificus	0.9839	unique_taxid	s__Palaeococcus pacificus	1	1
0	983544	Lacinutrix sp. 5H-3-7-4	0.0604	unique_taxid	s__Lacinutrix sp000211855	1	0
0	999	Bernardetia litoralis	0.0173	unique_taxid	s__Bernardetia litoralis	1	1
1	1002672	Candidatus Pelagibacter sp. IMCC9063	0.0022	unique_taxid	s__IMCC9063 sp000195085	1	0
1	1003110	Verrucosispora maris	0.0221	unique_taxid	s__Micromonospora gifhornensis	1	0
1	1006	Marivirga tractuosa	0.2204	unique_gtdb_binomial	s__Marivirga tractuosa	2	1
1	1007084	Candidatus Nitrosoarchaeum limnia	0.0389	unique_taxid	s__Nitrosarchaeum limnae	1	0
1	1007105	Pusillimonas sp. T7-7	0.0389	unique_taxid	s__Pusillimonas_C sp000209655	1	0
1	100716	Chloroherpeton thalassium	0.1945	unique_gtdb_binomial	s__Chloroherpeton thalassium	3	1
1	1008	Saprospira grandis	0.013	unique_gtdb_binomial	s__Saprospira grandis	3	1
1	104	Cyclobacterium marinum	0.013	unique_taxid	s__Cyclobacterium marinum	1	1
1	1042877	Thermococcus sp. 4557	0.0519	unique_taxid	s__Thermococcus sp000221185	1	0
1	1063	Rhodobacter sphaeroides	0.0256	ambiguous_taxid		6	0
1	1076588	Thiolapillus brandeum	0.0648	unique_gtdb_binomial	s__Thiolapillus brandeum	2	1
1	1094	Chlorobium phaeovibrioides	0.013	unique_gtdb_binomial	s__Chlorobium phaeovibrioides	2	1
1	1096	Chlorobium phaeobacteroides	0.0778	unique_gtdb_binomial	s__Chlorobium phaeobacteroides	2	1
1	110662	Synechococcus sp. CC9605	0.0648	unique_taxid	s__Parasynechococcus sp000012625	1	0
1	1124597	Magnetococcus marinus	0.1297	unique_taxid	s__Magnetococcus marinus	1	1
1	113653	Geoglobus ahangari	0.013	unique_taxid	s__Geoglobus ahangari	1	1
1	1144748	Kangiella sediminilitoris	0.0259	unique_taxid	s__Kangiella sediminilitoris	1	1
1	1150389	Flavobacteriaceae bacterium UJ101	0.0259	unique_taxid	s__UJ101 sp001880285	1	0
1	1155739	Moorea producens	0.0259	ambiguous_taxid		2	0
1	1168034	Draconibacterium orientale	0.013	unique_gtdb_binomial	s__Draconibacterium orientale	17	1
1	118000	Denitrovibrio acetiphilus	0.013	unique_taxid	s__Denitrovibrio acetiphilus	1	1
1	1183377	Pyrococcus sp. ST04	0.013	unique_taxid	s__Pyrococcus sp000263735	1	0
1	1188228	Gloeomargarita lithophora	0.0908	unique_taxid	s__Gloeomargarita lithophora	1	1
1	1191459	Flammeovirga sp. MY04	0.1686	unique_taxid	s__Flammeovirga yaeyamensis	1	0
1	119864	Marinomonas mediterranea	0.0519	unique_taxid	s__Marinomonas mediterranea	1	1
1	120577	Brucella ceti	0.0778	unique_taxid	s__Brucella melitensis	1	0
1	1208324	Celeribacter indicus	0.0778	unique_taxid	s__Celeribacter indicus	1	1
