sample	otu	genome	abundance	candidate_taxids
5	Otu1086.0	LjRoot183	628.0	camitax_taxID:75682:family:Oxalobacteraceae
5	RNODE_325_length_1939_cov_27.67762	RNODE_325_length_1939_cov_27.67762	494.79375680749564	
5	RNODE_548_length_4577_cov_9.61395	RNODE_548_length_4577_cov_9.61395	472.3550836203988	
5	Otu34.0	3823_P	364.0	camitax_taxID:71433:species:Mesorhizobium amorphae
5	RNODE_138_length_6510_cov_13.48012	RNODE_138_length_6510_cov_13.48012	343.3083557284023	
5	RNODE_375_length_2518_cov_4.10497	RNODE_375_length_2518_cov_4.10497	248.86080286167564	
5	Otu17.0	Chlamy6	207.0	camitax_taxID:80864:family:Comamonadaceae
5	RNODE_86_length_2125_cov_11.11507	RNODE_86_length_2125_cov_11.11507	195.72135506695778	
5	RNODE_347_length_5424_cov_5.89171	RNODE_347_length_5424_cov_5.89171	170.93689797883997	
5	Otu3.0	3823_AA	163.0	camitax_taxID:384:species:Rhizobium leguminosarum
5	RNODE_247_length_8256_cov_14.85123	RNODE_247_length_8256_cov_14.85123	117.26890933025426	
5	Otu24.0	3823_Y	114.0	camitax_taxID:374:genus:Bradyrhizobium
5	RNODE_570_length_2044_cov_6.96707	RNODE_570_length_2044_cov_6.96707	103.56693899280121	
5	RNODE_260_length_1690_cov_3.39508	RNODE_260_length_1690_cov_3.39508	89.09750474396209	
5	RNODE_488_length_20029_cov_34.82594	RNODE_488_length_20029_cov_34.82594	86.72259277512136	
