panel	sample	profile	collapse_rule	called_rows_mapped	called_species_mapped	n_calls	abundance_entropy	top1_abundance	top3_abundance	probability_mean	probability_median	probability_min	split_xny_median	unique_xny_median	xny_ratio_median	breadth_ratio_median	zip_af_split_median	zip_af_unique_median	depth_split_median	depth_unique_median	breadth_split_median	breadth_unique_median	depth_cv_mean	abs_ani_delta_mean	raw_mass_sum
hmp_airskin_gtdb_source_abundance	21	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin21_20260627/minco_sample21_current_default.tsv	sum	41	41	41.0	2.617338491044714	0.2656787040768778	0.53269249891724	0.7737325184737605	0.8072841929684813	0.40907579840477	653.0	382.0	1.6221498371335503	1.202486970684039	0.651591	1.0	1.078487	0.432	0.468217	0.382	8.706744780487803	0.03312873170731704	391.7033044552195
hmp_airskin_gtdb_source_abundance	22	/tmp/minco_current_code_hmp_airskin22_20260627/minco_sample22_current_default.tsv	sum	38	38	38.0	2.291796190280048	0.3792830690760033	0.5642660520152663	0.6555107563597196	0.5519405732335714	0.4057023585796319	461.0	135.5	1.341209349593496	1.1666666666666667	0.737776	1.0	2.1209435	0.196	0.25101850000000003	0.1355	9.604671421052629	0.01386136842105259	848.8703787107715
hmp_airskin_gtdb_source_abundance	23	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin23_20260627/minco_sample23_current_default.tsv	sum	36	36	36.0	1.9350439942190685	0.4999916132807124	0.7532725879318107	0.7486860426503821	0.8207969727581741	0.351842551771164	530.5	238.0	1.7310700876095118	1.2181928191489362	0.6248415	1.0	0.8019215	0.2565	0.2924065	0.238	9.537925624999998	0.0372254444444444	464.9654682128142
hmp_airskin_gtdb_source_abundance	24	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin24_20260627/minco_sample24_current_default.tsv	sum	26	26	26.0	2.4812408510113135	0.2266798566844014	0.5401974188360165	0.8693597728934708	0.9357030524728263	0.4957896285057437	876.0	723.0	1.1700147363648141	1.046357404692082	0.805172	1.0	7.840592000000001	1.0905	0.805172	0.723	2.377729903846154	0.01164073076923073	803.4474522446819
hmp_airskin_gtdb_source_abundance	25	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin25_20260627/minco_sample25_current_default.tsv	sum	76	76	76.0	3.188273953901408	0.1584033836495329	0.414360762213335	0.6656976804584542	0.5851729475976489	0.3535296454102419	486.5	134.5	1.3400809716599191	1.1666666666666667	0.64696	1.0	0.817526	0.14150000000000001	0.215014	0.1345	9.26672847368421	0.08530280263157891	648.1995145689457
hmp_airskin_gtdb_source_abundance	28	/tmp/minco_current_code_hmp_airskin28_20260627/minco_sample28_current_default.tsv	sum	15	15	15.0	2.0907917516529606	0.4383429447488456	0.5905027701971798	0.6792409548581196	0.825382739741856	0.0070467015331292	848.0	575.0	1.4276923076923076	1.1580657342657343	1.0	1.0	1.318033	1.098	0.600815	0.575	12.544735900000001	0.010040799999999971	36.13808924085987
hmp_airskin_gtdb_source_abundance	3	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin3_20260627/minco_sample3_current_default.tsv	sum	47	47	47.0	2.1251718315774086	0.5492772773556349	0.6611939024027145	0.850683989146738	0.9202641892409844	0.3757683932807379	760.0	508.0	1.3458950201884252	1.114198529411765	0.69341	1.0	2.256168	0.685	0.584087	0.508	5.322356329787235	0.018320425531914843	843.9592241304858
hmp_airskin_gtdb_source_abundance	4	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin4_20260627/minco_sample4_current_default.tsv	sum	137	137	137.0	3.212097233592452	0.261071425440598	0.5210641531805225	0.7347940189481543	0.7857253331046989	0.3551996818902455	477.0	268.0	1.5696969696969696	1.1668338192419825	0.595753	1.0	0.642374	0.297	0.343312	0.268	7.980546463503649	0.027166080291970762	699.6853467325391
hmp_airskin_gtdb_source_abundance	5	/tmp/minco_current_code_hmp_airskin5_20260627/minco_sample5_current_default.tsv	sum	26	26	26.0	2.39904478962427	0.3842552463633354	0.5720820757787146	0.8839778628949915	0.9268134568281654	0.4088406006976751	808.0	640.5	1.3381427922321656	1.1103342807875238	0.6825785	1.0	5.368493	0.8265	0.669617	0.6405000000000001	4.84444375	0.01626096153846152	573.7486646829607
hmp_airskin_gtdb_source_abundance	6	/tmp/minco_current_code_hmp_refresh_20260627/minco_sample6_current_exact.tsv	sum	16	16	16.0	2.155127828892021	0.2132208458912624	0.5664627632205876	0.9234904227520668	0.9563903815872089	0.7823438768682182	1000.0	581.5	1.5407248511237754	1.2044704986730983	0.761217	0.99587	19.1635605	1.7094999999999998	0.7404845	0.5815	5.07448225	0.010035687499999956	982.4895310475591
hmp_airskin_gtdb_source_abundance	7	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin7_20260627/minco_sample7_current_default.tsv	sum	89	89	89.0	2.48640702116496	0.4095192195654438	0.6349195553383437	0.7417102480403621	0.7768624796555641	0.3620153403656558	503.0	295.0	1.555205047318612	1.1867333333333334	0.597708	1.0	0.618033	0.317	0.348356	0.295	9.074389955056178	0.03689074157303367	687.4666704624319
hmp_airskin_gtdb_source_abundance	9	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin9_20260627/minco_sample9_current_default.tsv	sum	102	102	102.0	2.7006520938017053	0.3064669943179232	0.5973802310674768	0.7939919801116324	0.8767658685706679	0.3693380898944734	369.5	279.5	1.5060975609756098	1.1820355017709563	0.6406925	1.0	0.4603655	0.289	0.3088575	0.27949999999999997	8.15049999509804	0.029043999999999952	699.3135248795265
hmp_gastrooral_gtdb_source_abundance	0	/tmp/minco_current_code_hmp_gastrooral_20260627/minco_sample0_current_default.tsv	sum	34	34	34.0	2.4164640137485445	0.3300731321650927	0.5395202131506436	0.8660805104670605	0.9480987674854766	0.4045171747873772	803.5	692.0	1.1355698728433845	1.0456638070031081	0.8634055	1.0	2.2462905	0.7484999999999999	0.7317670000000001	0.692	8.500928911764703	0.01121282352941173	527.8164302688051
hmp_gastrooral_gtdb_source_abundance	6	/tmp/minco_current_code_hmp_gastrooral_20260627/minco_sample6_current_default.tsv	sum	51	51	51.0	3.3594443673349756	0.1301829909027579	0.3107841582808879	0.8051519772103976	0.8824810653931056	0.1598363753089992	833.0	500.0	1.615508885298869	1.24862927756654	1.0	1.0	0.82017	0.699	0.648408	0.5	9.459951598039213	0.009930862745098029	81.90196039061986
