gtdb_species	gtdb_taxonomy	source_genomes	total_abundance	relative_abundance	source_accessions	source_genome_ids	source_taxids	source_ncbi_species	mapping_methods
s__Enterocloster asparagiformis	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Enterocloster;s__Enterocloster asparagiformis	1	3.0	0.002060439560439563	GCF_000158075.1	162576.0	518636	Enterocloster asparagiformis	exact_accession
s__Parabacteroides gordonii	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides gordonii	1	3.0	0.002060439560439563	GCF_000969845.1	4372003.0	1078087	Parabacteroides sp. HGS0025	exact_accession
s__Pseudobutyrivibrio sp900107545	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Pseudobutyrivibrio;s__Pseudobutyrivibrio sp900107545	1	3.0	0.002060439560439563	GCF_900107545.1	263687.0	1520801	Pseudobutyrivibrio sp. ACV-2	exact_accession
s__Prevotella intermedia	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella intermedia	1	2.15694318304	0.0014814170213186832	GCF_001594285.1	999986.0	28131	Prevotella intermedia	exact_accession
s__Blautia hansenii	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia;s__Blautia hansenii	1	2.0	0.0013736263736263753	GCF_000209425.1	4351214.0	658083	Lachnospiraceae bacterium 6_1_63FAA	unique_assembly_core
s__Lactococcus lactis	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus;s__Lactococcus lactis	1	2.0	0.0013736263736263753	GCF_002078855.1	455671.0	1360	Lactococcus lactis	exact_accession
s__Novosphingobium capsulatum	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Novosphingobium;s__Novosphingobium capsulatum	1	2.0	0.0013736263736263753	GCF_000410615.1	4413214.0	1298855	Novosphingobium sp. B-7	exact_accession
s__Saccharofermentans sp000621765	d__Bacteria;p__Bacillota;c__Clostridia;o__Saccharofermentanales;f__Saccharofermentanaceae;g__Saccharofermentans;s__Saccharofermentans sp000621765	1	2.0	0.0013736263736263753	GCF_000621765.1	190114.0	1410638	Ruminococcaceae bacterium AB4001	unique_assembly_core
s__Prevotella saccharolytica	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella saccharolytica	1	1.84305681696	0.0012658357259340675	GCF_000318195.2	999986.1	1127699	Hoylesella saccharolytica	exact_accession
s__Hungatella effluvii	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Hungatella;s__Hungatella effluvii	1	1.54645508317	0.0010621257439354407	GCF_000371445.1	318732.1	999412	Hungatella hathewayi	exact_accession
s__Butyrivibrio sp000621565	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Butyrivibrio;s__Butyrivibrio sp000621565	1	1.32530881052	0.0009102395676648362	GCF_000621565.1	134065.0	1408305	Butyrivibrio sp. LB2008	exact_accession
s__Alistipes excrementavium	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes excrementavium	1	1.0	0.0006868131868131876	GCF_900021155.1	4476780.0	1780376	Alistipes sp. CHKCI003	exact_accession
s__Anaerocolumna xylanovorans	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerocolumna;s__Anaerocolumna xylanovorans	1	1.0	0.0006868131868131876	GCF_900143645.1	839200.0	1121345	Anaerocolumna xylanovorans	exact_accession
s__Anaeromicropila_A populeti	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaeromicropila_A;s__Anaeromicropila_A populeti	1	1.0	0.0006868131868131876	GCF_900112775.1	351309.0	37658	Anaeromicropila populeti	exact_accession
s__Anaerostipes hadrus	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerostipes;s__Anaerostipes hadrus	1	1.0	0.0006868131868131876	GCF_000185525.1	1109559.0	658089	Lachnospiraceae bacterium 5_1_63FAA	unique_assembly_core
s__Bdellovibrio bacteriovorus	d__Bacteria;p__Bdellovibrionota;c__Bdellovibrionia;o__Bdellovibrionales;f__Bdellovibrionaceae;g__Bdellovibrio;s__Bdellovibrio bacteriovorus	1	1.0	0.0006868131868131876	GCF_000196175.1	4405128.0	264462	Bdellovibrio bacteriovorus	exact_accession
s__Bilophila wadsworthia	d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Bilophila;s__Bilophila wadsworthia	1	1.0	0.0006868131868131876	GCF_000701705.1	1108599.0	1408428	Bilophila wadsworthia	exact_accession
s__Butyrivibrio sp000423945	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Butyrivibrio;s__Butyrivibrio sp000423945	1	1.0	0.0006868131868131876	GCF_000424125.1	180944.0	1280671	Butyrivibrio sp. FC2001	exact_accession
s__Faecalibacterium prausnitzii	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii	1	1.0	0.0006868131868131876	GCF_000154385.1	189840.0	411485	Faecalibacterium prausnitzii	exact_accession
s__Faecalimonas sp000209385	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Faecalimonas;s__Faecalimonas sp000209385	1	1.0	0.0006868131868131876	GCF_000209385.2	197875.0	742723	Lachnospiraceae bacterium 2_1_46FAA	unique_assembly_core
s__Geosporobacter ferrireducens	d__Bacteria;p__Bacillota;c__Clostridia;o__Peptostreptococcales;f__Thermotaleaceae;g__Geosporobacter;s__Geosporobacter ferrireducens	1	1.0	0.0006868131868131876	GCF_001750685.1	637934.0	1424294	Geosporobacter ferrireducens	exact_accession
s__Halodesulfovibrio aestuarii	d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Halodesulfovibrio;s__Halodesulfovibrio aestuarii	1	1.0	0.0006868131868131876	GCF_900142115.1	2897325.0	876	Halodesulfovibrio aestuarii	exact_accession
s__Lactiplantibacillus pentosus	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactiplantibacillus;s__Lactiplantibacillus pentosus	1	1.0	0.0006868131868131876	GCF_001188985.1	354971.0	1589	Lactiplantibacillus pentosus	exact_accession
s__Lactobacillus jensenii	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus jensenii	1	1.0	0.0006868131868131876	GCF_001012685.1	26608.0	1434654	Lactobacillus jensenii	exact_accession
s__Latilactobacillus fuchuensis	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Latilactobacillus;s__Latilactobacillus fuchuensis	1	1.0	0.0006868131868131876	GCF_001435065.1	340960.0	1423747	Latilactobacillus fuchuensis	exact_accession
s__Limosilactobacillus reuteri_K	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Limosilactobacillus;s__Limosilactobacillus reuteri_K	1	1.0	0.0006868131868131876	GCF_002253685.1	539647.0	1598	Limosilactobacillus reuteri	exact_accession
s__NK4A144 sp000424365	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__NK4A144;s__NK4A144 sp000424365	1	1.0	0.0006868131868131876	GCF_000424365.1	174824.0	877421	Lachnospiraceae bacterium NK4A144	unique_assembly_core
s__Oribacterium parvum	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Oribacterium;s__Oribacterium parvum	1	1.0	0.0006868131868131876	GCF_000238055.2	168517.0	796943	Oribacterium parvum	exact_accession
s__Paracidovorax citrulli	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_C;g__Paracidovorax;s__Paracidovorax citrulli	1	1.0	0.0006868131868131876	GCF_000015325.1	4355314.0	397945	Paracidovorax citrulli	exact_accession
s__Porphyromonas_A cangingivalis	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas_A;s__Porphyromonas_A cangingivalis	1	1.0	0.0006868131868131876	GCF_000766005.1	187028.0	36874	Porphyromonas cangingivalis	exact_accession
s__Prevotella disiens	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella disiens	1	1.0	0.0006868131868131876	GCF_000467875.1	999989.0	1235811	Prevotella disiens	exact_accession
s__Staphylococcus aureus	d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus aureus	1	1.0	0.0006868131868131876	GCF_002000665.1	4312974.0	1280	Staphylococcus aureus	exact_accession
s__Nitrospirillum sp000333275	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Azospirillales;f__Azospirillaceae;g__Nitrospirillum;s__Nitrospirillum sp000333275	1	0.999100917921	0.000686195685385303	GCF_000333275.1	325850.0	95605	Azospirillum sp. B4	exact_accession
s__Ruminiclostridium cellulolyticum	d__Bacteria;p__Bacillota;c__Clostridia;o__Acetivibrionales;f__DSM-1351;g__Ruminiclostridium;s__Ruminiclostridium cellulolyticum	1	0.940058486624	0.0006456445649890119	GCF_000022065.1	229455.0	394503	Ruminiclostridium cellulolyticum	exact_accession
s__Acetivibrio clariflavus	d__Bacteria;p__Bacillota;c__Clostridia;o__Acetivibrionales;f__Acetivibrionaceae;g__Acetivibrio;s__Acetivibrio clariflavus	1	0.762014974563	0.0005233619330789842	GCF_000237085.1	827592.0	720554	Acetivibrio clariflavus	exact_accession
s__Stoquefichus massiliensis	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Erysipelotrichales;f__Coprobacillaceae;g__Stoquefichus;s__Stoquefichus massiliensis	1	0.683606483394	0.0004695099473859896	GCF_000455285.1	4444771.1	1211844	Candidatus Stoquefichus massiliensis	exact_accession
s__Catonella morbi	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Catonella;s__Catonella morbi	1	0.674691189485	0.0004633868059649731	GCF_000160035.2	134065.1	592026	Catonella morbi	exact_accession
s__Bacteroides gallinarum	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides gallinarum	1	0.671873007739	0.0004614512415789841	GCF_000374365.1	181719.1	1121096	Bacteroides gallinarum	exact_accession
s__Roseburia bovis_A	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia;s__Roseburia bovis_A	1	0.535533921811	0.0003678117594855774	GCF_000622065.1	193680.1	1410660	Lachnobacterium bovis	exact_accession
s__Companilactobacillus crustorum	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Companilactobacillus;s__Companilactobacillus crustorum	1	0.495648179575	0.0003404177057520609	GCF_001951175.1	463794.0	392416	Companilactobacillus crustorum	exact_accession
s__Blautia pseudococcoides	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia;s__Blautia pseudococcoides	1	0.464466078189	0.00031900142732761027	GCF_002221555.2	193680.0	1532	Blautia pseudococcoides	exact_accession
s__Clostridium_AQ innocuum	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Clostridium_AQ;s__Clostridium_AQ innocuum	1	0.316393516606	0.00021730323942719808	GCF_000225685.1	4444771.0	457422	Erysipelotrichaceae bacterium 2_2_44A	unique_assembly_core
s__Thermoclostridium stercorarium	d__Bacteria;p__Bacillota;c__Clostridia;o__DSM-8532;f__DSM-8532;g__Thermoclostridium;s__Thermoclostridium stercorarium	2	0.29792653881270004	0.00020461987555817337	GCF_001697285.1,GCF_000331995.1	229455.1,827592.1	1346611,1121335	Thermoclostridium stercorarium	exact_accession
s__Rhodospira trueperi	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae;g__Rhodospira;s__Rhodospira trueperi	1	0.000899082078841	6.175014277754128e-07	GCF_900101965.1	325850.1	69960	Rhodospira trueperi	exact_accession
