sample	ncbi_species_taxid	truth_name	abundance_pct_all	candidate_gtdb_species	candidate_count_for_taxid	matched_epithet	rule_id
8	111501	Muricauda ruestringensis	0.0449	s__Flagellimonas ruestringensis	2	ruestringensis	diagnostic_unique_ambiguous_epithet
8	1833	Rhodococcus erythropolis	0.0064	s__Rhodococcus_F erythropolis	5	erythropolis	diagnostic_unique_ambiguous_epithet
8	2296	Desulfobacterium autotrophicum	0.077	s__Desulforapulum autotrophicum	2	autotrophicum	diagnostic_unique_ambiguous_epithet
8	669041	Tenacibaculum dicentrarchi	0.1003	s__Polaribacter dicentrarchi	2	dicentrarchi	diagnostic_unique_ambiguous_epithet
8	713887	Candidatus Atelocyanobacterium thalassa	0.0577	s__Atelocyanobacterium thalassa_A	3	thalassa	diagnostic_unique_ambiguous_epithet
8	89184	Ruegeria pomeroyi	0.0321	s__Ruegeria_B pomeroyi	2	pomeroyi	diagnostic_unique_ambiguous_epithet
9	111501	Muricauda ruestringensis	0.0243	s__Flagellimonas ruestringensis	2	ruestringensis	diagnostic_unique_ambiguous_epithet
9	1833	Rhodococcus erythropolis	0.0121	s__Rhodococcus_F erythropolis	5	erythropolis	diagnostic_unique_ambiguous_epithet
9	2296	Desulfobacterium autotrophicum	0.3154	s__Desulforapulum autotrophicum	2	autotrophicum	diagnostic_unique_ambiguous_epithet
9	669041	Tenacibaculum dicentrarchi	0.1036	s__Polaribacter dicentrarchi	2	dicentrarchi	diagnostic_unique_ambiguous_epithet
9	713887	Candidatus Atelocyanobacterium thalassa	0.0121	s__Atelocyanobacterium thalassa_A	3	thalassa	diagnostic_unique_ambiguous_epithet
9	89184	Ruegeria pomeroyi	0.0485	s__Ruegeria_B pomeroyi	2	pomeroyi	diagnostic_unique_ambiguous_epithet
