gtdb_species	gtdb_taxonomy	source_genomes	total_abundance	relative_abundance	source_accessions	source_genome_ids	source_taxids	source_ncbi_species	mapping_methods
s__Anaeromicropila_A populeti	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaeromicropila_A;s__Anaeromicropila_A populeti	1	21.0	0.0029146426093015383	GCF_900112775.1	351309.0	37658	Anaeromicropila populeti	exact_accession
s__Anaerostipes hadrus	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerostipes;s__Anaerostipes hadrus	1	21.0	0.0029146426093015383	GCF_000185525.1	1109559.0	658089	Lachnospiraceae bacterium 5_1_63FAA	unique_assembly_core
s__FD2005 sp000702525	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__FD2005;s__FD2005 sp000702525	1	21.0	0.0029146426093015383	GCF_900109005.1	181344.0	1520821	Lachnospiraceae bacterium A10	unique_assembly_core
s__Gemmiger formicilis	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__Gemmiger formicilis	1	20.0	0.002775850104096703	GCF_900167555.1	327900.0	745368	Gemmiger formicilis	exact_accession
s__Alistipes onderdonkii	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes onderdonkii	2	19.0	0.002637057598891868	GCF_000374505.1,GCF_000821285.2	194490.0,denovo3683.0	1203611,1499682	Alistipes onderdonkii	exact_accession
s__Prevotella pallens	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella pallens	1	19.0	0.002637057598891868	GCF_000220255.1	denovo10808.0	997353	Prevotella pallens	exact_accession
s__Porphyromonas sp000467855	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas;s__Porphyromonas sp000467855	1	18.0	0.002498265093687033	GCF_000467855.2	178546.0	1227272	Porphyromonas sp. oral taxon 278 str. W7784	exact_accession
s__Alteromonas aggregata	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Alteromonadaceae;g__Alteromonas;s__Alteromonas aggregata	1	17.3982334268	0.0024147444034440762	GCF_900129565.1	193418.1	634436	Marisediminitalea aggregata	exact_accession
s__Bacteroides ovatus	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides ovatus	1	17.0	0.0023594725884821975	GCF_900095495.1	1992.0	1379690	Bacteroides ovatus	exact_accession
s__Ligilactobacillus acidipiscis	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Ligilactobacillus;s__Ligilactobacillus acidipiscis	1	17.0	0.0023594725884821975	GCF_001436945.1	4354103.0	89059	Ligilactobacillus acidipiscis	exact_accession
s__Parabacteroides gordonii	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides gordonii	2	16.0	0.0022206800832773625	GCF_000969825.1,GCF_000969845.1	denovo8025.0,4372003.0	1203610,1078087	Parabacteroides gordonii,Parabacteroides sp. HGS0025	exact_accession
s__Roseburia ruminis	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia;s__Roseburia ruminis	1	16.0	0.0022206800832773625	GCF_000701545.1	184451.0	1408320	Lachnospiraceae bacterium AC2014	unique_assembly_core
s__Ruminococcoides sp900100595	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Ruminococcoides;s__Ruminococcoides sp900100595	1	16.0	0.0022206800832773625	GCF_900100595.1	4480176.0	1200751	Ruminococcaceae bacterium P7	unique_assembly_core
s__Blautia pseudococcoides	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia;s__Blautia pseudococcoides	2	15.109126860069999	0.00209703356836678	GCF_001689125.2,GCF_002221555.2	184966.0,193680.0	1796616,1532	Blautia pseudococcoides	exact_accession
s__Bacteroides gallinarum	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides gallinarum	1	14.557248501	0.0020204369883431213	GCF_000374365.1	181719.1	1121096	Bacteroides gallinarum	exact_accession
s__Oscillibacter sp000403435	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter sp000403435	1	13.5696854942	0.0018833706445817297	GCF_000403435.2	167509.0	1235797	Oscillibacter sp. 1-3	exact_accession
s__Porphyromonas pasteri	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas;s__Porphyromonas pasteri	2	13.45708109151	0.0018677419974352904	GCF_001553165.1,GCF_001553215.1	162639.0,192316.0	1588749,322095	Porphyromonadaceae bacterium KA00676,Porphyromonas somerae	unique_assembly_core,exact_accession
s__Lactobacillus helveticus	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus helveticus	1	13.3060925486	0.001846785919307584	GCF_001702095.1	463794.1	1587	Lactobacillus helveticus	exact_accession
s__Thomasclavelia saccharogumia	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Erysipelotrichales;f__Coprobacillaceae;g__Thomasclavelia;s__Thomasclavelia saccharogumia	1	13.0	0.001804302567662857	GCF_000686665.1	2645488.0	1121333	Thomasclavelia saccharogumia	exact_accession
s__Erysipelothrix rhusiopathiae	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Erysipelothrix;s__Erysipelothrix rhusiopathiae	1	12.0	0.0016655100624580219	GCF_000404205.1	1871227.0	1313290	Erysipelothrix rhusiopathiae	exact_accession
s__Gemmiger variabilis	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__Gemmiger variabilis	1	12.0	0.0016655100624580219	GCF_000157955.1	230268.0	411471	Subdoligranulum variabile	exact_accession
s__Latilactobacillus sakei	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Latilactobacillus;s__Latilactobacillus sakei	2	12.0	0.0016655100624580219	GCF_900234395.1,GCF_002751085.1	182764.0,288521.0	1599	Latilactobacillus sakei	exact_accession
s__Prevotella scopos	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella scopos	1	12.0	0.0016655100624580219	GCF_900129535.1	denovo7466.0	1236518	Prevotella scopos	exact_accession
s__Aestuariibacter salexigens	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Alteromonadaceae;g__Aestuariibacter;s__Aestuariibacter salexigens	1	11.6017665732	0.0016102382474961435	GCF_000429145.1	193418.0	1120953	Aestuariibacter salexigens	exact_accession
s__Akkermansia muciniphila_A	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiia;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia;s__Akkermansia muciniphila_A	2	11.0	0.0015267175572531867	GCF_900184885.1,GCF_900184965.1	denovo1211.0,4306262.0	239935	Akkermansia muciniphila	exact_accession
s__Butyrivibrio hungatei_A	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Butyrivibrio;s__Butyrivibrio hungatei_A	1	11.0	0.0015267175572531867	GCF_000424465.1	175758.0	877422	Butyrivibrio hungatei	exact_accession
s__Pseudobutyrivibrio ruminis_C	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Pseudobutyrivibrio;s__Pseudobutyrivibrio ruminis_C	1	11.0	0.0015267175572531867	GCF_000424005.1	4440624.0	1280688	Pseudobutyrivibrio ruminis	exact_accession
s__Geosporobacter ferrireducens	d__Bacteria;p__Bacillota;c__Clostridia;o__Peptostreptococcales;f__Thermotaleaceae;g__Geosporobacter;s__Geosporobacter ferrireducens	1	10.0	0.0013879250520483514	GCF_001750685.1	637934.0	1424294	Geosporobacter ferrireducens	exact_accession
s__Halodesulfovibrio aestuarii	d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Halodesulfovibrio;s__Halodesulfovibrio aestuarii	1	10.0	0.0013879250520483514	GCF_900142115.1	2897325.0	876	Halodesulfovibrio aestuarii	exact_accession
s__Pseudobacteroides cellulosolvens	d__Bacteria;p__Bacillota;c__Clostridia;o__Acetivibrionales;f__DSM-2933;g__Pseudobacteroides;s__Pseudobacteroides cellulosolvens	1	10.0	0.0013879250520483514	GCF_000745845.1	4402042.0	398512	Pseudobacteroides cellulosolvens	exact_accession
s__Anaerosporobacter mobilis	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerosporobacter;s__Anaerosporobacter mobilis	1	9.0	0.0012491325468435165	GCF_900142955.1	181348.0	1120996	Anaerosporobacter mobilis	exact_accession
s__Enterocloster bolteae	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Enterocloster;s__Enterocloster bolteae	2	9.0	0.0012491325468435165	GCF_000371705.1,GCF_000371685.1	191325.0,denovo11906.0	997894,997895	Enterocloster bolteae	exact_accession
s__Acetivibrio clariflavus	d__Bacteria;p__Bacillota;c__Clostridia;o__Acetivibrionales;f__Acetivibrionaceae;g__Acetivibrio;s__Acetivibrio clariflavus	1	8.3821647202	0.0011633816405561442	GCF_000237085.1	827592.0	720554	Acetivibrio clariflavus	exact_accession
s__Anaeromassilibacillus senegalensis	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Anaeromassilibacillus;s__Anaeromassilibacillus senegalensis	1	8.0	0.0011103400416386812	GCF_001261775.1	267451.0	1673717	Anaeromassilibacillus senegalensis	exact_accession
s__Adlercreutzia mucosicola	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Adlercreutzia;s__Adlercreutzia mucosicola	1	7.96778467456	0.0011058687959148745	GCF_000422625.1	245324.1	1121866	Adlercreutzia mucosicola	exact_accession
s__Faecalibacterium taiwanense	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium taiwanense	1	7.0	0.000971547536433846	GCF_002549905.1	180535.0	853	Faecalibacterium prausnitzii	exact_accession
s__Loigolactobacillus coryniformis	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Loigolactobacillus;s__Loigolactobacillus coryniformis	1	7.0	0.000971547536433846	GCF_002706705.1	187233.0	1423822	Loigolactobacillus coryniformis	exact_accession
s__Prevotella oulorum	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella oulorum	1	7.0	0.000971547536433846	GCF_000224615.1	denovo5786.0	702438	Segatella oulorum	exact_accession
s__Faecalimonas umbilicata	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Faecalimonas;s__Faecalimonas umbilicata	2	6.61845117264	0.0009185914188265846	GCF_000411355.1,GCF_000191805.1	3265889.0,730939.0	1078091,658656	Coprococcus sp. HPP0048,Lachnospiraceae bacterium 6_1_37FAA	unique_assembly_core
s__Prevotella intermedia	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella intermedia	3	6.539235795761	0.000907596918218803	GCF_000261025.1,GCF_001548195.1,GCF_001594285.1	denovo7795.0,denovo12370.0,999986.0	246198,28131	Prevotella intermedia	exact_accession
s__Dorea_A longicatena	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Dorea_A;s__Dorea_A longicatena	1	6.19202989968	0.0008594073420798312	GCF_000154065.1	348376.1	411462	Dorea longicatena	exact_accession
s__Mediterraneibacter torques	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Mediterraneibacter;s__Mediterraneibacter torques	2	6.0	0.0008327550312290109	GCF_000218445.1,GCF_000153925.1	denovo9225.0,260679.0	658081,411460	Lachnospiraceae bacterium 1_1_57FAA,[Ruminococcus] torques	unique_assembly_core,exact_accession
s__Nisaea denitrificans	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Thalassobaculales;f__Thalassobaculaceae;g__Nisaea;s__Nisaea denitrificans	1	6.0	0.0008327550312290109	GCF_000426505.1	denovo7143.0	1122607	Nisaea denitrificans	exact_accession
s__Ruthenibacterium lactatiformans	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruthenibacterium;s__Ruthenibacterium lactatiformans	1	6.0	0.0008327550312290109	GCF_000238635.1	3016478.0	665956	Subdoligranulum sp. 4_3_54A2FAA	unique_assembly_core
s__Thomasclavelia ramosa	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Erysipelotrichales;f__Coprobacillaceae;g__Thomasclavelia;s__Thomasclavelia ramosa	1	6.0	0.0008327550312290109	GCF_000158555.2	828435.0	556270	Coprobacillus sp. D7	unique_assembly_core
s__YE71 sp900119155	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__YE71;s__YE71 sp900119155	1	6.0	0.0008327550312290109	GCF_900119155.1	178480.0	244362	Ruminococcus sp. YE71	exact_accession
s__Butyrivibrio sp000621565	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Butyrivibrio;s__Butyrivibrio sp000621565	1	5.96388964732	0.0008277431849167237	GCF_000621565.1	134065.0	1408305	Butyrivibrio sp. LB2008	exact_accession
s__Roseburia bovis_A	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia;s__Roseburia bovis_A	1	5.89087313993	0.0008176090409347581	GCF_000622065.1	193680.1	1410660	Lachnobacterium bovis	exact_accession
s__Phocaeicola dorei	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola dorei	4	5.677048545491	0.0007879317897981615	GCF_000273055.1,GCF_000157075.2,GCF_000156075.1,GCF_000273035.1	denovo9337.0,4447072.0,326662.0,denovo4376.0	997876,457395,483217,997875	Phocaeicola dorei,Bacteroides sp. 9_1_42FAA	exact_accession,unique_assembly_core
s__Oscillibacter ruminantium	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter ruminantium	1	5.43031450577	0.0007536869543059746	GCF_000307265.1	167509.1	1007096	Oscillibacter ruminantium	exact_accession
s__Thermoclostridium stercorarium	d__Bacteria;p__Bacillota;c__Clostridia;o__DSM-8532;f__DSM-8532;g__Thermoclostridium;s__Thermoclostridium stercorarium	3	5.003965584733001	0.000694512919463871	GCF_001697245.1,GCF_001697285.1,GCF_000331995.1	133719.0,229455.1,827592.1	1121336,1346611,1121335	Thermoclostridium stercorarium	exact_accession
s__Acetanaerobacterium elongatum	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Acetanaerobacterium;s__Acetanaerobacterium elongatum	1	5.0	0.0006939625260241757	GCF_900103835.1	273737.0	258515	Acetanaerobacterium elongatum	exact_accession
s__Butyrivibrio sp000423925	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Butyrivibrio;s__Butyrivibrio sp000423925	1	5.0	0.0006939625260241757	GCF_000423925.1	180972.0	1280664	Butyrivibrio sp. VCD2006	exact_accession
s__Christensenella intestinihominis	d__Bacteria;p__Bacillota;c__Clostridia;o__Christensenellales;f__Christensenellaceae;g__Christensenella;s__Christensenella intestinihominis	1	5.0	0.0006939625260241757	GCF_001678845.1	665703.0	1851429	Christensenella intestinihominis	exact_accession
s__Ethanoligenens harbinense	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ethanoligenentaceae;g__Ethanoligenens;s__Ethanoligenens harbinense	1	5.0	0.0006939625260241757	GCF_000178115.2	405780.0	663278	Ethanoligenens harbinense	exact_accession
s__Lactiplantibacillus plantarum	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactiplantibacillus;s__Lactiplantibacillus plantarum	1	5.0	0.0006939625260241757	GCF_001981595.1	4397402.0	1590	Lactiplantibacillus plantarum	exact_accession
s__Sporobacter termitidis	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Sporobacter;s__Sporobacter termitidis	1	5.0	0.0006939625260241757	GCF_900130065.1	170926.0	1123282	Sporobacter termitidis	exact_accession
s__Eisenbergiella tayi	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eisenbergiella;s__Eisenbergiella tayi	1	4.87751453446	0.0006769624614106987	GCF_000218405.2	denovo5363.0	658086	Lachnospiraceae bacterium 3_1_57FAA_CT1	unique_assembly_core
