sample	source_genome_id	species_label	recommended_gtdb_species	recommended_resolution_rule	gtdb_binomial_species_count	taxid_gtdb_species_count	ncbi_name_gtdb_species_count	prior_wgs_or_unique_taxid_rows	prior_mapped_gtdb_species	fallback_added_rows	source_priority_case	source_priority_ok
2	ASV783.4	Klebsiella pneumoniae	s__Klebsiella pneumoniae	unique_gtdb_binomial	1	63	63	0		5370	unmapped_source	true
2	ASV670.1	Comamonas kerstersii	s__Comamonas kerstersii	unique_gtdb_binomial	1	2	2	0		5276	unmapped_source	true
2	ASV440.7	Salmonella enterica	s__Salmonella enterica	unique_gtdb_binomial	1	3	11	0		2852	unmapped_source	true
2	ASV297.5	Clostridioides difficile	s__Clostridioides difficile	unique_gtdb_binomial	1	9	9	0		1392	unmapped_source	true
2	ASV709.17	Bifidobacterium breve	s__Bifidobacterium breve	unique_gtdb_binomial	1	134	134	0		990	unmapped_source	true
2	ASV226.3	Bacillus velezensis	s__Bacillus velezensis	unique_gtdb_binomial	1	3	3	0		780	unmapped_source	true
2	ASV607.0	Veillonella parvula	s__Veillonella parvula	unique_gtdb_binomial	1	28	28	0		774	unmapped_source	true
2	ASV357.0	Hungatella hathewayi	s__Hungatella hathewayi	unique_gtdb_binomial	1	6	6	0		746	unmapped_source	true
2	ASV677.8	Escherichia coli	s__Escherichia coli	unique_gtdb_binomial	1	51	51	0		542	unmapped_source	true
2	ASV827.8	Akkermansia muciniphila	s__Akkermansia muciniphila	unique_gtdb_binomial	1	110	110	0		422	unmapped_source	true
2	ASV451.7	Mediterraneibacter gnavus	s__Mediterraneibacter gnavus	unique_gtdb_binomial	1	4	4	0		406	unmapped_source	true
2	ASV444.7	Mediterraneibacter gnavus	s__Mediterraneibacter gnavus	unique_gtdb_binomial	1	4	4	0		348	unmapped_source	true
