gtdb_species	gtdb_taxonomy	source_genomes	total_abundance	relative_abundance	source_accessions	source_genome_ids	source_taxids	source_ncbi_species	mapping_methods
s__Hungatella effluvii	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Hungatella;s__Hungatella effluvii	1	61.0310296778	0.01051896409476803	GCF_000371445.1	318732.1	999412	Hungatella hathewayi	exact_accession
s__NK4A144 sp000424365	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__NK4A144;s__NK4A144 sp000424365	1	57.0	0.009824198552230472	GCF_000424365.1	174824.0	877421	Lachnospiraceae bacterium NK4A144	unique_assembly_core
s__Lacticaseibacillus paracasei	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lacticaseibacillus;s__Lacticaseibacillus paracasei	3	55.0	0.009479489831099579	GCF_001066565.1,GCF_002442835.1,GCF_002091975.1	135956.0,187962.0,denovo9496.0	1582,1597	Lacticaseibacillus paracasei,Lacticaseibacillus casei	exact_accession,unique_assembly_core
s__Bacteroides thetaiotaomicron	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides thetaiotaomicron	3	45.0	0.007755946225445109	GCF_000403155.2,GCF_000159875.2,GCF_000011065.1	344525.0,denovo7195.0,denovo1874.0	1235785,469586,226186	Bacteroides thetaiotaomicron	exact_accession
s__Alistipes finegoldii	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes finegoldii	1	44.0	0.0075835918648796624	GCF_000265365.1	4449518.0	679935	Alistipes finegoldii	exact_accession
s__Porphyromonas_A cangingivalis	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas_A;s__Porphyromonas_A cangingivalis	1	44.0	0.0075835918648796624	GCF_000766005.1	187028.0	36874	Porphyromonas cangingivalis	exact_accession
s__Oribacterium parvum	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Oribacterium;s__Oribacterium parvum	1	41.0	0.007066528783183322	GCF_000238055.2	168517.0	796943	Oribacterium parvum	exact_accession
s__Papillibacter cinnamivorans	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Papillibacter;s__Papillibacter cinnamivorans	1	37.0	0.0063771113409215345	GCF_900176335.1	181961.0	1122930	Papillibacter cinnamivorans	exact_accession
s__Enterocloster clostridioformis	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Enterocloster;s__Enterocloster clostridioformis	6	36.896947793801004	0.006359349843817248	GCF_000371605.1,GCF_000371505.1,GCF_000371545.1,GCF_000234155.1,GCF_000371585.1,GCF_900108895.1	4464113.0,263992.0,1931575.0,190547.0,3919797.0,189585.0	999403,999408,999406,742735,999404,1531	Enterocloster clostridioformis	exact_accession
s__Prevotella scopos	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella scopos	1	35.0	0.006032402619790641	GCF_900129535.1	denovo7466.0	1236518	Prevotella scopos	exact_accession
s__Prevotella brevis	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella brevis	1	32.0	0.0055153395380943	GCF_000621825.1	denovo9909.0	1410666	Xylanibacter brevis	exact_accession
s__Prevotella pallens	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella pallens	1	32.0	0.0055153395380943	GCF_000220255.1	denovo10808.0	997353	Prevotella pallens	exact_accession
s__Hominimerdicola sp000621805	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Hominimerdicola;s__Hominimerdicola sp000621805	1	31.0	0.005342985177528853	GCF_000621805.1	4417539.0	1410617	Ruminococcus sp. FC2018	exact_accession
s__Lactobacillus kefiranofaciens	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus kefiranofaciens	1	27.0	0.004653567735267066	GCF_000214785.1	47365.0	1033837	Lactobacillus kefiranofaciens	exact_accession
s__Robiginitomaculum antarcticum	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Caulobacterales;f__Maricaulaceae;g__Robiginitomaculum;s__Robiginitomaculum antarcticum	1	26.0	0.004481213374701619	GCF_000365025.1	1571092.0	1123059	Robiginitomaculum antarcticum	exact_accession
s__Butyrivibrio sp000423945	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Butyrivibrio;s__Butyrivibrio sp000423945	2	25.0	0.004308859014136172	GCF_000424125.1,GCF_000423945.1	180944.0,168984.0	1280671,1280665	Butyrivibrio sp. FC2001,Butyrivibrio sp. XPD2002	exact_accession
s__Enterocloster asparagiformis	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Enterocloster;s__Enterocloster asparagiformis	1	25.0	0.004308859014136172	GCF_000158075.1	162576.0	518636	Enterocloster asparagiformis	exact_accession
s__Bdellovibrio bacteriovorus	d__Bacteria;p__Bdellovibrionota;c__Bdellovibrionia;o__Bdellovibrionales;f__Bdellovibrionaceae;g__Bdellovibrio;s__Bdellovibrio bacteriovorus	1	24.0	0.004136504653570725	GCF_000196175.1	4405128.0	264462	Bdellovibrio bacteriovorus	exact_accession
s__Bdellovibrio bacteriovorus_B	d__Bacteria;p__Bdellovibrionota;c__Bdellovibrionia;o__Bdellovibrionales;f__Bdellovibrionaceae;g__Bdellovibrio;s__Bdellovibrio bacteriovorus_B	1	24.0	0.004136504653570725	GCF_001592745.1	381666.0	959	Bdellovibrio bacteriovorus	exact_accession
s__Alistipes excrementavium	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes excrementavium	1	22.0	0.0037917959324398312	GCF_900021155.1	4476780.0	1780376	Alistipes sp. CHKCI003	exact_accession
s__Bacteroides ovatus	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides ovatus	2	20.0869208507873	0.0034620683989661873	GCF_900095495.1,GCF_000154125.1	1992.0,3327894.0	1379690,411476	Bacteroides ovatus	exact_accession
s__Bacteroides gallinarum	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides gallinarum	1	19.9322325629	0.0034354071980204084	GCF_000374365.1	181719.1	1121096	Bacteroides gallinarum	exact_accession
s__Lactobacillus helveticus	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus helveticus	1	17.1078332768	0.002948609665083138	GCF_001702095.1	463794.1	1587	Lactobacillus helveticus	exact_accession
s__Lactiplantibacillus plantarum	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactiplantibacillus;s__Lactiplantibacillus plantarum	2	17.0	0.002930024129612597	GCF_001981595.1,GCF_001659745.1	4397402.0,denovo4507.0	1590	Lactiplantibacillus plantarum	exact_accession
s__Parabacteroides gordonii	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides gordonii	2	17.0	0.002930024129612597	GCF_000969845.1,GCF_000428565.1	4372003.0,denovo8701.0	1078087,1122931	Parabacteroides sp. HGS0025,Parabacteroides gordonii	exact_accession
s__Ligilactobacillus acidipiscis	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Ligilactobacillus;s__Ligilactobacillus acidipiscis	1	16.0	0.00275766976904715	GCF_001436945.1	4354103.0	89059	Ligilactobacillus acidipiscis	exact_accession
s__Porphyromonas pasteri	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas;s__Porphyromonas pasteri	2	15.4399135281	0.0026611364233214683	GCF_001553165.1,GCF_001553215.1	162639.0,192316.0	1588749,322095	Porphyromonadaceae bacterium KA00676,Porphyromonas somerae	unique_assembly_core,exact_accession
s__Faecalibacterium prausnitzii	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii	2	14.92259809283	0.002571974852264872	GCF_000154385.1,GCF_002549945.1	189840.0,324894.1	411485,853	Faecalibacterium prausnitzii	exact_accession
s__Anaeromicropila_A populeti	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaeromicropila_A;s__Anaeromicropila_A populeti	1	14.0	0.0024129610479162564	GCF_900112775.1	351309.0	37658	Anaeromicropila populeti	exact_accession
s__Butyrivibrio fibrisolvens_C	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Butyrivibrio;s__Butyrivibrio fibrisolvens_C	2	14.0	0.0024129610479162564	GCF_000424425.1,GCF_000424405.1	136604.0,460611.0	1280700,1280699	Butyrivibrio fibrisolvens	exact_accession
s__Latilactobacillus sakei	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Latilactobacillus;s__Latilactobacillus sakei	2	14.0	0.0024129610479162564	GCF_900234395.1,GCF_002751085.1	182764.0,288521.0	1599	Latilactobacillus sakei	exact_accession
s__Porphyromonas sp000467855	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas;s__Porphyromonas sp000467855	1	14.0	0.0024129610479162564	GCF_000467855.2	178546.0	1227272	Porphyromonas sp. oral taxon 278 str. W7784	exact_accession
s__Prevotella intermedia	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella intermedia	2	13.0	0.0022406066873508095	GCF_000261025.1,GCF_001548195.1	denovo7795.0,denovo12370.0	246198,28131	Prevotella intermedia	exact_accession
s__FD2005 sp000702525	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__FD2005;s__FD2005 sp000702525	1	12.0	0.0020682523267853627	GCF_900109005.1	181344.0	1520821	Lachnospiraceae bacterium A10	unique_assembly_core
s__Loigolactobacillus coryniformis	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Loigolactobacillus;s__Loigolactobacillus coryniformis	1	12.0	0.0020682523267853627	GCF_002706705.1	187233.0	1423822	Loigolactobacillus coryniformis	exact_accession
s__Adlercreutzia mucosicola	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Adlercreutzia;s__Adlercreutzia mucosicola	1	11.9516770118	0.0020599236490535396	GCF_000422625.1	245324.1	1121866	Adlercreutzia mucosicola	exact_accession
s__Blautia pseudococcoides	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia;s__Blautia pseudococcoides	2	11.03805901645	0.001902457603663905	GCF_001689125.2,GCF_002221555.2	184966.0,193680.0	1796616,1532	Blautia pseudococcoides	exact_accession
s__Kandleria vitulina	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Erysipelotrichales;f__Coprobacillaceae;g__Kandleria;s__Kandleria vitulina	1	11.0	0.0018958979662199156	GCF_900109215.1	180869.0	1630	Kandleria vitulina	exact_accession
s__Anaerostipes hadrus	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerostipes;s__Anaerostipes hadrus	1	10.0	0.0017235436056544688	GCF_000185525.1	1109559.0	658089	Lachnospiraceae bacterium 5_1_63FAA	unique_assembly_core
s__Bacteroides nordii	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides nordii	2	9.0	0.001551189245089022	GCF_000382465.1,GCF_000273175.1	3486634.0,3154070.0	1078089,997884	Bacteroides sp. HPS0048,Bacteroides nordii	exact_accession
s__Duodenibacillus massiliensis	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_F;g__Duodenibacillus;s__Duodenibacillus massiliensis	1	9.0	0.001551189245089022	GCF_900128485.1	437137.0	1852381	Duodenibacillus massiliensis	exact_accession
s__Roseburia ruminis	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia;s__Roseburia ruminis	1	9.0	0.001551189245089022	GCF_000701545.1	184451.0	1408320	Lachnospiraceae bacterium AC2014	unique_assembly_core
s__Eubacterium callanderi	d__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Eubacteriaceae;g__Eubacterium;s__Eubacterium callanderi	1	8.0	0.001378834884523575	GCF_900142645.1	228140.0	53442	Eubacterium callanderi	exact_accession
s__Proteiniphilum saccharofermentans	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Dysgonomonadaceae;g__Proteiniphilum;s__Proteiniphilum saccharofermentans	1	8.0	0.001378834884523575	GCF_900116075.1	174805.0	1855399	Porphyromonadaceae bacterium NLAE-zl-C104	unique_assembly_core
s__Oscillibacter sp000403435	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter sp000403435	1	7.85613370718	0.0013540389016176626	GCF_000403435.2	167509.0	1235797	Oscillibacter sp. 1-3	exact_accession
s__Dorea_A longicatena	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Dorea_A;s__Dorea_A longicatena	1	7.07660559963	0.0012196838330980895	GCF_000154065.1	348376.1	411462	Dorea longicatena	exact_accession
s__Bacteroides stercoris	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides stercoris	1	7.0	0.0012064805239581282	GCF_001535605.1	1889556.0	46506	Bacteroides stercoris	exact_accession
s__Prevotella oulorum	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella oulorum	1	7.0	0.0012064805239581282	GCF_000224615.1	denovo5786.0	702438	Segatella oulorum	exact_accession
s__Ruminococcoides sp900100595	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Ruminococcoides;s__Ruminococcoides sp900100595	1	7.0	0.0012064805239581282	GCF_900100595.1	4480176.0	1200751	Ruminococcaceae bacterium P7	unique_assembly_core
s__Roseburia bovis_A	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia;s__Roseburia bovis_A	1	6.96194098355	0.0011999208865141385	GCF_000622065.1	193680.1	1410660	Lachnobacterium bovis	exact_accession
s__Bacteroides hominis	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides hominis	2	6.44721016685	0.0011112047857384799	GCF_000297755.1,GCF_000157015.1	1135084.1,denovo4399.0	1073388,457424	Bacteroides fragilis	exact_accession
s__Enterocloster citroniae	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Enterocloster;s__Enterocloster citroniae	2	6.0	0.0010341261633926813	GCF_900115855.1,GCF_000233455.1	319219.0,265912.0	358743,742733	Enterocloster citroniae	exact_accession
s__Gemmiger formicilis	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__Gemmiger formicilis	1	6.0	0.0010341261633926813	GCF_900167555.1	327900.0	745368	Gemmiger formicilis	exact_accession
s__Gemmiger variabilis	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__Gemmiger variabilis	1	6.0	0.0010341261633926813	GCF_000157955.1	230268.0	411471	Subdoligranulum variabile	exact_accession
s__Limosilactobacillus fermentum	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Limosilactobacillus;s__Limosilactobacillus fermentum	1	6.0	0.0010341261633926813	GCF_000159215.1	denovo2280.0	525325	Limosilactobacillus fermentum	exact_accession
s__Ruthenibacterium lactatiformans	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruthenibacterium;s__Ruthenibacterium lactatiformans	2	6.0	0.0010341261633926813	GCF_000238635.1,GCF_001403575.1	3016478.0,210073.0	665956,1627893	Subdoligranulum sp. 4_3_54A2FAA,Ruminococcaceae bacterium cv2	unique_assembly_core
s__Sporobacter termitidis	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Sporobacter;s__Sporobacter termitidis	1	6.0	0.0010341261633926813	GCF_900130065.1	170926.0	1123282	Sporobacter termitidis	exact_accession
s__Alteromonas aggregata	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Alteromonadaceae;g__Alteromonas;s__Alteromonas aggregata	1	5.99939083683	0.0010340211714640359	GCF_900129565.1	193418.1	634436	Marisediminitalea aggregata	exact_accession
s__Butyrivibrio sp000621565	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Butyrivibrio;s__Butyrivibrio sp000621565	1	5.96388964732	0.0010279023866467272	GCF_000621565.1	134065.0	1408305	Butyrivibrio sp. LB2008	exact_accession
s__Parabacteroides distasonis	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides distasonis	4	5.7843014878600005	0.0009969495842578734	GCF_000157035.2,GCF_000162275.1,GCF_002257605.1,GCF_000162175.1	179838.0,denovo256.1,denovo256.0,196664.0	457388,563193,2025876,469589	Parabacteroides sp. 2_1_7,Parabacteroides sp. D13,Parabacteroides sp. CT06,Bacteroides sp. 2_1_33B	exact_accession,unique_assembly_core
s__Ruminiclostridium cellulolyticum	d__Bacteria;p__Bacillota;c__Clostridia;o__Acetivibrionales;f__DSM-1351;g__Ruminiclostridium;s__Ruminiclostridium cellulolyticum	1	5.64035091975	0.0009721390761382416	GCF_000022065.1	229455.0	394503	Ruminiclostridium cellulolyticum	exact_accession
s__Alistipes onderdonkii	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes onderdonkii	1	5.0	0.0008617718028272344	GCF_000374505.1	194490.0	1203611	Alistipes onderdonkii	exact_accession
s__Bacteroides uniformis	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis	1	5.0	0.0008617718028272344	GCF_000162215.1	denovo6968.0	585543	Bacteroides sp. D20	exact_accession
s__Blautia_A hydrogenotrophica	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A hydrogenotrophica	1	5.0	0.0008617718028272344	GCF_000157975.1	1107303.0	476272	Blautia hydrogenotrophica	exact_accession
s__Lachnoanaerobaculum sp000209465	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnoanaerobaculum;s__Lachnoanaerobaculum sp000209465	1	5.0	0.0008617718028272344	GCF_000209465.1	275984.0	575593	Lachnospiraceae oral taxon 107 str. F0167	unique_assembly_core
s__Limosilactobacillus kinnaridis	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Limosilactobacillus;s__Limosilactobacillus kinnaridis	1	5.0	0.0008617718028272344	GCF_000159615.1	denovo8733.0	525341	Limosilactobacillus reuteri	exact_accession
s__Mediterraneibacter torques	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Mediterraneibacter;s__Mediterraneibacter torques	1	5.0	0.0008617718028272344	GCF_000218445.1	denovo9225.0	658081	Lachnospiraceae bacterium 1_1_57FAA	unique_assembly_core
s__Nisaea denitrificans	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Thalassobaculales;f__Thalassobaculaceae;g__Nisaea;s__Nisaea denitrificans	1	5.0	0.0008617718028272344	GCF_000426505.1	denovo7143.0	1122607	Nisaea denitrificans	exact_accession
s__Ruminococcus flavefaciens_H	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminococcus;s__Ruminococcus flavefaciens_H	1	5.0	0.0008617718028272344	GCF_900119535.1	270030.0	1265	Ruminococcus sp. XPD3002	exact_accession
s__Thomasclavelia saccharogumia	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Erysipelotrichales;f__Coprobacillaceae;g__Thomasclavelia;s__Thomasclavelia saccharogumia	1	5.0	0.0008617718028272344	GCF_000686665.1	2645488.0	1121333	Thomasclavelia saccharogumia	exact_accession
s__Acutalibacter muris	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Acutalibacter;s__Acutalibacter muris	2	4.5615102194	0.0007861961770774383	GCF_002201475.1,GCF_001688705.2	146564.1,2883968.1	1796620,1834198	Acutalibacter muris,Hungateiclostridiaceae bacterium KB18	exact_accession,unique_assembly_core
s__Mediterraneibacter massiliensis	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Mediterraneibacter;s__Mediterraneibacter massiliensis	1	4.07740190717	0.0007027579984786188	GCF_001487105.1	324894.0	1720300	Mediterraneibacter massiliensis	exact_accession
s__Aestuariibacter salexigens	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Alteromonadaceae;g__Aestuariibacter;s__Aestuariibacter salexigens	1	4.00060916317	0.0006895224341904329	GCF_000429145.1	193418.0	1120953	Aestuariibacter salexigens	exact_accession
s__Acetanaerobacterium elongatum	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Acetanaerobacterium;s__Acetanaerobacterium elongatum	1	4.0	0.0006894174422617875	GCF_900103835.1	273737.0	258515	Acetanaerobacterium elongatum	exact_accession
s__Akkermansia muciniphila_A	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiia;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia;s__Akkermansia muciniphila_A	1	4.0	0.0006894174422617875	GCF_900184965.1	4306262.0	239935	Akkermansia muciniphila	exact_accession
s__Clostridium_AP scindens	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Clostridium_AP;s__Clostridium_AP scindens	2	4.0	0.0006894174422617875	GCF_000218425.1,GCF_000154505.1	185483.0,4334624.0	658085,411468	Lachnospiraceae bacterium 5_1_57FAA,[Clostridium] scindens	unique_assembly_core,exact_accession
s__Oscillibacter welbionis	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter welbionis	1	4.0	0.0006894174422617875	GCF_000469425.1	272953.0	1226322	Oscillibacter sp. KLE 1728	exact_accession
s__Prevotella sp900119285	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp900119285	1	3.98349701819	0.0006865730813845018	GCF_900119285.1	denovo944.0	1520830	Prevotellaceae bacterium HUN156	unique_assembly_core
