sample	source_genome_id	taxid	species_label	read_rows	mapped_rows	unmapped_rows	unmapped_pct_of_profile_scope	primary_mapping_method
2	ASV607.0	29466	Veillonella parvula	774	0	774	0.0028951532590897337	unmapped
2	ASV357.0	154046	Hungatella hathewayi	746	0	746	0.002790419032662715	unmapped
2	ASV677.8	562	Escherichia coli	542	0	542	0.0020273553829801495	unmapped
2	ASV374.2	1352	Enterococcus faecium	478	0	478	0.0017879628654326781	unmapped
2	ASV790.9	303	Pseudomonas putida	466	0	466	0.0017430767683925272	unmapped
2	ASV827.8	239935	Akkermansia muciniphila	422	0	422	0.0015784944125786405	unmapped
2	ASV451.7	33038	Mediterraneibacter gnavus	406	0	406	0.0015186462831917726	unmapped
2	ASV444.7	33038	Mediterraneibacter gnavus	348	0	348	0.0013016968141643765	unmapped
2	ASV225.4	1408	Bacillus pumilus	286	0	286	0.0010697853127902635	unmapped
2	ASV266.2	1596	Lactobacillus gasseri	276	0	276	0.001032380231923471	unmapped
2	ASV148.4	329854	Bacteroides intestinalis	194	0	194	0.0007256585688157731	unmapped
2	ASV638.4	2489010	Klebsiella africana	176	0	176	0.0006583294232555467	unmapped
2	ASV396.2	208224	Enterobacter kobei	164	0	164	0.0006134433262153958	unmapped
2	ASV570.4	1351	Enterococcus faecalis	96	0	96	0.0003590887763212073	unmapped
2	ASV592.0	907	Megasphaera elsdenii	80	0	80	0.0002992406469343394	unmapped
