sample	ncbi_species_taxid	truth_name	abundance_pct_all	candidate_gtdb_species	setup_genome_count	setup_exact_unique_genomes	setup_ambiguous_exact_genomes	setup_unmatched_genomes	setup_exact_unique_gtdb_species_count	setup_assembly_unique_genomes	setup_assembly_ambiguous_genomes	setup_assembly_unmatched_genomes	setup_assembly_unique_gtdb_species_count	setup_combined_unique_genomes	setup_combined_ambiguous_genomes	setup_combined_unmatched_genomes	setup_combined_unique_gtdb_species_count	rule_id
0	28229	Colwellia psychrerythraea	0.0949	s__Colwellia psychrerythraea_A	1	1	0	0	1	1	0	0	1	1	0	0	1	strict_source_name_or_assembly_sources_unique
0	28229	Colwellia psychrerythraea	0.0949	s__Colwellia psychrerythraea_A	1	1	0	0	1	1	0	0	1	1	0	0	1	diagnostic_partial_setup_unique_source_name
0	316279	Synechococcus sp. CC9902	0.0345	s__Parasynechococcus sp000012505	1	0	1	0	0	1	0	0	1	1	0	0	1	strict_assembly_summary_sources_unique
0	316279	Synechococcus sp. CC9902	0.0345	s__Parasynechococcus sp000012505	1	0	1	0	0	1	0	0	1	1	0	0	1	strict_source_name_or_assembly_sources_unique
0	324767	Bacillus infantis	0.0345	s__Bacillus_AB infantis	1	1	0	0	1	1	0	0	1	1	0	0	1	strict_all_setup_sources_unique
0	324767	Bacillus infantis	0.0345	s__Bacillus_AB infantis	1	1	0	0	1	1	0	0	1	1	0	0	1	strict_assembly_summary_sources_unique
0	324767	Bacillus infantis	0.0345	s__Bacillus_AB infantis	1	1	0	0	1	1	0	0	1	1	0	0	1	strict_source_name_or_assembly_sources_unique
0	324767	Bacillus infantis	0.0345	s__Bacillus_AB infantis	1	1	0	0	1	1	0	0	1	1	0	0	1	diagnostic_partial_setup_unique_source_name
0	44251	Paenibacillus durus	0.0259	s__Paenibacillus_AQ durus	1	0	0	1	0	1	0	0	1	1	0	0	1	strict_assembly_summary_sources_unique
0	44251	Paenibacillus durus	0.0259	s__Paenibacillus_AQ durus	1	0	0	1	0	1	0	0	1	1	0	0	1	strict_source_name_or_assembly_sources_unique
0	467094	Ilumatobacter coccineus	0.397	s__Ilumatobacter_A coccineus	1	0	0	1	0	1	0	0	1	1	0	0	1	strict_assembly_summary_sources_unique
0	467094	Ilumatobacter coccineus	0.397	s__Ilumatobacter_A coccineus	1	0	0	1	0	1	0	0	1	1	0	0	1	strict_source_name_or_assembly_sources_unique
0	53633	Sulfobacillus acidophilus	0.069	s__Sulfobacillus_A acidophilus	1	1	0	0	1	0	0	1	0	1	0	0	1	strict_all_setup_sources_unique
0	53633	Sulfobacillus acidophilus	0.069	s__Sulfobacillus_A acidophilus	1	1	0	0	1	0	0	1	0	1	0	0	1	strict_source_name_or_assembly_sources_unique
0	53633	Sulfobacillus acidophilus	0.069	s__Sulfobacillus_A acidophilus	1	1	0	0	1	0	0	1	0	1	0	0	1	diagnostic_partial_setup_unique_source_name
0	582419	Thermococcus paralvinellae	0.0086	s__Thermococcus_B paralvinellae	1	0	0	1	0	1	0	0	1	1	0	0	1	strict_assembly_summary_sources_unique
0	582419	Thermococcus paralvinellae	0.0086	s__Thermococcus_B paralvinellae	1	0	0	1	0	1	0	0	1	1	0	0	1	strict_source_name_or_assembly_sources_unique
0	713887	Candidatus Atelocyanobacterium thalassa	0.0777	s__Atelocyanobacterium thalassae	1	1	0	0	1	1	0	0	1	1	0	0	1	strict_all_setup_sources_unique
0	713887	Candidatus Atelocyanobacterium thalassa	0.0777	s__Atelocyanobacterium thalassae	1	1	0	0	1	1	0	0	1	1	0	0	1	strict_assembly_summary_sources_unique
0	713887	Candidatus Atelocyanobacterium thalassa	0.0777	s__Atelocyanobacterium thalassae	1	1	0	0	1	1	0	0	1	1	0	0	1	strict_source_name_or_assembly_sources_unique
0	713887	Candidatus Atelocyanobacterium thalassa	0.0777	s__Atelocyanobacterium thalassae	1	1	0	0	1	1	0	0	1	1	0	0	1	diagnostic_partial_setup_unique_source_name
0	73141	Thiocystis violascens	0.0518	s__Chromatium violascens	1	1	0	0	1	1	0	0	1	1	0	0	1	strict_all_setup_sources_unique
0	73141	Thiocystis violascens	0.0518	s__Chromatium violascens	1	1	0	0	1	1	0	0	1	1	0	0	1	strict_assembly_summary_sources_unique
0	73141	Thiocystis violascens	0.0518	s__Chromatium violascens	1	1	0	0	1	1	0	0	1	1	0	0	1	strict_source_name_or_assembly_sources_unique
0	73141	Thiocystis violascens	0.0518	s__Chromatium violascens	1	1	0	0	1	1	0	0	1	1	0	0	1	diagnostic_partial_setup_unique_source_name
1	1063	Rhodobacter sphaeroides	0.0256	s__Cereibacter_A sphaeroides	1	0	0	1	0	1	0	0	1	1	0	0	1	strict_assembly_summary_sources_unique
1	1063	Rhodobacter sphaeroides	0.0256	s__Cereibacter_A sphaeroides	1	0	0	1	0	1	0	0	1	1	0	0	1	strict_source_name_or_assembly_sources_unique
1	1263979	Candidatus Endolissoclinum faulkneri	0.5927	s__Thalassobaculum faulkneri_A	2	1	0	1	1	1	0	1	1	1	0	1	1	diagnostic_partial_setup_unique_source_name
1	1336794	Formosa sp. Hel1_33_131	0.0009	s__Hel1-33-131 sp001735745	1	0	1	0	0	1	0	0	1	1	0	0	1	strict_assembly_summary_sources_unique
1	1336794	Formosa sp. Hel1_33_131	0.0009	s__Hel1-33-131 sp001735745	1	0	1	0	0	1	0	0	1	1	0	0	1	strict_source_name_or_assembly_sources_unique
1	1336795	Formosa sp. Hel3_A1_48	0.0092	s__UBA3537 sp001735715	1	0	1	0	0	1	0	0	1	1	0	0	1	strict_assembly_summary_sources_unique
1	1336795	Formosa sp. Hel3_A1_48	0.0092	s__UBA3537 sp001735715	1	0	1	0	0	1	0	0	1	1	0	0	1	strict_source_name_or_assembly_sources_unique
1	1427364	Candidatus Thioglobus singularis	0.0259	s__Pseudothioglobus singularis	2	0	0	2	0	2	0	0	1	2	0	0	1	strict_assembly_summary_sources_unique
1	1427364	Candidatus Thioglobus singularis	0.0259	s__Pseudothioglobus singularis	2	0	0	2	0	2	0	0	1	2	0	0	1	strict_source_name_or_assembly_sources_unique
1	1462	Geobacillus kaustophilus	0.0259	s__Geobacillus thermoleovorans	1	1	0	0	1	1	0	0	1	1	0	0	1	strict_all_setup_sources_unique
1	1462	Geobacillus kaustophilus	0.0259	s__Geobacillus thermoleovorans	1	1	0	0	1	1	0	0	1	1	0	0	1	strict_assembly_summary_sources_unique
1	1462	Geobacillus kaustophilus	0.0259	s__Geobacillus thermoleovorans	1	1	0	0	1	1	0	0	1	1	0	0	1	strict_source_name_or_assembly_sources_unique
1	1462	Geobacillus kaustophilus	0.0259	s__Geobacillus thermoleovorans	1	1	0	0	1	1	0	0	1	1	0	0	1	diagnostic_partial_setup_unique_source_name
1	1491	Clostridium botulinum	0.0778	s__Clostridium cagae	1	1	0	0	1	0	0	1	0	1	0	0	1	strict_all_setup_sources_unique
1	1491	Clostridium botulinum	0.0778	s__Clostridium cagae	1	1	0	0	1	0	0	1	0	1	0	0	1	strict_source_name_or_assembly_sources_unique
1	1491	Clostridium botulinum	0.0778	s__Clostridium cagae	1	1	0	0	1	0	0	1	0	1	0	0	1	diagnostic_partial_setup_unique_source_name
1	154	Spirochaeta thermophila	0.1037	s__Winmispira thermophila	1	0	0	1	0	1	0	0	1	1	0	0	1	strict_assembly_summary_sources_unique
1	154	Spirochaeta thermophila	0.1037	s__Winmispira thermophila	1	0	0	1	0	1	0	0	1	1	0	0	1	strict_source_name_or_assembly_sources_unique
1	155863	Methanothermococcus okinawensis	0.0259	s__Methanofervidicoccus okinawensis	1	1	0	0	1	1	0	0	1	1	0	0	1	strict_all_setup_sources_unique
1	155863	Methanothermococcus okinawensis	0.0259	s__Methanofervidicoccus okinawensis	1	1	0	0	1	1	0	0	1	1	0	0	1	strict_assembly_summary_sources_unique
1	155863	Methanothermococcus okinawensis	0.0259	s__Methanofervidicoccus okinawensis	1	1	0	0	1	1	0	0	1	1	0	0	1	strict_source_name_or_assembly_sources_unique
1	155863	Methanothermococcus okinawensis	0.0259	s__Methanofervidicoccus okinawensis	1	1	0	0	1	1	0	0	1	1	0	0	1	diagnostic_partial_setup_unique_source_name
1	1705394	Candidatus Thioglobus autotrophicus	0.0259	s__Thioglobus_A autotrophicus	1	0	0	1	0	1	0	0	1	1	0	0	1	strict_assembly_summary_sources_unique
1	1705394	Candidatus Thioglobus autotrophicus	0.0259	s__Thioglobus_A autotrophicus	1	0	0	1	0	1	0	0	1	1	0	0	1	strict_source_name_or_assembly_sources_unique
1	1833	Rhodococcus erythropolis	0.013	s__Rhodococcus_F erythropolis	1	1	0	0	1	1	0	0	1	1	0	0	1	strict_all_setup_sources_unique
1	1833	Rhodococcus erythropolis	0.013	s__Rhodococcus_F erythropolis	1	1	0	0	1	1	0	0	1	1	0	0	1	strict_assembly_summary_sources_unique
1	1833	Rhodococcus erythropolis	0.013	s__Rhodococcus_F erythropolis	1	1	0	0	1	1	0	0	1	1	0	0	1	strict_source_name_or_assembly_sources_unique
1	1833	Rhodococcus erythropolis	0.013	s__Rhodococcus_F erythropolis	1	1	0	0	1	1	0	0	1	1	0	0	1	diagnostic_partial_setup_unique_source_name
1	198252	Candidatus Pelagibacter ubique	0.0626	s__Pelagibacter ubiqueversans	1	1	0	0	1	1	0	0	1	1	0	0	1	strict_all_setup_sources_unique
1	198252	Candidatus Pelagibacter ubique	0.0626	s__Pelagibacter ubiqueversans	1	1	0	0	1	1	0	0	1	1	0	0	1	strict_assembly_summary_sources_unique
1	198252	Candidatus Pelagibacter ubique	0.0626	s__Pelagibacter ubiqueversans	1	1	0	0	1	1	0	0	1	1	0	0	1	strict_source_name_or_assembly_sources_unique
1	198252	Candidatus Pelagibacter ubique	0.0626	s__Pelagibacter ubiqueversans	1	1	0	0	1	1	0	0	1	1	0	0	1	diagnostic_partial_setup_unique_source_name
1	2296	Desulfobacterium autotrophicum	0.1556	s__Desulforapulum autotrophicum	1	0	0	1	0	1	0	0	1	1	0	0	1	strict_assembly_summary_sources_unique
1	2296	Desulfobacterium autotrophicum	0.1556	s__Desulforapulum autotrophicum	1	0	0	1	0	1	0	0	1	1	0	0	1	strict_source_name_or_assembly_sources_unique
1	28229	Colwellia psychrerythraea	0.1037	s__Colwellia psychrerythraea_A	1	1	0	0	1	1	0	0	1	1	0	0	1	strict_all_setup_sources_unique
1	28229	Colwellia psychrerythraea	0.1037	s__Colwellia psychrerythraea_A	1	1	0	0	1	1	0	0	1	1	0	0	1	strict_assembly_summary_sources_unique
1	28229	Colwellia psychrerythraea	0.1037	s__Colwellia psychrerythraea_A	1	1	0	0	1	1	0	0	1	1	0	0	1	strict_source_name_or_assembly_sources_unique
1	28229	Colwellia psychrerythraea	0.1037	s__Colwellia psychrerythraea_A	1	1	0	0	1	1	0	0	1	1	0	0	1	diagnostic_partial_setup_unique_source_name
1	316279	Synechococcus sp. CC9902	0.0778	s__Parasynechococcus sp000012505	1	0	1	0	0	1	0	0	1	1	0	0	1	strict_assembly_summary_sources_unique
1	316279	Synechococcus sp. CC9902	0.0778	s__Parasynechococcus sp000012505	1	0	1	0	0	1	0	0	1	1	0	0	1	strict_source_name_or_assembly_sources_unique
1	324767	Bacillus infantis	0.0778	s__Bacillus_AB infantis	1	1	0	0	1	1	0	0	1	1	0	0	1	strict_all_setup_sources_unique
1	324767	Bacillus infantis	0.0778	s__Bacillus_AB infantis	1	1	0	0	1	1	0	0	1	1	0	0	1	strict_assembly_summary_sources_unique
1	324767	Bacillus infantis	0.0778	s__Bacillus_AB infantis	1	1	0	0	1	1	0	0	1	1	0	0	1	strict_source_name_or_assembly_sources_unique
1	324767	Bacillus infantis	0.0778	s__Bacillus_AB infantis	1	1	0	0	1	1	0	0	1	1	0	0	1	diagnostic_partial_setup_unique_source_name
1	467094	Ilumatobacter coccineus	0.3112	s__Ilumatobacter_A coccineus	1	0	0	1	0	1	0	0	1	1	0	0	1	strict_assembly_summary_sources_unique
1	467094	Ilumatobacter coccineus	0.3112	s__Ilumatobacter_A coccineus	1	0	0	1	0	1	0	0	1	1	0	0	1	strict_source_name_or_assembly_sources_unique
1	582419	Thermococcus paralvinellae	0.013	s__Thermococcus_B paralvinellae	1	0	0	1	0	1	0	0	1	1	0	0	1	strict_assembly_summary_sources_unique
1	582419	Thermococcus paralvinellae	0.013	s__Thermococcus_B paralvinellae	1	0	0	1	0	1	0	0	1	1	0	0	1	strict_source_name_or_assembly_sources_unique
1	713887	Candidatus Atelocyanobacterium thalassa	0.0389	s__Atelocyanobacterium thalassae	1	1	0	0	1	1	0	0	1	1	0	0	1	strict_all_setup_sources_unique
1	713887	Candidatus Atelocyanobacterium thalassa	0.0389	s__Atelocyanobacterium thalassae	1	1	0	0	1	1	0	0	1	1	0	0	1	strict_assembly_summary_sources_unique
1	713887	Candidatus Atelocyanobacterium thalassa	0.0389	s__Atelocyanobacterium thalassae	1	1	0	0	1	1	0	0	1	1	0	0	1	strict_source_name_or_assembly_sources_unique
1	713887	Candidatus Atelocyanobacterium thalassa	0.0389	s__Atelocyanobacterium thalassae	1	1	0	0	1	1	0	0	1	1	0	0	1	diagnostic_partial_setup_unique_source_name
1	73141	Thiocystis violascens	0.1426	s__Chromatium violascens	1	1	0	0	1	1	0	0	1	1	0	0	1	strict_all_setup_sources_unique
1	73141	Thiocystis violascens	0.1426	s__Chromatium violascens	1	1	0	0	1	1	0	0	1	1	0	0	1	strict_assembly_summary_sources_unique
1	73141	Thiocystis violascens	0.1426	s__Chromatium violascens	1	1	0	0	1	1	0	0	1	1	0	0	1	strict_source_name_or_assembly_sources_unique
1	73141	Thiocystis violascens	0.1426	s__Chromatium violascens	1	1	0	0	1	1	0	0	1	1	0	0	1	diagnostic_partial_setup_unique_source_name
1	89184	Ruegeria pomeroyi	0.0648	s__Ruegeria_B pomeroyi	1	1	0	0	1	1	0	0	1	1	0	0	1	strict_all_setup_sources_unique
1	89184	Ruegeria pomeroyi	0.0648	s__Ruegeria_B pomeroyi	1	1	0	0	1	1	0	0	1	1	0	0	1	strict_assembly_summary_sources_unique
1	89184	Ruegeria pomeroyi	0.0648	s__Ruegeria_B pomeroyi	1	1	0	0	1	1	0	0	1	1	0	0	1	strict_source_name_or_assembly_sources_unique
1	89184	Ruegeria pomeroyi	0.0648	s__Ruegeria_B pomeroyi	1	1	0	0	1	1	0	0	1	1	0	0	1	diagnostic_partial_setup_unique_source_name
2	1063	Rhodobacter sphaeroides	0.036	s__Cereibacter_A sphaeroides	1	0	0	1	0	1	0	0	1	1	0	0	1	strict_assembly_summary_sources_unique
2	1063	Rhodobacter sphaeroides	0.036	s__Cereibacter_A sphaeroides	1	0	0	1	0	1	0	0	1	1	0	0	1	strict_source_name_or_assembly_sources_unique
2	1263979	Candidatus Endolissoclinum faulkneri	0.5472	s__Thalassobaculum faulkneri_A	2	1	0	1	1	1	0	1	1	1	0	1	1	diagnostic_partial_setup_unique_source_name
2	1336794	Formosa sp. Hel1_33_131	0.0009	s__Hel1-33-131 sp001735745	1	0	1	0	0	1	0	0	1	1	0	0	1	strict_assembly_summary_sources_unique
2	1336794	Formosa sp. Hel1_33_131	0.0009	s__Hel1-33-131 sp001735745	1	0	1	0	0	1	0	0	1	1	0	0	1	strict_source_name_or_assembly_sources_unique
2	1336795	Formosa sp. Hel3_A1_48	0.0486	s__UBA3537 sp001735715	1	0	1	0	0	1	0	0	1	1	0	0	1	strict_assembly_summary_sources_unique
2	1336795	Formosa sp. Hel3_A1_48	0.0486	s__UBA3537 sp001735715	1	0	1	0	0	1	0	0	1	1	0	0	1	strict_source_name_or_assembly_sources_unique
2	1427364	Candidatus Thioglobus singularis	0.0547	s__Pseudothioglobus singularis	2	0	0	2	0	2	0	0	1	2	0	0	1	strict_assembly_summary_sources_unique
2	1427364	Candidatus Thioglobus singularis	0.0547	s__Pseudothioglobus singularis	2	0	0	2	0	2	0	0	1	2	0	0	1	strict_source_name_or_assembly_sources_unique
2	1462	Geobacillus kaustophilus	0.082	s__Geobacillus thermoleovorans	1	1	0	0	1	1	0	0	1	1	0	0	1	strict_all_setup_sources_unique
2	1462	Geobacillus kaustophilus	0.082	s__Geobacillus thermoleovorans	1	1	0	0	1	1	0	0	1	1	0	0	1	strict_assembly_summary_sources_unique
2	1462	Geobacillus kaustophilus	0.082	s__Geobacillus thermoleovorans	1	1	0	0	1	1	0	0	1	1	0	0	1	strict_source_name_or_assembly_sources_unique
2	1462	Geobacillus kaustophilus	0.082	s__Geobacillus thermoleovorans	1	1	0	0	1	1	0	0	1	1	0	0	1	diagnostic_partial_setup_unique_source_name
2	1491	Clostridium botulinum	0.1776	s__Clostridium cagae	1	1	0	0	1	0	0	1	0	1	0	0	1	strict_all_setup_sources_unique
2	1491	Clostridium botulinum	0.1776	s__Clostridium cagae	1	1	0	0	1	0	0	1	0	1	0	0	1	strict_source_name_or_assembly_sources_unique
2	1491	Clostridium botulinum	0.1776	s__Clostridium cagae	1	1	0	0	1	0	0	1	0	1	0	0	1	diagnostic_partial_setup_unique_source_name
2	154	Spirochaeta thermophila	0.0137	s__Winmispira thermophila	1	0	0	1	0	1	0	0	1	1	0	0	1	strict_assembly_summary_sources_unique
2	154	Spirochaeta thermophila	0.0137	s__Winmispira thermophila	1	0	0	1	0	1	0	0	1	1	0	0	1	strict_source_name_or_assembly_sources_unique
2	1833	Rhodococcus erythropolis	0.0273	s__Rhodococcus_F erythropolis	1	1	0	0	1	1	0	0	1	1	0	0	1	strict_all_setup_sources_unique
2	1833	Rhodococcus erythropolis	0.0273	s__Rhodococcus_F erythropolis	1	1	0	0	1	1	0	0	1	1	0	0	1	strict_assembly_summary_sources_unique
2	1833	Rhodococcus erythropolis	0.0273	s__Rhodococcus_F erythropolis	1	1	0	0	1	1	0	0	1	1	0	0	1	strict_source_name_or_assembly_sources_unique
2	1833	Rhodococcus erythropolis	0.0273	s__Rhodococcus_F erythropolis	1	1	0	0	1	1	0	0	1	1	0	0	1	diagnostic_partial_setup_unique_source_name
2	2296	Desulfobacterium autotrophicum	0.0273	s__Desulforapulum autotrophicum	1	0	0	1	0	1	0	0	1	1	0	0	1	strict_assembly_summary_sources_unique
2	2296	Desulfobacterium autotrophicum	0.0273	s__Desulforapulum autotrophicum	1	0	0	1	0	1	0	0	1	1	0	0	1	strict_source_name_or_assembly_sources_unique
2	2743	Marinobacter hydrocarbonoclasticus	0.0073	s__Marinobacter nauticus	2	0	0	2	0	2	0	0	1	2	0	0	1	strict_assembly_summary_sources_unique
2	2743	Marinobacter hydrocarbonoclasticus	0.0073	s__Marinobacter nauticus	2	0	0	2	0	2	0	0	1	2	0	0	1	strict_source_name_or_assembly_sources_unique
2	28229	Colwellia psychrerythraea	0.0273	s__Colwellia psychrerythraea_A	1	1	0	0	1	1	0	0	1	1	0	0	1	strict_all_setup_sources_unique
2	28229	Colwellia psychrerythraea	0.0273	s__Colwellia psychrerythraea_A	1	1	0	0	1	1	0	0	1	1	0	0	1	strict_assembly_summary_sources_unique
2	28229	Colwellia psychrerythraea	0.0273	s__Colwellia psychrerythraea_A	1	1	0	0	1	1	0	0	1	1	0	0	1	strict_source_name_or_assembly_sources_unique
2	28229	Colwellia psychrerythraea	0.0273	s__Colwellia psychrerythraea_A	1	1	0	0	1	1	0	0	1	1	0	0	1	diagnostic_partial_setup_unique_source_name
2	316279	Synechococcus sp. CC9902	0.0683	s__Parasynechococcus sp000012505	1	0	1	0	0	1	0	0	1	1	0	0	1	strict_assembly_summary_sources_unique
2	316279	Synechococcus sp. CC9902	0.0683	s__Parasynechococcus sp000012505	1	0	1	0	0	1	0	0	1	1	0	0	1	strict_source_name_or_assembly_sources_unique
2	324767	Bacillus infantis	0.041	s__Bacillus_AB infantis	1	1	0	0	1	1	0	0	1	1	0	0	1	strict_all_setup_sources_unique
2	324767	Bacillus infantis	0.041	s__Bacillus_AB infantis	1	1	0	0	1	1	0	0	1	1	0	0	1	strict_assembly_summary_sources_unique
2	324767	Bacillus infantis	0.041	s__Bacillus_AB infantis	1	1	0	0	1	1	0	0	1	1	0	0	1	strict_source_name_or_assembly_sources_unique
2	324767	Bacillus infantis	0.041	s__Bacillus_AB infantis	1	1	0	0	1	1	0	0	1	1	0	0	1	diagnostic_partial_setup_unique_source_name
2	467094	Ilumatobacter coccineus	0.1503	s__Ilumatobacter_A coccineus	1	0	0	1	0	1	0	0	1	1	0	0	1	strict_assembly_summary_sources_unique
2	467094	Ilumatobacter coccineus	0.1503	s__Ilumatobacter_A coccineus	1	0	0	1	0	1	0	0	1	1	0	0	1	strict_source_name_or_assembly_sources_unique
2	543877	Altererythrobacter marensis	0.041	s__Pelagerythrobacter marensis	1	0	0	1	0	1	0	0	1	1	0	0	1	strict_assembly_summary_sources_unique
2	543877	Altererythrobacter marensis	0.041	s__Pelagerythrobacter marensis	1	0	0	1	0	1	0	0	1	1	0	0	1	strict_source_name_or_assembly_sources_unique
2	713887	Candidatus Atelocyanobacterium thalassa	0.0137	s__Atelocyanobacterium thalassae	1	1	0	0	1	1	0	0	1	1	0	0	1	strict_all_setup_sources_unique
2	713887	Candidatus Atelocyanobacterium thalassa	0.0137	s__Atelocyanobacterium thalassae	1	1	0	0	1	1	0	0	1	1	0	0	1	strict_assembly_summary_sources_unique
2	713887	Candidatus Atelocyanobacterium thalassa	0.0137	s__Atelocyanobacterium thalassae	1	1	0	0	1	1	0	0	1	1	0	0	1	strict_source_name_or_assembly_sources_unique
2	713887	Candidatus Atelocyanobacterium thalassa	0.0137	s__Atelocyanobacterium thalassae	1	1	0	0	1	1	0	0	1	1	0	0	1	diagnostic_partial_setup_unique_source_name
2	73141	Thiocystis violascens	0.0956	s__Chromatium violascens	1	1	0	0	1	1	0	0	1	1	0	0	1	strict_all_setup_sources_unique
2	73141	Thiocystis violascens	0.0956	s__Chromatium violascens	1	1	0	0	1	1	0	0	1	1	0	0	1	strict_assembly_summary_sources_unique
2	73141	Thiocystis violascens	0.0956	s__Chromatium violascens	1	1	0	0	1	1	0	0	1	1	0	0	1	strict_source_name_or_assembly_sources_unique
2	73141	Thiocystis violascens	0.0956	s__Chromatium violascens	1	1	0	0	1	1	0	0	1	1	0	0	1	diagnostic_partial_setup_unique_source_name
2	89184	Ruegeria pomeroyi	0.0273	s__Ruegeria_B pomeroyi	1	1	0	0	1	1	0	0	1	1	0	0	1	strict_all_setup_sources_unique
2	89184	Ruegeria pomeroyi	0.0273	s__Ruegeria_B pomeroyi	1	1	0	0	1	1	0	0	1	1	0	0	1	strict_assembly_summary_sources_unique
2	89184	Ruegeria pomeroyi	0.0273	s__Ruegeria_B pomeroyi	1	1	0	0	1	1	0	0	1	1	0	0	1	strict_source_name_or_assembly_sources_unique
2	89184	Ruegeria pomeroyi	0.0273	s__Ruegeria_B pomeroyi	1	1	0	0	1	1	0	0	1	1	0	0	1	diagnostic_partial_setup_unique_source_name
3	1063	Rhodobacter sphaeroides	0.0129	s__Cereibacter_A sphaeroides	1	0	0	1	0	1	0	0	1	1	0	0	1	strict_assembly_summary_sources_unique
3	1063	Rhodobacter sphaeroides	0.0129	s__Cereibacter_A sphaeroides	1	0	0	1	0	1	0	0	1	1	0	0	1	strict_source_name_or_assembly_sources_unique
3	111501	Muricauda ruestringensis	0.0488	s__Flagellimonas ruestringensis	1	0	0	1	0	1	0	0	1	1	0	0	1	strict_assembly_summary_sources_unique
3	111501	Muricauda ruestringensis	0.0488	s__Flagellimonas ruestringensis	1	0	0	1	0	1	0	0	1	1	0	0	1	strict_source_name_or_assembly_sources_unique
3	1263979	Candidatus Endolissoclinum faulkneri	0.5825	s__Thalassobaculum faulkneri_A	2	1	0	1	1	1	0	1	1	1	0	1	1	diagnostic_partial_setup_unique_source_name
3	1336794	Formosa sp. Hel1_33_131	0.001	s__Hel1-33-131 sp001735745	1	0	1	0	0	1	0	0	1	1	0	0	1	strict_assembly_summary_sources_unique
3	1336794	Formosa sp. Hel1_33_131	0.001	s__Hel1-33-131 sp001735745	1	0	1	0	0	1	0	0	1	1	0	0	1	strict_source_name_or_assembly_sources_unique
3	1336795	Formosa sp. Hel3_A1_48	0.0486	s__UBA3537 sp001735715	1	0	1	0	0	1	0	0	1	1	0	0	1	strict_assembly_summary_sources_unique
3	1336795	Formosa sp. Hel3_A1_48	0.0486	s__UBA3537 sp001735715	1	0	1	0	0	1	0	0	1	1	0	0	1	strict_source_name_or_assembly_sources_unique
3	1427364	Candidatus Thioglobus singularis	0.0244	s__Pseudothioglobus singularis	2	0	0	2	0	2	0	0	1	2	0	0	1	strict_assembly_summary_sources_unique
3	1427364	Candidatus Thioglobus singularis	0.0244	s__Pseudothioglobus singularis	2	0	0	2	0	2	0	0	1	2	0	0	1	strict_source_name_or_assembly_sources_unique
